Date,Open,High,Low,Close,Volume
2024-08-14,101.6458,102.2337,100.7906,100.8796,527200.0
2024-08-15,101.2894,103.3295,100.5946,102.4832,762600.0
2024-08-16,102.3139,102.9286,101.5567,102.1714,851300.0
2024-08-19,102.3139,103.0444,102.1447,102.9999,627700.0
2024-08-20,102.8128,103.1246,102.1892,102.2783,455300.0
2024-08-21,102.5812,103.2404,101.6547,103.1691,623800.0
2024-08-22,103.2404,105.8239,102.8395,105.4408,1353300.0
2024-08-23,105.8773,108.8705,105.423,107.9708,819100.0
2024-08-26,109.1467,109.797,107.5966,108.3717,1278500.0
2024-08-27,107.757,107.8372,106.3495,107.4007,536600.0
2024-08-28,107.1245,107.6857,105.8417,106.1089,705400.0
2024-08-29,106.1089,106.3049,104.158,104.9597,1083500.0
2024-08-30,105.8149,106.5633,104.5589,106.5187,1037000.0
2024-09-03,105.8238,106.0822,104.8083,105.5031,812400.0
2024-09-04,105.7793,107.2225,104.0689,104.7548,732300.0
2024-09-05,105.6368,106.5633,104.3985,104.5678,726100.0
2024-09-06,104.9775,104.9775,102.8662,103.5967,770500.0
2024-09-09,103.7749,105.9842,103.3295,105.3428,907900.0
2024-09-10,106.1624,107.2581,105.3695,106.688,899600.0
2024-09-11,105.4942,107.5432,104.1402,107.4185,1334000.0
2024-09-12,107.5432,109.1022,106.2158,108.6033,829100.0
2024-09-13,109.5298,111.9173,109.3516,110.8393,1966000.0
2024-09-16,111.2402,111.9173,109.8772,111.0977,923300.0
2024-09-17,111.2937,111.8371,109.7525,110.4741,904100.0
2024-09-18,110.4741,111.8282,109.5743,110.3405,1434700.0
2024-09-19,111.7302,111.8014,108.6924,108.8795,1429200.0
2024-09-20,108.1044,108.6211,106.6969,108.0153,1960600.0
2024-09-23,108.63,109.1022,108.2202,108.8438,691000.0
2024-09-24,108.4786,111.552,108.0153,110.8304,1077100.0
2024-09-25,111.1333,111.8905,110.2246,110.6968,1271200.0
2024-09-26,111.8104,111.8104,107.9797,108.3182,1116100.0
2024-09-27,109.5743,110.2603,107.6946,107.8104,1115100.0
2024-09-30,107.036,108.4048,105.4331,106.9369,2064000.0
2024-10-01,107.2161,107.8195,104.9468,105.4601,1708200.0
2024-10-02,104.3344,105.0909,103.3889,104.6766,1713700.0
2024-10-03,104.0282,104.6856,102.7585,103.9022,1024800.0
2024-10-04,103.578,103.8031,101.7049,103.4699,1079900.0
2024-10-07,102.9206,103.0287,101.1916,102.2632,1004700.0
2024-10-08,102.4794,102.6595,101.3807,102.4794,917100.0
2024-10-09,102.8125,103.0287,101.831,103.0287,745800.0
2024-10-10,102.7405,103.6861,102.5874,103.65,1525600.0
2024-10-11,104.2804,106.2705,104.2804,105.9013,1251400.0
2024-10-14,105.6042,108.1166,105.253,108.0626,1163100.0
2024-10-15,108.6659,110.431,108.5399,109.1432,1127700.0
2024-10-16,109.9357,110.8542,109.5755,110.467,750000.0
2024-10-17,110.0167,110.467,109.0982,109.1882,1266400.0
2024-10-18,110.0888,110.0888,108.9271,109.6745,1760100.0
2024-10-21,109.4224,109.5935,107.4232,107.6303,1805700.0
2024-10-22,108.6479,108.6479,104.2714,106.2345,2144000.0
2024-10-23,106.3066,109.1432,105.9554,107.9725,1934200.0
2024-10-24,107.6393,108.5849,104.7307,104.7757,1499900.0
2024-10-25,104.6406,105.271,101.7409,101.7769,1215400.0
2024-10-28,102.5694,103.1367,101.4257,101.5068,1188000.0
2024-10-29,101.5068,101.822,100.3001,100.5432,1389100.0
2024-10-30,100.6603,103.3799,100.4082,102.1282,1527600.0
2024-10-31,101.3987,102.1912,100.2911,100.4532,1428400.0
2024-11-01,101.3717,101.7049,99.5437,99.8318,1114000.0
2024-11-04,100.3631,101.804,100.0569,101.7499,1123800.0
2024-11-05,100.8584,102.8035,100.8134,102.5154,792100.0
2024-11-06,103.1097,104.9288,99.6877,101.7949,1228700.0
2024-11-07,101.7139,102.6414,101.0385,102.4073,731800.0
2024-11-08,102.2992,103.1547,101.912,102.6955,876500.0
2024-11-11,102.6595,103.2808,99.9039,100.2821,1770100.0
2024-11-12,99.7598,100.3901,97.4274,97.5535,1034500.0
2024-11-13,98.6251,99.5437,97.8147,98.1839,866700.0
2024-11-14,98.0128,98.5441,97.2383,97.4995,1012800.0
2024-11-15,96.1667,96.8331,94.4647,95.0771,1257800.0
2024-11-18,94.4827,94.8249,93.3661,94.7529,1744500.0
2024-11-19,94.3747,94.7619,93.7083,94.0955,1003300.0
2024-11-20,93.6452,94.2126,92.6547,93.9334,1135200.0
2024-11-21,93.9784,95.6804,93.7893,95.3562,1186100.0
2024-11-22,95.4553,97.5445,95.2572,97.5265,1308500.0
2024-11-25,98.445,101.1736,98.445,100.8944,2326200.0
2024-11-26,100.6963,101.0295,99.8498,100.6333,1134800.0
2024-11-27,99.8588,101.2366,99.3815,99.5256,814700.0
2024-11-29,99.3816,100.4172,99.0574,99.2645,715300.0
2024-12-02,99.0574,99.3455,98.2019,98.7872,1118900.0
2024-12-03,98.2019,98.7422,97.1032,97.2743,999800.0
2024-12-04,97.1032,97.4544,93.186,94.4917,1996300.0
2024-12-05,94.1675,95.1311,93.0959,94.942,1186100.0
2024-12-06,94.942,95.4553,93.213,93.5192,1115800.0
2024-12-09,94.5277,96.5269,93.9244,96.1307,1507600.0
