Date,Open,High,Low,Close,Volume
2024-08-05,202.6721,202.6721,193.1774,194.1854,613100
2024-08-06,194.6078,200.0704,193.6574,197.4015,545100
2024-08-07,198.8895,200.5216,194.3774,194.7134,496000
2024-08-08,195.7983,199.984,194.4638,199.4272,541900
2024-08-09,198.3231,199.7344,196.259,199.552,271500
2024-08-12,198.9856,199.9744,197.3919,199.168,269500
2024-08-13,200.3392,201.3088,197.7279,200.7328,236500
2024-08-14,200.6752,201.424,199.8592,200.5984,283300
2024-08-15,202.4609,205.2065,202.0288,204.0161,396700
2024-08-16,203.4113,205.0241,202.0481,204.4577,757200
2024-08-19,205.0338,205.8402,203.8913,204.7361,401100
2024-08-20,204.7361,204.8705,202.2304,203.8433,498900
2024-08-21,204.8609,207.0402,202.7201,206.3202,507000
2024-08-22,206.3009,207.693,205.6673,207.549,271600
2024-08-23,208.0194,210.3715,208.0194,210.2947,245500
2024-08-26,210.8035,212.2244,209.1139,209.3251,250200
2024-08-27,208.8642,210.4483,207.5202,208.7298,296300
2024-08-28,208.7586,211.6195,208.7586,210.0547,472000
2024-08-29,211.1971,211.754,208.6723,209.8435,348000
2024-08-30,210.4483,213.3284,209.8051,212.9828,677300
2024-09-03,211.9172,213.4148,210.2179,211.1203,591200
2024-09-04,211.5734,213.1638,209.5589,210.995,363400
2024-09-05,211.6312,213.1638,209.4624,210.8311,414700
2024-09-06,210.3107,212.2481,208.1034,209.0769,379900
2024-09-09,209.7227,212.3637,208.9323,211.6505,381500
2024-09-10,211.8722,212.9517,210.7155,211.5348,232300
2024-09-11,210.6769,210.7251,204.9514,210.4167,366900
2024-09-12,210.6191,212.0071,209.0672,210.5805,447700
2024-09-13,211.1589,213.2505,211.0625,211.4962,270100
2024-09-16,212.518,214.8313,212.518,213.0578,354200
2024-09-17,212.7396,214.918,211.236,212.248,436300
2024-09-18,211.0914,212.5951,201.7321,201.7995,990200
2024-09-19,205.1442,208.7299,204.5852,207.9781,944400
2024-09-20,208.3443,208.3443,203.3418,203.9394,1533700
2024-09-23,204.3442,208.2287,204.3442,207.901,593600
2024-09-24,208.2769,211.9686,208.1323,210.5902,478600
2024-09-25,211.3806,211.6697,209.2118,210.9179,731200
2024-09-26,211.9493,214.706,211.0432,213.7517,958000
2024-09-27,215.3614,216.2771,214.0891,214.3108,524800
2024-09-30,214.6096,214.7445,211.7372,212.7878,860100
2024-10-01,213.6264,213.6264,210.4167,211.8818,279700
2024-10-02,210.7059,212.6047,208.1323,208.701,372700
2024-10-03,207.9781,208.4986,204.7394,204.9129,453600
2024-10-04,206.3491,207.2262,205.2502,206.8407,244300
2024-10-07,206.0503,207.7082,204.5563,206.2334,419200
2024-10-08,205.3081,207.8045,203.6213,206.7153,423900
2024-10-09,206.9852,208.672,205.6261,207.872,404200
2024-10-10,206.6575,208.0552,205.8768,207.3033,285300
2024-10-11,207.525,210.7155,207.525,210.1564,384400
2024-10-14,209.9251,212.73,209.1636,212.5565,305800
2024-10-15,212.142,214.0795,211.5348,211.9396,425800
2024-10-16,211.6505,211.6505,207.0142,207.1684,495000
2024-10-17,212.0553,214.1373,208.7588,210.4745,557900
2024-10-18,212.0071,213.5397,209.2311,209.4817,427900
2024-10-21,208.4985,209.1251,206.8117,207.631,470500
