Date,Open,High,Low,Close,Volume
2024-08-26,369.11,370.64,358.1,360.49,568500
2024-08-27,360.49,364.46,357.85,363.43,286000
2024-08-28,363.43,368.13,361.59,362.45,323600
2024-08-29,364.03,368.86,361.97,362.0,316800
2024-08-30,363.13,366.28,361.44,364.97,454800
2024-09-03,361.35,363.22,354.52,355.16,584900
2024-09-04,351.72,356.73,349.02,355.35,681100
2024-09-05,353.53,356.34,352.11,354.86,236400
2024-09-06,356.42,357.5,346.71,354.62,509100
2024-09-09,358.61,369.44,358.61,364.39,755900
2024-09-10,364.89,366.98,357.11,359.35,324800
2024-09-11,357.82,364.49,353.91,361.71,471500
2024-09-12,364.88,384.73,364.6,384.51,976600
2024-09-13,382.98,385.0,375.71,379.61,506400
2024-09-16,380.99,386.54,379.98,385.77,480100
2024-09-17,384.03,386.14,376.53,382.57,379000
2024-09-18,383.5,387.61,380.51,383.01,402100
2024-09-19,390.0,391.55,383.03,389.74,461800
2024-09-20,387.07,393.58,387.06,393.29,1202600
2024-09-23,394.29,397.32,392.0,393.94,473100
2024-09-24,395.59,395.69,388.36,393.66,279600
2024-09-25,394.39,395.8,392.02,395.26,534500
2024-09-26,396.23,398.74,391.97,393.25,448900
2024-09-27,394.12,395.59,388.37,395.34,400700
2024-09-30,395.5,400.33,394.24,399.6,548900
2024-10-01,399.87,400.78,395.37,399.22,749200
2024-10-02,400.0,406.0,397.53,404.51,588000
2024-10-03,404.17,415.11,403.16,415.05,927100
2024-10-04,418.0,422.33,413.68,421.8,611900
2024-10-07,421.0,425.23,416.88,420.83,682900
2024-10-08,424.06,433.48,420.49,426.99,787500
2024-10-09,424.4,432.86,422.21,432.14,470800
2024-10-10,430.78,432.91,424.34,428.76,494200
2024-10-11,430.19,436.55,428.77,434.98,334500
2024-10-14,437.14,440.89,435.44,437.98,326200
2024-10-15,437.98,438.04,424.57,434.12,625200
2024-10-16,433.36,435.4,428.5,433.83,376100
2024-10-17,436.0,437.9,432.73,434.48,397400
2024-10-18,438.78,438.78,434.0,438.05,228800
2024-10-21,439.0,444.16,435.29,443.98,335500
2024-10-22,445.1,455.17,443.44,449.61,624900
2024-10-23,447.52,449.2,440.67,442.69,388900
2024-10-24,442.58,446.75,438.17,443.12,263400
2024-10-25,446.12,449.83,442.71,444.52,331900
2024-10-28,449.1,449.1,443.25,444.77,447200
2024-10-29,444.96,447.63,443.7,444.0,488900
2024-10-30,443.33,445.48,438.76,439.0,428100
2024-10-31,435.96,436.9,422.38,423.5,877500
2024-11-01,426.82,430.16,424.57,425.84,600500
2024-11-04,425.84,435.5,424.99,431.57,479000
2024-11-05,433.97,442.77,433.97,441.09,656100
2024-11-06,459.03,462.64,450.72,459.52,723900
2024-11-07,465.5,471.0,462.81,468.75,832600
2024-11-08,540.0,611.88,515.0,603.18,3967000
2024-11-11,611.06,624.84,588.02,616.14,1792700
2024-11-12,609.11,609.36,591.74,595.18,1390100
2024-11-13,600.0,617.15,599.72,601.29,850600
2024-11-14,601.0,609.37,592.21,604.56,727300
2024-11-15,599.53,602.0,594.42,599.35,682800
2024-11-18,601.04,610.33,592.0,600.0,669600
2024-11-19,598.3,618.07,598.01,610.2,1064600
2024-11-20,609.18,613.25,598.95,609.82,572300
2024-11-21,621.99,640.51,611.0,631.27,885100
2024-11-22,635.5,641.2,623.51,636.95,698900
2024-11-25,639.54,639.99,607.2,619.0,1499700
2024-11-26,622.6,633.0,621.22,632.16,619200
2024-11-27,632.1,636.37,625.81,634.96,505600
2024-11-29,639.38,652.23,639.0,646.96,397600
2024-12-02,649.2,649.39,634.95,636.39,866800
2024-12-03,652.82,675.48,638.0,669.87,1383700
2024-12-04,667.09,689.39,667.09,687.39,924900
2024-12-05,688.01,695.94,677.4,689.78,732400
2024-12-06,689.73,698.67,680.24,687.69,938600
2024-12-09,687.69,687.97,631.03,642.59,1177500
2024-12-10,647.22,659.68,633.31,637.45,928100
2024-12-11,646.68,651.14,633.86,642.45,639200
2024-12-12,648.01,657.75,635.81,636.41,667200
2024-12-13,635.29,648.91,635.0,644.91,557700
2024-12-16,652.0,654.0,603.33,649.3,1741600
2024-12-17,642.93,648.69,632.0,635.76,1497300
2024-12-18,637.0,638.87,604.14,609.96,1614000
2024-12-19,620.54,626.58,608.0,615.68,1316300
2024-12-20,607.95,633.21,605.1,631.69,7032800
2024-12-23,634.64,642.53,616.97,624.14,626700
2024-12-24,619.67,631.78,619.07,631.25,260500
2024-12-26,630.0,630.0,620.96,623.8,525800
2024-12-27,620.95,622.46,606.55,610.98,392100
2024-12-30,601.2,607.24,591.14,604.32,648900
2024-12-31,607.17,607.17,592.28,594.32,510300
2025-01-02,604.07,612.25,588.19,596.49,516500
2025-01-03,595.36,608.95,594.18,601.06,434600
2025-01-06,604.4,606.31,543.48,570.71,1614500
2025-01-07,570.72,573.5,554.76,562.03,935300
2025-01-08,565.02,577.74,559.23,577.34,590300
2025-01-10,572.0,574.83,562.71,570.0,482800
2025-01-13,561.4,569.33,556.68,568.68,422400
2025-01-14,571.9,584.23,569.95,579.8,509000
2025-01-15,589.4,594.84,577.53,580.0,702100
2025-01-16,585.0,592.22,581.8,585.84,466000
2025-01-17,595.84,603.0,591.19,593.89,533600
2025-01-21,603.12,609.5,592.59,605.58,531100
2025-01-22,607.98,612.14,602.71,607.6,362100
2025-01-23,609.59,614.6,602.81,613.38,368600
2025-01-24,613.97,615.5,605.2,610.32,309800
2025-01-27,597.79,608.01,587.14,604.68,458300
2025-01-28,606.58,639.34,604.37,637.53,548200
2025-01-29,640.0,644.86,632.14,639.97,422400
2025-01-30,646.5,657.0,643.55,653.43,536700
2025-01-31,655.44,671.06,649.76,652.18,611300
2025-02-03,640.75,671.22,635.55,658.11,1001800
2025-02-04,657.14,674.0,652.58,662.91,511500
2025-02-05,662.91,680.97,662.91,680.52,459700
2025-02-06,680.99,684.36,661.0,677.4,559200
2025-02-07,680.0,689.54,677.93,679.24,556200
2025-02-10,684.32,686.08,672.0,677.85,432400
2025-02-11,678.48,678.48,656.72,669.26,421500
2025-02-12,656.49,668.57,652.26,665.08,495800
2025-02-13,667.75,671.44,655.07,664.7,356100
2025-02-14,662.57,686.17,648.85,683.41,694100
2025-02-18,694.02,715.99,691.86,710.01,1318700
2025-02-19,700.0,705.1,592.76,593.42,2319600
2025-02-20,581.0,584.0,521.66,541.81,2514000
2025-02-21,551.66,551.66,510.53,513.22,1454500
2025-02-24,516.51,524.35,496.19,499.73,1322600
2025-02-25,498.91,502.24,480.18,496.65,1360300
2025-02-26,584.95,600.99,558.21,572.4,2838000
2025-02-27,575.0,578.87,521.7,525.44,1453900
2025-02-28,526.97,531.36,514.04,528.45,1153700
2025-03-03,532.84,541.75,520.67,525.75,875800
2025-03-04,513.87,543.41,503.02,528.28,956100
2025-03-05,529.75,538.98,521.08,534.96,944900
2025-03-06,522.85,526.19,495.0,499.31,912300
2025-03-07,500.0,527.94,500.0,526.4,1277800
2025-03-10,508.39,522.06,501.85,515.45,1359900
2025-03-11,518.26,539.17,509.0,526.64,975300
2025-03-12,540.37,560.73,539.13,557.89,1215600
2025-03-13,558.81,569.95,530.22,534.56,760600
2025-03-14,544.55,557.45,543.88,556.26,656200
2025-03-17,552.72,563.7,549.58,554.82,664500
2025-03-18,548.7,555.58,532.52,539.99,558300
