Date,Open,High,Low,Close,Volume
2024-08-13,73.9307,75.793,73.9036,75.1602,2111400
2024-08-14,75.8292,76.0823,74.6178,74.9523,1403500
2024-08-15,77.6101,78.0621,75.8021,75.9919,2300700
2024-08-16,75.9648,77.1581,75.7749,77.0586,1919700
2024-08-19,76.8598,77.6463,76.2089,76.8778,1464100
2024-08-20,76.5162,77.0496,76.1185,76.6066,1193600
2024-08-21,77.7457,78.713,77.4203,78.6859,1902200
2024-08-22,78.0983,78.4237,77.1129,77.5197,2184200
2024-08-23,78.0079,79.7888,77.8361,79.6894,2067200
2024-08-26,79.9425,81.0634,79.3639,80.3583,3658600
2024-08-27,79.617,80.8826,79.3006,80.3493,2838900
2024-08-28,79.1741,80.3312,78.939,79.3639,4293700
2024-08-29,92.7976,93.7559,88.2775,90.5647,12091200
2024-08-30,91.0981,92.3004,89.3714,90.7636,5553100
2024-09-03,90.402,92.8971,90.1308,91.2518,3501200
2024-09-04,90.9896,91.3331,89.5522,90.3658,3301800
2024-09-05,90.6009,91.3151,89.4166,89.8686,1965400
2024-09-06,89.7692,90.7907,88.612,89.046,2463200
2024-09-09,89.2991,89.6607,87.9521,88.6753,3263700
2024-09-10,88.3408,88.4041,86.2616,87.1204,3651700
2024-09-11,86.8492,88.3408,85.7282,88.2323,3063200
2024-09-12,88.0063,88.9736,87.2289,88.368,1957100
2024-09-13,89.055,89.9138,88.5668,89.0007,1942900
2024-09-16,89.272,89.6245,87.7713,89.3081,2617800
2024-09-17,89.8324,90.6551,89.507,89.9319,2128100
2024-09-18,89.95,90.7274,89.3262,89.5612,2319200
2024-09-19,90.7751,92.1259,89.689,89.8624,2897300
2024-09-20,89.7803,89.8989,88.32,88.8037,3241800
2024-09-23,89.3239,89.6525,88.2561,89.3148,2079100
2024-09-24,89.6434,90.3553,89.3057,90.337,2047000
2024-09-25,90.1727,90.1819,89.0501,89.2966,2147000
2024-09-26,89.9537,91.4322,89.6616,91.268,2839700
2024-09-27,92.5548,93.6957,92.0072,93.3306,4033300
2024-09-30,93.6044,94.4441,93.3124,94.2798,2807000
2024-10-01,93.6592,94.0973,91.5418,92.5001,2375700
2024-10-02,91.8338,92.564,90.6473,91.0033,1782500
2024-10-03,90.2731,90.5926,88.1648,89.616,3608300
2024-10-04,90.5469,92.2171,90.045,90.912,2170900
2024-10-07,91.0945,91.3501,88.393,89.2783,3012400
2024-10-08,89.1871,90.1819,89.0684,89.7438,1988600
2024-10-09,89.6251,90.0997,89.0501,90.0267,1689900
2024-10-10,89.3422,89.7438,88.2835,89.0045,1981100
2024-10-11,89.0501,90.1636,88.5755,88.9315,2137700
2024-10-14,88.1831,88.5756,87.1153,88.4478,2321500
2024-10-15,88.6668,90.7021,88.6486,89.0501,2369600
2024-10-16,89.6616,91.0854,89.3148,90.0632,2454400
2024-10-17,90.3553,90.3553,87.6994,87.8728,2392900
2024-10-18,88.0827,88.32,87.5899,87.745,1864600
2024-10-21,87.5807,87.9002,84.8244,85.0343,2323400
2024-10-22,84.6967,85.6732,83.8387,85.582,2032500
2024-10-23,85.1621,85.7554,84.5141,85.1986,1500800
2024-10-24,85.4177,86.0018,84.8792,85.9014,1324500
2024-10-25,85.9014,86.2482,84.1125,84.5871,2022900
2024-10-28,85.1074,85.7645,83.5193,83.5467,2197800
2024-10-29,82.7526,83.2272,81.4201,82.1138,3408000
2024-10-30,82.1229,83.3459,81.7487,82.5154,2201300
2024-10-31,82.0955,82.7983,81.5023,82.5336,2670400
2024-11-01,82.6249,83.5649,82.342,82.9626,1975500
