Date,Open,High,Low,Close,Volume
2024-08-14,91.2132,91.6084,89.8391,90.1215,1221700
2024-08-15,90.8273,91.439,90.1685,90.3568,785800
2024-08-16,90.1874,90.912,89.7638,90.8273,772900
2024-08-19,90.96,91.7656,90.96,91.2254,706900
2024-08-20,91.0643,91.5192,90.1544,90.2112,536400
2024-08-21,90.6472,91.5003,90.5145,91.3012,680200
2024-08-22,91.2633,91.7467,90.6567,91.4339,587200
2024-08-23,92.0215,93.8508,91.614,93.4906,818300
2024-08-26,94.173,95.4241,93.9456,95.3767,1225800
2024-08-27,95.68,96.0023,94.3247,95.0829,907700
2024-08-28,94.7891,95.7179,93.974,95.5568,760600
2024-08-29,95.9643,96.4951,93.8318,95.7843,925400
2024-08-30,95.9359,96.1445,95.2156,96.0876,1218800
2024-09-03,95.1777,95.6706,93.557,94.1162,1097100
2024-09-04,94.6564,95.8506,94.0214,94.9787,883200
2024-09-05,95.5473,96.2108,93.5285,93.5854,977900
2024-09-06,93.3674,94.7607,92.9599,93.3011,735200
2024-09-09,93.3863,94.2583,92.2774,93.756,1061100
2024-09-10,93.7655,94.0593,90.7894,91.159,1044100
2024-09-11,91.2917,91.2917,89.5573,90.8937,968400
2024-09-12,90.8463,91.5761,90.0312,91.396,680200
2024-09-13,91.7561,92.9314,91.396,92.2964,727600
2024-09-16,93.3863,93.8792,91.7372,92.2111,993200
2024-09-17,92.5144,93.32,92.2869,92.5902,770100
2024-09-18,92.4859,93.8792,92.012,92.6092,1046600
2024-09-19,93.5759,95.2346,92.7513,95.1208,1497000
2024-09-20,94.9028,94.9313,92.5239,93.6423,5880500
2024-09-23,93.0262,93.737,91.8983,92.3533,2334900
2024-09-24,92.4575,93.7181,91.9173,91.9931,1871400
2024-09-25,92.0026,92.1542,89.7468,89.7752,1569100
2024-09-26,89.254,91.2728,89.254,90.8652,3155900
2024-09-27,91.813,93.1968,91.6993,92.6281,1380700
2024-09-30,92.5239,92.685,91.0643,91.595,1240200
2024-10-01,91.2254,93.1589,90.6093,92.5807,846300
2024-10-02,92.8745,93.6138,91.2917,91.8888,1486300
2024-10-03,91.4623,91.7561,90.306,91.6235,1021300
