Date,Open,High,Low,Close,Volume
2024-09-16,155.4516,157.4001,154.6645,156.5929,4512500
2024-09-17,157.4194,159.2883,156.829,159.0892,4347500
2024-09-18,159.3871,160.3253,158.1478,158.5331,3400000
2024-09-19,161.5028,161.5512,157.3344,158.1085,7465000
2024-09-20,157.7999,160.0742,156.8515,159.9384,11097500
2024-09-23,159.9385,161.5465,158.6272,161.2399,6342500
2024-09-24,162.4568,164.6131,160.7606,164.4072,5400000
2024-09-25,164.4072,164.5469,163.2766,164.334,4917500
2024-09-26,165.6953,168.1585,165.1679,168.0034,5347500
2024-09-27,168.0062,168.0841,166.5127,167.1833,4065000
2024-09-30,166.0833,166.4068,164.6264,165.7673,5445000
2024-10-01,166.3923,166.3923,160.7724,161.3938,5962500
2024-10-02,161.3938,162.482,160.2624,162.3391,4112500
2024-10-03,160.5678,161.8877,159.8192,161.517,3015000
2024-10-04,163.9035,165.1644,162.7055,164.8063,4190000
2024-10-07,164.3407,167.5052,163.6949,164.1026,4612500
2024-10-08,164.5032,167.6516,164.5032,166.5961,4022500
2024-10-09,166.4316,169.4135,166.3636,168.911,3847500
2024-10-10,168.7929,169.5407,167.9366,168.7622,3110000
2024-10-11,169.2258,170.349,168.3545,168.6249,3125000
2024-10-14,169.1243,169.9417,168.6001,169.1361,3495000
2024-10-15,168.3738,172.0267,168.2226,169.5316,4570000
2024-10-16,169.242,171.4266,168.3935,170.6926,3100000
2024-10-17,171.5871,172.9626,171.4698,172.011,3717500
2024-10-18,172.0109,172.2864,170.5836,171.2258,3652500
2024-10-21,170.14,172.2211,170.14,171.7335,3307500
2024-10-22,170.4746,172.9646,170.4395,172.2869,3105000
2024-10-23,171.3549,171.994,168.0688,169.7378,4445000
2024-10-24,169.229,170.8508,168.8059,170.75,3995000
2024-10-25,172.1774,172.1774,170.5702,171.1078,3740000
2024-10-28,172.3738,172.3738,170.0161,171.0987,5382500
2024-10-29,170.4934,174.7697,170.4934,174.2451,5047500
2024-10-30,172.571,176.2263,172.571,175.6773,8017500
2024-10-31,186.3058,191.1307,182.7572,184.0331,12850000
2024-11-01,183.7477,188.5144,183.7477,186.9005,12992500
2024-11-04,187.8009,189.8871,186.0795,187.9768,5000000
2024-11-05,187.7226,193.4688,187.7226,193.4283,9630000
2024-11-06,198.2162,199.1552,194.4967,196.821,6807500
2024-11-07,197.2945,197.444,193.3519,193.66,8380000
2024-11-08,193.7372,195.814,193.7372,194.5416,7060000
2024-11-11,194.2555,199.507,194.2555,199.348,4385000
2024-11-12,197.9159,198.7711,196.625,197.6762,7787500
2024-11-13,196.6955,198.1107,195.686,196.2799,4982500
2024-11-14,195.1213,196.5778,194.8832,195.6321,6052500
2024-11-15,195.5936,195.9785,194.1178,195.7978,5890000
2024-11-18,195.5696,197.9324,194.0568,197.4739,5730000
2024-11-19,196.5302,196.5302,194.2992,195.8687,5115000
2024-11-20,195.468,197.5239,193.1154,197.4208,4185000
2024-11-21,198.7664,205.1041,197.4212,205.0749,6067500
2024-11-22,204.7451,205.2748,202.3169,203.7459,6165000
