Date,Open,High,Low,Close,Volume
2024-09-10,850.1767,850.1767,833.964,847.8839,269900
2024-09-11,842.7131,842.7611,819.4206,841.4468,431900
2024-09-12,845.0059,850.4165,838.8182,849.1214,478700
2024-09-13,852.0187,855.856,846.7807,849.7067,406900
2024-09-16,852.2106,859.4631,850.5413,858.7723,380900
2024-09-17,860.854,871.9151,858.7819,867.7324,416900
2024-09-18,874.7259,892.6558,868.9124,885.1826,656300
2024-09-19,900.0906,904.3883,888.0701,896.848,625500
2024-09-20,892.8189,893.8933,887.0245,891.0153,970100
2024-09-23,892.1474,901.2515,891.0154,899.4767,396500
2024-09-24,896.0135,903.8416,892.1762,902.9494,366500
2024-09-25,904.3787,904.4939,896.5986,898.6995,476800
2024-09-26,906.5661,914.0009,901.2034,906.5853,459400
2024-09-27,907.0169,911.6984,903.784,906.7675,472500
2024-09-30,905.885,912.5811,897.9033,910.8927,362200
2024-10-01,906.8731,906.8731,881.5852,896.0327,543800
2024-10-02,901.6448,918.3467,895.0542,918.3179,368200
2024-10-03,914.7875,919.6417,910.8735,912.7921,511100
2024-10-04,921.6659,921.6659,893.1643,910.5857,491700
2024-10-07,913.2813,917.9053,899.8124,902.4121,561400
2024-10-08,912.8496,916.5047,903.9567,910.4705,389000
2024-10-09,911.3627,923.786,909.4249,917.0419,573200
2024-10-10,916.1593,924.1505,914.8354,916.7253,564400
2024-10-11,924.0354,955.77,923.9779,949.9853,927500
2024-10-14,958.5329,960.7202,948.9588,951.3859,768400
2024-10-15,957.4105,975.1101,955.6069,966.0444,618800
2024-10-16,963.3103,977.7674,963.3103,974.4385,547100
2024-10-17,981.9692,990.0276,960.9024,961.7274,684700
2024-10-18,968.4235,968.4235,957.775,966.0636,505400
2024-10-21,964.1258,967.5602,956.6527,959.8376,311200
2024-10-22,956.5566,963.0417,950.4936,960.1061,504400
2024-10-23,956.4991,967.6177,942.7039,947.9706,441400
2024-10-24,950.7336,951.6834,943.2412,943.9799,353600
2024-10-25,947.1936,947.1936,929.542,934.4537,433500
2024-10-28,942.0612,949.2082,939.1928,946.1096,329400
2024-10-29,944.9392,949.5152,939.3079,943.1836,269500
2024-10-30,945.4381,957.4105,939.1449,940.0178,427900
2024-10-31,930.7028,945.9657,930.108,941.1307,607800
2024-11-01,943.98,951.6258,940.3633,945.0161,792000
2024-11-04,939.3176,951.6641,936.3532,951.1749,512500
2024-11-05,951.6545,976.2997,951.6545,973.0955,424800
2024-11-06,1003.7076,1014.5001,959.3291,987.9362,1266900
2024-11-07,997.6928,1002.451,990.4115,993.9227,528700
2024-11-08,998.6423,1007.7176,994.5077,997.0115,454500
2024-11-11,1006.1731,1024.8896,1004.8972,1010.9793,681500
2024-11-12,1011.3247,1014.0876,991.553,994.2007,489900
2024-11-13,996.1387,1001.2039,984.4445,989.0492,408800
2024-11-14,998.3835,1015.8241,995.0162,1004.4944,1048700
2024-11-15,996.2536,1009.7034,992.9152,1004.7725,583400
2024-11-18,996.34,1010.3846,995.2081,1007.2668,563200
2024-11-19,999.6209,1001.837,985.797,986.2958,673500
2024-11-20,990.3634,994.5365,976.5971,982.9958,593700
2024-11-21,992.6466,997.1556,982.9286,986.1904,473100
2024-11-22,990.987,999.5634,986.6701,994.3063,713000
2024-11-25,1006.1828,1006.3363,988.6558,989.5385,1463700
2024-11-26,990.0757,996.0906,976.789,984.7322,772700
2024-11-27,987.6774,991.9463,976.6354,977.9881,481900
2024-11-29,979.3024,987.4566,979.3024,981.2018,390000
2024-12-02,984.7994,991.6106,971.6757,978.6212,719600
2024-12-03,989.1547,1003.7366,979.4751,996.743,941700
2024-12-04,995.7837,997.1076,971.3016,992.9057,1029500
2024-12-05,993.0021,1019.6203,991.5849,1007.2512,880500
2024-12-06,1006.9041,1015.3976,1001.0521,1005.4097,550300
2024-12-09,1012.2548,1017.8946,1005.7762,1008.7938,742600
2024-12-10,1012.1486,1026.6001,1008.3405,1019.0995,645000
2024-12-11,1023.0235,1043.568,1022.1944,1026.9955,1139700
2024-12-12,1029.8203,1035.4699,1013.4599,1020.7869,687100
2024-12-13,1018.8971,1023.3126,1014.5298,1018.5887,537300
2024-12-16,1021.3269,1033.4743,1018.5503,1026.4076,897800
2024-12-17,1018.0875,1021.6835,1000.9751,1011.5317,990400
2024-12-18,1011.5316,1022.8885,982.3586,983.6505,864900
2024-12-19,1003.1441,1003.4912,978.4926,979.8231,796300
2024-12-20,971.4453,999.5289,965.9885,991.7391,2079800
2024-12-23,989.0396,1003.9539,986.6005,1002.3535,488100
2024-12-24,1004.224,1016.9401,999.4325,1016.9401,276600
2024-12-26,1007.4634,1019.5048,1007.4634,1016.4101,292100
2024-12-27,1010.3555,1017.5282,1002.8935,1006.6727,337100
2024-12-30,995.7112,998.8348,984.7881,990.5244,591700
2024-12-31,993.7831,996.9838,982.9178,988.2878,619400
2025-01-02,993.0021,995.0266,975.6486,980.8547,604500
2025-01-03,985.4533,987.2176,973.7205,984.1615,469000
2025-01-06,988.8084,992.4333,975.157,976.3621,616200
2025-01-07,974.6846,975.6487,943.111,945.5308,970500
2025-01-08,945.0295,954.7185,940.99,950.679,778500
2025-01-10,944.5957,946.7745,914.1018,921.3132,908200
2025-01-13,912.2604,922.8653,909.455,920.7057,794100
2025-01-14,929.6813,934.7716,923.6268,928.5726,1058100
2025-01-15,983.1395,988.6154,955.4029,976.7862,1140100
