Date,Open,High,Low,Close,Volume
2024-08-12,99.127,99.9364,98.0808,98.2683,919000
2024-08-13,98.6236,98.9198,97.8735,98.6434,826100
2024-08-14,98.8211,100.0548,98.7125,99.9858,1113700
2024-08-15,100.3411,100.4793,99.1665,99.8772,1211800
2024-08-16,100.0746,100.6174,99.5811,100.5483,1458300
2024-08-19,100.5484,101.259,100.1042,101.1899,769000
2024-08-20,101.5749,101.8414,101.0122,101.5551,1159100
2024-08-21,102.4731,102.4829,101.2788,102.1177,643300
2024-08-22,102.2757,102.5224,101.7821,102.325,643100
2024-08-23,102.3645,102.404,100.5286,100.6767,935100
2024-08-26,100.7852,101.3084,100.4102,100.9037,896700
2024-08-27,101.0616,101.7624,100.8741,101.6637,591300
2024-08-28,101.9401,102.7988,101.3478,102.5323,686300
2024-08-29,102.5323,103.6575,102.0289,103.2923,924800
2024-08-30,103.4996,104.0819,102.9468,103.7661,1437900
2024-09-03,103.7661,104.3385,103.0949,103.5983,1174700
2024-09-04,103.7759,104.6445,103.6279,104.4471,748900
2024-09-05,104.5261,104.5261,102.2855,103.2725,994800
2024-09-06,103.2725,103.845,102.404,102.5915,1035700
2024-09-09,103.2725,103.7365,101.9993,102.3744,1406500
2024-09-10,102.5718,103.5391,101.7328,101.792,1439800
2024-09-11,101.4465,101.4465,98.1104,99.3935,1741500
2024-09-12,99.2948,101.032,98.7026,100.8445,1194500
2024-09-13,100.7063,101.9302,100.0746,101.792,1578100
2024-09-16,102.4731,103.3219,102.2263,102.7593,1600000
2024-09-17,102.7099,102.779,101.5354,101.8611,1007800
2024-09-18,101.9894,102.5126,100.8642,101.1801,2614100
2024-09-19,101.338,101.338,99.8574,100.1338,3374400
2024-09-20,99.9858,100.1338,98.3966,99.6995,3805200
2024-09-23,99.9561,100.9136,99.4922,100.8839,2341600
2024-09-24,100.5385,102.0388,99.7094,102.019,3376500
2024-09-25,102.6507,103.2232,101.565,102.0092,1523800
2024-09-26,101.7821,102.3842,101.1899,101.6736,1704400
2024-09-27,101.3478,101.8414,101.0715,101.3182,1460900
2024-09-30,101.6538,102.3349,100.8543,102.2559,1872500
2024-10-01,102.6507,104.2991,102.1868,103.6476,1876000
2024-10-02,103.6279,103.9141,103.1837,103.6772,1563400
2024-10-03,103.6377,104.0326,102.9073,103.2725,1431500
2024-10-04,103.5292,104.3879,103.1146,104.2793,1080900
2024-10-07,103.8746,104.23,100.2325,100.805,1857200
2024-10-08,102.0388,104.5557,102.0388,103.8845,1538300
2024-10-09,103.8549,104.99,103.4601,104.4866,1170900
2024-10-10,105.0985,105.2861,101.5058,102.325,1175200
2024-10-11,102.8975,103.7364,102.7001,103.391,739000
2024-10-14,103.8648,104.8715,103.5588,104.5656,1077700
2024-10-15,105.2367,106.2731,104.3188,104.4866,1271000
2024-10-16,104.2102,105.1973,104.0326,104.9505,1184100
2024-10-17,105.9079,106.2731,105.1183,105.5427,1378200
2024-10-18,105.9869,105.9869,104.0819,105.0097,4537600
2024-10-21,104.9702,105.1084,104.0227,104.6741,1551800
2024-10-22,104.003,104.4668,102.7692,104.0819,1769400
2024-10-23,103.7661,104.9308,103.5983,104.6445,1198000
2024-10-24,104.8321,105.1676,103.8845,103.9141,1110000
2024-10-25,104.0918,104.3089,102.5421,102.631,1157000
2024-10-28,103.5884,103.8549,101.6637,102.0092,1909500
2024-10-29,102.3447,105.523,102.019,103.6772,2454500
2024-10-30,103.9635,104.7531,103.6871,104.457,1611800
2024-10-31,103.8944,104.7235,103.2627,103.2824,1218700
2024-11-01,103.6378,104.0819,102.779,102.8185,923700
2024-11-04,103.2133,104.1115,102.7494,104.0819,797300
2024-11-05,103.9141,106.2139,103.8154,106.204,1030600
2024-11-06,112.7571,112.7571,106.2831,109.525,1725300
2024-11-07,109.6338,109.7722,108.3983,109.0704,1266000
2024-11-08,110.2169,111.9466,109.7524,111.1263,1210900
2024-11-11,111.6402,112.1542,110.385,110.553,1132200
2024-11-12,110.6419,111.66,110.5233,111.1164,749300
2024-11-13,111.146,111.6699,110.5135,110.6123,1255000
2024-11-14,110.1873,110.6617,108.1808,108.2599,1210300
2024-11-15,107.8547,109.0012,107.0837,108.7739,1501900
2024-11-18,107.7953,109.0012,107.7953,108.507,1231400
2024-11-19,107.6669,108.4773,106.9256,108.082,827300
2024-11-20,108.2006,108.675,107.2122,108.339,1031200
2024-11-21,108.6157,110.0884,108.2105,109.4657,1085000
2024-11-22,109.4756,111.1164,109.4756,110.7507,998300
2024-11-25,110.296,111.66,110.0192,110.4443,1844500
2024-11-26,110.7803,112.6385,110.4146,112.1048,1371900
2024-11-27,112.4211,112.8263,111.6205,111.8873,777600
2024-11-29,111.917,112.431,111.2053,111.7885,803900
2024-12-02,111.9071,111.9071,109.5646,110.3355,991100
2024-12-03,110.7013,110.9484,109.4163,110.0884,990500
2024-12-04,109.8809,110.5036,109.4954,109.8512,782300
2024-12-05,110.207,110.3652,109.0902,109.2681,1254400
2024-12-06,108.9617,109.4064,107.2913,107.9139,1242800
2024-12-09,106.975,107.4791,103.7725,104.4545,2024700
2024-12-10,103.6935,103.9999,100.9457,101.7364,1744000
2024-12-11,102.3295,102.9818,102.033,102.9027,1449500
2024-12-12,103.4859,103.8319,102.2603,102.458,952200
2024-12-13,102.626,103.1202,102.2109,102.9818,1208200
2024-12-16,103.0807,103.8121,102.7841,103.1795,1357100
2024-12-17,102.4481,102.6655,101.2323,101.9835,1464600
2024-12-18,102.0527,102.5766,99.6904,99.7596,1456000
2024-12-19,100.2143,101.687,100.066,101.1137,1762800
2024-12-20,101.1137,102.6556,100.7283,101.7364,2726000
2024-12-23,101.1928,101.7463,100.4515,101.6079,773000
2024-12-24,101.3411,102.7347,101.005,102.6458,338300
2024-12-26,101.7661,102.6754,101.7661,102.537,588000
2024-12-27,102.0033,102.6853,101.1928,101.6969,676500
2024-12-30,100.8172,101.2323,99.8683,100.8073,1080600
2024-12-31,100.9655,101.3707,100.3724,100.837,716000
2025-01-02,101.6969,101.6969,99.0183,99.3741,1502200
2025-01-03,99.9474,100.6887,99.2358,100.412,1066600
2025-01-06,100.4515,100.7184,99.4236,99.7497,1376800
2025-01-07,100.1352,100.9951,99.2654,99.898,1543000
2025-01-08,100.4416,101.9539,100.1253,101.3411,1387300
2025-01-10,99.9771,101.3312,99.9573,100.7678,1902000
2025-01-13,99.8683,101.7957,99.6015,101.3608,1425200
2025-01-14,101.7463,102.4678,100.8765,102.4283,1263400
2025-01-15,103.1202,103.4167,101.7167,102.4777,1082100
2025-01-16,102.8929,104.7807,102.537,104.7214,1176400
2025-01-17,104.9388,105.0871,104.0196,104.326,4131000
2025-01-21,104.7708,105.5022,104.3952,104.4644,1841200
2025-01-22,104.8203,104.8203,103.8121,103.9702,1262500
2025-01-23,103.6836,104.4545,102.3591,104.0098,1595500
2025-01-24,103.476,104.9883,103.2388,104.7708,1480200
2025-01-27,105.5121,106.8959,104.504,106.5895,2277600
2025-01-28,107.7953,107.7953,103.0214,103.8022,2664700
2025-01-29,103.0807,103.7132,101.8056,101.9736,1632500
2025-01-30,103.0807,104.3755,102.1219,104.2371,1325700
2025-01-31,103.8714,104.8005,103.2981,103.4464,1782600
2025-02-03,102.7347,104.6621,102.3394,104.3162,1497700
2025-02-04,104.415,105.2947,103.733,104.6819,1506600
2025-02-05,105.4341,105.8795,104.573,105.7014,1372400
2025-02-06,106.2359,106.7506,105.3153,106.6714,797700
2025-02-07,106.6615,107.5325,106.3349,107.4731,1934900
2025-02-10,107.2455,108.0373,106.5427,107.7998,2077200
2025-02-11,107.7899,107.9383,106.8495,107.6414,1226100
2025-02-12,106.6219,108.3541,106.5328,108.1759,1037000
2025-02-13,108.6807,109.8882,108.1363,109.7992,1466300
2025-02-14,109.6408,110.0466,108.8984,109.4725,1454000
2025-02-18,109.5814,110.8187,109.2845,110.3337,1447500
2025-02-19,110.205,111.2047,109.9278,111.1651,1187500
2025-02-20,110.6801,110.9572,109.3439,110.5118,1483100
2025-02-21,110.7395,111.1651,109.6705,110.5712,1714700
2025-02-24,110.8187,112.0361,110.4326,111.4521,1577900
2025-02-25,112.046,113.7287,111.6699,113.6,1271100
2025-02-26,113.6297,114.1642,113.0457,113.6198,1547200
2025-02-27,113.8277,115.9558,113.5406,115.3124,1324900
2025-02-28,115.9657,117.5889,115.4905,117.3316,2261900
2025-03-03,117.2227,119.1627,116.7971,118.648,2204400
2025-03-04,118.46,119.3805,117.6186,117.9552,2726100
2025-03-05,117.1831,118.9351,116.5892,118.3709,2257000
2025-03-06,117.391,117.8067,115.8667,117.4999,1939100
2025-03-07,116.9159,117.6384,114.8769,117.4405,2405700
2025-03-10,116.7872,120.014,116.6486,118.4105,2445800
2025-03-11,118.1036,118.1531,116.1438,116.7575,2337700
2025-03-12,116.7278,116.8565,114.3325,116.0844,2037200
2025-03-13,116.3715,117.2326,115.9954,116.6585,1900000
2025-03-14,117.1435,117.8958,116.4705,116.9951,2039500
2025-03-17,116.2131,118.9252,116.0449,118.8559,2053300
2025-03-18,118.648,119.5487,117.8265,117.975,1646200
2025-03-19,117.8067,118.8163,117.6681,118.6579,1446100
2025-03-20,118.4699,119.7368,117.9057,118.5788,1384500
2025-03-21,118.6876,119.1924,116.6882,117.3118,3022000
2025-03-24,118.1729,120.0635,117.8166,119.7467,1325300
2025-03-25,119.7467,120.6078,118.7965,120.1525,1138300
2025-03-26,120.6969,121.3601,120.1921,120.5287,903500
2025-03-27,121.0137,121.9837,120.1822,121.6472,1232700
2025-03-28,121.6471,121.8946,120.5881,121.6768,1650500
2025-03-31,122.3301,123.696,121.7758,123.1319,1872900
2025-04-01,122.7161,124.3988,122.0233,122.8448,2289600
2025-04-02,121.9936,123.2407,120.9048,122.9636,2024400
2025-04-03,122.1717,124.3988,121.8451,123.1616,1994600
2025-04-04,121.1424,122.8745,113.5505,113.8376,2809400
2025-04-07,112.6696,113.7881,108.3046,111.5214,3560500
2025-04-08,114.8769,115.8568,109.7002,111.2641,1892200
2025-04-09,110.0862,115.9756,108.849,115.451,2489500
2025-04-10,115.54,117.6681,113.5208,116.0646,2482700
2025-04-11,116.0844,117.6978,114.5601,117.6483,2036000
2025-04-14,118.9747,120.4594,118.0641,119.6675,1559800
2025-04-15,119.8853,120.3505,118.163,118.3115,1866000
2025-04-16,119.1726,119.6279,116.9753,117.589,1207700
2025-04-17,117.3415,117.5295,115.8865,116.025,1795500
2025-04-21,115.6489,116.1042,110.8088,112.2638,1722300
2025-04-22,114.3325,116.52,113.1843,116.3616,1525000
2025-04-23,116.52,117.8463,115.9954,116.9951,1933100
2025-04-24,116.2527,116.8169,114.8868,116.5596,1150200
2025-04-25,114.8373,115.2233,109.8882,113.2734,3085500
2025-04-28,113.8277,114.2731,112.7686,113.7089,2106700
2025-04-29,106.5823,108.453,104.2167,106.8891,3284800
2025-04-30,106.8792,109.5715,105.2857,109.4725,3337000
2025-05-01,109.9081,109.9081,107.7701,107.9086,2201600
2025-05-02,109.2251,109.7992,108.3244,109.4428,1616000
2025-05-05,108.6312,109.5715,107.78,109.2746,1584900
2025-05-06,108.9677,109.9378,108.3937,109.2548,1175400
2025-05-07,109.334,110.6801,109.334,110.0763,1372900
2025-05-08,110.789,111.7986,110.2446,110.3931,1347200
2025-05-09,110.3436,110.5811,109.5418,110.1852,922400
2025-05-12,111.553,111.553,107.9452,109.7788,1574800
2025-05-13,109.4022,110.0564,107.9849,108.0542,1645500
2025-05-14,108.2921,108.639,106.1513,107.3109,1550000
2025-05-15,107.8164,109.7194,107.3307,109.5806,1692200
2025-05-16,109.6004,110.8394,109.4914,110.7799,1320700
2025-05-19,110.9484,111.5728,110.2744,111.0078,1539700
2025-05-20,110.6907,111.6124,110.4825,111.4538,1928300
2025-05-21,111.2755,112.663,109.65,110.0068,2345100
2025-05-22,110.1455,110.3933,108.7183,109.4518,1288900
2025-05-23,109.3923,110.3735,108.7877,109.8383,1210500
2025-05-27,110.3636,111.216,109.2932,111.0871,1503500
2025-05-28,110.4528,111.3052,109.7887,109.8879,1268600
2025-05-29,109.6599,110.8394,109.4418,110.7105,1329800
2025-05-30,110.0365,112.227,110.0365,111.8999,2048800
2025-06-02,110.5817,112.4351,110.324,112.3954,1028600
2025-06-03,112.5937,112.8315,109.8185,111.6025,805600
2025-06-04,111.7809,111.8404,110.0762,110.1951,960400
2025-06-05,110.6411,110.6411,108.2426,109.0553,1302900
2025-06-06,109.9771,110.5222,109.2734,109.5905,829000
2025-06-09,109.1643,109.1643,104.8529,106.9045,1751800
2025-06-10,107.0532,107.2415,103.1382,104.5555,4275100
2025-06-11,102.3849,104.05,101.0865,103.5545,21303300
2025-06-12,104.0996,106.1513,103.4355,105.8539,8472100
2025-06-13,106.399,107.1721,105.2097,105.6755,7837700
2025-06-16,105.8539,106.5774,105.1502,106.181,3467900
2025-06-17,105.5962,107.856,105.3682,107.1622,4505600
2025-06-18,107.3902,108.0344,106.855,107.3307,3705500
2025-06-20,107.8263,108.8174,107.182,107.6776,4338300
2025-06-23,107.9254,109.9771,107.3406,109.9374,4046600
2025-06-24,110.0762,110.1158,107.8857,109.9671,3772200
2025-06-25,109.5905,109.9176,107.0036,107.4199,3104100
2025-06-26,107.6677,108.6093,106.9243,108.302,4156700
2025-06-27,108.3813,109.8185,108.1831,108.6093,12691500
2025-06-30,108.4111,110.1059,108.193,109.8879,3814000
2025-07-01,109.9969,110.0266,106.7162,107.965,5379800
2025-07-02,107.3505,107.8263,105.0313,106.855,10207700
2025-07-03,107.7371,107.7866,106.736,107.7371,2979800
2025-07-07,107.4298,107.6974,106.3693,106.855,3500800
2025-07-08,106.0422,107.073,105.8539,106.2999,3346700
2025-07-09,106.4585,107.2712,105.6854,107.1721,2739300
2025-07-10,107.0235,107.4001,106.1017,106.855,3007500
2025-07-11,106.7658,106.9838,105.6259,105.8043,2415800
2025-07-14,105.9927,107.2712,105.3881,107.0235,2146100
2025-07-15,106.6369,107.1226,105.2691,105.3088,2251400
2025-07-16,105.7746,105.7845,103.4752,104.0401,3438100
2025-07-17,103.8122,104.1293,102.8706,103.2076,3340000
2025-07-18,103.3067,104.0401,102.6624,102.9201,1973200
2025-07-21,102.6327,103.1481,101.5325,101.5821,2133900
2025-07-22,101.6416,102.6624,101.4532,102.3254,1938800
2025-07-23,102.6525,102.712,101.4929,102.266,2730600
2025-07-24,101.7803,102.6823,101.7803,101.8695,3160900
2025-07-25,102.2858,103.3265,102.2263,102.4642,3136300
2025-07-28,103.1778,103.1778,101.5623,101.6713,4150100
2025-07-29,96.4183,97.231,90.739,91.0958,10471500
2025-07-30,93.1673,93.6629,90.7985,92.1167,7490300
2025-07-31,91.1652,92.1662,90.1939,90.5606,5835200
2025-08-01,91.185,91.7202,89.7479,91.4229,3540400
2025-08-04,91.4328,92.305,91.0859,91.8788,3981600
2025-08-05,91.8293,92.2654,90.7886,90.8579,3319200
2025-08-06,90.739,91.0463,89.5794,90.9868,3344200
2025-08-07,91.2445,92.3149,90.6994,91.6905,4129300
2025-08-08,92.0374,92.9492,91.5914,92.8204,3643500
2025-08-11,93.1177,93.8314,92.8799,93.762,2980000
2025-08-12,93.9107,94.1089,93.0385,93.9206,2642900
2025-08-13,93.9404,95.4196,93.7518,95.2111,2550500
2025-08-14,95.4593,95.4593,93.8809,94.4368,2597800
2025-08-15,94.9232,95.499,94.5261,94.6452,3943600
2025-08-18,94.675,94.9034,93.9007,94.2581,2878600
2025-08-19,94.7544,96.2038,94.6452,96.174,1518700
2025-08-20,96.1542,97.5837,95.8961,96.0847,2573700
2025-08-21,95.8166,96.2733,95.082,95.6975,2248200
2025-08-22,96.3229,96.6803,95.8266,95.9556,1593800
2025-08-25,95.4791,97.0178,95.0026,96.0152,2732000
2025-08-26,95.8464,96.1442,94.6155,95.3501,3824500
2025-08-27,95.3004,96.2832,95.2309,95.3997,2120000
2025-08-28,95.3302,95.5685,94.4566,95.5188,1548800
2025-08-29,95.6975,96.7796,95.5883,96.2435,1755300
2025-09-02,96.0847,96.4421,93.7816,94.7346,2455900
2025-09-03,94.5758,94.7445,93.9007,94.5956,1768500
2025-09-04,94.7346,94.9033,93.6823,94.7941,2188700
2025-09-05,94.7644,95.4295,93.4639,94.0993,1378800
2025-09-08,93.9801,94.7644,93.3448,94.6552,2518200
2025-09-09,94.4467,94.5758,92.7591,92.7889,1767900
2025-09-10,92.1635,92.8087,91.3693,91.8259,2710600
2025-09-11,91.816,93.6228,91.816,93.5533,3147200
2025-09-12,93.1462,93.7717,92.7789,92.8584,1463600
2025-09-15,92.7492,93.2455,90.1284,90.2177,1910300
2025-09-16,89.9696,90.8034,89.3342,90.2575,2231000
2025-09-17,90.9027,92.6201,90.9027,91.5381,3282800
2025-09-18,91.0219,92.223,91.0219,91.2005,3189400
2025-09-19,91.6473,91.7862,90.6347,91.0616,6468400
2025-09-22,90.9424,91.9649,90.6446,91.9252,3422300
2025-09-23,91.7167,92.362,90.8829,91.5182,2210400
2025-09-24,90.8829,92.8286,90.8034,92.5407,2557700
2025-09-25,92.8683,93.315,91.131,91.9748,2001300
2025-09-26,92.4712,93.4341,92.1138,93.0966,2042700
2025-09-29,93.0966,93.0966,92.0543,92.3421,2358400
2025-09-30,92.0642,93.6029,91.548,93.1065,2744900
2025-10-01,93.4341,93.4739,91.8557,92.0841,2592500
2025-10-02,91.9252,93.186,90.9424,92.769,2107800
2025-10-03,92.5407,94.5658,92.2131,94.2581,1571400
2025-10-06,93.7319,94.139,93.2157,93.7518,2155700
2025-10-07,93.9206,94.9033,93.9206,94.8537,2526700
2025-10-08,94.9431,95.8464,94.3276,95.2607,2734700
2025-10-09,95.1118,95.3302,94.1985,94.8041,2977700
2025-10-10,95.3004,95.4295,94.3276,95.2409,3240900
2025-10-13,94.2779,94.9927,93.7717,93.7915,3021400
2025-10-14,93.8709,94.268,93.1165,94.0794,1902400
2025-10-15,93.2058,94.5559,92.4911,93.2852,1831200
2025-10-16,91.7763,92.233,86.7532,86.783,4699200
2025-10-17,86.8227,87.7062,86.6241,87.2694,3279400
2025-10-20,87.2694,87.2992,86.1575,86.8822,2264500
2025-10-21,87.2297,88.5996,86.644,87.6367,3970700
2025-10-22,86.9021,88.6989,86.6638,88.55,2820000
2025-10-23,89.4534,89.8008,87.6764,88.1231,2572800
2025-10-24,88.282,88.6096,87.329,87.3587,2063900
2025-10-27,87.8352,88.4011,86.6142,87.1205,3667600
2025-10-28,86.1178,86.1178,80.7969,81.7797,7393600
2025-10-29,81.7995,81.7995,79.0994,79.7149,5728900
2025-10-30,79.695,80.9657,79.6751,79.8637,4075300
2025-10-31,78.8413,79.7545,78.7221,79.1589,4256900
2025-11-03,78.2059,78.3747,76.3992,77.2529,4180900
2025-11-04,77.0147,78.5236,77.0147,78.4144,4574800
2025-11-05,78.3895,78.7874,77.4246,77.4345,2866700
2025-11-06,76.579,77.3649,75.7732,76.0219,2429000
2025-11-07,76.4397,78.5885,76.1811,78.1309,2560800
2025-11-10,77.4843,78.6681,76.5591,78.101,2908600
2025-11-11,78.4094,79.7623,77.8424,79.6231,2221400
2025-11-12,79.4738,80.2498,79.1257,79.7822,2495900
2025-11-13,79.7822,80.9561,79.4838,79.643,2505600
2025-11-14,79.9812,81.0556,79.255,80.2796,2521400
2025-11-17,80.2896,80.7273,79.6032,80.2896,2446200
2025-11-18,80.7173,81.6027,79.1953,79.5136,2602200
2025-11-19,79.6728,80.4885,77.6832,78.3995,2291200
2025-11-20,78.1607,79.5733,77.9518,79.2052,2741500
2025-11-21,79.5833,80.7571,78.8173,79.9016,2297400
2025-11-24,79.9016,79.9812,78.5885,78.8372,2783800
2025-11-25,79.2948,80.1304,78.9764,80.0906,1744400
2025-11-26,80.1602,80.8964,79.633,80.0309,1365300
2025-11-28,80.0309,80.6974,79.6827,80.011,1051100
2025-12-01,79.9812,81.8216,79.9812,80.7571,3065900
2025-12-02,80.9063,81.2943,79.3246,79.4241,2030100
2025-12-03,79.5435,80.2199,78.8869,79.2351,1681700
2025-12-04,79.4639,80.0906,78.6581,79.2251,2249500
2025-12-05,79.434,79.444,77.2256,77.9618,2123900
2025-12-08,77.5439,78.0314,76.6984,77.2356,2813900
2025-12-09,78.0115,78.6382,77.2654,78.0016,2395100
2025-12-10,77.8026,78.1408,76.4099,77.1062,2144400
2025-12-11,77.6434,79.3744,77.6434,79.1356,2603400
2025-12-12,79.3943,81.2645,79.1456,81.1948,2675600
2025-12-15,81.3142,81.9509,81.0854,81.9011,2715500
2025-12-16,82.0304,82.1498,79.9812,80.5482,2824900
2025-12-17,80.1801,81.3142,79.822,80.2,1842000
2025-12-18,80.0309,81.0954,79.6231,80.6477,2192700
2025-12-19,80.4388,81.1451,79.7225,79.7623,7216300
2025-12-22,79.434,80.7472,79.3545,79.9513,2790200
2025-12-23,80.0807,80.1105,78.7576,79.5435,2948700
2025-12-24,79.434,80.5184,79.2351,80.399,1109200
2025-12-26,80.0906,80.5781,79.9215,80.3592,1105900
2025-12-29,80.5383,81.0456,80.2,80.4388,1651800
2025-12-30,80.21,80.6178,79.5932,79.8021,2185600
2025-12-31,79.5534,80.021,79.1058,79.2848,1760100
2026-01-02,79.3545,79.3545,76.9471,77.2157,2651600
2026-01-05,76.8973,80.0508,76.7481,79.5037,3968900
2026-01-06,79.1853,80.3393,78.9168,79.8519,2909100
2026-01-07,79.7325,80.4786,77.4544,78.3995,2401700
2026-01-08,79.066,80.8268,78.1806,80.1702,3004800
2026-01-09,80.2498,80.4786,79.2351,80.2199,2231900
2026-01-12,80.2199,80.3393,78.6482,79.1953,2923100
2026-01-13,79.1257,79.5634,77.5439,78.6482,2879900
2026-01-14,78.8073,80.0011,78.4094,79.0162,2838500
2026-01-15,78.9665,79.4738,78.1309,79.3346,2101500
2026-01-16,78.9864,79.7922,78.5885,79.5932,1978900
2026-01-20,79.1157,79.5435,78.1806,78.6979,2951100
2026-01-21,78.8073,79.5634,75.9125,77.6633,2914400
2026-01-22,77.2157,78.29,77.1162,78.2105,2747400
2026-01-23,77.5837,78.9267,77.5837,78.7675,2734400
2026-01-26,78.9366,79.7922,78.3696,79.2052,2836000
2026-01-27,73.913,75.7832,72.7192,73.7339,6471300
2026-01-28,72.9778,74.2412,71.4359,71.7244,3600000
2026-01-29,72.3312,73.6643,71.1076,71.7244,3512500
2026-01-30,71.8935,72.2119,70.9485,71.7244,4472300
2026-02-02,71.8836,72.7292,70.5506,70.9286,3096800
2026-02-03,70.6301,71.8736,70.083,71.5851,3553900
2026-02-04,71.5503,74.5415,71.1215,73.8136,3065900
2026-02-05,74.6512,75.06,72.2083,72.4576,3121900
2026-02-06,72.8165,73.9034,72.6969,73.5643,2275000
2026-02-09,73.2951,73.7737,68.2599,68.4693,5035400
2026-02-10,68.908,69.8552,67.2329,67.4124,5264500
