Date,Open,High,Low,Close,Volume
2024-08-21,124.6968,126.3155,123.2559,126.0816,1945200
2024-08-22,126.0722,126.7833,124.9307,126.119,1795500
2024-08-23,127.1763,131.6395,126.9892,130.3202,4886900
2024-08-26,131.3214,133.0991,130.8255,132.8278,3795200
2024-08-27,131.6208,133.174,131.5272,132.1635,3870800
2024-08-28,131.733,132.9213,130.3108,131.0687,2548600
2024-08-29,131.4898,132.4348,130.7319,131.5365,2744900
2024-08-30,132.2477,133.5108,129.7026,133.2021,3421600
2024-09-03,132.3319,132.8184,128.1681,129.2535,2339700
2024-09-04,128.795,130.0301,127.8032,128.9822,1703600
2024-09-05,129.7494,131.8266,128.8699,129.3751,2234600
2024-09-06,129.6933,131.0874,126.905,128.2991,2577900
2024-09-09,129.8055,131.7237,129.5529,130.7786,2133700
2024-09-10,131.2652,133.333,129.2816,133.0617,2684700
2024-09-11,132.7623,134.2032,129.3471,134.0535,3148600
2024-09-12,134.7833,137.5248,133.5295,137.0757,3540500
2024-09-13,138.4792,142.1003,138.2453,141.464,4681200
2024-09-16,141.8102,145.1973,141.1552,144.6172,4426400
2024-09-17,145.3564,146.395,143.8406,145.0757,3923400
2024-09-18,145.3096,147.6113,142.8675,144.9634,3921300
2024-09-19,149.5202,149.9319,145.8897,149.3892,4707700
2024-09-20,149.5576,150.8769,147.6769,147.9482,5540500
2024-09-23,148.6967,149.9038,146.4324,147.0968,3485300
2024-09-24,147.1342,147.9856,146.133,147.4149,2227500
2024-09-25,146.8067,147.7517,142.4277,142.9424,3918400
2024-09-26,144.6547,145.057,142.4184,143.5974,3155400
2024-09-27,144.3178,145.8336,143.7564,144.9728,2170600
2024-09-30,144.0184,144.4956,141.4734,143.2792,3110200
2024-10-01,143.2605,143.2605,140.2383,142.0816,2949700
2024-10-02,141.1178,143.5318,141.1178,142.4184,1862800
2024-10-03,141.9692,142.7271,140.154,141.4733,2109500
2024-10-04,143.2044,143.6722,140.5283,142.147,2073700
2024-10-07,141.4453,142.0629,138.7599,139.4804,2101100
2024-10-08,140.388,140.7529,138.8535,139.8266,1578000
2024-10-09,138.4792,139.8827,137.5155,138.8722,2847300
2024-10-10,138.4325,140.5471,137.7681,139.443,2460700
2024-10-11,140.3693,143.5786,140.1447,143.195,2205400
2024-10-14,144.0465,145.7868,143.6816,145.4874,2576800
2024-10-15,146.4792,147.4149,145.1318,146.264,2615800
2024-10-16,147.2558,150.0722,146.9564,149.4359,3962000
2024-10-17,153.7774,161.1692,153.7213,158.8113,9088800
2024-10-18,160.5517,164.6219,159.1201,161.2722,5749100
2024-10-21,160.4675,162.9564,159.4382,159.7845,3386700
2024-10-22,159.5225,159.9154,156.1728,157.6605,2926500
2024-10-23,157.5388,159.485,154.423,156.1821,3167400
2024-10-24,159.5692,160.9259,157.1552,158.7458,3531200
2024-10-25,159.5692,160.1587,156.3318,156.7248,2831000
2024-10-28,158.6716,160.5056,157.9757,159.8567,2141300
2024-10-29,158.8597,159.819,158.145,159.7062,2313600
2024-10-30,159.7344,162.9509,159.5933,161.3332,2500700
2024-10-31,160.3457,161.0699,157.6183,157.7688,3473000
2024-11-01,158.7375,161.352,157.8252,158.1355,3453200
2024-11-04,157.9098,158.9444,156.706,157.101,2383500
2024-11-05,156.8095,159.5463,156.2734,159.5275,2609600
2024-11-06,164.6344,167.691,162.3114,165.8853,6852200
2024-11-07,165.6125,166.459,163.6375,165.81,2865900
2024-11-08,165.6501,168.0014,165.3398,166.901,2768300
2024-11-11,168.8196,173.0142,168.3776,172.2618,2998400
2024-11-12,171.3213,171.7728,167.4277,169.9106,2939600
2024-11-13,170.4843,172.1114,169.6661,170.757,2728000
2024-11-14,171.2555,173.3716,169.92,170.4279,2417200
2024-11-15,169.4215,172.1208,169.0736,170.616,2893600
2024-11-18,169.9858,172.1866,168.782,172.1208,2083100
2024-11-19,170.2304,175.2338,170.0893,173.9077,2625500
2024-11-20,173.9924,175.9862,172.0361,174.0206,2828700
2024-11-21,175.4031,183.0588,173.9924,182.4663,4400600
2024-11-22,183.0023,188.0528,181.8079,187.2064,4504300
2024-11-25,188.0999,189.0027,181.5634,181.6292,6691800
2024-11-26,181.4976,181.5634,179.372,180.2561,3205500
2024-11-27,181.507,182.6732,177.3029,177.7732,2361300
2024-11-29,180.0962,180.5288,179.071,179.72,1460400
2024-12-02,180.3125,181.0555,175.6947,175.9204,2712700
2024-12-03,176.1743,177.3594,174.1805,175.0928,2643800
2024-12-04,174.9423,175.8451,173.7008,174.4626,2658200
2024-12-05,174.9329,177.9519,174.7166,176.0615,2264000
2024-12-06,176.3718,177.7073,175.5442,175.8734,2361100
2024-12-09,178.4879,180.0962,173.3716,174.3215,3376600
2024-12-10,174.5096,180.209,173.9735,178.2904,3786600
2024-12-11,180.4348,182.4568,179.673,180.9615,3556200
2024-12-12,179.6354,179.9833,176.5693,178.977,2829500
2024-12-13,179.1557,180.7357,177.0302,177.2089,3658100
2024-12-16,177.9518,178.3845,176.6351,177.2465,2945500
2024-12-17,176.005,176.353,172.0643,172.2148,4278200
2024-12-18,172.0268,173.0519,161.4367,161.4837,5063000
2024-12-19,163.882,164.2018,158.4741,158.8597,7802700
2024-12-20,157.2139,162.9603,156.1699,160.6749,10917100
2024-12-23,160.0542,162.4995,159.0761,161.9446,3299000
2024-12-24,163.0356,165.9793,161.9446,165.2363,1584700
2024-12-26,163.882,166.5906,163.882,165.9605,1438500
2024-12-27,164.277,165.7912,162.396,163.6563,3124200
2024-12-30,161.6812,162.6499,159.1325,161.8129,1899100
2024-12-31,162.8286,163.2613,161.2392,162.1609,2181300
2025-01-02,162.8192,164.5498,160.8442,163.4118,2393000
2025-01-03,164.5874,165.6596,163.1202,165.4433,1600600
2025-01-06,167.3995,167.9261,164.1547,164.3898,2203100
2025-01-07,164.5874,165.5467,158.4459,161.1451,2729100
2025-01-08,160.7313,163.835,159.8849,163.6187,2237200
2025-01-10,161.4555,161.4555,154.9566,155.0413,5077900
2025-01-13,152.502,156.1229,151.1664,155.9066,3274800
2025-01-14,156.9411,160.5902,156.2733,159.2453,2686900
2025-01-15,166.2144,166.9104,163.9949,164.719,3437900
2025-01-16,164.9542,166.8728,164.183,166.205,3061700
2025-01-17,167.4747,169.3839,167.1079,169.2428,3442200
2025-01-21,171.0298,171.9891,170.0328,170.7194,3220900
2025-01-22,170.8605,172.5252,168.7444,171.8951,3042600
2025-01-23,171.6693,174.5943,171.6129,174.4814,2146800
2025-01-24,173.8889,176.7668,173.8889,175.6288,2326000
2025-01-27,170.9828,172.0361,168.6315,171.6599,4110700
2025-01-28,171.011,175.4125,169.7413,174.5473,2514200
2025-01-29,173.9923,176.5881,173.5221,174.3497,3086200
2025-01-30,176.8139,177.6133,165.6313,167.202,5636400
2025-01-31,170.014,170.7006,166.0922,166.5718,3007000
2025-02-03,162.1703,165.0388,160.12,163.2142,2941700
2025-02-04,163.4494,165.2175,159.283,160.6655,3848900
2025-02-05,161.3144,164.6438,158.9444,164.4463,3228300
2025-02-06,166.0452,167.202,161.9634,164.1642,3302200
2025-02-07,163.9196,164.6344,159.0949,160.1388,4117000
2025-02-10,161.7987,163.7811,157.8054,159.9301,2333600
2025-02-11,157.9572,158.8583,154.3718,156.2973,3807600
2025-02-12,153.5181,153.7268,151.327,152.6076,4877700
2025-02-13,153.4328,154.6089,150.3027,152.2187,4751900
2025-02-14,153.4233,157.3122,152.949,156.3542,4179200
2025-02-18,156.3732,158.8298,156.3542,158.1564,3788100
2025-02-19,157.3502,159.3326,156.4775,158.2607,3162600
2025-02-20,158.2608,158.9816,153.613,155.4626,3199000
2025-02-21,156.506,156.6483,149.6197,150.2268,4663300
2025-02-24,151.3176,151.9151,147.0018,148.9842,2839600
2025-02-25,149.7051,149.9327,145.2755,149.136,4872800
2025-02-26,150.2268,153.6509,149.8663,151.2512,2938100
2025-02-27,151.6875,153.3379,149.2213,149.2877,2736700
2025-02-28,149.7335,153.0249,148.7186,152.8636,4300600
2025-03-03,153.9639,155.235,149.1075,150.369,3267200
