Date,Open,High,Low,Close,Volume
2024-08-21,215.1397,218.1708,214.5296,217.8319,546000
2024-08-22,218.0546,218.8197,215.7982,218.074,1171700
2024-08-23,219.8655,223.7488,219.3523,222.4802,731800
2024-08-26,222.9463,224.6747,222.0044,222.6647,1508700
2024-08-27,222.1695,223.6746,219.7128,220.4119,951500
2024-08-28,220.6547,221.7714,217.4503,217.9941,784900
2024-08-29,218.8097,219.3632,215.3529,216.6541,793800
2024-08-30,217.9747,220.0721,216.625,219.1011,1437100
2024-09-03,218.0135,218.8097,210.3619,211.362,710700
2024-09-04,210.3133,212.4884,208.0217,208.2645,810300
2024-09-05,208.2839,209.6919,206.8177,208.5946,774400
2024-09-06,209.051,210.1774,205.5747,206.0603,709000
2024-09-09,207.2837,208.6723,205.633,207.9343,623100
2024-09-10,206.7399,209.8278,206.1573,209.6044,745800
2024-09-11,209.7598,209.8958,201.7877,209.5462,744100
2024-09-12,209.9832,212.4593,208.4975,212.3039,534600
2024-09-13,213.5565,215.7316,213.139,213.7701,509700
2024-09-16,213.8769,215.3238,212.3427,215.0325,535400
2024-09-17,215.0325,219.0331,214.3916,216.8483,556300
2024-09-18,217.6445,219.2953,214.8965,215.1976,528100
2024-09-19,220.1983,221.8782,216.7415,221.2664,643000
2024-09-20,224.1698,224.1698,217.0522,218.7709,1749900
2024-09-23,219.4118,219.6351,216.7123,217.6154,717500
2024-09-24,217.5668,218.266,215.8578,217.7805,576900
2024-09-25,217.6736,217.6736,214.4984,214.8674,506900
2024-09-26,217.5183,222.3831,216.9454,222.0044,1042500
2024-09-27,222.1598,222.3637,219.1884,219.9847,386800
2024-09-30,220.0915,220.5673,217.4018,219.7419,517800
2024-10-01,217.0037,217.0231,208.983,211.498,1181400
2024-10-02,211.1969,214.4984,209.6142,212.9933,502000
2024-10-03,211.5465,214.1003,210.4687,211.9349,316400
2024-10-04,215.3238,215.9647,212.1971,215.2655,499900
2024-10-07,213.2944,215.1296,212.5272,214.1003,416700
2024-10-08,214.2848,217.5571,213.2264,217.1299,668800
2024-10-09,217.3921,220.2177,216.8871,219.1593,422300
2024-10-10,217.3921,218.8486,215.0713,215.2655,992300
2024-10-11,216.0617,216.7317,212.9059,215.5665,930900
2024-10-14,215.2461,217.9941,214.0517,217.0036,738000
2024-10-15,216.7026,217.8485,212.7991,213.7507,959500
2024-10-16,214.5664,215.3044,213.2749,213.7799,820900
2024-10-17,215.6054,215.8967,213.5954,214.7703,1176500
2024-10-18,215.6054,215.7316,211.6533,211.9835,933600
2024-10-21,211.3426,214.3236,210.0997,213.9643,901700
2024-10-22,212.7603,212.7603,210.1774,210.7891,543500
2024-10-23,209.8569,212.1,209.6627,211.3426,608600
2024-10-24,212.2553,214.4013,211.2261,212.8088,550600
2024-10-25,213.5274,214.3139,210.6532,210.7211,981400
2024-10-28,209.1287,214.1197,209.1287,212.168,1216700
2024-10-29,211.3911,214.9645,211.1969,213.5274,1922200
2024-10-30,194.408,204.8562,188.844,189.4072,3020400
2024-10-31,188.9412,188.9412,182.6684,182.7752,2077300
2024-11-01,182.5518,185.2222,182.2897,182.9208,1502600
2024-11-04,183.2898,186.8729,182.8723,185.562,1185500
2024-11-05,186.3485,187.5817,185.2416,187.3972,1205300
2024-11-06,195.9616,198.3212,190.9997,196.9132,1717000
2024-11-07,196.486,198.8261,196.3597,197.02,1342200
2024-11-08,196.2529,196.5151,192.1164,194.0779,936000
2024-11-11,193.4952,193.7768,191.4464,192.0775,1813800
2024-11-12,190.8929,191.058,185.9213,186.3485,1424600
2024-11-13,185.4358,185.863,180.3185,180.6195,2535000
2024-11-14,180.6195,181.0662,175.1235,175.5314,2341100
2024-11-15,176.4441,176.8908,170.8413,172.4824,2703500
2024-11-18,172.9776,174.9585,171.4919,172.9096,1356400
2024-11-19,171.1326,171.9483,168.3458,169.0061,1841200
2024-11-20,169.4334,171.0647,167.938,170.8899,1317600
2024-11-21,171.3365,174.0845,170.3364,173.0067,1503600
2024-11-22,172.9193,174.7837,172.1328,173.7738,1573600
2024-11-25,176.3122,178.3195,175.1819,176.702,2267200
2024-11-26,176.1173,177.082,172.8237,173.2525,1792800
2024-11-27,172.9699,174.49,171.2647,172.2294,1655700
2024-11-29,172.7458,173.6033,171.3134,171.4303,958000
2024-12-02,171.2939,176.4778,171.0795,176.0004,1618200
2024-12-03,175.1039,175.7275,172.5217,175.0357,1264000
2024-12-04,175.8932,176.1563,173.1453,173.7202,826400
2024-12-05,174.2269,174.987,172.6873,173.7397,1366100
2024-12-06,174.8408,176.1465,173.7592,175.4547,970600
