Date,Open,High,Low,Close,Volume
2024-08-05,96.6137,98.4581,96.3502,97.5115,2867900
2024-08-06,97.6969,99.8146,97.5213,98.8778,1735400
2024-08-07,98.868,100.3221,98.3215,99.1413,1495200
2024-08-08,98.6923,99.9805,98.624,99.7463,1097700
2024-08-09,99.7853,100.1171,98.7899,99.7853,1451000
2024-08-12,99.3755,99.4145,97.5505,98.3801,1120300
2024-08-13,98.4386,98.7802,97.3554,97.7652,1709800
2024-08-14,97.5701,98.3605,97.5701,98.058,811800
2024-08-15,98.4925,98.8644,96.8973,97.8564,965100
2024-08-16,97.8173,98.0522,96.9463,97.876,1843900
2024-08-19,97.7781,98.4436,97.6509,98.0228,1143100
2024-08-20,97.8466,99.481,97.6802,99.4614,1170200
2024-08-21,99.4027,100.6456,99.4027,100.1954,816900
2024-08-22,100.949,101.0762,100.2248,100.4499,923700
2024-08-23,100.4499,100.6945,99.0504,99.9801,865800
2024-08-26,99.8235,100.5673,99.5691,99.6376,760900
2024-08-27,99.7942,99.8529,98.6002,98.9917,847200
2024-08-28,99.7257,99.7257,98.4925,99.4027,1044500
2024-08-29,99.5789,99.6082,98.5023,98.6198,724400
2024-08-30,98.7666,99.8039,98.6883,99.7061,1437800
2024-09-03,99.7844,103.4641,99.6082,103.0433,1888600
2024-09-04,103.2586,104.2079,102.8378,103.9535,1501300
2024-09-05,103.9828,104.1981,102.5736,103.2391,1861500
2024-09-06,103.3271,103.9535,102.6225,102.9357,1350300
2024-09-09,102.0157,103.3761,101.3405,103.3467,1948000
2024-09-10,103.3271,104.3352,102.1919,103.6795,1449000
2024-09-11,103.3858,103.7284,100.5967,101.0566,1489200
2024-09-12,100.8217,101.5949,100.0388,101.3404,1257700
2024-09-13,101.1154,102.0255,100.7728,101.82,1034900
2024-09-16,102.0744,103.0825,102.0744,102.9748,1114200
2024-09-17,101.8787,102.8476,101.4579,101.6047,1303600
2024-09-18,101.4872,101.9179,99.7159,100.4205,1522600
2024-09-19,100.2052,100.9588,99.3929,99.4125,1159500
2024-09-20,99.4223,101.6243,99.4223,101.1936,4692100
2024-09-23,100.6847,101.9277,100.3226,101.3111,1428000
2024-09-24,101.3698,102.3778,100.8022,100.9392,1573600
2024-09-25,101.7711,102.0157,100.626,100.7435,904800
2024-09-26,100.4695,101.4579,100.0291,100.7141,1497100
2024-09-27,100.8805,102.2506,100.7435,102.1625,1359000
2024-09-30,102.8574,103.1901,101.9081,102.4855,1482200
2024-10-01,102.368,102.9063,101.5264,102.2506,1826400
2024-10-02,102.28,102.505,100.5673,101.0566,1107400
2024-10-03,100.9294,101.1154,99.0993,99.1776,1537200
2024-10-04,98.5708,99.1776,98.2577,98.884,1037100
2024-10-07,99.1385,99.1385,96.9169,96.9756,1470000
2024-10-08,96.8875,98.0913,96.5254,97.9445,1102500
2024-10-09,98.2381,98.8742,97.9151,98.4827,923800
2024-10-10,98.6295,98.9036,97.7781,98.0815,948100
2024-10-11,98.2185,99.4908,97.9836,99.4418,1119700
2024-10-14,99.7844,101.1447,99.2559,100.9588,1040100
2024-10-15,101.5949,102.9063,101.3404,102.1234,1332800
2024-10-16,101.1056,102.5638,100.7924,102.4268,1059500
2024-10-17,102.6323,103.1412,101.82,102.7106,1052200
2024-10-18,102.691,102.9063,101.5753,102.1136,1520100
2024-10-21,101.9374,102.5442,101.1056,101.6928,939700
2024-10-22,100.8218,101.3894,99.6669,100.4988,1183000
2024-10-23,100.3716,100.538,99.481,100.3716,891400
2024-10-24,100.8218,101.1741,100.0486,100.4303,1044300
2024-10-25,100.0095,100.5967,98.3653,98.6883,1159800
2024-10-28,99.1385,99.4223,98.3947,98.8938,1737000
2024-10-29,98.5415,99.2657,98.0424,98.4827,1378000
