Date,Open,High,Low,Close,Volume
2024-08-07,95.3218,96.2918,93.7949,93.891,1342400
2024-08-08,94.2079,95.5427,93.3532,94.6592,1662200
2024-08-09,95.0818,95.1106,93.9966,94.6016,745100
2024-08-12,94.3615,94.8513,93.6413,94.784,818700
2024-08-13,94.1599,94.7072,92.5465,94.3615,1169300
2024-08-14,94.3615,94.544,93.4972,93.9102,798700
2024-08-15,94.7168,96.0133,93.8237,93.9582,771900
2024-08-16,94.0446,95.5523,93.3436,95.2834,1227200
2024-08-19,95.2738,97.0888,94.6016,97.0408,1153300
2024-08-20,96.9928,96.9928,95.0818,95.245,770200
2024-08-21,95.7156,96.9928,95.2546,96.6759,755700
2024-08-22,96.6279,97.4922,96.5799,97.3097,663600
2024-08-23,97.2137,98.03,97.0985,97.7515,605000
2024-08-26,98.3277,98.5965,97.5786,98.2508,628600
2024-08-27,98.4045,99.6337,97.8283,99.4897,849900
2024-08-28,99.4416,99.8738,98.5965,99.8354,915300
2024-08-29,100.1043,100.498,98.8174,98.9231,1028800
2024-08-30,99.3648,99.7489,98.7022,99.4032,1640900
2024-09-03,99.1535,99.9698,98.4333,99.4993,1109300
2024-09-04,99.5185,100.2579,99.0959,99.9986,1213400
2024-09-05,100.0754,100.3539,97.1657,98.126,1034700
2024-09-06,98.4255,99.0535,96.5414,97.3917,1148400
2024-09-09,97.4497,99.0922,97.4497,97.6526,1032200
2024-09-10,97.5656,98.039,96.7733,97.6526,859300
2024-09-11,97.4207,97.4303,95.6042,96.6864,876100
2024-09-12,96.6187,97.2468,95.0632,96.097,974000
2024-09-13,96.3579,97.0052,94.4641,96.6864,744200
2024-09-16,96.725,97.2758,95.7202,96.9183,1049000
2024-09-17,97.4303,97.9907,95.8748,96.8699,1460200
2024-09-18,97.1888,100.1357,96.6091,98.5898,1649100
2024-09-19,99.5076,100.3386,98.7733,100.1357,1514800
2024-09-20,99.2661,101.0535,97.498,100.6767,7034200
2024-09-23,100.6767,103.2468,100.5415,102.8507,2095000
2024-09-24,102.6671,105.2951,102.155,105.1888,1678200
2024-09-25,105.1888,105.5463,103.8458,104.3676,1115000
2024-09-26,104.8893,105.6333,103.5946,103.9038,1137100
2024-09-27,104.8217,105.0149,103.9328,104.6767,982100
2024-09-30,105.2565,106.7734,104.8507,106.6381,1474800
2024-10-01,106.6381,106.6381,104.7057,106.0874,1190500
2024-10-02,105.2661,106.213,104.5705,104.7347,649900
2024-10-03,104.3579,104.6284,101.7105,101.9328,976100
2024-10-04,103.2371,104.841,101.8941,103.1212,1224300
2024-10-07,103.2371,103.469,102.4159,103.1115,632300
2024-10-08,103.0149,104.7251,102.6284,104.2806,1105500
2024-10-09,103.6333,104.8797,102.6188,104.5995,1005100
2024-10-10,104.6961,104.6961,102.9473,104.3869,859900
2024-10-11,104.9086,106.6284,104.8023,106.4449,620900
2024-10-14,106.8507,106.8507,104.9569,106.4352,687300
2024-10-15,106.6188,107.5463,104.7057,105.4111,1181200
2024-10-16,107.2565,109.2758,106.783,106.899,1077000
2024-10-17,106.6864,107.2565,105.9618,107.1405,725800
2024-10-18,107.2951,107.2951,105.5753,106.4062,1684000
2024-10-21,106.184,106.184,104.7927,105.1985,1056900
2024-10-22,105.1695,105.1985,103.9231,104.4352,924100
2024-10-23,104.3193,105.1115,104.0777,104.213,832400
2024-10-24,104.2516,104.4352,102.7444,103.1212,1089700
2024-10-25,103.7105,104.7057,103.1212,104.4642,954500
2024-10-28,105.1888,105.4304,104.2033,105.2565,1123500
2024-10-29,105.3144,106.5705,104.2516,104.3482,1091500
2024-10-30,104.2613,106.2613,103.6526,105.9328,2247100
2024-10-31,99.7685,104.8603,97.0439,99.5559,4086800
2024-11-01,99.4207,99.9714,98.1357,98.3772,1570100
2024-11-04,98.812,100.6284,98.5221,99.1791,1027500
2024-11-05,99.5076,101.469,99.0439,101.382,1148000
2024-11-06,103.2178,103.7299,100.0004,102.8217,2331900
2024-11-07,103.0535,105.7009,102.87,104.2613,1734200
2024-11-08,104.2033,105.6429,104.0777,104.8893,933100
2024-11-11,105.3241,106.7444,105.2565,105.3434,917600
2024-11-12,106.783,106.783,105.0052,105.4014,958000
2024-11-13,105.6236,107.9811,105.5753,107.9038,1462900
2024-11-14,107.5656,108.4449,106.8507,107.7106,1137000
2024-11-15,107.498,107.7396,106.3096,106.4642,992100
2024-11-18,106.4642,107.3144,105.8845,106.2709,629400
2024-11-19,105.3434,106.4642,105.1019,105.3917,773700
2024-11-20,105.8748,105.8941,104.5125,105.3434,645400
2024-11-21,105.6719,105.8458,104.5801,104.87,774000
2024-11-22,104.7347,105.1695,103.1695,103.9714,1265700
2024-11-25,105.1212,105.9424,102.2709,103.9038,2658500
2024-11-26,104.068,104.4545,102.2226,102.7637,1513800
2024-11-27,103.1308,103.4787,100.87,101.6912,1315800
2024-11-29,101.8651,102.1936,101.3821,102.0101,499000
2024-12-02,102.3869,103.8458,101.1985,102.5898,1200100
2024-12-03,102.2709,104.4159,101.9231,103.9618,1362900
2024-12-04,103.5366,104.0391,102.0874,103.9811,978200
2024-12-05,104.2903,104.6091,101.9134,102.5801,943800
2024-12-06,103.5325,103.5325,101.618,102.4635,1013100
2024-12-09,103.0175,105.6998,102.93,105.0973,1225600
2024-12-10,105.3402,106.7397,103.3479,106.1371,1211200
2024-12-11,106.9049,107.5463,105.6026,106.0594,1236700
2024-12-12,105.6026,111.4532,103.5423,110.8507,2392200
2024-12-13,111.5893,111.5893,107.1965,108.2461,1632100
2024-12-16,108.1489,109.0722,106.5064,107.0118,1064900
2024-12-17,106.6328,107.3908,105.6998,105.8164,792200
2024-12-18,106.1274,106.4579,103.3576,103.4548,947400
2024-12-19,103.9893,104.5724,101.929,102.0456,1352100
2024-12-20,102.0845,102.4343,100.063,101.4042,2001800
2024-12-23,101.2001,101.7346,99.9561,101.0835,864000
2024-12-24,100.9474,101.443,99.9561,101.3458,271800
2024-12-26,101.3653,101.6957,100.51,101.3847,526100
2024-12-27,101.2195,101.7929,100.2865,100.9668,517600
2024-12-30,100.1407,101.6374,99.2952,100.5684,881700
2024-12-31,100.8891,101.3459,100.1505,100.4129,573300
2025-01-02,101.1612,101.7929,99.373,99.888,614000
2025-01-03,101.0251,101.5985,99.9561,101.5014,810800
2025-01-06,101.5014,102.3955,98.8676,100.6072,929200
2025-01-07,100.8599,102.6384,100.685,101.1223,720500
2025-01-08,101.4042,102.0845,100.1602,100.6947,931500
2025-01-10,100.1019,101.2195,98.8287,98.8968,849800
2025-01-13,98.5372,100.7919,98.0804,100.6558,818100
2025-01-14,100.8891,101.6277,99.6257,99.9464,838000
2025-01-15,101.5499,102.2205,99.7034,100.131,1074700
2025-01-16,100.3448,101.2098,99.3341,99.8006,748300
2025-01-17,99.3244,100.9863,98.8093,100.6656,1119300
2025-01-21,100.9863,102.5218,100.7433,102.4246,840500
2025-01-22,102.619,103.8921,101.5402,102.2886,976100
2025-01-23,103.2313,104.0476,101.929,103.9893,1016000
2025-01-24,104.5433,106.0302,103.8435,105.1167,1083700
2025-01-27,105.4374,106.6328,105.4082,105.9816,1137200
2025-01-28,105.2819,106.9924,104.5044,106.73,1017600
2025-01-29,106.1955,107.1479,104.6696,104.8932,1507800
2025-01-30,96.7975,102.3274,95.2426,97.6139,3351500
2025-01-31,100.0533,100.5586,96.1172,96.6906,2419300
2025-02-03,96.2922,96.4477,94.0083,95.3397,1343200
2025-02-04,96.3893,96.6323,95.3397,96.0492,951700
2025-02-05,96.1561,96.1561,94.3776,94.5137,1513300
2025-02-06,95.3689,95.7771,93.4446,93.9208,1139100
2025-02-07,93.95,94.4262,92.9878,93.8722,1087400
2025-02-10,94.2901,96.8947,94.0569,96.5448,1300600
2025-02-11,96.3699,97.0016,95.5536,96.9336,1094700
2025-02-12,96.2241,96.8656,94.6886,94.8052,953800
2025-02-13,94.883,96.2824,94.7761,95.8451,979800
2025-02-14,96.02,96.8364,95.6896,96.6906,854000
2025-02-18,96.7975,97.1863,95.8548,97.1085,933200
2025-02-19,96.7003,97.6139,95.952,96.2338,1158100
2025-02-20,96.2338,97.75,95.33,97.5945,1087000
