Date,Open,High,Low,Close,Volume
2024-09-16,352.6252,355.8108,350.7734,351.992,668000
2024-09-17,349.8907,352.0496,340.2765,341.8021,863300
2024-09-18,341.8021,347.5783,340.4876,340.9961,824400
2024-09-19,342.6945,344.2968,340.4013,342.7904,753300
2024-09-20,342.301,344.3736,337.753,341.7158,2900900
2024-09-23,342.5697,344.1817,340.2285,340.5644,807800
2024-09-24,340.0366,341.0441,335.8244,338.866,968100
2024-09-25,340.6123,340.9482,333.656,334.7306,892500
2024-09-26,330.8543,332.4854,328.1581,331.0174,1663100
2024-09-27,331.5355,336.8894,331.0173,333.6176,1379600
2024-09-30,335.5174,335.5174,330.0579,332.4087,1294800
2024-10-01,331.9673,337.3884,330.6335,333.9918,1005800
2024-10-02,334.3468,334.7786,326.0472,326.9107,1627900
2024-10-03,327.1122,328.4363,323.8115,326.7668,1145900
2024-10-04,327.3617,328.35,325.577,327.8607,720000
2024-10-07,326.2103,329.012,324.9725,326.4885,851800
2024-10-08,327.8798,331.1517,325.529,330.0003,1127700
2024-10-09,330.3553,333.5505,328.7434,332.6773,846600
2024-10-10,333.4545,336.7167,332.1687,336.3042,800600
2024-10-11,337.1389,340.6123,335.527,336.1123,786700
2024-10-14,335.9491,337.9353,334.2508,337.2157,952400
2024-10-15,334.3852,340.6219,330.2113,334.7114,1317800
2024-10-16,334.7114,344.3448,334.7114,344.0569,970300
2024-10-17,337.1774,344.1913,335.8245,338.8181,1614400
2024-10-18,339.2306,339.2306,322.3531,322.3914,2712300
2024-10-21,319.82,319.82,305.3507,307.2602,4638600
2024-10-22,307.2122,309.2367,302.3283,304.6024,2636400
2024-10-23,304.0267,307.7399,302.242,304.7079,1352800
2024-10-24,305.7634,309.3807,305.1685,305.3508,1646500
2024-10-25,306.1471,308.3252,302.7313,304.0171,1390100
2024-10-28,304.4105,305.3604,300.8987,302.1653,1545500
2024-10-29,302.0788,302.3475,295.3911,295.7462,2556000
2024-10-30,295.5255,303.71,295.5255,300.2175,2412100
2024-10-31,319.8776,328.5226,301.2345,302.0597,3506400
2024-11-01,300.6108,305.8401,294.2398,303.6716,2810700
2024-11-04,303.8923,305.1013,298.7878,299.6705,1695700
