Date,Open,High,Low,Close,Volume
2024-09-25,131.1532,131.1532,129.0893,129.204,443500
2024-09-26,129.6435,130.15,128.2103,128.9556,412900
2024-09-27,129.1753,130.1977,128.9937,129.6053,364600
2024-09-30,129.9588,130.3506,128.0383,130.0639,601700
2024-10-01,130.341,131.7934,129.0033,131.1723,515900
2024-10-02,131.1723,131.5832,130.3984,130.6181,279700
2024-10-03,130.2264,130.255,129.1849,129.7008,240700
2024-10-04,129.9493,132.7394,129.4715,132.5483,420500
2024-10-07,132.6056,132.7585,126.2515,126.949,561700
2024-10-08,127.8662,129.1848,127.8662,127.9236,498200
2024-10-09,127.7229,129.5193,127.6561,128.6976,392200
2024-10-10,130.2168,130.9143,128.2676,129.0033,480900
2024-10-11,129.8059,131.3539,129.4333,130.3219,489100
2024-10-14,130.2837,130.9048,129.0511,130.7901,427700
2024-10-15,130.6277,132.7967,130.5608,130.7137,515300
2024-10-16,130.5321,132.5674,130.5035,132.0705,588000
2024-10-17,134.2491,135.5199,133.5898,135.0135,1007700
2024-10-18,134.6886,135.3766,133.7044,135.109,625600
2024-10-21,135.2332,135.9212,133.4655,133.9337,452100
2024-10-22,133.3031,133.4273,130.9335,132.4336,428300
2024-10-23,132.0896,133.026,131.2201,132.7011,373600
2024-10-24,132.9114,133.3127,131.7552,132.0896,616600
2024-10-25,133.3795,135.5963,131.6883,134.9657,857200
2024-10-28,135.7874,138.3769,135.367,138.0616,866600
2024-10-29,138.1762,138.8642,135.023,135.6823,670600
2024-10-30,135.6441,137.4501,135.6441,137.0583,543600
2024-10-31,136.9341,137.45,134.4975,134.5644,1067900
2024-11-01,134.6122,136.3416,134.2491,134.3924,393600
2024-11-04,134.0484,134.5262,131.5259,132.0418,551100
2024-11-05,132.0323,134.3446,131.9845,134.1248,483900
2024-11-06,142.3709,144.2437,141.2625,143.0206,868200
2024-11-07,142.0938,142.3231,139.9343,140.5745,489500
2024-11-08,141.1574,142.648,140.7561,142.0747,412700
2024-11-11,143.1162,145.5241,142.734,144.4444,412000
2024-11-12,143.9952,145.4381,143.7086,144.4539,358500
2024-11-13,142.5333,144.989,142.5333,144.0717,371700
