Date,Open,High,Low,Close,Volume
2024-09-03,26.0171,26.4558,25.8263,26.2173,5815200
2024-09-04,26.3413,26.7705,26.3032,26.3699,5238400
2024-09-05,26.6465,26.6942,26.3222,26.4748,4205100
2024-09-06,26.4939,26.5988,25.9598,26.0171,4942600
2024-09-09,26.0934,26.1887,25.8263,26.141,4720600
2024-09-10,26.1315,26.5797,26.122,26.2746,7224200
2024-09-11,26.1887,26.6942,25.9884,26.656,6402800
2024-09-12,26.656,26.7705,26.2555,26.3127,6768500
2024-09-13,26.4271,26.6751,25.1015,26.637,4545800
2024-09-16,26.7228,26.9612,26.7133,26.904,2549000
2024-09-17,26.9422,27.1043,26.8086,27.0089,4160100
2024-09-18,27.0757,27.0757,26.6274,26.904,4602200
2024-09-19,26.7896,27.1424,26.7037,26.9517,5388800
2024-09-20,27.0947,27.0947,26.6274,26.8659,16768000
2024-09-23,27.0375,27.6479,26.9898,27.5907,5324100
2024-09-24,27.4095,27.8386,27.3427,27.3522,3716900
2024-09-25,27.5334,27.6193,27.0947,27.295,3694300
2024-09-26,27.295,27.7337,27.295,27.6002,3027100
2024-09-27,27.7814,27.8672,27.7051,27.7528,3354900
2024-09-30,27.8005,28.0675,27.5525,28.058,5233700
2024-10-01,27.9912,28.573,27.8959,28.5062,7137500
2024-10-02,28.201,28.716,28.201,28.6588,6362100
2024-10-03,28.7351,28.9735,28.5921,28.8972,7995600
2024-10-04,28.8209,29.212,28.7446,29.1071,11837500
2024-10-07,28.9545,29.0308,28.2487,28.2678,14589000
2024-10-08,28.3441,28.4585,28.0294,28.1057,8093300
2024-10-09,28.0675,28.3155,27.9721,28.1247,3916300
2024-10-10,28.201,28.3536,28.058,28.1247,5698800
2024-10-11,28.0198,28.2201,27.9435,28.201,4674900
2024-10-14,28.2678,28.4299,28.1247,28.4013,3199500
2024-10-15,28.6016,28.8686,28.4585,28.573,3940000
2024-10-16,28.6397,28.8686,28.573,28.716,4654500
2024-10-17,28.6874,28.84,28.3918,28.7828,9458200
2024-10-18,28.8114,28.8782,28.5921,28.716,4832100
2024-10-21,28.716,28.8496,28.5253,28.697,4791700
2024-10-22,28.4395,28.697,28.4013,28.4109,5166800
2024-10-23,28.3918,28.5253,28.0484,28.3727,4274400
2024-10-24,28.4013,28.4681,28.0294,28.1152,4401400
2024-10-25,28.3727,28.3727,27.9149,27.9531,3756400
2024-10-28,28.4395,28.7542,28.0484,28.3727,4491100
2024-10-29,28.2583,28.4204,27.6384,28.0675,5048500
2024-10-30,28.201,28.2583,27.7147,27.9054,3895300
2024-10-31,27.9054,28.6779,27.81,28.1629,5678800
2024-11-01,28.1629,28.3059,27.2473,27.2569,3986200
2024-11-04,27.3141,27.7623,27.2473,27.6765,5657200
2024-11-05,27.6384,28.3727,27.5144,28.182,5040600
2024-11-06,27.9817,28.0866,27.5716,27.6765,7913200
2024-11-07,27.7623,28.4204,27.6956,28.0103,5099300
2024-11-08,28.0389,29.1071,27.8577,28.9831,5429100
2024-11-11,28.7351,29.1738,28.5253,28.6684,4981500
2024-11-12,28.716,29.1071,28.6302,29.0308,6007000
2024-11-13,29.1929,29.6316,28.8114,29.0021,6126900
2024-11-14,29.0498,29.1547,28.573,28.5921,4069800
2024-11-15,28.5825,29.4504,28.5825,29.4313,5826000
2024-11-18,29.4599,29.8414,29.4313,29.7079,4830600
2024-11-19,29.6602,29.994,29.4695,29.9463,4824900
2024-11-20,30.0417,30.2229,29.7842,30.1084,3467000
2024-11-21,30.1372,30.5405,29.686,30.4637,5115400
2024-11-22,30.5501,31.0493,30.4061,30.6557,4895400
2024-11-25,30.7709,31.3086,30.6941,31.1837,5535200
2024-11-26,31.1741,31.3566,30.9917,31.2317,4398900
2024-11-27,31.4526,31.5486,31.0877,31.3566,3320100
2024-11-29,31.3374,31.539,31.2414,31.3182,1847100
2024-12-02,31.395,31.4718,30.7133,30.7133,3169500
2024-12-03,31.683,31.683,30.8381,30.8477,3865400
2024-12-04,30.8477,31.0397,30.6845,31.0109,3068400
2024-12-05,31.0877,31.2318,30.6173,30.7133,3775900
2024-12-06,30.8765,30.9533,30.3485,30.3965,2842500
2024-12-09,30.4061,30.4349,30.0412,30.1084,3582600
2024-12-10,30.1084,30.2717,29.5324,30.1276,4203100
2024-12-11,30.1661,30.3485,29.9164,30.1565,4392500
2024-12-12,30.2717,30.7037,30.2717,30.6365,4164400
2024-12-13,30.6461,30.9053,30.5789,30.6653,4760100
2024-12-16,30.5309,31.3278,30.4829,30.7901,4281600
2024-12-17,30.5597,30.8861,30.3581,30.4445,6723000
2024-12-18,30.3293,30.9629,30.1757,30.1853,8050400
2024-12-19,30.0604,30.8189,30.022,30.4925,8330200
2024-12-20,30.4925,31.4334,30.3869,31.2414,14446700
2024-12-23,31.1453,31.2125,30.4445,30.8189,4390800
2024-12-24,30.6845,31.1261,30.6845,31.0973,1444900
2024-12-26,31.0301,31.2221,30.9533,31.0781,2253100
2024-12-27,30.8477,31.1933,30.7709,30.9245,2716800
2024-12-30,30.7805,30.7997,30.3101,30.5597,2725700
2024-12-31,30.5405,30.7421,30.2141,30.4637,2970000
2025-01-02,30.7229,30.7805,30.0604,30.2333,3257400
2025-01-03,30.3389,30.5405,30.1564,30.3773,4227900
2025-01-06,30.3581,30.3773,29.782,29.8108,4165600
2025-01-07,29.8396,30.0604,29.59,29.638,3559500
2025-01-08,29.6092,29.9452,29.3692,29.926,4236400
2025-01-10,29.782,31.0781,29.6284,29.9356,4826300
2025-01-13,29.8684,30.3869,29.686,30.3485,3641200
2025-01-14,30.4349,30.6845,30.2813,30.5885,3245000
2025-01-15,30.8669,31.0013,30.3293,30.5981,4164800
2025-01-16,30.4733,31.5102,30.4349,31.491,4988100
2025-01-17,31.4334,31.5006,30.9917,31.2606,5319200
2025-01-21,31.443,31.7982,31.3854,31.7406,4466300
2025-01-22,31.7118,31.7118,31.0877,31.1453,3884800
2025-01-23,31.1261,31.2798,30.9437,31.1453,3353000
2025-01-24,31.0013,31.1837,30.7517,31.0685,5292600
2025-01-27,31.4814,31.6254,30.4925,31.5678,5249600
2025-01-28,31.443,31.6158,30.8477,31.0205,4020100
2025-01-29,31.0877,31.4334,30.9725,31.0109,3576900
2025-01-30,31.4526,31.6926,31.1453,31.5678,3956300
2025-01-31,31.443,31.5966,31.0301,31.2702,3489800
2025-02-03,30.8765,31.3278,30.7325,31.2125,4392200
2025-02-04,30.9245,31.2318,30.8381,30.8669,2689100
2025-02-05,31.1357,31.1741,30.8669,30.9821,3984500
2025-02-06,31.1261,31.1837,30.6845,31.1453,3004900
2025-02-07,31.0877,31.2414,30.9341,31.1069,2710200
2025-02-10,31.0589,31.1165,30.8381,31.0877,1724000
2025-02-11,30.9341,31.1165,30.6845,31.1165,2679600
2025-02-12,30.7133,31.4046,30.7133,31.2798,3756000
2025-02-13,31.3662,32.1726,31.3278,32.0958,5723500
2025-02-14,32.259,32.4991,32.0478,32.0766,5219900
2025-02-18,32.163,32.7295,32.0766,32.4607,5587700
2025-02-19,32.3647,32.8063,32.3647,32.7295,5986200
2025-02-20,32.9421,32.9711,32.14,32.5942,5634600
2025-02-21,32.6039,33.232,32.4009,33.1354,6019400
2025-02-24,33.2127,33.2803,32.4976,33.0484,4707400
2025-02-25,33.0194,33.2223,32.5749,33.0677,7436600
2025-02-26,32.9614,33.3286,32.7681,32.8938,4414800
2025-02-27,32.6522,32.9228,32.5072,32.6039,4340900
2025-02-28,32.8841,33.2706,32.6715,33.2223,5122600
2025-03-03,33.1933,33.6765,33.0774,33.4059,4382000
2025-03-04,33.4446,33.5605,32.4976,32.5555,5716900
2025-03-05,32.343,32.8455,32.256,32.6812,4192500
2025-03-06,32.5556,32.6425,32.1207,32.2753,3134100
2025-03-07,32.227,33.1933,32.1594,33.1064,5001300
2025-03-10,33.0387,33.8021,32.9517,33.2706,6112300
2025-03-11,33.7151,33.8311,33.116,33.3673,5649100
2025-03-12,33.203,33.6378,33.145,33.3866,4222800
2025-03-13,33.4446,33.6862,33.2223,33.4446,3885300
2025-03-14,33.4832,34.4399,33.4832,34.2853,7118000
2025-03-17,34.3433,34.6718,34.179,34.3916,5577400
2025-03-18,34.121,34.4979,34.0437,34.4592,3960700
2025-03-19,34.3239,34.7105,34.1886,34.6525,4406500
2025-03-20,34.6235,34.7781,34.5365,34.7491,3619400
2025-03-21,34.6815,34.9714,34.3143,34.5655,8615300
2025-03-24,34.5365,34.8651,34.2853,34.5172,4210600
2025-03-25,34.4496,34.4979,33.7731,34.0437,5309700
2025-03-26,34.1113,34.4689,34.1113,34.3433,2540700
2025-03-27,34.4496,34.6911,34.3046,34.4689,2734700
2025-03-28,34.6911,35.1743,34.6042,35.0294,6252200
2025-03-31,35.0583,35.7251,34.8651,35.01,9318800
2025-04-01,35.097,35.6671,34.7974,35.5608,10763700
2025-04-02,35.7541,36.0247,35.5512,35.6865,5692200
2025-04-03,35.8121,36.4305,35.7831,36.102,5208000
2025-04-04,36.0053,36.3822,34.5558,34.8651,9470400
2025-04-07,34.4399,35.184,33.9567,34.3046,10268000
2025-04-08,34.9714,35.0487,34.092,34.3529,11987900
2025-04-09,34.005,35.6768,33.5509,35.039,12994600
2025-04-10,34.9714,35.4159,34.3239,34.9714,10449300
2025-04-11,34.8264,35.4255,34.6235,35.3482,8296700
2025-04-14,35.3966,36.015,35.2033,35.9764,6610600
2025-04-15,36.015,36.2759,35.8411,35.9087,6008200
2025-04-16,35.9764,36.015,35.3966,35.5415,5771500
2025-04-17,35.7154,36.3339,35.6865,35.9087,4269200
2025-04-21,35.7348,35.899,34.9327,35.2613,3160400
2025-04-22,35.7541,36.1116,35.5608,36.0053,4173700
2025-04-23,35.8894,36.1213,35.4835,36.0826,5229200
2025-04-24,35.8797,36.8171,35.7638,36.6238,6127800
2025-04-25,36.5755,37.0393,36.4402,36.904,6872500
2025-04-28,36.7687,37.0393,36.5561,36.9523,5098700
2025-04-29,36.8654,37.1263,36.6818,36.9523,3585600
2025-04-30,37.0393,37.5515,36.4692,37.4742,6391000
