Date,Open,High,Low,Close,Volume
2024-08-05,128.236,129.5675,124.6301,127.7306,3561100
2024-08-06,127.682,131.0351,127.1085,129.9368,3070100
2024-08-07,131.8904,133.3774,128.3915,128.5761,2101000
2024-08-08,129.8396,131.3947,129.4703,130.5977,1742400
2024-08-09,130.8213,131.2684,129.5383,131.0254,1326000
2024-08-12,131.0742,131.9626,128.7507,128.985,1797100
2024-08-13,129.8441,131.084,128.653,130.8204,1673900
2024-08-14,131.5038,133.1634,130.8594,132.7241,1699400
2024-08-15,135.0574,137.8202,132.8413,133.8566,2374400
2024-08-16,133.8077,136.4925,133.3391,136.2484,1883600
2024-08-19,136.4242,139.6068,136.4242,139.5385,1339600
2024-08-20,139.1187,139.2358,137.5761,138.1521,1326100
2024-08-21,138.4353,138.9234,135.8872,136.4632,1386800
2024-08-22,136.2485,137.2931,135.7603,136.1703,2339300
2024-08-23,137.1271,140.2707,136.2094,139.1577,2886000
2024-08-26,140.0364,140.5928,138.2693,139.1382,1823800
2024-08-27,139.3237,140.0266,138.4939,139.0015,1055900
2024-08-28,138.6989,141.1005,138.6989,140.7295,1769600
2024-08-29,141.8718,142.1744,139.3725,141.9206,1230300
2024-08-30,142.2232,143.7267,141.4129,143.4436,1983600
2024-09-03,142.0182,143.7755,141.491,142.1451,1530900
2024-09-04,142.848,143.6779,139.4604,140.3586,1996400
2024-09-05,141.3543,141.9206,137.5762,138.7184,2261400
2024-09-06,138.7282,141.6375,134.8621,135.7017,2381600
2024-09-09,137.088,140.1242,136.6292,139.2163,1998400
2024-09-10,136.9318,137.2931,128.4285,134.7157,7077600
2024-09-11,133.5051,133.5539,129.4633,133.222,2864200
2024-09-12,133.4954,134.7938,131.533,134.2764,1945900
2024-09-13,135.2136,137.3126,134.374,135.6725,1822800
2024-09-16,135.6041,138.4353,135.6041,137.6055,2612800
2024-09-17,137.5859,143.1214,137.5859,141.6375,2166000
2024-09-18,141.9596,144.9763,140.4366,141.9791,2165300
2024-09-19,144.9763,149.4379,144.5956,149.4184,3456700
2024-09-20,149.721,149.721,147.1339,148.6666,3417000
2024-09-23,149.3695,150.5215,147.583,147.6611,1735000
2024-09-24,147.8954,148.0515,140.9345,143.8536,2389600
2024-09-25,144.7518,144.7518,142.2134,142.8578,1593000
2024-09-26,143.0335,144.6151,141.8522,144.2734,1492200
2024-09-27,145.2399,146.7043,144.0684,145.5523,1512300
2024-09-30,144.576,146.2943,144.0,146.1771,1262200
2024-10-01,146.099,146.1966,141.9206,143.3167,1713700
2024-10-02,143.3655,144.5467,141.7351,143.0433,1881400
2024-10-03,141.862,142.2818,139.8997,141.7546,1967200
2024-10-04,145.2497,149.9065,145.2399,149.7991,2551000
2024-10-07,148.6861,149.7991,147.085,148.3932,2016600
2024-10-08,148.6569,148.9107,145.9135,145.9526,1904400
2024-10-09,146.3529,148.2761,145.6695,148.198,2079400
2024-10-10,147.4853,148.6959,146.5578,147.5439,1440800
2024-10-11,148.3933,152.6303,148.3933,151.9859,2498900
2024-10-14,151.9859,153.6163,150.3849,152.8939,2379600
2024-10-15,153.958,155.9887,152.1324,153.011,2164700
2024-10-16,155.3248,155.5103,153.6846,154.3192,1942200
2024-10-17,154.8367,156.6428,154.3192,155.9594,2771900
2024-10-18,155.9106,155.9691,151.6735,155.2565,2516900
2024-10-21,154.8171,155.8324,152.3179,153.2941,2265800
2024-10-22,153.3722,153.6456,151.6833,152.3179,2187000
2024-10-23,152.1617,153.2746,149.35,150.5899,2742200
2024-10-24,151.5173,151.7321,148.6081,149.6234,3592600
2024-10-25,160.3819,163.9453,157.2871,157.4433,6087500
2024-10-28,157.746,161.9732,156.2913,161.446,4109000
2024-10-29,160.7626,161.4362,158.6246,159.1225,2596600
2024-10-30,160.0304,163.9062,159.1908,162.8128,2787600
2024-10-31,163.0373,163.0764,158.9077,158.9272,3425800
2024-11-01,158.4977,161.2605,158.1755,160.0109,3375200
2024-11-04,159.7668,159.8742,156.5158,157.453,2234600
2024-11-05,158.5172,162.4906,158.0779,162.1099,2489600
2024-11-06,185.7747,193.5946,181.5572,186.4386,12157300
2024-11-07,183.6171,184.7594,180.1709,180.4345,4766500
2024-11-08,180.415,183.0802,178.9017,180.8152,4247000
2024-11-11,184.3689,187.4344,181.9477,185.6966,5171900
2024-11-12,185.2963,186.7217,182.0453,182.3577,3284800
2024-11-13,182.7385,184.691,180.5224,181.1276,3347100
2024-11-14,180.7261,181.7643,177.8955,179.2373,3005800
2024-11-15,179.5703,182.1462,179.3157,181.3333,4122400
2024-11-18,180.6575,182.2736,178.3264,179.1002,2514000
2024-11-19,175.9758,178.2579,175.3979,177.2784,2204600
2024-11-20,177.5919,178.062,176.25,176.9748,2310300
2024-11-21,177.9836,180.3147,177.0434,178.8847,3628200
2024-11-22,179.3157,183.7133,179.061,183.2138,2051500
2024-11-25,184.7124,189.5998,184.1639,187.9445,4899200
2024-11-26,187.2197,188.2678,185.4078,187.5136,2327400
2024-11-27,188.3461,189.5802,186.3187,187.3569,1561100
2024-11-29,189.0807,190.305,187.9249,188.0621,1132300
2024-12-02,188.7085,189.0317,183.4685,183.6644,2504500
2024-12-03,185.5155,185.5743,182.7437,183.2138,2355000
2024-12-04,182.9102,183.5077,181.1962,181.6859,1783600
2024-12-05,181.6859,182.7241,180.5791,181.7545,1682200
2024-12-06,182.5282,184.35,182.1756,184.0953,2696800
2024-12-09,182.9592,184.8495,180.8044,180.922,3212700
2024-12-10,181.2354,181.5684,179.0904,180.1482,2976800
2024-12-11,180.9513,182.9102,179.1198,182.2246,2803000
2024-12-12,181.8818,182.8123,180.3833,180.9514,2185200
2024-12-13,182.0581,182.2442,179.8935,180.7359,2053100
2024-12-16,180.8338,181.4998,179.2079,181.3039,2105400
2024-12-17,179.2765,180.5106,177.347,177.4547,2995100
2024-12-18,177.9053,178.9337,170.3832,170.8533,3191800
2024-12-19,175.251,176.5341,170.7064,172.0482,4034800
2024-12-20,171.4802,177.1413,170.6868,174.9767,5164300
2024-12-23,173.7524,176.6418,173.5272,176.2696,2095300
2024-12-24,176.1325,178.4929,175.9562,178.3754,931300
2024-12-26,177.0434,178.9827,176.3088,178.6105,1255600
2024-12-27,177.3666,179.0904,175.7897,176.5145,1209100
2024-12-30,174.487,175.6134,172.2147,174.2715,1726500
2024-12-31,174.82,175.9268,173.8994,174.6535,1175000
2025-01-02,176.299,178.444,173.4488,175.0355,1792900
2025-01-03,176.299,176.8083,173.5761,176.7201,1886700
2025-01-06,181.1766,181.8818,178.0718,179.7466,2277900
2025-01-07,181.1766,181.5782,176.9063,178.1501,2508300
2025-01-08,176.7397,177.6604,175.1922,176.4361,2355400
2025-01-10,175.4077,175.5644,171.0688,171.6858,4405100
2025-01-13,171.8719,176.7985,171.157,176.6222,4205300
2025-01-14,178.6986,181.2452,177.3764,180.922,3534500
2025-01-15,187.2393,188.1404,184.4577,186.7594,4533900
2025-01-16,186.0836,188.2286,183.6448,184.5655,2802000
2025-01-17,185.114,189.1982,184.0562,187.0435,3723800
2025-01-21,187.0728,190.1483,187.0728,189.2374,4203700
2025-01-22,192.6948,197.9936,191.3236,196.7986,7313500
2025-01-23,198.1405,202.9789,196.7595,199.8349,5094000
2025-01-24,198.4735,201.2061,198.1601,199.3452,4654200
2025-01-27,198.8457,200.354,196.0935,198.3462,2859700
2025-01-28,197.2492,200.5793,196.495,198.9436,3495400
2025-01-29,198.3755,202.0484,198.3755,199.7174,2906600
2025-01-30,201.8134,204.3403,198.8555,200.4128,2840100
2025-01-31,198.9044,202.3717,198.9044,199.5215,2750900
2025-02-03,195.6331,198.1405,193.067,196.7791,3049900
2025-02-04,198.2874,199.2766,195.3883,196.0053,3090100
2025-02-05,197.6704,199.8056,194.8104,199.5901,2371900
2025-02-06,201.3726,202.7438,199.3158,202.3913,3633900
2025-02-07,202.6851,203.1552,198.64,199.0318,1772300
2025-02-10,199.2374,199.4138,193.9191,194.7026,2595500
2025-02-11,193.3118,196.3971,193.2923,195.1826,2048900
2025-02-12,195.0259,195.0357,189.6684,192.4989,4601200
2025-02-13,193.1552,194.6831,188.9925,193.2531,3213600
2025-02-14,193.733,199.0514,193.5078,198.0034,2506300
2025-02-18,199.8109,200.2824,197.4631,199.2215,4548400
2025-02-19,200.4003,206.3927,199.418,206.1176,4670400
2025-02-20,206.2944,206.9526,197.3354,201.7461,3975500
2025-02-21,201.9426,202.7187,195.5966,196.6674,3960700
2025-02-24,197.7578,199.1036,192.345,196.3923,3057100
2025-02-25,196.4316,197.1094,187.5315,190.4884,4520300
2025-02-26,192.7085,196.0583,191.9324,193.2979,3543500
2025-02-27,195.0661,197.9248,192.7969,193.5042,2866800
2025-02-28,195.0956,197.1782,193.2291,197.0112,3699600
2025-03-03,196.7656,198.6812,189.7909,192.7183,3679900
2025-03-04,188.671,189.2604,177.7374,181.6373,6272100
2025-03-05,181.716,183.2091,178.4054,182.6688,3509500
2025-03-06,176.6175,178.9064,172.4622,173.0221,5779900
2025-03-07,171.912,172.4229,165.2517,170.1143,10064400
2025-03-10,165.0257,165.0748,157.8742,160.9784,6937800
2025-03-11,162.2162,164.7212,160.1533,162.4814,5541300
2025-03-12,166.5091,169.2302,164.4265,167.4423,4947900
2025-03-13,168.6604,168.6703,161.3714,163.1887,3388000
2025-03-14,165.6348,169.2007,164.5444,168.8373,3898600
2025-03-17,167.0003,169.4562,157.0883,162.3439,13698500
2025-03-18,162.6877,166.4796,161.6759,165.8018,4972200
2025-03-19,165.0355,171.47,163.12,169.5544,4132000
2025-03-20,167.4325,172.8453,167.3048,171.3914,2845300
2025-03-21,169.6232,172.2166,168.4542,171.7352,5074900
2025-03-24,175.1833,178.543,173.3856,177.6687,3801300
2025-03-25,180.6943,180.7532,177.1676,179.2207,3463600
2025-03-26,180.1638,181.5784,175.7629,176.6568,3255400
2025-03-27,174.8984,176.7649,172.5604,175.0064,2463200
2025-03-28,174.1322,176.1755,168.5033,170.468,2617300
2025-03-31,168.4836,177.0497,168.2282,176.1362,6130700
2025-04-01,174.0536,176.2933,172.4621,175.0752,3248200
2025-04-02,171.912,181.0578,170.2519,178.9653,3579000
2025-04-03,163.0708,173.3364,155.7228,161.1454,13576300
2025-04-04,154.1314,155.7032,143.6104,147.9131,11073800
2025-04-07,142.3825,156.882,140.6928,151.9408,8586300
2025-04-08,160.0649,161.4107,147.0487,149.6617,5796500
2025-04-09,146.7343,174.5251,144.7008,171.8236,10828400
2025-04-10,166.5091,166.5189,153.9841,159.2986,6294400
2025-04-11,158.5717,158.8566,153.0803,158.1296,5339500
