Date,Open,High,Low,Close,Volume
2024-08-19,203.34,207.49,200.35,204.46,6304200
2024-08-20,209.1,209.8,191.21,197.25,12353700
2024-08-21,197.16,207.0,195.11,206.23,7502400
2024-08-22,204.78,207.1,197.43,198.43,5284900
2024-08-23,200.97,211.92,200.0,211.4,8304200
2024-08-26,209.3,210.85,202.68,204.0,5437100
2024-08-27,201.84,202.5,194.1,198.3,5992900
2024-08-28,195.02,197.49,187.73,190.2,4995700
2024-08-29,194.0,196.5,187.6,188.28,3841800
2024-08-30,189.22,189.94,180.04,183.36,7307200
2024-09-03,182.0,182.7,168.07,169.13,9746600
2024-09-04,166.5,169.04,160.67,163.22,7826400
2024-09-05,161.62,166.37,158.12,159.7,5732700
2024-09-06,163.24,164.15,146.12,147.35,11026600
2024-09-09,151.27,157.4,150.06,155.05,9256700
2024-09-10,155.01,159.14,149.51,158.46,5824800
2024-09-11,153.56,158.84,149.95,157.15,6417400
2024-09-12,158.61,165.43,156.1,162.89,6689300
2024-09-13,162.24,168.93,161.58,163.05,5953600
2024-09-16,158.5,163.16,155.88,161.5,4686200
2024-09-17,164.14,167.67,160.5,162.45,5225200
2024-09-18,161.54,169.1,160.8,162.64,5027400
2024-09-19,172.0,175.39,167.0,168.24,9299100
2024-09-20,168.99,173.39,165.4,170.09,8152300
2024-09-23,171.3,173.57,168.7,170.22,4933200
2024-09-24,170.38,172.25,163.81,171.68,6035500
2024-09-25,170.3,173.94,166.88,167.08,5359900
2024-09-26,170.61,181.49,170.26,179.93,12455200
2024-09-27,183.07,192.45,179.5,191.23,10563400
2024-09-30,184.19,185.41,177.0,178.17,11710000
2024-10-01,178.72,178.9,160.0,165.01,15210500
2024-10-02,163.03,169.29,161.39,164.47,7881100
2024-10-03,162.83,166.41,161.41,163.1,4298600
2024-10-04,167.96,171.24,164.0,170.91,6852400
2024-10-07,172.0,176.15,166.89,168.92,6797500
2024-10-08,166.36,170.05,165.02,167.69,5696100
2024-10-09,167.69,172.49,165.78,166.97,5725000
2024-10-10,166.05,167.31,161.87,164.27,5379900
2024-10-11,165.54,179.18,165.22,176.38,10767100
2024-10-14,181.19,197.69,178.27,196.35,18131400
2024-10-15,195.68,204.9,188.31,196.34,17324800
2024-10-16,203.53,212.42,197.6,210.48,13970000
2024-10-17,209.2,209.45,201.13,204.2,8908000
2024-10-18,208.05,220.26,207.14,220.21,13569600
2024-10-21,215.4,216.86,208.13,213.72,12686400
2024-10-22,209.45,215.95,207.3,210.72,7485100
2024-10-23,206.3,209.7,194.6,198.93,10350100
2024-10-24,206.87,210.55,200.8,209.16,9925400
2024-10-25,208.3,213.67,203.4,205.04,9261300
2024-10-28,213.35,218.0,210.5,216.1,10458700
2024-10-29,220.91,223.9,216.11,219.66,11542200
2024-10-30,213.1,220.46,209.47,211.74,9515900
2024-10-31,203.73,206.0,178.82,179.25,18892000
2024-11-01,180.0,190.94,179.54,182.88,14443400
2024-11-04,180.09,186.95,176.38,186.27,11348800
2024-11-05,185.59,197.25,185.51,193.96,9950800
2024-11-06,221.48,257.68,221.11,254.31,35456000
2024-11-07,245.63,259.69,242.34,255.58,16655300
2024-11-08,257.67,273.5,257.15,270.74,17431700
2024-11-11,300.31,334.86,296.0,324.24,42437500
2024-11-12,310.05,327.0,306.1,319.13,24819600
2024-11-13,325.01,332.35,282.66,284.72,27997400
2024-11-14,290.81,292.57,274.3,278.84,17375300
2024-11-15,282.51,306.46,276.02,305.85,18020600
2024-11-18,301.83,329.59,288.5,325.41,25607400
2024-11-19,322.08,327.24,315.5,324.57,13447900
2024-11-20,332.25,341.75,303.8,320.01,22875200
2024-11-21,329.95,330.5,288.55,295.23,25187400
2024-11-22,294.89,311.37,290.8,304.64,12187200
2024-11-25,309.0,317.46,291.2,312.22,14645900
2024-11-26,298.26,309.2,289.13,293.29,13215700
2024-11-27,302.78,314.29,295.36,310.98,13290800
2024-11-29,311.95,316.3,295.81,296.2,9550200
2024-12-02,302.03,311.47,299.5,302.4,11221100
2024-12-03,296.78,314.43,296.65,309.35,10069300
2024-12-04,312.0,332.0,309.12,330.94,15798000
2024-12-05,343.36,349.49,315.17,320.57,19769900
2024-12-06,328.56,349.75,325.5,343.62,16759200
2024-12-09,339.91,340.16,309.68,310.52,16974800
2024-12-10,318.03,318.74,298.52,302.42,11930600
2024-12-11,311.85,320.9,308.82,313.81,10253400
2024-12-12,317.76,323.5,307.75,312.96,8324400
2024-12-13,316.0,317.18,305.25,310.58,5832600
2024-12-16,316.9,326.23,314.77,315.31,11461400
2024-12-17,319.83,323.07,303.5,311.64,7440600
2024-12-18,308.0,312.14,275.81,279.86,12615200
2024-12-19,290.64,295.48,268.88,273.92,11708600
2024-12-20,266.13,281.74,261.87,278.71,10009800
2024-12-23,274.52,275.33,263.07,268.15,6853500
2024-12-24,273.22,284.0,271.86,279.62,4805100
2024-12-26,275.58,279.24,271.39,274.41,4410400
2024-12-27,274.2,274.25,263.21,265.71,5554000
2024-12-30,259.98,260.5,247.6,255.56,7727100
2024-12-31,262.97,263.66,246.37,248.3,5414900
2025-01-02,256.48,262.31,251.0,257.21,6289500
