Date,Open,High,Low,Close,Volume
2024-08-07,100.6679,101.7848,99.9076,100.3675,7735400
2024-08-08,100.6585,101.9726,100.3581,101.6253,5392900
2024-08-09,101.6253,102.4043,100.5177,101.9444,5776200
2024-08-12,102.5306,104.2134,102.3698,104.0243,5906900
2024-08-13,103.0411,103.4098,101.9728,102.4266,5866800
2024-08-14,102.5873,103.8447,102.3226,103.3625,6388000
2024-08-15,103.6934,105.2912,103.6934,105.1588,6307000
2024-08-16,104.2985,105.3006,103.8636,105.1115,3819100
2024-08-19,105.1494,106.5958,105.0548,105.641,4335600
2024-08-20,105.4803,105.7072,102.9087,103.8542,6783300
2024-08-21,104.7617,105.121,102.956,103.6367,4011900
2024-08-22,103.6178,104.4876,103.4382,103.9676,3644500
2024-08-23,104.7807,105.4046,104.2512,105.3195,4024200
2024-08-26,106.8511,108.7514,106.7755,107.3616,6253900
2024-08-27,107.4562,107.4562,105.9435,106.2933,3521700
2024-08-28,105.9246,106.0759,104.601,106.0286,4506400
2024-08-29,106.8133,108.8554,105.953,108.1274,5270200
2024-08-30,106.9457,107.8154,106.2744,107.5791,5559500
2024-09-03,105.7923,105.8017,103.2491,103.8542,6369900
2024-09-04,104.308,105.121,102.5211,102.6346,6251500
2024-09-05,103.2585,103.4193,101.4339,101.5851,5582400
2024-09-06,101.8499,102.6913,99.9496,100.2332,5229900
2024-09-09,100.2616,100.8477,99.7794,99.8361,6477000
2024-09-10,99.7888,99.9685,97.6049,98.3234,5611500
2024-09-11,98.1344,98.3613,95.7708,96.9715,6803100
2024-09-12,97.1133,98.0209,96.5744,97.2835,6775900
2024-09-13,97.6806,98.6733,97.4253,97.8507,5441600
2024-09-16,99.2311,99.9212,98.7489,99.7889,9325300
2024-09-17,99.751,102.5778,99.5525,102.3793,8661300
2024-09-18,101.6513,103.9298,101.6419,102.6913,7424100
2024-09-19,104.4687,105.2723,103.4004,104.5159,7990700
2024-09-20,105.0927,105.641,103.7407,103.8731,33515100
2024-09-23,104.0905,104.8847,101.623,103.7029,8197600
2024-09-24,105.2628,105.3857,102.8425,102.9655,7787400
2024-09-25,102.5778,102.8804,99.9212,99.959,6561400
2024-09-26,97.378,98.5314,96.5933,96.7257,9524000
2024-09-27,97.0282,99.1176,96.9999,99.0042,5489500
2024-09-30,98.7016,99.8172,98.2005,99.5336,6584000
2024-10-01,98.834,103.6934,98.418,103.4004,8067600
2024-10-02,105.2061,105.5464,102.6629,104.3363,7559900
2024-10-03,104.6578,106.369,103.9865,106.2839,7397400
2024-10-04,107.3711,108.3732,105.9341,108.2882,7585100
2024-10-07,108.6663,109.7441,108.1936,108.4583,4899800
2024-10-08,106.5864,106.7566,104.1472,104.7523,5579800
2024-10-09,103.9109,105.433,103.5705,104.913,4217200
2024-10-10,105.5464,106.6715,104.7145,105.7544,3946400
2024-10-11,104.705,105.6032,104.2512,104.4592,6820300
2024-10-14,103.7123,104.4025,102.956,103.4949,5174000
2024-10-15,100.2143,101.2826,99.3823,99.4674,6395700
2024-10-16,99.8739,100.2143,99.3067,99.4201,4602900
2024-10-17,99.5714,100.4412,99.2121,100.3561,5093400
2024-10-18,100.1481,100.3466,98.9852,99.9023,4326600
2024-10-21,100.8288,101.0084,98.9758,99.2594,4387000
2024-10-22,100.0063,100.0347,99.042,99.2689,4710800
2024-10-23,98.8813,99.3256,98.002,98.8056,4541300
2024-10-24,99.2689,99.4296,97.8035,98.6733,3504600
2024-10-25,99.3256,99.6754,98.5598,98.8529,3823100
2024-10-28,96.2435,97.7089,95.9599,97.6238,4438900
2024-10-29,97.3402,98.0965,96.5839,96.7351,3809400
2024-10-30,97.2457,97.7846,96.7824,97.3591,6413100
2024-10-31,101.1314,104.6105,100.2143,103.5611,11969400
2024-11-01,103.5327,104.0054,100.8572,101.9538,7428000
2024-11-04,103.0505,104.0621,102.7858,102.9182,5441700
2024-11-05,103.2302,104.0149,102.6535,103.2491,6003100
2024-11-06,105.8868,108.6001,105.3101,107.4278,7733600
2024-11-07,107.6925,107.7682,105.7544,106.265,5442000
2024-11-08,105.7699,106.6267,105.2558,106.2364,5314000
2024-11-11,106.1698,107.3408,105.6271,106.6743,3820200
2024-11-12,107.0647,107.4169,105.1701,105.332,5175700
2024-11-13,105.1225,107.0647,104.2467,106.4554,5961600
2024-11-14,107.1884,107.5978,106.0079,107.5026,4389900
2024-11-15,107.2741,108.5974,106.5125,106.9314,4124000
2024-11-18,107.95,108.9687,107.3408,108.3023,5089000
2024-11-19,107.217,108.6641,106.8647,107.6644,5100000
2024-11-20,107.4836,108.5213,107.236,107.9881,4092700
2024-11-21,108.7878,109.8446,106.1507,106.5315,12535500
2024-11-22,106.7886,107.3217,105.7985,106.3887,7516200
2024-11-25,106.5315,106.5887,100.4767,101.0098,23447400
2024-11-26,101.5049,102.1998,99.8674,101.6572,12073700
2024-11-27,102.2094,103.7612,101.9713,102.2379,6237600
2024-11-29,102.5806,103.3137,102.2093,103.1423,3918700
2024-12-02,103.1423,103.5231,100.4767,101.0479,5939700
