Date,Open,High,Low,Close,Volume
2024-08-12,233.9018,236.7715,232.9945,234.4738,913100
2024-08-13,234.4541,235.9135,232.7973,233.034,1043000
2024-08-14,233.4679,235.5486,231.7421,234.454,1159000
2024-08-15,234.7696,235.2429,231.6928,233.389,1108900
2024-08-16,233.5172,234.9077,232.1169,234.809,1013200
2024-08-19,234.5822,235.6472,234.2173,235.5388,788200
2024-08-20,235.8149,236.1699,234.454,235.1049,697900
2024-08-21,235.45,237.0771,235.1246,236.022,775100
2024-08-22,236.7714,237.5012,235.8839,237.2546,736300
2024-08-23,237.5801,237.8365,233.9412,234.4442,1170800
2024-08-26,232.2549,233.7144,230.0854,231.1899,1471200
2024-08-27,231.9591,233.458,228.8232,230.2629,1304100
2024-08-28,230.5193,233.4186,230.2827,233.172,878800
2024-08-29,233.1721,235.0852,232.1366,234.3061,829700
2024-08-30,233.961,236.4756,233.606,236.2488,1229100
2024-09-03,237.2152,241.426,236.6038,240.3412,1408900
2024-09-04,240.9921,241.2091,234.7499,240.0257,968500
2024-09-05,234.5723,235.2035,228.7048,232.965,2468400
2024-09-06,233.0833,234.168,230.0263,231.7126,1831600
2024-09-09,233.3989,235.026,231.9493,233.2509,1477100
2024-09-10,233.0636,236.1206,232.1958,234.2371,1615000
2024-09-11,232.9551,234.1976,230.5095,232.9452,1374900
2024-09-12,232.3141,234.7795,232.2352,234.3554,1133400
2024-09-13,234.3554,237.4617,233.5961,236.5545,1238500
2024-09-16,238.6451,240.499,237.6096,237.8956,1153900
2024-09-17,237.6688,238.7043,230.5785,231.2787,2096200
2024-09-18,227.2947,228.3696,224.0503,225.3125,2404600
2024-09-19,225.283,226.3283,221.5948,223.4192,2204100
2024-09-20,227.0777,229.267,221.6047,224.9477,6647200
2024-09-23,225.3619,227.7483,224.1193,225.1646,1067300
2024-09-24,223.3501,224.6715,218.9618,222.2259,2454800
2024-09-25,223.5079,223.5079,218.1137,220.3325,1737600
2024-09-26,219.021,222.4725,219.021,220.7763,1206400
2024-09-27,220.4016,222.1175,220.0367,221.8019,1082500
2024-09-30,222.1273,222.3344,220.5692,221.9597,1333600
2024-10-01,222.009,222.3739,220.0959,221.1215,1338900
2024-10-02,220.4213,220.5002,218.3208,218.5674,1812500
2024-10-03,218.5575,219.3168,217.0881,217.8968,1460400
2024-10-04,217.1671,218.0842,216.3091,216.8909,1638100
2024-10-07,216.1711,217.4432,215.6188,216.457,1414600
2024-10-08,217.5023,218.2616,216.6444,217.7488,1598800
2024-10-09,218.5378,219.3168,216.9797,218.094,1295000
2024-10-10,218.8336,219.6127,217.7587,219.1196,1352900
2024-10-11,219.9085,221.5948,219.1886,219.4746,938000
2024-10-14,219.8789,222.8965,218.8731,221.6934,1767700
2024-10-15,221.6145,233.1326,221.6145,229.8882,3260000
2024-10-16,228.3203,233.6059,227.63,233.2904,1701000
2024-10-17,231.1801,233.4186,230.3419,232.3733,1231800
2024-10-18,233.1326,234.8583,231.5844,234.1385,1210100
2024-10-21,234.7006,235.7952,232.7382,233.2608,848300
2024-10-22,232.5311,232.5311,230.4404,230.9237,1020800
2024-10-23,230.4897,231.7323,229.829,231.2688,755000
2024-10-24,230.9927,233.6651,230.401,231.8999,866900
2024-10-25,231.2195,231.8802,230.1052,231.2195,1009600
2024-10-28,231.752,232.2352,230.1742,230.332,835400
2024-10-29,229.7896,231.4759,228.4386,228.5569,966400
2024-10-30,228.0737,228.4879,225.4013,226.2987,1205500
2024-10-31,225.6774,228.3893,224.7899,224.9181,1264000
2024-11-01,227.4721,234.5723,227.1566,231.0222,1619700
2024-11-04,231.9492,233.1523,230.0066,230.6475,1036900
2024-11-05,231.5548,233.4481,228.7048,230.7461,1721300
2024-11-06,233.5172,243.9604,233.5172,241.9782,2215400
2024-11-07,245.5875,247.3231,242.9052,244.3253,1600300
2024-11-08,245.7354,247.5203,242.8362,244.9662,1376000
2024-11-11,245.5481,248.0331,244.9662,245.6368,1246200
2024-11-12,245.055,248.0726,244.6112,245.341,1279300
2024-11-13,245.5382,247.6189,244.5225,246.5046,1255500
2024-11-14,244.9564,245.6467,239.7792,240.0356,1463900
2024-11-15,239.6303,241.103,234.7181,237.446,1844700
2024-11-18,236.8431,241.4489,236.4675,240.0454,1246500
2024-11-19,239.3437,241.0931,237.703,238.1774,820200
2024-11-20,238.1477,240.8065,237.7326,240.3716,785100
