Date,Open,High,Low,Close,Volume
2024-09-03,886.927,887.1348,864.929,869.014,1784200.0
2024-09-04,867.9063,882.0607,867.0557,880.3396,1425200.0
2024-09-05,878.9647,878.9647,859.2515,876.3435,1998800.0
2024-09-06,881.5662,883.4851,861.5265,867.1447,2074600.0
2024-09-09,875.117,889.0538,872.1101,886.7392,1954000.0
2024-09-10,882.8914,890.8935,877.8667,884.563,1360800.0
2024-09-11,885.2653,892.1891,868.3216,890.6066,1796100.0
2024-09-12,890.6264,905.7402,886.7589,905.0775,1867300.0
2024-09-13,903.6927,913.7818,899.4691,906.0369,1327500.0
2024-09-16,911.9716,912.5948,895.5027,897.9953,1661000.0
2024-09-17,898.5493,898.7175,885.7105,887.5107,1387000.0
2024-09-18,890.1516,895.1368,881.2594,882.8123,1338200.0
2024-09-19,894.4247,895.2852,885.7599,890.9429,1747500.0
2024-09-20,891.7638,897.9359,885.9577,897.1149,4658200.0
2024-09-23,897.115,909.4988,890.9825,907.1052,1697600.0
2024-09-24,902.0904,902.8421,887.7679,891.7343,2432600.0
2024-09-25,893.1783,900.4583,891.3287,898.5394,1728100.0
2024-09-26,895.4533,899.3505,888.3613,891.6353,2738600.0
2024-09-27,883.5443,883.7718,864.4938,875.9874,3459100.0
2024-09-30,881.6748,900.1022,871.8231,876.8776,2142900.0
2024-10-01,875.6214,877.3424,863.2573,867.837,1836700.0
2024-10-02,865.1367,871.6451,857.7282,868.9745,1317100.0
2024-10-03,864.929,871.5956,863.1782,866.1456,1451900.0
2024-10-04,868.4404,874.6719,866.1456,873.5047,1516400.0
2024-10-07,872.011,878.0545,862.8418,864.0881,1963200.0
2024-10-08,867.1644,881.6155,867.1644,880.7352,1697900.0
2024-10-09,882.5353,900.1021,878.2128,899.2119,1956500.0
2024-10-10,900.1023,900.1023,882.1398,883.9103,1765800.0
2024-10-11,884.7708,884.7708,875.8687,879.3604,1527300.0
2024-10-14,882.7431,885.4335,876.6204,880.0823,1431500.0
2024-10-15,882.387,890.8539,879.8746,884.8796,1613900.0
2024-10-16,880.2406,881.6353,869.934,877.7283,1475500.0
2024-10-17,881.8628,885.5918,873.198,875.6609,1321500.0
2024-10-18,876.1259,880.9231,874.1377,879.8845,1654000.0
2024-10-21,879.3305,881.7045,874.0882,877.1248,1184900.0
2024-10-22,881.289,885.1565,874.6916,883.7717,1189700.0
2024-10-23,886.2743,895.8292,885.2554,889.39,2193500.0
2024-10-24,891.6946,893.6728,878.5986,883.7025,1649600.0
2024-10-25,885.9083,891.8133,880.3197,881.5264,1425800.0
2024-10-28,886.2446,886.2446,880.3198,881.2693,912500.0
2024-10-29,880.3197,881.477,864.5828,877.3425,1361700.0
2024-10-30,876.7391,876.927,867.8271,869.5284,1412200.0
2024-10-31,867.6591,868.1042,859.2021,864.6719,1771900.0
2024-11-01,865.9099,871.0007,859.0461,868.9208,1625200.0
2024-11-04,872.9123,878.5181,868.3463,877.597,1576700.0
2024-11-05,879.5086,887.0161,878.3201,881.6578,1622300.0
2024-11-06,889.6902,891.2947,877.805,890.6509,2437400.0
2024-11-07,890.027,910.6875,885.8177,905.1906,2145500.0
2024-11-08,905.26,952.801,905.0124,934.775,3277100.0
2024-11-11,934.775,942.1835,922.5332,923.9594,2181800.0
2024-11-12,927.0001,930.5756,918.1357,923.4642,1691400.0
2024-11-13,921.107,928.6244,914.372,924.8013,1757600.0
2024-11-14,918.1357,922.2461,913.3519,915.0555,1859900.0
2024-11-15,908.9642,911.7473,896.9007,898.3962,2269900.0
2024-11-18,901.9321,917.0858,898.4358,910.7173,1797300.0
2024-11-19,919.1261,925.0687,907.5974,921.2556,1690500.0
2024-11-20,916.2339,919.9183,907.736,919.2053,1452100.0
2024-11-21,926.0592,949.3246,921.107,946.5118,2320500.0
2024-11-22,953.5339,966.9642,949.3543,954.7917,2078700.0
2024-11-25,965.6767,965.6767,940.6087,951.7017,3240900.0
2024-11-26,954.7819,965.0527,951.7016,962.2101,1438000.0
2024-11-27,962.1705,962.9925,949.4236,952.3552,1499500.0
2024-11-29,958.8327,963.9631,953.2664,962.5864,1095900.0
2024-12-02,962.0714,967.1623,955.5346,965.6766,1955800.0
2024-12-03,965.3696,973.6001,961.4771,972.7582,1653900.0
2024-12-04,972.6097,981.6722,968.2022,981.4443,1784700.0
2024-12-05,977.2251,980.6619,968.846,972.8672,2089400.0
2024-12-06,972.8672,988.1695,972.8672,983.1182,1737300.0
2024-12-09,987.4761,987.4761,971.124,978.4136,1855500.0
2024-12-10,980.2658,985.4755,976.4526,983.9008,1556800.0
2024-12-11,985.4855,998.1631,984.089,985.1785,1903600.0
2024-12-12,992.1015,992.8839,977.7699,978.9386,2344300.0
2024-12-13,971.6193,997.0538,956.4953,979.8895,2951900.0
2024-12-16,979.5923,998.6087,976.9379,983.3758,2581300.0
2024-12-17,984.4949,987.387,971.3815,972.6889,2050200.0
2024-12-18,972.6097,976.1753,954.7819,955.5148,2725300.0
2024-12-19,965.1913,965.3201,944.3922,945.6698,2610800.0
2024-12-20,940.3115,952.7415,934.0321,944.9468,5373800.0
2024-12-23,944.7586,945.135,928.04,940.8265,1856800.0
2024-12-24,941.6486,950.2059,936.4092,949.6513,939000.0
2024-12-26,947.6704,950.2356,944.8774,946.9969,969000.0
2024-12-27,939.6479,941.3614,923.0879,930.7142,1943400.0
2024-12-30,922.0973,925.237,906.7455,913.3914,1881200.0
2024-12-31,914.8177,915.8972,903.8139,907.5082,1742900.0
2025-01-02,906.2504,916.9174,893.3747,901.11,1765100.0
2025-01-03,905.5868,915.3724,902.2886,907.8153,1612200.0
2025-01-06,909.2018,918.5417,904.5369,913.8867,1970400.0
2025-01-07,915.0059,922.4044,907.6667,912.5594,1888000.0
2025-01-08,914.1541,921.6022,906.6664,918.5021,1774800.0
2025-01-10,924.4348,935.2504,914.6691,927.9806,2765800.0
2025-01-13,925.0687,926.0492,912.193,915.8577,1693800.0
2025-01-14,915.4615,918.8884,901.219,908.4591,1683800.0
2025-01-15,918.3931,923.9495,909.5188,914.6691,1839400.0
