Date,Open,High,Low,Close,Volume
2024-08-20,72.8847,73.1639,72.5477,72.6536,1686400
2024-08-21,72.9617,73.8667,72.7787,73.7704,3225000
2024-08-22,73.7704,74.0689,73.3179,73.4334,1910800
2024-08-23,73.7704,74.0978,73.3757,73.8282,1719500
2024-08-26,74.2615,74.5696,73.8378,73.9534,2483300
2024-08-27,73.7897,74.3096,73.6549,74.2807,4533900
2024-08-28,74.4155,75.2628,73.8282,74.0111,1990300
2024-08-29,74.3096,74.6466,73.5586,74.2711,3347700
2024-08-30,74.5118,74.9739,74.1652,74.8777,3383200
2024-09-03,74.3963,75.1473,73.5586,73.9148,3506800
2024-09-04,73.7897,74.637,73.6549,74.4444,2491400
2024-09-05,74.4444,74.4637,73.703,73.9052,2774500
2024-09-06,74.1363,74.6273,72.9135,73.0194,2510400
2024-09-09,73.4142,73.8956,73.2505,73.2986,3161500
2024-09-10,73.6838,73.7993,73.0965,73.703,1928200
2024-09-11,73.5105,73.5682,71.9796,73.4623,2580400
2024-09-12,73.5971,73.8763,72.7402,73.472,1996600
2024-09-13,73.703,74.4348,73.6838,74.3385,2371700
2024-09-16,74.6466,75.0125,74.1844,74.9739,1946300
2024-09-17,75.2146,75.3591,73.0098,73.3853,2578800
2024-09-18,73.0387,73.4334,72.3936,72.5477,2043700
2024-09-19,73.4912,73.6838,72.2492,72.4033,3083500
2024-09-20,72.4225,72.8365,72.0085,72.8269,5605100
2024-09-23,72.9617,73.3372,72.4706,73.289,6565600
2024-09-24,73.3949,73.7223,73.1831,73.212,2670500
2024-09-25,73.0098,73.5971,72.6439,72.721,1766800
2024-09-26,74.3577,74.6755,73.9437,74.3289,3626600
2024-09-27,74.5888,74.7236,73.8282,74.0304,4426000
2024-09-30,74.1363,74.4252,73.3661,74.3096,2665700
2024-10-01,74.2807,74.5214,72.9232,73.2601,2356600
2024-10-02,72.9713,74.0015,72.798,73.9052,3571100
2024-10-03,73.6356,73.9437,73.1927,73.6838,2587300
2024-10-04,74.3963,74.8584,73.7801,74.2711,1528500
2024-10-07,73.9149,73.963,72.9424,73.1735,1585000
2024-10-08,73.3564,73.6453,72.5862,73.2986,2756900
2024-10-09,73.2505,74.1074,73.2505,73.9437,1420100
2024-10-10,73.4238,73.4816,71.5078,71.7293,3545300
2024-10-11,71.8063,73.2505,71.7678,73.1157,2800300
2024-10-14,73.3083,73.9726,73.1639,73.9148,2025000
2024-10-15,74.0785,74.8295,73.7993,74.5022,3863700
2024-10-16,74.5984,74.9162,74.3963,74.714,2351900
2024-10-17,74.7236,75.0991,74.0208,74.8488,2012500
2024-10-18,74.8488,75.1472,74.4636,75.0991,3058500
2024-10-21,74.868,75.0702,73.9052,74.0111,1884200
2024-10-22,73.7801,73.9052,72.8461,73.0002,1866600
2024-10-23,72.8269,73.4142,72.6054,73.2409,2083700
2024-10-24,73.3949,73.5779,71.9122,72.0759,6106700
2024-10-25,72.3936,72.721,71.8544,72.0374,4909100
2024-10-28,72.6054,73.0291,72.047,72.1914,3441500
2024-10-29,72.0759,73.1061,71.787,72.7113,4020900
2024-10-30,71.9989,72.5958,71.5078,71.5848,3266600
2024-10-31,74.9354,75.0991,71.7967,71.8159,6074400
2024-11-01,71.6234,72.124,70.391,71.8352,4101200
2024-11-04,71.6908,72.4995,71.5175,72.1144,4665100
2024-11-05,72.2877,73.2409,72.1337,72.5862,2671100
2024-11-06,75.1184,76.4759,74.5984,76.447,4232900
2024-11-07,76.5433,78.4978,76.447,78.3341,5172800
2024-11-08,78.3341,78.7096,77.1692,77.3232,3994400
2024-11-11,77.5735,79.1333,77.5543,78.4689,1947000
2024-11-12,78.4401,78.8829,78.2379,78.7,1910500
2024-11-13,78.6326,79.3451,78.2475,79.2584,4839100
2024-11-14,78.8926,79.2103,77.6602,77.7661,3264900
2024-11-15,77.5061,77.5254,74.2133,74.2422,5411800
2024-11-18,74.3481,74.9547,73.9726,74.0111,4412600
2024-11-19,73.3635,74.0691,72.6483,73.7695,5078800
2024-11-20,73.6245,75.0067,73.5858,74.9777,4883300
2024-11-21,75.2,76.4083,74.8037,76.2246,5436200
2024-11-22,76.2923,77.3555,76.1279,76.8819,2720800
2024-11-25,77.6165,78.1191,77.3458,77.9354,3074200
2024-11-26,78.0418,78.4477,77.0462,78.3511,2828900
2024-11-27,78.1578,78.2738,77.3362,78.0514,1456400
2024-11-29,77.9258,78.2738,77.5295,77.8001,1399500
2024-12-02,77.5102,78.3124,77.2975,78.1191,2984000
2024-12-03,77.5102,77.8871,76.9399,77.3072,2372500
2024-12-04,77.7131,78.1191,77.5198,77.8871,1914800
2024-12-05,77.5778,78.2157,77.4521,78.0321,1823000
2024-12-06,78.5154,78.6797,78.1578,78.4381,2657000
2024-12-09,78.2931,78.7667,77.8098,77.9451,2639400
2024-12-10,77.4715,78.1384,76.7272,77.3845,2456700
2024-12-11,77.8968,79.0857,77.6358,78.5347,2150600
2024-12-12,78.3607,78.873,77.6455,77.6841,1869300
2024-12-13,77.3748,77.9548,76.8335,77.3845,2698700
2024-12-16,77.6551,78.2641,77.1815,78.0031,2587100
2024-12-17,78.6024,79.7043,78.1674,78.3221,3368500
2024-12-18,77.9838,78.9794,75.6253,75.6447,2771700
2024-12-19,76.012,77.4038,76.012,76.8336,3391200
2024-12-20,76.1473,77.5875,75.7123,76.5822,5945900
2024-12-23,76.1279,76.7756,75.983,76.3599,2526500
2024-12-24,76.2439,76.8626,76.0216,76.8336,917200
2024-12-26,76.5339,77.3942,76.3889,77.2202,1639800
2024-12-27,76.5726,77.4425,75.954,76.5532,1962400
2024-12-30,75.8283,75.9733,73.1025,74.1851,3208900
2024-12-31,74.4268,74.7651,73.7888,74.3301,2039900
2025-01-02,74.8907,75.258,73.6342,73.8565,2196000
2025-01-03,74.2914,74.6201,73.1895,73.8275,2570700
2025-01-06,73.6922,74.6394,73.1219,73.3732,3248700
2025-01-07,73.2572,74.2238,72.7739,73.0929,1860300
2025-01-08,73.0929,73.5278,72.281,73.4795,2407500
2025-01-10,72.6869,74.0595,72.6869,72.8029,2985700
2025-01-13,72.4743,74.2334,72.0876,74.1175,3192100
2025-01-14,73.9821,75.055,73.8758,74.5911,2940900
2025-01-15,75.403,75.5287,74.3591,75.1807,2119400
2025-01-16,74.8134,75.0454,73.7115,74.8424,2995100
2025-01-17,76.0603,76.0699,74.6587,75.2097,3580400
2025-01-21,75.4223,76.2343,74.9584,75.8283,3384900
2025-01-22,75.6833,76.4662,75.2387,76.4082,2562400
2025-01-23,76.3793,77.2685,75.7993,77.0172,2182500
2025-01-24,76.8432,77.6938,76.7562,77.3748,1257400
2025-01-27,76.8432,78.6121,76.7079,78.4091,3127800
2025-01-28,78.0514,78.6507,77.3652,78.2544,2555700
2025-01-29,78.3414,78.96,78.0708,78.4768,1662800
2025-01-30,79.2597,80.6805,79.0567,79.9943,4444100
2025-01-31,80.0716,80.6129,79.7333,79.8493,2647700
2025-02-03,79.221,80.5355,78.7184,80.1296,3389300
2025-02-04,79.6366,81.1638,79.6366,80.7482,3640600
2025-02-05,79.105,81.0672,79.105,80.8062,4783300
2025-02-06,81.3765,84.6822,80.5645,84.1796,6345100
2025-02-07,84.3632,84.4309,82.9327,83.3193,3909300
2025-02-10,84.1119,84.5275,83.4256,84.0539,4727600
2025-02-11,83.8896,85.1171,83.6673,84.9335,3192600
2025-02-12,84.0249,85.4458,83.9766,85.1365,2869800
2025-02-13,85.3491,86.6347,84.8368,86.5864,2542900
2025-02-14,86.8377,87.7849,86.3544,87.6689,4370000
2025-02-18,87.1452,87.2907,85.3897,86.0977,7779100
2025-02-19,85.5934,85.8552,84.9047,85.7679,2759400
2025-02-20,85.477,85.477,84.3228,84.9047,2911200
2025-02-21,84.9047,84.9047,82.189,82.3151,6337000
2025-02-24,82.8776,82.8776,81.869,82.0047,8623500
2025-02-25,81.8011,82.5382,81.3549,82.286,3506700
2025-02-26,82.0532,82.6061,81.4034,81.6168,2622100
2025-02-27,81.6653,82.3442,81.3937,81.4616,4637200
2025-02-28,81.7041,81.9077,79.8613,80.8215,5554300
2025-03-03,81.3161,81.801,80.4529,80.996,3099200
2025-03-04,80.9669,81.9562,80.1425,81.2191,5145500
2025-03-05,80.9863,82.0629,80.6469,81.7526,3245200
2025-03-06,81.5101,81.6071,80.2201,81.0445,3732900
2025-03-07,80.1716,81.0639,79.1435,80.7245,5748000
2025-03-10,80.899,84.4101,80.5305,81.4713,9940000
2025-03-11,81.0154,81.2579,79.4345,79.9874,4363600
2025-03-12,79.5897,79.7158,76.7576,77.1068,4801000
2025-03-13,76.9904,77.2522,75.4482,75.9817,3601100
2025-03-14,76.5733,76.874,75.7489,76.7382,3754000
2025-03-17,76.6121,78.1057,76.3987,77.6111,2862400
2025-03-18,77.5917,77.5917,76.4181,77.1843,2584000
2025-03-19,77.4365,77.8439,76.7479,77.2619,3562000
2025-03-20,75.7004,75.8944,73.9837,74.8857,5402100
2025-03-21,74.1098,74.6335,73.2272,74.1195,9505300
2025-03-24,74.9633,75.681,74.5559,75.5937,4603700
2025-03-25,76.1854,78.096,76.1078,76.4472,5214900
2025-03-26,76.1853,77.0001,75.3318,75.5064,3833100
2025-03-27,75.4676,75.8265,74.9148,75.2446,3251600
2025-03-28,75.3318,75.6422,73.2757,73.6151,3781800
2025-03-31,72.9847,74.4104,72.975,74.1971,3590400
2025-04-01,74.071,74.5656,73.4696,74.1486,3152300
2025-04-02,73.4114,74.6917,73.4114,74.4201,2550100
