Date,Open,High,Low,Close,Volume
2024-09-03,133.9564,134.1589,132.7876,133.1373,7944700
2024-09-04,133.1189,133.938,130.3854,130.7536,9820700
2024-09-05,131.766,131.766,129.4007,129.7044,9371100
2024-09-06,129.8333,130.7904,126.8881,127.5232,7836400
2024-09-09,127.5968,130.7076,127.5048,129.1246,9892300
2024-09-10,129.6768,129.8425,126.1703,127.2195,8202500
2024-09-11,127.2011,127.4496,124.5873,126.8974,9534000
2024-09-12,127.2195,128.3607,126.474,128.1214,6591500
2024-09-13,128.7288,130.2566,128.5816,129.4099,5900700
2024-09-16,130.4039,131.766,129.8333,130.772,6864300
2024-09-17,130.5051,132.6587,130.4499,131.9868,7338800
2024-09-18,131.904,134.0024,131.7844,132.493,6180300
2024-09-19,134.1957,135.0884,133.3858,133.441,7247400
2024-09-20,133.6619,134.2877,132.0145,134.076,23162900
2024-09-23,134.6006,136.5978,134.3245,135.7879,6960600
2024-09-24,137.0212,137.2236,135.2081,135.705,6014200
2024-09-25,135.2449,135.6682,132.0697,132.5022,7888400
2024-09-26,129.6768,131.812,129.4283,130.68,8046200
2024-09-27,131.5911,134.1589,131.4623,133.9012,8049200
2024-09-30,133.7907,135.7326,132.7875,135.5394,7491700
2024-10-01,134.6927,138.5305,133.8644,137.7758,9489100
2024-10-02,139.5981,140.1503,137.3709,138.9263,8105400
2024-10-03,139.2576,140.0491,138.0704,139.2024,6553300
2024-10-04,140.3344,140.3528,138.1808,138.733,7892400
2024-10-07,139.4325,140.5829,138.687,139.0827,5895900
2024-10-08,137.3157,137.6838,135.9627,136.9015,5892700
2024-10-09,135.7602,138.3924,135.6222,137.7298,4973500
2024-10-10,138.6778,139.4785,137.9139,138.6226,4420900
2024-10-11,138.4017,140.1963,138.282,139.3588,5051300
2024-10-14,138.5305,139.8006,138.2176,139.6902,4214700
2024-10-15,136.9475,138.0151,135.8063,135.9628,6704600
2024-10-16,136.5334,137.1592,136.4045,136.8831,4303700
2024-10-17,137.3709,139.276,137.104,139.1564,6593100
2024-10-18,138.8066,139.0459,137.4813,138.7422,5208200
2024-10-21,139.8926,140.3344,138.5029,138.8619,5074000
2024-10-22,139.2024,139.5981,138.2544,138.8987,4416400
2024-10-23,138.3833,138.9723,137.3985,138.4937,5248600
2024-10-24,139.0919,139.3864,137.4813,138.4661,5474300
2024-10-25,139.3312,140.0031,138.4753,138.7974,6839900
2024-10-28,136.4413,138.6962,136.3585,138.5489,8892000
2024-10-29,138.0888,138.4385,136.0916,136.6898,6014700
2024-10-30,137.2052,137.7298,135.8983,136.2572,5784000
2024-10-31,136.9107,137.6562,136.11,136.9659,8400900
2024-11-01,140.3344,143.5096,139.6165,140.8774,11728000
2024-11-04,142.1199,142.1199,140.4632,141.7057,6130000
2024-11-05,142.2211,142.35,140.3988,141.1903,5978900
2024-11-06,144.5864,145.9761,143.6844,145.157,12118900
2024-11-07,145.3595,145.4239,143.9421,144.2827,8143200
2024-11-08,144.1262,145.0282,143.2703,144.4299,6041500
2024-11-11,144.6232,145.3595,143.482,144.0342,7771700
2024-11-12,144.7704,144.9269,142.7641,142.9205,5681900
2024-11-13,143.6385,146.3535,142.2211,146.0774,8824000
2024-11-14,147.1081,148.9396,146.9609,148.912,10111200
2024-11-15,148.6543,149.4458,147.9549,148.5623,9022800
2024-11-18,149.2782,150.1707,147.8929,149.4641,6075400
2024-11-19,148.7389,149.1573,147.5954,148.3856,4657400
2024-11-20,148.6739,150.0964,148.553,149.9941,6391300
2024-11-21,150.6356,151.2213,149.9569,150.273,7945200
2024-11-22,150.1614,151.1841,149.8267,150.9517,7005900
2024-11-25,150.7565,151.7048,148.5995,149.0923,10702400
2024-11-26,150.9052,151.491,150.0592,151.1098,7369500
2024-11-27,151.3236,153.1087,150.2544,150.7193,7674500
2024-11-29,150.8494,151.3143,149.3712,150.5519,5077000
2024-12-02,150.8866,151.5003,148.8598,150.8123,6229600
2024-12-03,151.5281,151.7327,150.0499,150.5426,5900100
2024-12-04,150.4589,150.4682,146.7679,147.1956,7862700
2024-12-05,148.0974,149.3805,147.5396,148.1346,6358400
2024-12-06,147.5954,147.6697,144.2669,144.332,9701700
2024-12-09,145.9683,148.8319,145.801,146.0427,9404500
2024-12-10,147.8836,148.3113,145.6894,145.9683,9126200
2024-12-11,145.8381,146.1264,144.8526,145.2338,13764700
2024-12-12,144.9177,145.5314,143.4302,143.8392,7621500
2024-12-13,143.988,144.0717,142.3145,143.0583,5816200
2024-12-16,143.0769,143.0769,138.7629,138.8652,11961200
2024-12-17,137.6007,138.205,136.5873,137.703,11909300
2024-12-18,137.3776,138.2237,133.8632,133.9562,10174500
2024-12-19,134.4117,134.5884,131.0461,131.232,16544300
2024-12-20,130.9252,132.8126,130.6742,132.8126,32209200
2024-12-23,132.4686,133.2775,131.5946,132.9241,8156500
2024-12-24,133.045,133.9189,132.264,133.733,3556100
2024-12-26,133.575,134.17,132.8591,133.8632,4492600
2024-12-27,134.1514,135.4716,133.3146,133.8818,5296500
2024-12-30,133.6865,133.8632,132.3477,133.0171,6194800
2024-12-31,133.4355,135.1276,133.2496,134.6628,6137800
2025-01-02,135.2578,137.6658,135.2578,136.4014,7170300
2025-01-03,137.173,138.0656,136.9499,137.4613,5809000
2025-01-06,137.9726,139.767,136.5501,136.9127,5888700
2025-01-07,138.0749,139.9251,137.2567,139.079,7736000
2025-01-08,137.6379,140.5573,137.6286,139.7391,7640900
2025-01-10,142.6306,143.4952,140.2691,142.3796,11074700
2025-01-13,143.2721,146.2937,143.1791,144.4343,11774100
2025-01-14,144.3041,145.8847,143.6068,145.8754,6830200
2025-01-15,145.8568,147.5396,145.3919,147.2049,7900000
2025-01-16,146.926,148.6646,146.926,148.1811,5578900
2025-01-17,147.9487,150.4032,147.6418,150.1242,9260400
2025-01-21,149.8267,150.0592,146.4239,147.1212,10131400
2025-01-22,146.6005,147.3071,145.2896,145.4198,7232200
2025-01-23,146.5541,146.8423,144.6853,145.0479,5979800
2025-01-24,145.4663,146.4053,144.3599,144.7132,8003800
2025-01-27,145.3454,146.7958,144.5923,146.1822,7141000
2025-01-28,146.6284,147.7534,144.2762,145.2338,6425400
2025-01-29,144.7783,145.5778,143.9322,144.7504,5630600
2025-01-30,145.5592,146.3867,144.5923,145.3361,6931900
2025-01-31,142.956,143.5231,138.205,138.7071,16726800
2025-02-03,138.5304,140.2597,137.4148,138.8465,7605000
2025-02-04,138.2701,142.612,138.2701,142.4539,8458100
2025-02-05,142.2401,142.9932,141.5893,142.2401,6533700
2025-02-06,143.3837,144.3506,140.4457,141.2267,6420500
2025-02-07,141.7659,143.0025,141.2453,141.8961,4724900
2025-02-10,143.4487,144.8526,143.2349,144.8248,5653800
2025-02-11,145.364,147.5582,145.1502,146.3774,6011800
2025-02-12,145.7359,146.4053,143.7091,144.0159,6693500
2025-02-13,143.9043,145.4291,142.5469,144.927,7836400
2025-02-14,145.7825,148.0104,145.5945,146.0269,5828800
2025-02-18,146.0269,147.8788,145.5004,146.7977,5981500
2025-02-19,147.1361,148.8658,146.6473,147.8036,4945800
2025-02-20,148.0574,149.4205,147.6532,149.2701,6256200
2025-02-21,148.6496,149.4204,147.4181,147.5121,6689800
2025-02-24,147.672,148.8376,147.3524,148.424,5925000
2025-02-25,148.518,149.458,146.1397,147.0421,6810900
