Date,Open,High,Low,Close,Volume
2024-08-12,94.989,95.2427,94.2401,94.6146,852115
2024-08-13,94.6991,95.291,94.2764,95.2185,905491
2024-08-14,95.3877,95.6051,94.6267,95.1219,897684
2024-08-15,96.2332,97.3445,96.0882,96.97,1303665
2024-08-16,96.8492,97.127,95.8829,96.8492,1018698
2024-08-19,96.9458,97.2357,96.4506,96.8009,921186
2024-08-20,96.4868,96.97,95.6534,95.7379,1514941
2024-08-21,96.1969,97.2478,96.0882,97.0062,907722
2024-08-22,97.0183,97.2116,96.3177,96.9821,1269170
2024-08-23,97.4169,98.3953,96.9337,97.9605,1055583
2024-08-26,98.5161,99.1684,98.0209,98.6127,1242242
2024-08-27,98.806,99.9173,98.1296,99.6394,1729006
2024-08-28,99.1925,99.9777,98.963,99.6878,1714108
2024-08-29,100.1226,101.3667,99.4824,100.7628,1323980
2024-08-30,101.2239,102.5587,101.1026,102.231,2832070
2024-09-03,101.321,101.8549,99.1975,99.6464,2092843
2024-09-04,99.8649,100.5444,99.0761,99.1368,1686304
2024-09-05,99.4038,99.4402,98.251,98.7485,1337125
2024-09-06,98.3602,99.1247,95.3631,96.0304,2413183
2024-09-09,96.5886,98.0326,96.4187,96.5401,2389761
2024-09-10,96.3459,96.9769,95.7635,96.4794,1721039
2024-09-11,96.3581,97.0982,94.4287,96.9648,1276977
2024-09-12,96.9526,98.0932,96.3823,97.5715,1233957
2024-09-13,98.1297,99.3916,98.1297,98.797,1230850
2024-09-16,99.3067,100.2167,98.7728,99.5008,1157875
2024-09-17,100.0347,100.9691,99.877,100.5444,1334576
2024-09-18,100.7992,101.5273,100.0833,100.5201,1397035
2024-09-19,101.9277,102.1582,100.7143,100.9327,1193247
2024-09-20,100.2046,101.4909,99.1975,101.1268,2834301
2024-09-23,101.4423,102.1825,101.3452,102.0612,1113740
2024-09-24,102.9348,105.9077,102.7286,105.7014,2612429
2024-09-25,105.7014,105.8956,103.7599,104.2817,1112784
2024-09-26,105.7014,108.4923,105.4952,108.2254,2390797
