Date,Open,High,Low,Close,Volume
2024-09-03,159.3667,159.8417,148.995,149.84,2817000
2024-09-04,148.6283,149.8583,146.915,149.2283,1781400
2024-09-05,148.2917,148.5267,145.2167,146.5633,1507800
2024-09-06,146.7567,147.5,142.695,143.3267,2334000
2024-09-09,144.5,149.5267,144.5,149.015,2385600
2024-09-10,147.0,148.7367,145.2,148.4517,1704600
2024-09-11,147.4433,151.9417,146.7683,151.5433,2273400
2024-09-12,151.945,155.1067,151.5367,153.1883,998400
2024-09-13,154.1183,157.5867,153.675,155.845,1381800
2024-09-16,157.16,157.16,153.0733,156.28,1551600
2024-09-17,156.33,159.25,152.63,155.1,1036000
2024-09-18,160.45,162.05,156.76,157.23,1365100
2024-09-19,159.67,160.79,152.04,152.11,2198800
2024-09-20,147.98,151.28,146.21,150.73,4517000
2024-09-23,151.2,155.03,149.13,154.21,1990100
2024-09-24,154.86,157.49,153.45,154.4,1309800
2024-09-25,154.57,156.21,153.14,154.5,1362000
2024-09-26,157.41,158.69,153.35,157.26,1244900
2024-09-27,158.91,160.0,156.84,159.42,1218400
2024-09-30,158.78,161.38,157.74,159.45,2148600
2024-10-01,159.42,160.06,154.84,155.62,1354800
2024-10-02,152.42,158.83,150.6,157.66,1905800
2024-10-03,157.11,159.14,156.01,156.79,1574300
2024-10-04,159.38,167.23,159.15,166.81,2327300
2024-10-07,164.5,165.24,154.63,158.83,2765800
2024-10-08,160.56,163.67,160.37,161.94,1891100
2024-10-09,161.25,162.69,160.23,160.44,1566600
2024-10-10,158.99,160.16,157.07,158.26,1162400
2024-10-11,157.92,161.81,157.63,161.25,1114600
2024-10-14,161.99,162.69,159.5,160.73,1316100
2024-10-15,160.48,163.8,160.48,161.85,1966900
2024-10-16,164.21,164.69,159.65,161.16,1505300
2024-10-17,161.98,162.18,157.65,160.31,1625100
2024-10-18,161.31,161.92,159.11,161.85,1865000
2024-10-21,161.4,161.85,156.29,160.01,1908200
2024-10-22,155.0,157.84,153.76,154.05,2479900
2024-10-23,153.2,154.48,150.35,150.96,1725200
2024-10-24,152.79,153.23,150.94,152.04,3673500
2024-10-25,169.95,172.57,164.0,168.11,8426600
2024-10-28,168.65,170.74,166.36,169.29,2920500
2024-10-29,167.0,170.17,163.16,169.55,2434800
2024-10-30,169.61,170.4,167.59,169.52,1711200
2024-10-31,168.65,168.65,160.85,160.89,2374500
2024-11-01,162.8,162.8,158.0,158.12,2025900
2024-11-04,158.09,164.35,158.04,162.26,1950100
2024-11-05,161.93,163.82,161.4,163.67,1381000
2024-11-06,167.37,168.0,161.89,164.77,2044300
2024-11-07,166.5,173.42,166.5,171.34,1774200
2024-11-08,171.0,176.71,170.26,175.61,2036200
2024-11-11,178.0,179.0,175.24,177.08,1809200
2024-11-12,177.06,177.75,174.92,177.63,1590500
2024-11-13,178.45,182.26,178.0,178.34,1383200
2024-11-14,178.5,179.22,174.96,176.86,1229200
2024-11-15,175.84,176.86,174.06,175.66,1141400
2024-11-18,176.16,178.0,174.04,176.45,1685800
2024-11-19,174.78,176.69,172.36,176.29,1860800
2024-11-20,176.58,178.0,174.27,176.36,1095500
2024-11-21,176.63,181.98,175.12,181.91,2664000
2024-11-22,185.78,193.33,185.78,192.15,3056900
2024-11-25,194.04,198.08,193.0,196.49,3911700
2024-11-26,196.63,196.78,192.91,194.41,1503000
2024-11-27,193.52,195.78,190.85,191.77,1203100
2024-11-29,193.71,196.89,193.07,195.96,813900
2024-12-02,196.93,203.78,196.61,201.9,1999900
2024-12-03,202.36,205.35,202.08,202.87,2066100
2024-12-04,203.26,207.29,202.51,204.15,1817900
2024-12-05,201.7,204.01,200.82,200.92,2345800
2024-12-06,203.11,203.11,198.67,199.55,1766700
2024-12-09,199.95,202.72,195.46,201.55,1689700
2024-12-10,201.53,205.12,199.19,202.12,1110700
2024-12-11,203.76,208.45,203.0,204.95,1654100
2024-12-12,203.85,206.72,203.13,203.68,1001700
2024-12-13,205.0,207.44,203.54,206.63,1642800
2024-12-16,207.44,213.03,206.51,211.12,1788600
2024-12-17,211.0,212.78,207.9,210.37,1709700
2024-12-18,209.32,211.41,201.0,201.48,1581800
2024-12-19,203.35,208.1,202.22,205.28,1937300
2024-12-20,203.89,214.7,202.49,210.97,3805100
2024-12-23,208.66,210.52,206.3,207.65,1874500
2024-12-24,208.05,208.95,206.9,208.01,523900
2024-12-26,208.0,210.5,207.75,209.43,1071200
2024-12-27,207.86,209.69,205.84,207.11,848200
2024-12-30,203.17,207.76,201.78,205.76,1068200
2024-12-31,206.58,207.0,203.04,203.09,1317300
2025-01-02,205.13,206.61,202.33,204.54,1556500
2025-01-03,206.18,209.25,206.04,207.25,1711500
2025-01-06,210.94,212.49,207.11,208.47,2993700
2025-01-07,210.51,211.89,203.56,205.1,1501600
2025-01-08,205.69,209.07,203.89,207.52,1630900
2025-01-10,207.0,210.44,205.94,207.5,1526100
2025-01-13,203.82,204.84,195.18,204.59,1980200
2025-01-14,206.75,209.41,204.09,206.14,1239100
2025-01-15,209.51,209.85,203.14,203.73,1170100
2025-01-16,205.75,209.75,204.97,208.22,1490600
2025-01-17,210.23,212.85,208.41,209.91,1313200
2025-01-21,214.07,218.39,210.82,214.11,1841400
2025-01-22,214.24,215.55,212.5,214.92,1478600
2025-01-23,213.0,218.92,210.6,218.57,1828000
2025-01-24,218.55,218.78,214.42,217.16,1452800
2025-01-27,211.76,214.82,208.55,211.9,1708500
2025-01-28,213.09,216.16,211.79,215.92,1896300
2025-01-29,218.31,222.05,216.35,218.9,1739900
2025-01-30,221.22,223.98,219.54,223.11,4428300
2025-01-31,196.1,198.65,177.31,177.36,15046800
2025-02-03,174.5,177.59,169.78,170.63,6340400
2025-02-04,173.21,174.38,169.02,169.49,5849800
2025-02-05,169.4,174.48,169.2,172.52,4758100
2025-02-06,175.0,177.64,172.03,172.19,4093200
2025-02-07,172.7,174.38,167.6,168.24,3344200
2025-02-10,168.73,169.58,160.26,161.65,5318600
2025-02-11,160.5,160.59,157.22,157.64,3483400
2025-02-12,155.8,157.34,153.51,154.03,3802200
2025-02-13,156.95,159.26,154.59,158.11,3164700
2025-02-14,157.1,158.0,154.2,155.07,2263200
2025-02-18,155.2,156.6,153.92,155.84,2855400
2025-02-19,154.52,155.82,151.5,152.55,2577300
2025-02-20,151.12,151.58,146.47,150.02,3945500
2025-02-21,150.5,151.33,144.88,146.57,2410100
2025-02-24,147.0,147.8,139.6,140.11,4239100
2025-02-25,139.5,144.59,138.81,142.79,4298200
2025-02-26,144.77,149.55,144.57,144.97,3632900
2025-02-27,145.76,146.09,138.12,138.49,2836200
2025-02-28,138.5,140.13,136.54,139.36,3004100
2025-03-03,140.17,141.9,135.8,137.24,2785700
2025-03-04,136.21,136.97,131.2,133.78,3813200
2025-03-05,134.26,137.5,134.26,136.09,2231300
