Date,Open,High,Low,Close,Volume
2024-08-14,98.0066,101.2166,97.2793,99.8395,12141000
2024-08-15,103.8254,107.6075,102.2252,106.8802,17713200
2024-08-16,105.6098,108.7713,104.7951,107.9373,11632600
2024-08-19,107.6463,108.6743,105.1055,108.49,8374900
2024-08-20,108.3737,109.0816,106.2498,107.3651,6189000
2024-08-21,107.5009,108.5191,105.571,108.3252,6714400
2024-08-22,109.1495,110.5751,105.3867,105.6873,7018300
2024-08-23,107.016,109.2562,106.7444,108.6258,6023400
2024-08-26,108.6258,110.7011,107.0159,108.2961,7307800
2024-08-27,106.9966,108.9749,106.3953,108.4803,6271600
2024-08-28,106.9675,108.684,104.9406,108.1894,9528000
2024-08-29,105.0085,110.9824,104.8339,107.3942,23836600
2024-08-30,111.8746,114.1633,107.3069,112.0491,33433600
2024-09-03,111.4091,113.1644,105.8231,107.4233,14159000
2024-09-04,105.7068,107.2099,104.0678,105.7649,8113600
2024-09-05,103.7672,105.0279,101.9537,103.9224,9362400
2024-09-06,103.3017,104.9406,98.3461,98.9182,11962600
2024-09-09,104.1066,104.3975,101.9246,102.6907,18742700
2024-09-10,102.9429,104.2812,102.2349,103.418,9367400
2024-09-11,103.9126,105.6098,102.361,105.5128,9715100
2024-09-12,105.4158,109.8089,105.3188,108.7616,9893500
2024-09-13,108.7907,111.186,108.0342,110.8466,7353300
2024-09-16,108.9846,112.3013,108.8392,111.9134,8618900
2024-09-17,114.1536,114.7355,111.5643,113.2905,9412700
2024-09-18,114.0275,116.0059,112.4371,112.4855,10783600
2024-09-19,116.4423,116.4423,113.8142,114.2118,10630500
2024-09-20,112.9801,115.4531,111.6031,113.9499,75332800
2024-09-23,113.9984,114.5318,113.0577,114.0178,8067800
2024-09-24,114.5997,114.8615,112.4952,113.7657,6851800
2024-09-25,113.7269,116.6071,113.5329,116.5393,8535000
2024-09-26,118.6825,123.1629,117.7224,122.6683,13420500
2024-09-27,120.2535,120.6512,116.4423,116.5878,13545000
2024-09-30,115.4046,116.3356,113.4165,114.9585,8638100
2024-10-01,113.8432,114.2215,109.4986,109.7411,9641900
2024-10-02,109.5568,113.0383,108.7325,110.032,6047100
2024-10-03,110.5751,113.2226,110.1872,112.1752,6872500
2024-10-04,113.9499,117.189,113.5232,116.7817,8175800
2024-10-07,116.0641,117.1987,114.6094,115.4919,5208100
2024-10-08,115.7925,118.2558,115.1137,118.2461,5681500
2024-10-09,117.9552,119.4098,116.8593,118.6437,6023500
2024-10-10,117.7903,121.0876,117.5381,121.0294,5947200
2024-10-11,120.2535,124.4236,119.7687,123.8709,7811900
2024-10-14,125.1025,126.3244,123.5508,124.4721,5933000
2024-10-15,124.9473,127.1681,121.8634,122.0283,6016600
2024-10-16,123.0562,123.6575,121.0294,122.9011,3833100
2024-10-17,125.1995,127.6239,124.1327,125.277,5603600
2024-10-18,125.2964,125.665,121.4173,122.6392,5491700
2024-10-21,122.678,123.1435,121.3882,121.8634,4405000
2024-10-22,120.7782,120.9729,116.1554,117.1773,7093000
2024-10-23,115.7855,118.3062,114.6663,116.2916,4558900
2024-10-24,117.3817,118.1408,116.1651,117.3427,3638100
