Date,Open,High,Low,Close,Volume
2024-08-07,118.7532,119.0777,112.9587,113.121,2186000
2024-08-08,113.4551,113.961,111.1354,112.8059,2528000
2024-08-09,112.5291,113.3501,111.1163,111.5077,1520800
2024-08-12,111.2499,113.5505,109.6939,112.2618,2119400
2024-08-13,110.4672,112.6341,108.9875,111.5363,2901400
2024-08-14,111.269,112.4527,110.0662,111.2499,2253100
2024-08-15,114.9347,117.9799,113.646,115.0684,2730000
2024-08-16,114.7247,117.8272,114.4765,117.6744,1687300
2024-08-19,117.684,119.1064,116.443,116.548,1534300
2024-08-20,116.5098,117.6554,115.4693,116.0707,1797900
2024-08-21,119.6791,121.2161,117.7508,118.0945,2160800
2024-08-22,118.1327,118.6291,116.863,117.6458,2019600
2024-08-23,118.1804,118.8773,117.0921,117.9895,1557000
2024-08-26,119.03,119.5646,118.3045,118.6959,1783900
2024-08-27,118.6863,119.6218,118.1422,119.4405,2507900
2024-08-28,119.3164,119.7268,116.9108,118.2186,3124700
2024-08-29,88.0148,92.5969,80.187,80.2157,41655000
2024-08-30,80.5689,83.4136,78.9269,79.2038,21069400
2024-09-03,79.2515,82.1917,79.2515,79.9866,11628700
2024-09-04,78.0201,78.736,75.7576,77.3996,10616800
2024-09-05,77.4091,78.001,74.4212,76.76,10493300
2024-09-06,77.3614,79.6715,76.8459,78.8315,6320900
2024-09-09,78.2396,79.1656,77.075,77.3041,5319800
2024-09-10,77.4759,78.0487,76.0631,77.0273,5181500
2024-09-11,76.6263,77.7528,75.1372,76.9127,5678700
2024-09-12,77.1227,80.4448,76.6645,79.4329,4588200
2024-09-13,80.8266,82.3731,80.187,80.903,4280000
2024-09-16,81.1416,82.3349,80.798,81.8576,3741600
2024-09-17,81.8576,82.4208,81.4853,82.1058,3594700
2024-09-18,81.8767,83.7668,81.8767,82.9172,3514900
2024-09-19,83.7477,83.7763,82.0485,82.5735,4372400
2024-09-20,82.2681,82.4685,80.693,82.1058,7965100
2024-09-23,82.0867,82.7931,81.3516,82.1344,3010900
2024-09-24,82.0962,82.4781,81.1321,81.1321,2843800
2024-09-25,81.1894,81.1894,79.8052,80.4352,2876500
2024-09-26,80.9698,83.7668,80.9698,82.9936,3884200
2024-09-27,82.6117,84.1009,82.0962,83.3563,4011700
2024-09-30,82.7931,82.7931,79.9388,80.7311,4782200
2024-10-01,80.607,80.8361,78.8315,80.6357,3582100
2024-10-02,80.3588,80.4257,77.8769,78.0582,3821500
2024-10-03,77.6859,78.3064,77.5141,78.2014,2858500
2024-10-04,79.1942,81.1225,78.7647,80.5211,3792200
2024-10-07,81.0366,81.218,79.3088,80.4734,3696800
2024-10-08,80.5022,80.8291,79.4832,80.3196,2202900
2024-10-09,80.2523,80.3677,79.0698,79.6563,3775900
2024-10-10,79.6563,79.6563,78.8391,79.2525,3671200
2024-10-11,79.3102,79.6947,78.7334,79.3006,6849300
2024-10-14,79.0026,79.1948,76.5704,76.6761,5953700
2024-10-15,76.5608,78.6084,76.4742,77.4548,6580500
2024-10-16,77.6278,79.9639,77.1183,79.0506,4794700
2024-10-17,78.9256,79.339,77.7913,78.7334,6300900
2024-10-18,78.4931,78.8007,77.0414,77.4837,4808600
2024-10-21,77.6567,78.3777,77.1952,77.9931,4412100
2024-10-22,78.5219,79.0506,77.0222,77.9835,3850500
2024-10-23,77.9835,78.4738,77.3106,77.9066,3069000
2024-10-24,78.0412,78.5123,77.5798,78.2527,2378700
2024-10-25,78.493,79.4736,77.0799,77.2721,2869700
2024-10-28,77.6182,79.1756,77.5221,77.9643,3468000
2024-10-29,77.6375,79.291,76.705,76.7146,3994000
2024-10-30,76.7819,77.3683,75.7725,75.8878,3071900
2024-10-31,76.1666,77.6951,75.4168,76.9453,3508700
2024-11-01,77.4548,78.6949,76.7723,78.5988,3126600
2024-11-04,79.1275,81.1271,78.5988,78.8295,4571100
2024-11-05,78.8391,78.868,77.5606,78.4161,4522900
2024-11-06,77.1952,77.6278,74.2343,74.417,6752600
2024-11-07,75.3783,76.3493,74.7727,75.0515,4150700
2024-11-08,75.0611,75.2245,73.7921,73.9748,3885500
2024-11-11,74.0228,74.5996,73.1288,73.3403,4613600
2024-11-12,72.9365,73.0423,70.6678,72.2155,5638700
2024-11-13,72.2155,74.0613,72.2155,73.8113,3379300
2024-11-14,73.9363,75.3687,73.2634,74.0709,2821800
2024-11-15,73.9652,74.7438,72.1482,72.9461,3704300
2024-11-18,72.9461,75.6571,72.9461,74.1094,3251700
2024-11-19,74.4651,75.2437,73.4268,73.5422,2261300
2024-11-20,72.8212,72.8212,69.3315,70.4371,7419000
2024-11-21,70.6293,71.5522,70.4371,71.0619,3162300
2024-11-22,71.3503,72.9846,71.1581,72.0329,3828100
2024-11-25,72.9846,74.7438,72.9365,73.6287,4951300
2024-11-26,72.8981,73.2922,71.3311,71.7541,3195700
2024-11-27,72.5808,73.4172,71.8214,73.3114,3306400
2024-11-29,74.9553,74.9746,73.3499,74.2824,2440100
2024-12-02,74.0228,74.9169,73.1096,74.7823,3658200
2024-12-03,74.7631,76.8395,74.4843,75.9647,3813000
2024-12-04,76.6569,77.0703,75.3495,76.4262,5936900
2024-12-05,77.0703,77.6759,72.4366,76.5223,11391800
2024-12-06,78.1758,81.4732,77.7528,78.4354,6926900
2024-12-09,78.4354,78.5988,76.8011,77.6759,3471600
2024-12-10,77.7913,79.7716,76.1762,79.2044,3400500
2024-12-11,79.0026,79.4928,76.6569,76.7338,3205600
2024-12-12,76.9934,77.1087,74.9265,75.3879,2738700
2024-12-13,75.4648,75.6283,72.6866,73.9652,3770700
2024-12-16,73.398,73.9267,72.0617,72.3597,3316000
2024-12-17,72.302,73.3211,72.2348,73.0615,3388700
2024-12-18,72.8308,75.0707,72.6866,73.0038,4537800
2024-12-19,72.6577,72.8885,69.9948,71.0331,4032400
2024-12-20,70.937,73.8402,70.937,73.446,5865400
2024-12-23,72.6385,72.85,70.5428,71.7349,5089400
2024-12-24,71.6195,72.1098,71.2542,71.7541,1542300
2024-12-26,71.8598,72.8885,71.2927,72.7058,3600700
2024-12-27,72.4751,73.5614,72.2828,72.9558,2659700
2024-12-30,72.8404,73.2922,71.8694,72.7635,3775400
2024-12-31,72.7635,73.3787,72.0233,72.8885,3500400
2025-01-02,73.3499,75.0226,72.3309,72.7058,2673700
2025-01-03,72.975,72.975,71.5714,71.7829,3120000
2025-01-06,72.0233,74.4554,71.581,72.9173,3234400
2025-01-07,73.2952,75.572,71.774,71.8612,3592200
2025-01-08,71.4931,71.6965,67.9664,69.3906,5786100
2025-01-10,68.974,69.6328,68.5768,69.1387,4669600
2025-01-13,69.3422,70.0204,68.1795,69.3615,4094800
2025-01-14,69.2743,69.7878,67.1719,67.2203,3946500
2025-01-15,68.6058,69.1,66.3871,66.4356,3489800
2025-01-16,65.6992,67.2882,64.3622,67.1041,5024500
2025-01-17,67.356,67.821,65.9802,66.3096,3386400
2025-01-21,66.9394,70.2917,66.9394,69.7007,7589600
2025-01-22,69.5747,69.6134,68.2183,68.5186,3184800
2025-01-23,68.4024,69.1484,67.7241,69.1096,2454800
2025-01-24,69.4294,69.9526,69.0224,69.5456,2207600
2025-01-27,70.5242,71.4059,70.1657,71.0183,2762100
