Date,Open,High,Low,Close,Volume
2024-09-03,263.7042,265.8273,259.3001,260.9196,2325500.0
2024-09-04,258.9545,261.7984,257.809,261.1763,1732800.0
2024-09-05,261.0183,262.6279,258.3127,261.3936,1764100.0
2024-09-06,262.1934,266.7259,261.7491,262.8649,3324700.0
2024-09-09,264.2671,269.7574,262.9439,269.6686,3223900.0
2024-09-10,269.5797,271.5843,267.0419,271.2781,2267600.0
2024-09-11,270.3499,270.3499,264.9682,268.5725,2536300.0
2024-09-12,268.375,269.6094,264.2079,269.0761,2606500.0
2024-09-13,269.481,271.4658,267.9109,270.8141,2248500.0
2024-09-16,273.2235,274.7936,272.0484,272.5718,1904500.0
2024-09-17,272.4433,272.9667,267.664,269.0563,2158500.0
2024-09-18,268.2763,272.4138,264.6819,268.4936,2477900.0
2024-09-19,271.9891,274.8034,270.1722,272.9667,3294000.0
2024-09-20,271.8311,271.8311,266.874,269.2143,9267300.0
2024-09-23,270.3006,271.4658,268.4244,269.7279,1954600.0
2024-09-24,269.1255,272.2755,267.6443,270.7647,2834400.0
2024-09-25,272.71,272.7495,263.5166,264.5238,2535400.0
2024-09-26,269.4316,276.3932,267.5159,273.4604,2713500.0
2024-09-27,274.2809,276.3566,272.2052,272.2546,1337400.0
2024-09-30,272.5412,275.1111,270.5742,274.8047,1500600.0
2024-10-01,275.3978,275.3978,269.8626,271.3848,1367200.0
2024-10-02,271.3156,272.4127,267.8956,270.7423,1111700.0
2024-10-03,269.7044,270.1393,266.4525,267.3914,1332000.0
2024-10-04,268.4194,269.4079,265.5431,266.9071,1132700.0
2024-10-07,265.3948,267.3717,264.3767,265.6815,1153200.0
2024-10-08,263.8924,267.2235,263.418,265.7013,1431900.0
2024-10-09,266.66,267.3519,263.7342,266.1164,1508000.0
2024-10-10,265.2664,266.0077,262.4296,263.3686,1531700.0
2024-10-11,264.5448,269.0026,264.0308,267.2036,1747200.0
2024-10-14,267.2729,269.1608,265.7606,268.4195,1901400.0
2024-10-15,269.23,272.3337,268.6666,269.5265,1905400.0
2024-10-16,267.866,268.6765,263.2203,264.9303,2820000.0
2024-10-17,274.2907,276.1787,267.8363,268.8346,3222100.0
2024-10-18,269.3782,272.3238,268.1723,271.2068,1949800.0
2024-10-21,269.9417,271.0388,267.1642,268.9433,2359600.0
2024-10-22,260.9765,266.1263,257.5961,258.2583,4496400.0
2024-10-23,255.4512,257.863,251.2602,253.0394,4717000.0
2024-10-24,252.2981,252.7429,244.954,245.1319,3989300.0
2024-10-25,247.4053,247.4844,242.0579,242.5521,3226900.0
2024-10-28,243.2737,244.4895,240.2194,241.2968,2031600.0
2024-10-29,240.3677,242.1073,238.9641,239.8833,3547200.0
2024-10-30,239.3397,241.5933,238.3117,239.5176,2553300.0
2024-10-31,241.0695,245.6262,239.5374,242.819,4948800.0
2024-11-01,246.0808,250.0247,244.4104,244.8947,2638500.0
2024-11-04,245.9029,248.5618,243.1452,244.3214,1836200.0
2024-11-05,242.819,247.9193,242.4829,247.178,1697300.0
2024-11-06,249.1549,250.0148,242.3149,244.8947,2930300.0
2024-11-07,246.8122,247.1483,242.8981,243.2539,2528000.0
2024-11-08,244.1929,244.272,241.2968,242.5521,2941100.0
2024-11-11,242.1666,243.3033,238.6379,240.4369,3475300.0
2024-11-12,241.6823,241.6823,236.5226,236.8291,3077000.0
2024-11-13,236.8291,239.2606,236.2063,238.7367,2133700.0
2024-11-14,237.8076,238.1536,234.5655,236.6116,3154300.0
2024-11-15,233.419,234.6842,226.3517,227.8343,5435800.0
2024-11-18,227.3401,228.0616,225.6103,227.3994,3932700.0
2024-11-19,227.004,229.228,226.0848,228.1704,2608200.0
2024-11-20,226.8458,231.0269,226.2429,230.4042,2662100.0
2024-11-21,231.2147,232.4602,227.7157,232.3317,2537000.0
2024-11-22,231.7782,234.19,231.7782,233.1126,2330100.0
2024-11-25,233.4387,236.6116,232.7271,234.9313,4460500.0
2024-11-26,234.7534,235.3464,230.4537,233.844,2377700.0
2024-11-27,234.5062,238.1635,232.9445,236.068,2271400.0
2024-11-29,236.7599,238.8158,235.5441,236.918,1931400.0
2024-12-02,236.6413,238.7862,235.4453,238.4995,2520200.0
2024-12-03,237.8768,238.8751,236.1075,238.0844,3035300.0
2024-12-04,236.1965,236.7006,231.4816,233.5277,4167500.0
2024-12-05,232.2823,233.0236,224.5725,225.2347,5335700.0
2024-12-06,225.808,228.3384,225.3731,227.4587,3099500.0
2024-12-09,226.925,233.5969,226.6383,233.1817,2625300.0
2024-12-10,234.1899,234.4469,231.195,231.6299,2753300.0
2024-12-11,233.073,234.9708,231.6299,232.6776,3370000.0
2024-12-12,231.4915,233.6858,230.7106,231.788,3996800.0
2024-12-13,231.4223,232.7765,229.317,232.1735,2417900.0
2024-12-16,232.0549,234.0911,230.9775,231.4717,4474400.0
2024-12-17,231.4223,235.208,230.5624,230.8293,3211100.0
2024-12-18,228.2198,231.62,225.4522,225.6597,5221600.0
2024-12-19,225.4621,228.3977,223.2282,223.5445,4550000.0
2024-12-20,224.3353,228.1407,222.8131,225.9069,7073600.0
2024-12-23,225.3039,226.9744,224.1376,226.5098,2798800.0
2024-12-24,225.8871,228.3285,225.3632,228.0814,988300.0
2024-12-26,226.6778,228.8129,226.5197,228.6053,1512400.0
2024-12-27,227.012,229.7235,227.012,228.6944,2130400.0
