Date,Open,High,Low,Close,Volume
2024-08-26,410.7887,416.7717,409.2712,410.2861,683400
2024-08-27,407.9759,408.6719,402.2732,404.419,565600
2024-08-28,403.9454,405.1826,400.7268,402.1766,479100
2024-08-29,401.123,402.5439,392.1244,399.1512,676100
2024-08-30,400.5141,401.819,398.233,400.3594,580000
2024-09-03,398.639,401.6063,387.8908,390.0559,652300
2024-09-04,389.0797,397.6241,387.3012,391.9697,542800
2024-09-05,394.1928,403.6844,392.7526,396.5416,846800
2024-09-06,396.0776,401.9252,391.0804,394.8307,618200
2024-09-09,394.8791,409.0392,394.8791,406.1105,684400
2024-09-10,406.5648,417.313,400.5915,402.8339,569500
2024-09-11,399.4219,399.9632,382.8164,394.3282,1133200
2024-09-12,397.4792,399.1223,390.6263,392.2694,663300
2024-09-13,402.7181,402.7181,390.0089,390.5134,540300
2024-09-16,392.1723,398.3232,391.8037,396.7709,766700
2024-09-17,398.2942,403.2032,395.2963,400.1375,422200
2024-09-18,400.7875,406.2107,396.771,396.8195,498900
2024-09-19,402.98,404.9786,396.7127,399.4292,472600
2024-09-20,400.1665,402.4173,397.6732,402.0584,766900
2024-09-23,399.7979,410.7414,397.9352,408.1511,557200
2024-09-24,410.6444,420.4625,410.0429,413.8168,545800
2024-09-25,417.1736,417.2901,411.3526,413.2154,402300
2024-09-26,416.9505,419.861,415.2915,419.4536,328300
2024-09-27,420.0842,420.317,412.672,416.2326,447000
2024-09-30,419.114,425.4395,415.2042,417.3095,730200
2024-10-01,416.446,418.561,411.4108,417.814,497200
2024-10-02,413.5452,415.5535,406.0846,410.5765,489800
2024-10-03,409.7712,409.7712,403.5621,408.3354,443900
2024-10-04,410.528,412.8176,405.3279,412.6235,569000
2024-10-07,400.1957,403.7465,395.1217,397.7703,965400
2024-10-08,398.2456,405.4443,398.2456,398.8859,710300
2024-10-09,400.3411,406.8219,399.0217,400.8748,1169600
2024-10-10,405.3375,410.722,386.1282,396.5575,2344800
2024-10-11,402.4561,419.958,400.5061,416.8535,1277300
2024-10-14,414.4765,418.9199,407.6951,415.3109,648700
2024-10-15,413.7878,418.5416,411.8571,414.5154,657500
2024-10-16,413.4094,418.2408,410.3145,415.5826,502200
2024-10-17,416.6498,417.1737,411.9541,416.5722,412100
2024-10-18,418.1341,418.4834,413.225,416.058,380800
2024-10-21,416.2035,419.0655,412.4586,418.4252,407600
2024-10-22,416.4945,417.9013,413.8847,414.0497,323500
2024-10-23,413.6228,414.8355,406.3368,410.0914,480500
2024-10-24,409.5966,412.2258,402.5823,402.7278,465500
2024-10-25,404.3577,407.4719,400.4673,401.4666,497100
2024-10-28,404.9592,408.8787,401.583,404.7943,594000
2024-10-29,404.4741,406.9868,399.9434,400.8166,499300
2024-10-30,397.4792,404.5614,395.8299,397.7896,471200
2024-10-31,400.5934,405.2987,399.4292,401.3889,610700
2024-11-01,402.9704,417.9498,402.9704,413.1281,672700
