Date,Open,High,Low,Close,Volume
2024-08-05,106.2485,107.0585,103.362,103.362,4918700
2024-08-06,104.7401,106.3322,103.6879,105.1404,4289800
2024-08-07,105.4198,106.8723,104.8704,105.6898,4921300
2024-08-08,104.7214,106.1088,104.1907,104.6842,4716700
2024-08-09,105.1684,105.1777,103.4738,104.9077,2218700
2024-08-12,104.8704,105.606,104.3769,105.5594,3058600
2024-08-13,105.5408,106.0902,105.0008,105.8853,2732900
2024-08-14,105.5687,106.6488,105.038,105.6432,1979200
2024-08-15,105.1497,105.4663,104.6563,105.3173,2658200
2024-08-16,105.6134,105.8671,104.8897,105.5382,2642700
2024-08-19,105.5194,106.3652,105.4912,105.9329,1716200
2024-08-20,106.1115,106.5814,105.3502,105.6134,2822600
2024-08-21,105.604,106.3464,105.5006,105.9423,2798600
2024-08-22,105.8765,105.8953,104.7394,105.369,5459600
2024-08-23,105.4912,106.196,105.1623,105.5946,2732500
2024-08-26,105.7543,106.7881,105.2657,106.2054,3038900
2024-08-27,105.9799,106.2806,105.0495,105.1623,2136500
2024-08-28,105.6228,106.7975,105.1529,105.9141,2429700
2024-08-29,105.9141,106.2618,105.1153,106.1866,2021900
2024-08-30,106.196,107.211,106.0457,107.0888,3022400
2024-09-03,107.1358,109.4007,107.0513,108.8181,3792500
2024-09-04,109.4665,110.8292,109.194,110.0116,2795000
2024-09-05,110.6788,110.9984,109.3161,109.8142,2585900
2024-09-06,110.0022,110.2653,109.2316,109.5793,3482400
2024-09-09,109.8894,110.1901,108.959,110.1056,2829800
2024-09-10,110.3029,111.0641,109.6827,109.8894,2594200
2024-09-11,109.3725,109.4759,108.3952,109.2034,3667400
2024-09-12,109.3537,109.7954,108.865,108.9872,2390300
2024-09-13,109.241,110.3311,108.7711,110.2465,2311000
2024-09-16,110.9984,111.1863,110.3875,110.613,2212000
2024-09-17,110.4721,110.6412,109.3161,109.7015,2251500
2024-09-18,109.6075,110.1244,108.3482,108.9026,2265300
2024-09-19,108.1602,108.5831,107.0888,108.2072,3952300
2024-09-20,108.6959,109.6451,108.3951,109.3631,6277000
2024-09-23,109.8236,110.3969,109.4477,110.2465,2332400
2024-09-24,109.4853,110.6788,108.865,108.9966,2925300
2024-09-25,109.5793,109.7297,108.4234,109.2128,3496700
2024-09-26,108.1884,109.3161,107.9253,108.2354,3425700
2024-09-27,108.5455,109.3255,107.9159,108.9872,3523000
2024-09-30,109.288,109.3349,107.4554,108.3576,5539400
2024-10-01,108.4985,109.4477,107.991,109.2222,3729700
2024-10-02,108.5455,109.7766,108.1978,109.6545,3360200
2024-10-03,109.9364,110.0398,108.5267,108.7899,3856600
2024-10-04,107.7279,107.9534,106.9573,107.1828,3512900
2024-10-07,106.9385,106.9385,103.4894,103.5928,5955000
2024-10-08,104.3165,104.448,103.4237,104.0063,4810600
2024-10-09,104.1285,104.8991,103.6586,104.6172,3601500
2024-10-10,105.1529,106.6659,104.3447,106.3088,6301600
2024-10-11,106.572,107.446,106.3088,107.2956,3406700
2024-10-14,107.2956,108.32,107.2298,108.1602,2807100
2024-10-15,109.4853,110.9608,108.7335,110.068,2863200
2024-10-16,110.5191,112.8591,109.9082,112.5678,4776800
2024-10-17,112.5678,113.5358,112.2859,113.3196,4589900
2024-10-18,113.47,113.5734,112.4174,113.4888,3562300
2024-10-21,113.7613,113.9493,112.4644,112.6712,2703200
2024-10-22,111.5716,112.7182,111.2521,112.6618,2877000
2024-10-23,112.5772,113.3478,112.1919,113.3102,2286400
2024-10-24,113.5264,113.6674,111.7596,111.8536,2283700
2024-10-25,112.2953,112.3329,110.1525,110.1525,2406300
2024-10-28,110.1525,110.9514,109.974,110.0116,2214300
2024-10-29,109.0154,109.3443,107.4929,107.5211,3478800
