Date,Open,High,Low,Close,Volume
2024-08-05,145.3621,146.6999,142.8451,144.1829,2741300
2024-08-06,144.8171,146.9377,143.8261,144.4108,1840600
2024-08-07,144.9162,146.2936,143.0036,143.1027,1625000
2024-08-08,143.9252,145.8278,143.4496,145.6891,1457400
2024-08-09,145.7486,145.8972,143.836,145.2729,2640900
2024-08-12,144.7873,146.8584,144.173,144.5892,1794400
2024-08-13,145.0252,146.1152,144.4009,145.5702,1461700
2024-08-14,145.0549,145.6198,144.2919,145.1342,839100
2024-08-15,146.5215,147.1161,145.1243,145.7089,1373700
2024-08-16,145.0252,147.4431,144.4207,147.017,1821600
2024-08-19,146.5711,148.3647,146.2837,148.3151,2258600
2024-08-20,148.2953,148.3448,146.9575,147.7007,1137200
2024-08-21,147.7503,148.6223,147.5224,148.3944,1324000
2024-08-22,147.7701,148.7016,145.4018,145.7981,1424900
2024-08-23,147.1656,147.1656,144.827,146.2837,1477500
2024-08-26,146.3431,148.1268,146.1449,147.2152,1439900
2024-08-27,147.344,148.3448,147.0368,147.8593,1395800
2024-08-28,148.157,149.0003,147.641,148.157,1297500
2024-08-29,148.9011,150.2207,148.2165,149.0797,1601200
2024-08-30,149.0797,150.8855,148.5241,150.6375,2315600
2024-09-03,150.5184,150.5184,144.4957,145.091,1798700
2024-09-04,145.091,146.9464,144.9819,145.9344,1422400
2024-09-05,145.2696,145.6268,143.7416,144.7735,1971700
2024-09-06,144.7735,146.2023,142.2335,142.8883,1785500
2024-09-09,143.7019,144.2079,142.6303,143.176,1623100
2024-09-10,143.315,144.0294,141.9953,142.6799,1205600
2024-09-11,142.9181,143.0173,139.7231,142.5807,1803500
2024-09-12,143.1264,143.9996,142.0251,143.6225,1206900
2024-09-13,144.0889,145.2994,143.3944,144.6942,1449100
2024-09-16,145.6863,146.5297,143.821,145.3788,1916800
2024-09-17,145.855,146.5694,140.9039,141.4794,3384400
2024-09-18,141.8663,142.1938,138.9294,139.356,3974400
2024-09-19,141.658,142.2732,139.3759,139.6438,1866800
2024-09-20,138.85,139.3461,137.5006,138.4631,4582200
2024-09-23,139.4453,140.2887,138.4432,139.9712,2341600
2024-09-24,140.001,141.1023,139.227,140.5368,2645000
2024-09-25,140.6856,141.1023,139.9017,140.378,1512600
2024-09-26,141.4298,142.5609,141.2512,142.4914,1547100
2024-09-27,142.6899,144.4461,142.6899,143.5233,1603100
2024-09-30,143.692,143.8706,141.6976,142.3227,1451200
2024-10-01,142.1243,142.5013,139.8521,141.142,1503300
2024-10-02,140.8344,142.412,140.7154,142.0846,1277200
2024-10-03,141.0527,141.6778,139.3163,139.5941,1547100
2024-10-04,140.4673,142.3227,139.4553,141.5885,2132900
2024-10-07,141.3305,142.541,140.4574,141.787,1472300
2024-10-08,142.3426,142.7593,141.2809,142.2136,1076900
