Date,Open,High,Low,Close,Volume
2024-09-23,247.0901,250.0085,246.9922,249.5776,842500
2024-09-24,249.0488,250.694,247.9324,248.9998,753400
2024-09-25,249.2642,250.6842,248.5004,249.5482,1033300
2024-09-26,249.5188,251.2816,248.9411,250.4688,1185700
2024-09-27,250.4687,251.262,248.8137,249.323,772600
2024-09-30,249.2348,250.7234,247.4329,250.0477,942200
2024-10-01,250.3121,250.5079,247.0999,248.3045,990700
2024-10-02,246.2185,248.8137,244.8671,248.7158,790500
2024-10-03,248.187,248.187,245.0434,245.582,586900
2024-10-04,245.866,246.6592,243.6626,245.8268,656200
2024-10-07,244.8084,244.8769,242.6147,243.8976,718600
2024-10-08,244.965,247.7659,244.1522,247.3937,725600
2024-10-09,248.1184,250.9094,247.6092,250.3904,572300
2024-10-10,249.7931,251.0955,247.9226,250.5079,742900
2024-10-11,250.6157,252.6624,247.6875,248.7452,726500
2024-10-14,249.2936,251.4775,248.5297,251.1347,559700
2024-10-15,251.6831,256.1292,251.6831,252.9073,849000
2024-10-16,252.5743,255.4339,252.5743,254.3762,464500
2024-10-17,253.8767,254.6798,251.2522,251.781,936500
2024-10-18,255.3359,257.177,253.5437,256.0508,1017200
2024-10-21,256.0509,256.0803,253.0248,253.8279,496000
2024-10-22,252.8975,254.6407,251.6636,252.8975,924600
2024-10-23,251.5656,254.6015,251.1935,253.3675,697800
2024-10-24,252.1728,253.8278,250.8115,251.0368,760800
2024-10-25,251.4677,253.2206,247.7855,248.2457,621100
2024-10-28,251.076,252.2316,249.039,251.1445,1431900
2024-10-29,240.5092,250.2631,238.1588,248.5101,1468200
2024-10-30,249.4601,251.6831,247.0999,247.3741,1322600
2024-10-31,244.8965,246.7278,239.5592,240.6463,1987200
2024-11-01,240.8421,241.841,239.2361,239.5103,1399800
2024-11-04,241.2241,241.6648,237.4831,239.4417,1027300
2024-11-05,239.5298,242.1054,237.8356,241.7431,719100
2024-11-06,246.3948,246.3948,239.334,239.6474,1230600
2024-11-07,241.3318,241.8998,239.4025,241.1947,1027200
2024-11-08,240.754,245.6897,240.754,244.8671,1023700
2024-11-11,244.7985,246.483,244.3383,245.3763,852600
2024-11-12,246.0031,246.2773,242.5755,243.1729,1383600
2024-11-13,243.2415,244.965,242.7322,244.73,998100
2024-11-14,243.5646,244.7594,242.3209,242.4874,793000
2024-11-15,241.3024,241.5472,239.3732,240.1664,1025700
2024-11-18,239.8726,241.7137,239.4515,240.8813,787600
2024-11-19,239.8628,240.989,237.7181,239.2459,1131100
2024-11-20,239.2753,240.3917,235.1426,236.7682,1484600
2024-11-21,236.7192,238.4918,236.4548,238.384,1750900
2024-11-22,239.7943,241.7431,238.7758,240.2252,1316000
2024-11-25,240.9107,242.0271,239.5397,241.8116,2308300
2024-11-26,241.3808,244.1228,239.9118,242.2622,809300
2024-11-27,242.0075,244.0543,241.8998,242.5755,648400
2024-11-29,242.0859,244.2893,242.0859,243.6234,722100
2024-12-02,243.7997,244.6419,241.4199,243.31,968200
2024-12-03,243.5352,244.0837,240.7148,243.0358,948200
2024-12-04,242.0957,244.0053,240.7442,243.7115,680000
2024-12-05,242.4776,243.7213,241.2926,242.8497,824300
2024-12-06,244.5733,247.051,243.7899,245.1609,931500
2024-12-09,244.3774,247.0412,243.9563,244.2403,1017300
2024-12-10,244.7398,244.8573,241.4689,241.939,1295800
2024-12-11,241.7039,242.7126,240.1076,240.3819,966700
2024-12-12,240.1468,244.1914,240.1468,243.6626,929800
2024-12-13,243.1533,246.4144,242.2132,245.0238,1428200
2024-12-16,245.6408,246.0227,242.8791,243.261,1245200
2024-12-17,244.292,249.2701,241.4347,241.7097,1801300
2024-12-18,240.5118,240.6591,233.1477,233.3539,1291000
2024-12-19,232.2247,234.9249,231.1643,231.2625,1588500
2024-12-20,231.8712,235.2882,230.5162,233.9724,2427300
2024-12-23,233.4815,234.8954,232.1559,234.7579,1089600
2024-12-24,234.1492,236.3781,232.1265,236.3781,323200
2024-12-26,235.7202,235.7202,234.2867,235.0231,521400
2024-12-27,234.2277,235.1998,231.773,233.452,517400
2024-12-30,231.3214,232.0283,228.847,230.2708,723800
2024-12-31,230.8403,231.8712,228.9158,230.0744,882300
2025-01-02,230.5261,231.9007,226.6083,226.7458,922500
2025-01-03,227.06,228.955,225.9308,227.7277,916700
2025-01-06,227.7179,229.0336,225.8817,227.1877,1244200
2025-01-07,226.7851,229.5147,225.3123,227.2466,1238900
2025-01-08,227.659,230.6242,226.736,230.3199,904700
2025-01-10,227.5706,229.4853,225.3614,225.5577,1254300
2025-01-13,224.9686,229.338,223.5056,229.23,1368400
2025-01-14,229.2103,230.9286,228.6114,229.662,1080100
2025-01-15,233.403,234.0215,230.8795,232.264,1240100
2025-01-16,233.0691,235.0231,232.3033,234.8169,1031600
2025-01-17,236.2308,237.468,233.1084,233.1182,2312500
2025-01-21,233.4619,236.8003,232.3523,236.7021,1267400
2025-01-22,236.7217,238.7051,234.6892,237.2519,1058800
2025-01-23,237.4188,238.7346,235.3176,238.5185,811300
2025-01-24,237.8116,239.3924,237.1734,237.6741,924100
2025-01-27,237.0556,242.3577,236.2406,241.7391,1276200
2025-01-28,246.295,248.6025,242.505,244.999,1410700
2025-01-29,244.1938,246.187,242.2988,242.4559,875000
2025-01-30,242.8192,248.2687,242.6032,247.9348,1046400
2025-01-31,246.7369,247.9839,244.4982,245.6568,1017200
2025-02-03,243.1138,246.2558,240.5805,244.9892,982500
2025-02-04,246.5896,246.6681,242.7799,244.3313,1253200
2025-02-05,245.5292,246.138,243.6243,245.1855,1142500
2025-02-06,245.4703,245.5783,242.6228,245.4997,1068000
2025-02-07,244.7044,245.2641,242.5246,242.9174,848800
2025-02-10,242.7308,242.7308,240.1485,241.4839,2061300
2025-02-11,262.6434,262.7121,255.8193,256.4968,2964300
2025-02-12,253.3744,257.8125,250.527,257.2823,1969200
2025-02-13,258.2838,262.3881,257.3117,260.6599,1449300
2025-02-14,261.2491,263.1441,259.7468,259.9432,991800
2025-02-18,259.9923,262.8103,258.2151,261.3964,1265200
2025-02-19,261.524,261.7204,259.0398,261.416,848900
2025-02-20,260.3949,262.7612,259.2854,262.4961,936200
2025-02-21,262.5255,262.9379,259.4326,259.8941,970300
2025-02-24,260.4243,261.0822,258.7453,259.03,1033000
2025-02-25,260.1101,263.2914,259.2559,260.876,1600000
2025-02-26,260.8072,263.2227,259.8941,261.6418,849700
2025-02-27,261.1116,264.3519,260.1101,262.339,1193900
2025-02-28,264.3421,265.6676,262.8103,264.1359,2340100
2025-03-03,266.2665,268.731,264.1947,264.9312,1464900
2025-03-04,264.3911,266.3745,262.2211,262.9182,1586000
2025-03-05,263.0558,266.4825,262.5354,264.7446,1513100
2025-03-06,263.4485,264.4991,260.2476,261.4258,1467100
2025-03-07,259.8155,265.2552,259.3639,264.3813,1160200
2025-03-10,262.2016,266.8458,259.953,260.8662,1534900
