Date,Open,High,Low,Close,Volume
2024-08-05,96.1956,96.6913,94.0631,94.1847,2846300
2024-08-06,94.1847,95.5596,94.1847,94.3624,1956400
2024-08-07,94.4653,95.6064,93.7077,94.643,2139800
2024-08-08,94.1192,94.9049,93.6329,93.9977,1784600
2024-08-09,94.0818,94.5869,92.7911,94.484,1512900
2024-08-12,94.2221,95.3819,93.9976,95.3445,1238400
2024-08-13,95.4193,95.9898,94.774,95.0265,1505700
2024-08-14,94.5927,95.7054,94.1872,95.1114,1639200
2024-08-15,94.2061,94.7436,93.0179,93.5743,2757400
2024-08-16,93.8289,94.7813,93.3385,94.3947,1684800
2024-08-19,94.5833,94.9322,94.2909,94.687,1837800
2024-08-20,94.7907,95.4037,94.357,94.4607,1460700
2024-08-21,94.4041,95.0359,94.3098,94.6964,1922500
2024-08-22,94.6021,95.0925,94.3004,94.9322,1845000
2024-08-23,95.0925,95.3283,94.5361,94.8662,1620000
2024-08-26,95.1774,95.9223,94.9416,95.1491,1221500
2024-08-27,95.0265,95.4791,93.8383,93.9137,927300
2024-08-28,94.0929,95.3377,93.7629,94.6682,1019300
2024-08-29,94.5739,95.1114,93.7817,95.0642,1150900
2024-08-30,95.2434,96.0261,95.1114,95.7715,2366500
2024-09-03,95.9412,97.6103,95.762,97.3934,2122600
2024-09-04,97.6575,98.9588,97.6575,98.4496,1501000
2024-09-05,99.0154,99.2889,97.582,97.8744,1538700
2024-09-06,98.2138,98.4307,97.3274,97.3934,1760600
2024-09-09,97.4972,98.8457,97.4594,98.7796,1672900
2024-09-10,98.9022,99.6001,98.4307,98.9871,1271100
2024-09-11,98.5722,98.7796,97.1577,97.9026,2685900
2024-09-12,97.7989,98.6193,97.3651,97.4972,1528600
2024-09-13,97.6857,98.7702,97.3274,98.6005,1274700
2024-09-16,99.0531,99.7887,98.7891,98.8739,1467900
2024-09-17,98.5627,99.2889,98.0724,98.5816,1391000
2024-09-18,98.4307,98.9022,96.705,97.516,1347000
2024-09-19,95.7054,96.5919,95.1962,96.2995,1761700
2024-09-20,96.4033,97.6669,96.1675,97.4594,3492600
2024-09-23,97.7706,98.4873,97.4029,98.0913,1053600
2024-09-24,97.3274,98.3176,96.8465,96.9596,1063000
2024-09-25,97.3651,97.5443,96.441,97.2803,1151100
2024-09-26,96.573,98.0535,96.4316,97.2426,1391600
2024-09-27,97.5726,98.6288,97.516,98.1195,1366800
2024-09-30,98.4779,98.4779,97.2708,98.195,1449500
2024-10-01,98.3081,99.5718,97.6575,99.1568,1834600
2024-10-02,98.3742,98.8928,98.0252,98.4967,996700
2024-10-03,98.8362,98.8362,97.6763,98.0913,952100
2024-10-04,96.9314,97.45,96.441,97.2708,952900
2024-10-07,96.8465,96.8465,95.1868,95.3754,1967300
2024-10-08,95.8752,97.0728,95.4886,96.2901,1328800
2024-10-09,96.1487,97.0634,95.8752,96.5353,1114700
2024-10-10,96.8748,97.2803,95.7149,95.7903,1179600
2024-10-11,96.1015,96.5164,95.8752,96.4881,1317200
2024-10-14,95.9506,97.2614,95.5451,97.1671,1976000
2024-10-15,98.8457,100.345,98.6193,99.4397,2748900
2024-10-16,99.7227,100.1281,99.2134,100.0904,1869200
2024-10-17,100.3733,100.3827,99.0248,99.6378,1727900
2024-10-18,99.9207,100.6845,99.2606,100.6751,6365300
2024-10-21,100.7034,100.9957,99.9018,100.2036,1405800
2024-10-22,99.6095,99.949,98.6759,99.6755,1207200
2024-10-23,99.9395,101.3352,99.6095,101.2786,1663200
2024-10-24,101.2597,101.6087,100.6091,100.9014,1127300
2024-10-25,101.288,101.288,98.5439,98.6382,1734300
2024-10-28,98.9965,99.3737,98.7891,98.8362,1204600
2024-10-29,98.327,98.4496,96.9502,97.0445,1452900
2024-10-30,97.2614,97.5066,96.375,96.8654,1641100
2024-10-31,96.9502,97.8649,95.7715,95.8846,3732300
2024-11-01,96.1958,96.243,93.8949,94.3004,2832700
2024-11-04,93.8194,94.8096,92.603,93.4988,2088300
2024-11-05,93.3668,94.1589,92.7444,94.1306,2062100
2024-11-06,93.0273,94.1118,92.5464,93.3196,3701800
2024-11-07,93.3762,94.008,91.6977,92.0183,3061400
2024-11-08,92.5464,93.2725,91.8769,92.537,2915300
2024-11-11,92.0655,93.3291,92.0277,92.867,1968400
2024-11-12,92.867,92.867,91.3205,91.5091,2682800
2024-11-13,92.0607,92.1463,90.2536,90.7482,2129500
2024-11-14,91.024,91.1952,90.4153,90.5865,2112600
2024-11-15,90.3582,91.7754,90.3582,91.7278,2239200
2024-11-18,91.3474,92.2034,91.1381,91.7374,1838700
2024-11-19,91.7469,92.3366,90.6626,92.2319,1861400
2024-11-20,91.88,93.145,91.7183,93.0975,2119600
2024-11-21,93.145,93.8869,92.5934,93.8774,1470600
2024-11-22,94.0676,94.4005,93.4018,93.554,1186000
2024-11-25,93.6491,94.6193,93.3828,94.6098,3996100
2024-11-26,94.8476,96.8355,94.6859,96.7308,2435300
2024-11-27,97.311,97.6344,96.4645,96.6167,1330400
2024-11-29,96.4455,96.8259,95.5704,95.6751,952300
2024-12-02,95.9129,95.9129,93.4019,93.6872,1911600
2024-12-03,94.5242,94.5242,92.7551,92.7646,1536000
2024-12-04,91.7849,92.1559,91.2142,91.8991,5090600
2024-12-05,91.9656,92.5649,91.6993,91.7849,2615800
2024-12-06,91.7849,91.9561,89.7114,90.187,2813500
2024-12-09,90.0158,90.7577,89.3405,90.1489,2529500
2024-12-10,90.0158,90.3487,88.6842,90.0634,1695400
2024-12-11,90.0253,90.0253,87.8852,88.2181,2352400
2024-12-12,88.8744,89.1598,87.9043,88.085,2300200
2024-12-13,88.0755,88.5986,87.5999,88.1611,1868500
2024-12-16,88.0469,88.3418,86.5917,86.8009,3004500
2024-12-17,86.3729,87.4287,86.0115,86.4015,2172200
2024-12-18,86.2683,86.3539,84.4231,84.5277,2677500
2024-12-19,84.347,85.8403,84.0522,84.7179,2555700
2024-12-20,84.4421,86.1066,84.4421,85.631,4876400
2024-12-23,85.4979,85.4979,84.4516,85.2886,1979000
2024-12-24,85.0318,85.3457,84.7465,85.203,653900
2024-12-26,84.8701,85.7262,84.6514,85.2125,1879800
2024-12-27,84.6514,85.5645,84.4897,85.184,1319600
2024-12-30,85.0984,85.1079,84.0902,84.8036,1377800
2024-12-31,84.9367,85.2601,84.2614,84.8701,1641000
2025-01-02,85.3457,85.6881,84.347,84.6799,1557900
2025-01-03,84.775,85.4598,84.4041,84.8796,1954100
2025-01-06,84.1187,84.4897,83.4149,84.0521,1981200
2025-01-07,84.366,84.8131,83.4339,83.7002,2861200
2025-01-08,83.5861,84.6894,83.2437,84.6609,1793000
2025-01-10,83.9095,84.756,83.5005,83.8429,2243200
2025-01-13,84.0522,84.1568,83.0154,84.1473,1883600
2025-01-14,84.1473,85.203,83.9475,85.0033,2104000
2025-01-15,85.4313,86.1256,85.0508,85.8213,1971800
2025-01-16,85.6501,87.7235,85.6215,87.714,2097600
2025-01-17,87.4953,89.2454,87.2575,89.0742,3516800
2025-01-21,89.2834,90.3202,88.3513,88.6557,2761500
2025-01-22,88.3323,88.3323,86.2303,86.3349,1805200
2025-01-23,86.7819,86.9722,85.9354,86.3254,1649700
2025-01-24,85.983,86.6107,85.9449,86.1732,2597000
2025-01-27,87.4667,91.3759,87.286,90.2536,4043800
2025-01-28,89.7875,90.187,88.7603,88.8269,2470600
2025-01-29,88.8364,89.2644,87.7806,88.0469,1935900
2025-01-30,88.551,89.4356,88.1706,89.2739,2274000
2025-01-31,88.9791,89.6353,88.6842,89.1598,6072700
2025-02-03,89.1598,91.3664,89.0932,90.9479,3234900
2025-02-04,89.9777,90.7387,89.0647,90.2726,2186500
2025-02-05,91.1286,91.7278,90.5389,91.4901,1874100
2025-02-06,91.5947,91.6327,90.187,90.7577,1586800
2025-02-07,90.4628,91.5091,90.0158,91.3854,1520000
