Date,Open,High,Low,Close,Volume
2024-08-13,508.3162,513.1468,507.6894,512.6165,448700.0
2024-08-14,512.2308,520.3879,512.2308,519.9154,805000.0
2024-08-15,520.9279,523.0877,518.4596,522.326,857600.0
2024-08-16,522.567,526.771,518.8645,524.2351,910200.0
2024-08-19,524.6497,527.0602,522.7502,523.9362,880200.0
2024-08-20,524.8137,527.2242,522.1139,523.5988,510400.0
2024-08-21,523.9941,525.9417,521.921,522.9238,558700.0
2024-08-22,523.5602,525.6718,518.7585,523.8687,549400.0
2024-08-23,525.4885,530.0588,523.5601,526.4142,429100.0
2024-08-26,527.3591,530.8013,524.6786,525.1318,358400.0
2024-08-27,528.6704,530.406,524.8426,528.7958,458900.0
2024-08-28,529.5672,535.1307,526.7229,531.3607,464800.0
2024-08-29,532.8165,535.0342,526.3949,532.3248,456100.0
2024-08-30,531.7944,537.6374,530.1167,536.9529,1226400.0
2024-09-03,536.2587,546.9517,536.2587,542.1596,902000.0
2024-09-04,541.7065,541.9957,517.1291,527.7159,1489200.0
2024-09-05,528.468,528.468,516.5794,524.9101,877400.0
2024-09-06,528.5259,531.2353,522.326,522.5092,1059200.0
2024-09-09,525.8839,528.3619,521.4389,524.1965,721800.0
2024-09-10,525.5408,527.6684,519.9027,526.2468,881200.0
2024-09-11,524.1675,526.3821,515.8214,525.5118,788600.0
2024-09-12,526.0437,528.8193,520.4636,527.8909,731500.0
2024-09-13,529.1288,534.7476,525.9083,532.7167,471300.0
2024-09-16,535.8888,541.527,534.3704,535.2892,709200.0
2024-09-17,535.8018,535.8018,522.5912,525.6279,792200.0
2024-09-18,526.1791,526.682,520.4345,521.7111,851000.0
2024-09-19,523.5003,526.624,517.8911,520.2992,721200.0
2024-09-20,519.303,522.5138,518.394,522.098,1677100.0
2024-09-23,522.7556,524.3803,515.8506,516.3341,964700.0
2024-09-24,515.0091,517.1464,509.7287,509.9995,1057100.0
2024-09-25,512.0787,516.7691,503.0654,503.3652,1157700.0
2024-09-26,503.8971,506.663,500.1544,503.1621,726200.0
2024-09-27,505.1447,511.1311,504.3711,506.7114,776000.0
2024-09-30,506.3052,506.3245,498.9166,502.8914,1318900.0
2024-10-01,505.5025,507.4174,493.994,494.4389,1233900.0
2024-10-02,482.679,488.9361,475.8223,488.5396,2142100.0
2024-10-03,488.4332,489.1102,479.8551,481.857,1086900.0
2024-10-04,483.327,484.9614,474.0331,475.8803,1473700.0
2024-10-07,475.8513,477.3406,470.6773,475.8319,1783900.0
2024-10-08,479.1491,482.1858,470.3195,473.3658,924300.0
2024-10-09,474.7197,477.7854,472.5438,477.2729,705700.0
2024-10-10,478.5011,481.7506,475.2033,475.9866,1088800.0
2024-10-11,477.7178,488.9071,477.2246,485.3676,1026700.0
2024-10-14,485.4739,493.4525,483.6848,492.2726,1184400.0
2024-10-15,470.0583,476.7797,466.8282,467.9501,2236100.0
2024-10-16,468.0758,480.9769,468.0758,480.6094,1828500.0
2024-10-17,391.5879,432.5252,384.886,429.7303,8287000.0
2024-10-18,422.0806,428.4151,412.1871,416.5971,3318800.0
2024-10-21,414.1213,421.2779,406.9165,408.3671,2212400.0
2024-10-22,401.4137,408.3865,399.5665,406.0267,2234200.0
2024-10-23,401.9262,406.752,398.8412,401.8682,1835600.0
2024-10-24,405.137,414.7693,404.8276,405.2531,2352100.0
2024-10-25,409.0828,419.5758,409.0828,411.2781,2089400.0
2024-10-28,412.7287,413.8796,403.3285,403.5316,1518300.0
2024-10-29,403.6767,404.0732,397.0617,397.0617,1650100.0
2024-10-30,397.1101,401.4427,395.9496,397.2455,1930300.0
2024-10-31,397.0327,399.4118,392.2746,392.41,1878800.0
2024-11-01,395.5531,402.9127,395.0212,400.3886,2410100.0
2024-11-04,401.346,405.8043,400.0114,404.1119,1931000.0
2024-11-05,403.0288,408.048,401.346,404.0249,2185200.0
2024-11-06,399.2958,418.2509,394.644,414.8177,3173000.0
2024-11-07,416.6358,419.1213,411.133,415.2142,2263900.0
2024-11-08,415.9782,416.9453,407.7385,408.7153,1569500.0
2024-11-11,410.0306,416.8679,409.4986,411.3942,1620600.0
2024-11-12,410.1756,411.2684,396.8199,399.3344,2029400.0
2024-11-13,399.2183,402.0616,396.6942,397.3712,1448100.0
2024-11-14,398.0192,400.727,391.8201,393.6479,1784600.0
2024-11-15,391.675,395.2533,385.3212,387.5068,2616500.0
2024-11-18,386.8395,390.3984,384.828,387.5165,1465500.0
2024-11-19,384.1026,386.8395,378.9383,381.2303,2000100.0
2024-11-20,383.1065,386.8685,378.155,384.4024,2389800.0
2024-11-21,385.8144,390.5435,384.6539,390.3211,1380700.0
2024-11-22,389.8858,393.3481,387.1683,389.3056,1180200.0
2024-11-25,391.1624,396.288,390.2437,394.1895,2468000.0
2024-11-26,395.3113,395.3113,384.9246,388.735,1611200.0
2024-11-27,388.2611,394.3152,388.2515,389.499,1179400.0
2024-11-29,387.8163,396.2688,387.2651,393.5706,1580900.0
2024-12-02,395.3404,398.6478,390.766,396.8877,2030500.0
2024-12-03,397.9514,398.7735,393.3964,394.644,1692000.0
2024-12-04,394.1218,396.5105,384.5185,386.9459,1903500.0
2024-12-05,388.082,388.5579,380.5078,381.6051,1693500.0
2024-12-06,382.4401,382.9742,368.3113,371.0788,2731100.0
2024-12-09,372.584,386.2759,372.4286,384.2075,2433000.0
2024-12-10,383.1393,386.7128,376.4779,378.5753,2201300.0
2024-12-11,376.3517,378.556,369.3698,374.3999,2163900.0
2024-12-12,376.4293,378.9735,367.0295,367.4374,1730000.0
2024-12-13,367.2626,376.4779,364.4271,370.37,1921100.0
2024-12-16,369.7485,373.6813,361.077,362.4948,2636300.0
2024-12-17,357.183,363.1744,353.0172,355.6973,2964400.0
2024-12-18,354.9399,363.5532,354.1534,355.6585,2237100.0
2024-12-19,354.5321,360.1642,351.7257,355.8721,2362500.0
2024-12-20,355.0759,361.2323,354.299,355.3672,3445400.0
2024-12-23,356.9889,360.6789,355.7168,360.1545,1458400.0
2024-12-24,357.7851,362.4753,357.086,362.1451,468200.0
2024-12-26,361.2615,364.0193,359.3,362.8443,1252200.0
2024-12-27,360.8148,363.2715,357.8725,360.3293,812100.0
2024-12-30,358.8144,358.9212,354.4738,358.125,1303800.0
2024-12-31,359.2903,361.9121,357.2705,358.2221,1205800.0
2025-01-02,361.5916,363.9901,354.0659,355.2409,1218900.0
2025-01-03,356.1537,363.5532,355.6196,360.8051,1251300.0
2025-01-06,362.553,372.6811,362.2228,368.6609,1908500.0
2025-01-07,370.0981,374.2251,368.0103,369.7291,1190500.0
2025-01-08,368.1074,373.0597,365.6215,372.1469,1517600.0
2025-01-10,370.2049,379.4882,368.0395,370.1175,1779900.0
2025-01-13,373.8755,386.8973,370.1272,385.0135,2012900.0
2025-01-14,379.828,383.9647,377.5364,381.7799,1345400.0
2025-01-15,381.0225,381.6245,369.3601,378.0219,1857100.0
2025-01-16,366.476,374.1765,364.2717,374.1085,2406700.0
2025-01-17,375.8176,378.6142,372.7199,374.1377,2699400.0
2025-01-21,377.5461,380.2747,375.7302,377.9539,1999100.0
2025-01-22,371.409,381.1875,368.7969,379.4202,2450900.0
2025-01-23,393.0053,398.1325,378.0413,389.7425,3157700.0
2025-01-24,385.6641,391.2865,383.4015,389.3541,1551400.0
2025-01-27,393.4034,403.4635,392.5586,399.3365,1961100.0
2025-01-28,398.3072,400.4338,390.1989,393.6656,1885000.0
2025-01-29,392.6945,394.4619,388.1403,388.7132,1418400.0
2025-01-30,387.8198,388.7132,381.8673,387.7616,1484200.0
2025-01-31,386.7808,389.3929,383.8774,384.2464,1184000.0
2025-02-03,384.5862,396.6758,384.5376,393.3742,2031200.0
2025-02-04,388.587,396.4914,386.7905,390.3446,1349600.0
2025-02-05,388.4122,391.0049,384.3046,390.5194,1205400.0
2025-02-06,388.7229,389.859,377.6529,379.1677,1453300.0
2025-02-07,379.8086,383.2947,378.3326,380.0902,1078000.0
2025-02-10,381.0127,385.0038,378.9541,384.6736,858000.0
2025-02-11,384.6737,386.8294,376.5362,379.8961,1229500.0
2025-02-12,379.9155,385.6058,368.4279,374.497,1443600.0
2025-02-13,376.876,381.0127,373.9435,380.265,1227300.0
2025-02-14,380.6923,383.654,376.8469,377.9831,1202200.0
2025-02-18,375.1184,376.5556,367.7675,371.409,1588900.0
2025-02-19,371.7586,380.6534,371.4284,380.3718,1123900.0
2025-02-20,378.6919,384.7513,377.4101,379.1969,1324900.0
2025-02-21,368.0297,378.3812,367.0587,373.9532,1737100.0
2025-02-24,373.9531,377.1285,367.6607,374.1085,1299300.0
2025-02-25,375.7593,391.4904,374.9145,390.296,2174400.0
