Date,Open,High,Low,Close,Volume
2024-08-29,380.8318,390.6909,379.9255,383.5804,287100
2024-08-30,385.2933,391.7267,384.9946,391.4379,552500
2024-09-03,388.3109,388.3109,355.7857,357.15,524100
2024-09-04,354.8395,359.6097,350.4577,354.9889,350300
2024-09-05,352.6386,354.2918,348.6253,352.0112,383200
2024-09-06,352.9275,359.072,349.0834,351.4237,384800
2024-09-09,354.2818,364.7584,354.1723,362.5974,375800
2024-09-10,363.7625,370.405,362.1094,369.7278,362900
2024-09-11,371.1519,383.4808,362.9957,383.4808,338500
2024-09-12,383.6799,392.1449,380.9413,386.8867,408900
2024-09-13,391.159,398.8372,390.8304,394.784,249000
2024-09-16,395.2221,402.0239,392.8818,401.028,199200
2024-09-17,404.5137,408.9752,402.5518,407.5113,349800
2024-09-18,410.1403,416.0558,404.5634,407.063,384000
2024-09-19,418.9339,431.0935,410.7279,428.2752,460800
2024-09-20,428.6735,435.2961,426.2336,433.8022,721900
2024-09-23,435.8039,440.0663,433.1848,433.3142,392500
2024-09-24,433.1948,435.8039,425.2576,431.7707,362700
2024-09-25,433.7027,440.3252,431.7109,433.6728,524800
2024-09-26,438.6223,442.1278,426.861,427.5283,512600
2024-09-27,426.9308,428.9922,421.8617,425.3274,363900
2024-09-30,423.8734,429.2014,420.1389,428.7532,278100
2024-10-01,426.7316,428.0561,418.4658,426.5125,274200
2024-10-02,423.246,431.7607,421.9115,428.1158,226400
2024-10-03,428.1159,429.5798,424.2817,429.1715,308800
2024-10-04,436.043,438.931,429.0121,433.2047,291600
2024-10-07,431.5616,443.1436,431.4421,438.5427,352400
2024-10-08,441.7194,443.8208,437.3675,437.9252,351200
2024-10-09,437.2281,446.2507,437.2281,445.0955,266200
2024-10-10,441.1718,441.6697,434.3899,440.2655,182200
2024-10-11,439.9766,448.6905,439.9766,448.5909,151200
2024-10-14,450.5229,452.9628,447.4656,450.7321,142000
2024-10-15,451.32,452.7748,440.0206,443.3187,245800
2024-10-16,445.6105,450.8218,442.7906,445.6802,246800
2024-10-17,450.6325,453.8908,447.2147,452.1271,266400
2024-10-18,452.1769,452.2367,442.8404,452.1171,261900
2024-10-21,451.3798,454.5285,447.6631,453.4723,217200
2024-10-22,448.3905,452.4858,443.4383,446.3379,221500
2024-10-23,443.7571,448.0716,440.4889,444.0262,172700
2024-10-24,444.3649,445.8994,440.0206,444.5144,265300
2024-10-25,442.3223,442.3223,420.6501,427.0471,502900
2024-10-28,430.5744,432.6769,427.924,430.0164,359400
2024-10-29,428.4621,435.3872,426.2899,435.2278,355000
2024-10-30,430.445,436.9915,429.7475,430.2257,369900
2024-10-31,437.5494,455.1263,434.9488,444.4746,548200
2024-11-01,455.9235,460.218,449.9051,451.589,523300
2024-11-04,449.088,466.914,449.0581,459.8494,394000
2024-11-05,460.4771,474.7957,460.4771,474.0783,357400
2024-11-06,490.6887,502.7254,485.1386,500.0849,616600
2024-11-07,501.2009,507.6378,499.8059,502.5461,796500
2024-11-08,506.0535,517.2433,504.1902,512.3111,593200
2024-11-11,519.9138,523.4312,514.4933,518.5786,634900
2024-11-12,519.7444,522.6241,509.0628,512.2414,472000
2024-11-13,513.158,515.1508,496.8266,498.5703,454900
2024-11-14,498.5904,500.7028,491.0375,496.3285,556600
2024-11-15,497.5241,502.8351,493.9869,497.0757,436700
2024-11-18,499.5667,504.0008,495.4715,499.0586,402000
2024-11-19,495.4715,512.4008,493.6481,512.1616,448900
2024-11-20,515.1509,519.0868,506.9404,513.9751,436800
2024-11-21,518.1402,530.4759,516.6455,525.0653,397800
2024-11-22,520.9501,526.5201,496.0993,503.1141,661400
2024-11-25,506.0934,511.3147,501.2408,509.1624,651300
2024-11-26,509.6507,520.8704,506.9304,512.9389,451900
2024-11-27,518.1402,520.6213,503.4629,506.1333,391200
2024-11-29,512.2313,517.8611,508.146,508.2954,177400
2024-12-02,510.119,515.8882,503.2636,503.2835,319100
2024-12-03,505.4258,508.9332,499.2579,507.7674,340700
2024-12-04,509.2122,513.0285,505.5653,512.8691,336600
