Date,Open,High,Low,Close,Volume
2024-08-05,767.1668,767.1668,732.0086,735.9651,675400
2024-08-06,735.2754,758.0372,731.4147,751.6474,410400
2024-08-07,750.9289,766.3813,746.4168,747.5089,695000
2024-08-08,743.1501,778.6053,739.5673,775.4727,716700
2024-08-09,777.8389,788.7504,770.5774,784.4778,365900
2024-08-12,780.7607,785.5506,769.5331,784.6789,409000
2024-08-13,790.3406,796.5387,786.499,794.7856,429200
2024-08-14,796.807,807.843,793.9905,806.1378,566500
2024-08-15,802.9381,803.8003,792.3907,795.2072,553500
2024-08-16,791.107,796.7591,786.5086,793.8468,371700
2024-08-19,786.4416,799.5373,786.2212,795.4946,304200
2024-08-20,798.5505,798.5505,790.1298,794.9772,284100
2024-08-21,795.3817,796.2484,785.7621,787.6686,382700
2024-08-22,788.0539,790.4227,783.9518,788.5931,418300
2024-08-23,791.9344,798.6461,787.6398,797.2691,532500
2024-08-26,799.609,802.1222,785.8391,788.5449,284000
2024-08-27,785.1939,790.2589,783.4414,787.659,257100
2024-08-28,787.1774,788.1597,780.2732,783.5376,218600
2024-08-29,782.6517,792.8588,779.9747,788.3907,310400
2024-08-30,789.97,805.4732,786.7056,803.4318,521000
2024-09-03,798.7231,804.52,794.7077,801.3038,402400
2024-09-04,795.5647,799.2334,785.7524,796.9128,586300
2024-09-05,795.6128,798.309,786.3301,791.2796,333700
2024-09-06,791.0774,794.4284,779.5318,787.6397,457700
2024-09-09,790.8944,804.4333,789.6811,800.9667,430100
2024-09-10,804.9148,833.3695,804.3756,832.7243,598600
2024-09-11,822.806,837.0478,815.6032,835.5359,656300
2024-09-12,842.2862,842.2862,823.7401,836.6049,344200
2024-09-13,837.6544,843.2009,837.6544,839.2336,282000
2024-09-16,839.0796,848.083,839.0796,844.0772,249100
2024-09-17,844.7224,849.2675,829.7777,832.291,322200
2024-09-18,830.336,840.5142,828.0539,829.0361,288300
2024-09-19,842.5172,846.8696,836.5181,838.704,597000
2024-09-20,833.7065,853.6392,830.9621,844.6839,1240600
2024-09-23,851.1065,857.5871,843.7787,849.2288,452000
2024-09-24,849.2288,859.0026,847.8037,854.679,435000
2024-09-25,859.0123,863.2877,855.0931,857.019,554100
2024-09-26,863.384,863.384,844.0001,846.3978,579500
2024-09-27,853.3021,856.6338,847.3319,849.9703,359000
2024-09-30,846.812,856.5857,846.812,854.7273,534600
2024-10-01,861.8047,861.8047,843.8846,850.2688,419900
2024-10-02,839.4744,854.5154,839.4744,853.7354,255300
2024-10-03,852.1177,852.1177,841.5736,843.7402,209400
2024-10-04,851.2028,851.2028,835.1411,844.3757,236800
2024-10-07,836.364,840.3505,832.0501,837.7603,235000
2024-10-08,844.183,845.2326,839.1373,840.1676,245000
2024-10-09,837.8663,845.2327,830.2687,844.2601,239200
2024-10-10,844.2601,857.0093,838.0685,838.2706,268500
2024-10-11,837.3944,846.003,832.2523,839.2529,425200
2024-10-14,835.719,841.1884,831.328,833.9183,418500
2024-10-15,839.7921,849.3252,836.2967,845.4831,558100
2024-10-16,846.0704,850.0762,840.9187,847.5726,260500
2024-10-17,848.2564,857.0094,842.9602,855.902,447400
2024-10-18,855.2279,862.0455,852.0599,862.0166,299400
2024-10-21,855.0642,861.8625,844.6068,847.3223,396300
2024-10-22,846.0512,850.3073,844.8764,845.8104,264200
2024-10-23,841.3328,858.8004,840.6492,858.1263,400200
2024-10-24,857.2692,863.509,854.9871,862.5557,425400
2024-10-25,883.3936,908.0639,879.1567,880.4374,1032100
2024-10-28,893.1097,894.7082,878.4924,878.7909,447400
2024-10-29,878.1939,886.0418,870.4326,872.3296,534500
2024-10-30,879.542,883.5862,874.6984,876.4798,543000
2024-10-31,852.5412,890.7119,852.5412,874.4191,850700
2024-11-01,880.1196,882.344,854.3901,855.3723,451000
2024-11-04,855.0834,864.8957,854.265,862.7098,335800
2024-11-05,861.2463,875.748,855.9501,875.2954,437500
2024-11-06,861.8241,862.6811,837.2693,857.799,671700
2024-11-07,865.3291,875.748,858.1552,874.0917,366200
2024-11-08,882.1996,893.4274,878.9353,886.918,535900
2024-11-11,886.9179,893.1577,877.876,879.6382,289800
2024-11-12,881.4293,882.7004,868.1024,869.5468,810100
2024-11-13,872.0912,880.4213,871.2495,871.859,364100
2024-11-14,876.0967,876.474,864.8834,868.9276,414200
2024-11-15,860.5683,874.2488,857.1821,868.2019,368700
