Date,Open,High,Low,Close,Volume
2024-08-26,56.3961,56.903,56.325,56.6188,4961200
2024-08-27,56.5098,56.6993,56.2634,56.4198,2232200
2024-08-28,56.614,56.922,56.3203,56.5193,2678600
2024-08-29,56.4908,56.8035,55.9554,56.7751,2159800
2024-08-30,56.8557,57.3152,56.7277,57.1826,2729800
2024-09-03,57.0262,58.3292,56.8557,57.8885,3772200
2024-09-04,58.0875,58.6229,57.6374,58.0544,2624200
2024-09-05,58.4903,58.5755,57.7227,57.9501,2346600
2024-09-06,58.1586,58.2676,57.6943,57.7559,3047600
2024-09-09,57.7464,58.1633,57.3579,57.8838,7794800
2024-09-10,57.8648,58.206,57.2916,57.6279,4613600
2024-09-11,57.3437,57.9975,56.8557,57.9122,4381400
2024-09-12,58.0117,58.5945,57.8412,58.5377,3143400
2024-09-13,59.1536,60.3333,59.0399,60.2149,6034200
2024-09-16,60.556,61.0819,60.1485,60.864,4948600
2024-09-17,61.2951,61.4325,60.5513,61.1577,5259000
2024-09-18,60.9493,61.3567,60.6034,60.9351,3653400
2024-09-19,60.7313,60.9019,59.869,60.4944,3873200
2024-09-20,61.0251,61.4515,60.5987,61.2383,6308800
2024-09-23,61.532,61.6694,61.1719,61.6078,3758400
2024-09-24,61.2193,62.0816,61.0346,61.6078,6605600
2024-09-25,61.9158,61.9158,61.1814,61.4705,5282000
2024-09-26,61.1862,61.6837,61.0725,61.3946,1909600
2024-09-27,61.6979,62.328,61.5415,62.129,1658200
2024-09-30,62.418,62.4228,61.75,62.3564,2933400
2024-10-01,62.4986,63.1951,62.0011,62.9913,3382800
2024-10-02,62.3896,62.9676,62.1717,62.8871,2249200
2024-10-03,63.015,63.0956,62.5981,63.015,1689200
2024-10-04,62.4465,62.8824,62.0058,62.7781,2066800
2024-10-07,62.5412,62.5697,61.9206,62.02,2524200
2024-10-08,62.4417,62.5223,61.8116,61.8447,4944800
2024-10-09,61.8305,62.2143,61.3852,61.6173,2719600
2024-10-10,61.6931,62.0911,61.0061,61.1483,2308600
2024-10-11,61.4325,62.02,61.333,61.8969,1758800
2024-10-14,61.9016,62.5934,61.8779,62.4939,1594600
2024-10-15,63.015,63.7873,62.8681,63.1856,2230000
2024-10-16,63.2946,63.7494,63.2093,63.6404,3147200
2024-10-17,63.7068,64.0384,63.3609,63.7873,2143600
2024-10-18,63.6357,64.3369,63.3514,64.0953,2034200
2024-10-21,64.0953,64.4459,63.8963,63.9816,2045200
2024-10-22,63.3798,64.0858,63.2567,63.9531,2022600
2024-10-23,63.8679,64.9339,63.8537,64.8865,2192000
2024-10-24,64.9292,65.2419,64.7728,65.1329,3878000
2024-10-25,65.4977,65.4977,64.1285,64.1427,4111800
2024-10-28,64.3274,64.8391,64.1474,64.588,3359600
2024-10-29,64.1948,64.2137,63.5172,63.5504,5491000
2024-10-30,63.901,64.0811,63.3467,63.6783,4791800
2024-10-31,67.2792,74.3151,66.9997,73.3343,12033200
2024-11-01,73.1353,73.2159,68.3831,68.6011,7743000
2024-11-04,68.3073,68.5632,66.5353,67.4829,5933800
2024-11-05,67.2934,69.1554,67.0849,69.1507,3213600
2024-11-06,69.018,70.2783,68.3879,69.2028,3949800
2024-11-07,68.947,69.6198,68.5537,69.1554,2840600
2024-11-08,69.1744,70.7616,68.838,70.5863,4929200
2024-11-11,70.4631,72.292,70.4631,71.2354,3857000
2024-11-12,71.0601,71.3965,70.3352,70.7048,3078200
2024-11-13,70.9245,71.2158,69.9644,70.5041,3292600
2024-11-14,70.7191,70.9388,70.1411,70.2319,3501800
2024-11-15,70.4516,71.5358,70.2701,71.2254,5180200
2024-11-18,71.0104,72.2284,71.0104,71.297,2800200
2024-11-19,70.8671,71.7269,70.4182,71.5932,2150400
2024-11-20,71.918,72.5389,71.5215,71.9848,3683200
2024-11-21,71.8988,72.964,71.5406,72.386,3386000
2024-11-22,73.0786,73.2171,72.0995,72.152,3700000
2024-11-25,72.7491,73.0118,71.7747,72.8398,5319000
2024-11-26,73.155,74.5306,72.921,74.4781,3712800
2024-11-27,74.6166,75.5002,74.5259,74.7026,3827600
2024-11-29,74.9223,75.1707,74.2727,74.5927,1542200
2024-12-02,74.6166,74.7694,73.0595,73.198,3390200
2024-12-03,73.7425,74.0243,72.2762,72.281,3542200
2024-12-04,72.2284,73.1073,71.469,72.4338,4636600
2024-12-05,72.2953,73.9623,72.1663,73.4273,3497600
2024-12-06,73.3174,73.6422,72.0995,72.3908,2249800
2024-12-09,72.4243,72.601,71.4117,71.4355,2343800
2024-12-10,71.1967,71.3209,70.2367,70.8481,3279400
2024-12-11,70.9865,71.1298,70.5519,70.6331,2424200
2024-12-12,71.1155,71.7126,70.7239,70.8194,3252000
2024-12-13,70.8146,71.1585,70.3274,70.9197,3294500
2024-12-16,71.4642,72.2762,70.2319,71.4164,3607900
2024-12-17,71.1012,72.2953,70.5758,71.4929,3754800
2024-12-18,71.2349,71.9323,69.8784,69.9167,2807000
2024-12-19,70.337,71.7126,70.1459,71.1585,4577100
2024-12-20,70.7477,71.8177,70.4038,71.7699,6807000
2024-12-23,71.3687,72.1711,70.8719,72.0565,2524300
2024-12-24,72.1902,72.8398,71.9418,72.8207,830700
2024-12-26,72.6678,72.8111,72.1233,72.5437,1391100
2024-12-27,72.0565,72.8685,71.8845,72.3717,1429300
2024-12-30,72.1329,72.6392,71.3782,72.3622,1829700
2024-12-31,72.4004,72.7825,71.875,72.429,2015400
2025-01-02,72.8589,73.1168,71.426,72.0278,3188100
2025-01-03,72.2857,73.7091,71.4642,73.2506,2740100
2025-01-06,73.0882,73.2124,71.6553,71.8941,2733200
2025-01-07,72.1138,73.2983,72.1138,72.5628,2420000
2025-01-08,72.4386,73.4416,71.8272,73.1741,3373500
2025-01-10,73.0309,73.3652,72.0947,72.7825,3089000
2025-01-13,72.687,73.7091,71.6839,73.6231,4703300
2025-01-14,73.5945,74.4542,73.2123,74.0912,3671500
2025-01-15,74.9319,75.7916,74.6835,75.4573,3611600
2025-01-16,75.2566,77.7308,75.142,77.6735,3968500
2025-01-17,77.578,78.8103,77.2627,78.3231,2853100
2025-01-21,78.9918,80.4916,78.9058,79.8802,3128900
2025-01-22,79.6987,79.6987,78.4091,78.8962,3043000
2025-01-23,79.2784,79.4408,78.0652,78.2371,4066200
2025-01-24,78.1894,79.0969,78.0556,78.8294,4218600
2025-01-27,78.1416,78.9727,74.2727,75.2662,7685200
2025-01-28,75.505,75.5528,72.1711,74.1485,7949500
2025-01-29,74.4638,76.6513,74.2058,75.6961,4953200
2025-01-30,76.852,77.855,76.489,77.5493,3595300
2025-01-31,77.4442,78.0843,77.1003,77.4538,7475600
2025-02-03,76.5749,78.5141,76.0591,78.3708,2746100
2025-02-04,77.8454,78.8103,77.0526,78.0079,2770500
2025-02-05,78.6383,79.5363,78.0556,78.8103,2844700
2025-02-06,79.4025,79.6318,78.6383,79.0873,2232200
2025-02-07,79.0969,79.7178,78.0556,78.7148,2348800
2025-02-10,78.734,78.9457,77.6755,78.7148,4117800
2025-02-11,78.5223,79.0419,77.6851,78.9264,2885500
2025-02-12,77.6947,79.8695,77.56,79.6963,2680300
2025-02-13,79.5808,80.5335,79.1285,80.1101,2248800
2025-02-14,79.9946,81.2744,79.3402,79.3787,3916800
2025-02-18,82.179,85.0466,81.794,84.1035,5841400
2025-02-19,84.2575,84.5751,83.2086,84.0266,4675000
2025-02-20,83.8726,84.0169,82.0058,82.6216,4006600
2025-02-21,82.0635,83.1124,81.0435,81.8806,4755100
2025-02-24,81.5727,82.5639,80.7548,82.0731,6463900
2025-02-25,82.1405,82.4388,80.1582,82.2174,4079100
2025-02-26,82.9199,83.709,82.535,82.9007,4035000
2025-02-27,82.8141,83.632,81.9191,82.0538,2979200
2025-02-28,82.1886,84.2094,82.0539,84.0169,3540200
2025-03-03,83.5839,84.7001,83.3337,84.575,3920100
2025-03-04,84.296,84.6809,81.7459,81.871,3881500
2025-03-05,81.3129,82.1693,80.7933,81.4669,2250500
2025-03-06,80.6682,80.774,77.9353,78.1181,3903600
2025-03-07,78.0989,79.3402,76.9153,78.2625,4808800
2025-03-10,77.6274,78.1566,75.9626,77.4253,6206600
2025-03-11,77.5696,80.1197,77.2617,79.2729,5745200
2025-03-12,80.1389,81.2552,79.4172,79.5231,4793500
2025-03-13,79.5327,80.0908,78.6666,79.7155,2759700
2025-03-14,79.7636,81.9576,79.7059,81.7844,3297500
2025-03-17,81.7844,83.1605,81.3706,82.2271,2590400
2025-03-18,80.1101,80.4372,79.1959,80.3314,9991300
2025-03-19,80.6489,81.7556,79.985,81.4669,7870600
2025-03-20,81.3321,81.6497,81.005,81.4476,3952800
2025-03-21,80.3506,81.2167,80.2448,80.7163,9132300
2025-03-24,81.1012,81.5823,79.4268,80.8414,4836600
2025-03-25,80.851,80.9184,79.3114,79.7925,4658300
2025-03-26,79.908,81.0916,79.7348,80.9376,3732500
2025-03-27,80.9087,81.6305,80.2929,80.851,4320700
2025-03-28,81.1974,81.8518,80.928,81.2263,3388700
2025-03-31,81.1782,82.4195,80.9857,82.2656,6230800
2025-04-01,82.1405,82.8237,81.0146,82.4292,4601100
2025-04-02,82.2944,83.6609,81.8133,83.3433,3126000
2025-04-03,82.3233,83.9592,81.6497,81.8518,6498500
2025-04-04,81.8133,81.8133,75.5488,76.0492,7635300
2025-04-07,73.759,78.2817,72.7678,76.3475,6618800
2025-04-08,78.5896,78.6859,75.1254,76.03,5000200
2025-04-09,75.0581,78.2528,72.7197,77.4734,10462100
2025-04-10,76.8864,78.2913,75.5007,77.2521,5178000
2025-04-11,77.0404,78.9457,76.0107,78.6378,3384300
2025-04-14,79.4268,80.2351,78.9842,79.4653,2604800
2025-04-15,80.0716,81.2744,79.7251,80.3121,2994100
2025-04-16,80.3217,80.5816,78.8302,79.1381,2006400
2025-04-17,79.4076,81.1974,79.3883,80.1293,3228200
2025-04-21,79.6,79.6289,76.4822,77.4734,3200200
2025-04-22,78.7244,80.5335,78.1662,80.1389,4772700
2025-04-23,80.264,81.8999,80.1774,81.082,3037200
2025-04-24,80.5623,82.0442,80.11,81.7652,3437200
2025-04-25,81.5631,81.9865,81.0146,81.4187,2697800
2025-04-28,81.4861,81.9384,80.851,81.8806,3018600
2025-04-29,80.1774,81.6401,79.2536,80.3795,3931200
2025-04-30,79.9849,80.8318,78.3683,80.0331,4003400
2025-05-01,80.2159,81.5631,79.3114,80.2255,3669600
2025-05-02,80.5163,82.135,80.0317,81.8733,2919800
2025-05-05,81.7763,82.0768,80.7489,81.7957,2239000
2025-05-06,81.2529,81.9024,81.0494,81.3402,3609900
2025-05-07,80.9331,82.3482,80.8071,81.6503,4369200
2025-05-08,81.4565,81.6406,80.5938,80.7489,4275700
2025-05-09,81.0785,81.3111,79.9348,80.3709,2170800
2025-05-12,80.4485,80.5745,78.5681,78.7716,4293800
2025-05-13,78.9267,79.5761,78.0835,78.4033,3921700
2025-05-14,78.8589,78.8589,76.9591,78.035,3728300
2025-05-15,78.4421,80.0123,78.3452,79.3047,5058100
2025-05-16,79.5083,80.5938,79.266,80.5842,2444500
2025-05-19,80.2158,80.5938,79.7797,80.4582,2490500
2025-05-20,79.9541,82.0284,79.7506,81.7376,3736900
2025-05-21,81.6891,81.8248,79.9057,80.0317,2415400
2025-05-22,79.7506,79.8281,78.1222,78.7813,1905200
2025-05-23,79.518,80.3612,78.4906,80.274,1945200
2025-05-27,81.0494,81.0494,79.5567,80.2352,2406100
2025-05-28,80.0801,80.2934,78.8976,79.295,1952300
2025-05-29,79.2078,80.1577,78.7426,79.8281,1805700
2025-05-30,79.4501,80.8846,78.9946,80.7198,4051000
2025-06-02,80.0801,80.8168,79.3726,80.5842,2577200
2025-06-03,81.6116,81.6212,79.1593,80.3806,2376500
2025-06-04,80.2255,80.7295,79.1303,79.3726,1817700
2025-06-05,79.4889,79.8184,78.8007,79.2853,1735300
2025-06-06,79.6149,80.0607,79.0236,79.6246,2381500
2025-06-09,79.4889,81.2045,79.043,80.2643,3315100
2025-06-10,80.274,80.5648,78.9752,79.6827,3124300
2025-06-11,79.799,80.4194,79.2756,79.6246,2535000
2025-06-12,79.7021,80.8265,79.3532,80.7295,2575000
2025-06-13,80.2837,80.5454,79.2563,79.547,2540300
2025-06-16,80.4581,80.6617,78.8686,79.2175,2147400
2025-06-17,79.0236,79.1109,78.1998,78.4905,1905200
2025-06-18,78.6747,78.9752,78.0253,78.4324,2723700
2025-06-20,78.7232,79.5277,78.3839,78.4809,7933900
2025-06-23,78.7426,80.1286,78.7426,80.0704,2567100
2025-06-24,80.3128,81.1269,80.1383,80.4194,3003900
2025-06-25,80.0414,80.2837,78.6553,78.8201,2499300
2025-06-26,78.9655,79.7021,78.8492,79.3435,2281400
2025-06-27,79.4986,80.5357,79.1303,79.9444,3236600
2025-06-30,79.7991,80.6132,79.6052,80.5648,2526700
2025-07-01,80.5454,80.6714,79.14,79.9929,3198200
2025-07-02,79.6634,80.274,78.3549,78.8201,2343800
2025-07-03,78.6456,79.7603,78.5584,79.4017,1120800
2025-07-07,79.3144,79.5373,78.5778,79.2078,1744200
2025-07-08,78.6844,78.8976,77.6473,78.4421,2444900
2025-07-09,79.0043,79.2369,77.8799,78.9558,2342200
2025-07-10,78.7038,79.8184,78.5681,79.5955,1676000
2025-07-11,79.1109,79.4792,78.3742,79.2369,1892700
2025-07-14,78.9849,80.4485,78.8492,80.2449,2925200
2025-07-15,80.4485,81.0397,79.392,80.3225,3368600
2025-07-16,80.2352,81.0979,79.8475,80.9816,2989600
2025-07-17,80.7586,82.5808,80.5841,81.9411,3138100
2025-07-18,82.2997,83.8021,82.1544,83.7439,2512500
2025-07-21,84.3061,84.4806,83.4726,84.3546,2468200
2025-07-22,84.6744,85.8763,84.4224,85.8084,2743600
2025-07-23,86.3415,86.6032,84.907,85.411,2539100
2025-07-24,85.5855,86.2543,84.9361,85.4401,2563100
2025-07-25,85.3432,85.7406,85.1494,85.4498,1804800
2025-07-28,85.4595,85.5855,83.8312,84.0153,2814400
2025-07-29,84.3546,85.8181,84.0832,85.5274,3357000
2025-07-30,87.4271,88.6484,86.5257,86.5451,5480900
2025-07-31,86.9328,87.8536,86.4191,87.65,2965300
2025-08-01,87.3011,87.6597,86.3609,86.9134,2658300
2025-08-04,87.3787,89.0749,87.3205,88.8035,3509600
2025-08-05,88.9198,89.5595,87.1363,87.621,3800600
2025-08-06,87.5241,88.6581,87.146,87.5047,2678000
2025-08-07,87.2333,88.0474,87.1557,87.747,2131600
2025-08-08,87.9602,88.4351,87.2817,87.6888,1627500
2025-08-11,87.243,87.6888,86.3803,87.3205,1916400
2025-08-12,87.4562,88.1347,86.1283,88.0959,2399100
2025-08-13,88.4472,88.7887,87.5885,88.7691,1789800
2025-08-14,88.4959,88.7887,88.0569,88.0959,2461100
2025-08-15,88.3106,88.3106,86.4665,86.9543,4104800
2025-08-18,86.886,87.208,85.442,85.7152,1915100
2025-08-19,85.842,86.6811,85.7152,86.6519,2805800
2025-08-20,86.9056,88.1544,86.7397,87.6471,2620600
2025-08-21,87.6178,87.8813,86.4275,87.0519,1459600
2025-08-22,87.6373,88.0764,86.6811,87.1592,2029200
2025-08-25,86.8665,87.5202,86.8373,87.0031,1540000
2025-08-26,87.0909,87.6764,86.486,87.4129,3385600
2025-08-27,87.3641,87.8129,86.6811,87.3739,1632200
2025-08-28,87.13,87.5105,85.7152,85.9884,5441200
2025-08-29,86.1152,86.5348,85.725,85.9494,1705100
2025-09-02,85.5005,85.9299,84.7785,85.2859,1727800
2025-09-03,84.9249,85.5103,84.6029,85.081,1626600
2025-09-04,86.6226,87.4227,85.3249,86.0372,3500000
2025-09-05,86.1738,86.4079,84.7005,85.6176,1952000
2025-09-08,85.5591,85.8616,84.3004,84.72,3264500
2025-09-09,84.5931,85.3444,84.3882,84.8956,1936700
2025-09-10,84.7883,86.3689,84.7883,86.2909,2756700
2025-09-11,86.4958,87.7544,86.2226,87.6764,2366000
2025-09-12,87.5495,88.535,87.5495,88.0959,2082800
2025-09-15,87.9788,88.4959,87.8032,87.9983,2062300
2025-09-16,87.9983,88.2618,86.0274,86.1152,1967600
2025-09-17,86.3006,86.6909,85.7933,86.0372,2936800
2025-09-18,85.764,86.4177,85.2566,85.6957,2464900
2025-09-19,86.3689,87.1105,85.5591,86.5153,4786600
2025-09-22,86.5055,87.2373,85.9201,87.0714,2325200
2025-09-23,87.0812,88.7691,86.7397,88.6423,2134400
2025-09-24,89.2082,89.5107,88.5252,89.3643,2524500
2025-09-25,89.0326,89.4424,88.0178,88.1349,2869700
2025-09-26,88.613,90.0473,88.2813,90.0083,2670900
2025-09-29,90.2034,91.5304,89.6668,91.2767,3821800
2025-09-30,91.3743,91.6377,89.4229,90.9254,3040900
2025-10-01,90.9645,92.0182,90.7596,91.1303,2398400
2025-10-02,90.9352,91.784,90.1058,91.2962,2709000
2025-10-03,93.5793,94.2623,91.9694,93.072,3714100
2025-10-06,93.2769,96.1845,93.2769,95.1112,4137300
2025-10-07,95.2673,95.3844,92.8963,93.6476,3570700
2025-10-08,94.2135,95.0331,93.5501,94.3111,2858900
2025-10-09,94.916,95.238,93.1403,93.2964,2244500
2025-10-10,93.6086,95.0331,92.6915,92.9451,3743500
2025-10-13,93.1305,94.1843,93.0232,93.394,2186100
2025-10-14,93.2281,94.9258,92.9939,94.3111,2648400
2025-10-15,94.7112,95.521,94.4282,95.2771,2125000
2025-10-16,95.6185,96.1649,93.6476,93.6867,1894800
2025-10-17,94.0184,94.2428,93.1208,93.511,2332400
2025-10-20,94.0379,94.5843,93.2574,94.3599,2793400
2025-10-21,94.4867,94.7502,92.7207,93.3354,1999900
2025-10-22,93.6476,94.194,93.2671,93.6671,2018800
2025-10-23,93.872,94.3696,93.1208,93.3452,1964800
2025-10-24,93.7842,94.8575,93.4037,94.2331,2217600
2025-10-27,94.9648,95.0136,93.4037,94.9941,3179900
2025-10-28,95.6185,95.6185,92.7012,92.711,2543000
2025-10-29,91.7158,94.6136,90.5059,93.1403,4739600
2025-10-30,92.8671,94.8575,92.789,93.7159,3029200
2025-10-31,93.7842,94.6526,93.2378,93.755,3196600
2025-11-03,93.4915,95.1014,92.6231,94.516,3291600
2025-11-04,94.5258,94.7307,93.5208,93.8916,2511300
2025-11-05,93.9208,94.7404,93.1403,93.9403,2212700
2025-11-06,93.8916,94.4087,93.3452,93.3744,1786100
2025-11-07,93.5598,94.8282,92.8573,94.8282,2658600
2025-11-10,94.8477,96.0674,94.6428,94.7502,2657300
2025-11-11,94.4477,94.9648,93.4232,94.516,2197900
2025-11-12,94.5355,94.8477,93.9111,94.194,2247000
2025-11-13,93.7324,94.2923,92.6225,92.7404,2706500
2025-11-14,92.6127,93.9485,92.3082,93.3591,2465000
2025-11-17,93.752,94.6655,93.0645,93.8404,2949100
2025-11-18,93.8404,94.4887,92.7502,92.76,2481800
2025-11-19,92.7698,93.4082,92.0332,92.3573,2179200
2025-11-20,92.9466,94.1842,91.6894,91.6894,3767100
2025-11-21,91.9055,92.5341,91.0902,92.0332,2601100
2025-11-24,92.0332,94.0369,91.5028,93.7815,3528000
2025-11-25,94.0958,94.3217,92.8975,93.5752,2318200
2025-11-26,94.2235,95.137,93.8404,94.8325,1902100
2025-11-28,95.2745,95.9227,94.9405,95.7852,928700
2025-12-01,94.9503,95.2646,92.7404,92.9073,2295400
2025-12-02,93.3788,93.3788,91.267,91.3161,2029100
2025-12-03,91.5912,92.5832,90.7465,92.5636,5825900
2025-12-04,92.2885,93.31,91.7385,92.7796,3742400
2025-12-05,92.2591,93.1332,91.9644,92.5439,3317400
2025-12-08,92.4948,92.5341,90.9036,91.2474,3219700
2025-12-09,91.5715,92.5636,91.5519,91.5715,2972700
2025-12-10,91.5715,91.8858,90.5697,91.6697,2248100
2025-12-11,91.326,92.1903,90.9527,91.6599,2504600
2025-12-12,91.6992,91.9055,90.0786,90.7072,3197500
2025-12-15,90.4911,92.3475,89.9509,92.0823,2498900
2025-12-16,91.7778,92.5243,90.9822,91.159,2113800
2025-12-17,91.3161,91.4831,90.0393,90.1964,3647500
2025-12-18,90.8447,91.1885,90.275,90.5697,2821100
2025-12-19,90.8643,91.3554,89.8232,89.8723,6062300
2025-12-22,90.1571,90.442,89.2535,90.3536,2144900
2025-12-23,90.4223,91.0313,90.0884,90.6875,2550000
2025-12-24,90.6384,91.1885,90.383,91.0215,780200
2025-12-26,90.7956,91.3161,90.4125,91.1983,1288800
2025-12-29,91.326,92.0233,91.3063,91.4733,1491700
2025-12-30,91.3947,91.9742,91.2376,91.709,1597900
2025-12-31,91.6992,91.709,90.7465,90.7858,1513300
2026-01-02,90.9233,92.6127,90.2652,92.1903,1872900
2026-01-05,92.043,92.0725,89.3714,90.9036,2011300
2026-01-06,91.0608,92.0135,90.8054,91.6599,1750900
2026-01-07,92.0626,92.318,89.558,89.6857,1612500
2026-01-08,89.6955,90.5107,89.3026,89.5678,3691700
2026-01-09,91.159,92.4457,90.4322,91.8564,2848600
2026-01-12,91.4733,92.5734,91.2965,91.8367,1773800
2026-01-13,91.5028,92.6912,91.159,92.6912,2192600
2026-01-14,92.6421,93.5261,92.2885,93.477,2209700
2026-01-15,93.5752,94.2333,93.0056,93.9681,3034600
2026-01-16,93.7815,95.1468,93.5752,94.7048,2133200
2026-01-20,93.9583,94.9602,92.927,93.0645,2364100
2026-01-21,93.8994,94.695,92.927,94.0271,2891100
2026-01-22,94.0271,94.0663,91.7287,91.876,3095000
2026-01-23,91.7974,92.1903,90.6483,91.5322,2512800
2026-01-26,91.9644,93.4672,91.876,93.2806,2728700
2026-01-27,93.2609,94.9012,93.0154,94.8619,2097700
2026-01-28,94.97,95.9816,94.3119,94.7637,1857800
2026-01-29,94.1842,96.2567,93.7029,94.3217,3422100
2026-01-30,93.8601,94.5673,92.7698,94.1842,2769700
2026-02-02,94.2137,95.1959,93.4181,93.7913,2390600
2026-02-03,94.2431,95.7852,94.1547,95.6182,2641100
2026-02-04,96.2567,96.7871,94.7539,95.1075,3261700
2026-02-05,95.3334,96.3352,94.5378,95.1664,3637900
2026-02-06,96.1781,96.7969,94.5771,96.2174,2513600
2026-02-09,96.079,97.3445,95.8615,97.038,1912700
2026-02-10,97.3346,99.1834,96.7809,98.5803,2902900
2026-02-11,99.1933,100.0831,98.1947,99.0647,3238200
