Date,Open,High,Low,Close,Volume
2024-08-19,35.3668,35.395,35.1791,35.2918,3423300
2024-08-20,35.3293,35.4513,35.0947,35.2261,3612300
2024-08-21,35.273,35.8172,35.2542,35.5357,5166300
2024-08-22,35.4231,35.6202,35.3668,35.5451,5728000
2024-08-23,35.6577,35.7422,35.3762,35.4607,3723700
2024-08-26,35.6296,35.8266,35.5639,35.6296,2891400
2024-08-27,35.6577,35.714,35.3105,35.3574,4543400
2024-08-28,35.3856,35.9205,35.3199,35.5545,5015200
2024-08-29,35.6577,35.7046,35.2261,35.6859,3705600
2024-08-30,35.6483,35.8454,35.4888,35.7422,6379500
2024-09-03,35.7703,36.3052,35.6577,36.1175,7145000
2024-09-04,36.2864,36.84,36.2677,36.4929,6121000
2024-09-05,36.6993,36.8307,35.9205,36.0518,7460600
2024-09-06,36.08,36.277,35.8172,35.8454,4624700
2024-09-09,36.0143,36.4741,35.8454,36.3427,6209500
2024-09-10,36.4553,36.7931,36.3333,36.643,7849100
2024-09-11,36.4929,36.9527,36.2489,36.8776,11191000
2024-09-12,36.962,37.4687,36.7087,37.4031,19881400
2024-09-13,37.4687,37.7878,37.2435,37.7503,6605700
2024-09-16,37.9192,38.1256,37.7221,37.9379,7764100
2024-09-17,37.8722,38.0224,37.6377,37.7221,6829500
2024-09-18,37.7033,37.7503,36.8682,37.0653,6921700
2024-09-19,36.9151,37.0183,36.4835,36.8682,6675400
2024-09-20,37.206,38.2476,37.084,37.7878,18779400
2024-09-23,37.9567,37.9567,37.6095,37.9098,5674200
2024-09-24,37.769,37.9942,37.2998,37.525,9059200
2024-09-25,37.7409,37.7503,37.1779,37.525,6309400
2024-09-26,37.3655,37.8066,37.3561,37.4688,3108100
2024-09-27,37.6658,38.0599,37.5907,37.891,5899100
2024-09-30,37.891,38.1725,37.6095,38.0505,8333400
2024-10-01,38.0505,38.5197,37.9473,38.257,7394600
2024-10-02,38.0881,38.5854,38.0787,38.4259,4703000
2024-10-03,38.4728,38.5009,38.1162,38.2664,4137800
