Date,Open,High,Low,Close,Volume
2024-09-03,69.3552,69.4405,67.0447,68.3609,3173900.0
2024-09-04,68.4083,69.0333,66.6375,66.6848,2044600.0
2024-09-05,67.2909,68.3799,66.325,68.181,5483200.0
2024-09-06,68.3609,69.3836,66.9926,67.0825,4699700.0
2024-09-09,66.8363,67.2435,66.2397,66.5806,2242100.0
2024-09-10,66.6943,67.0257,65.4538,66.9689,1537700.0
2024-09-11,67.253,68.5787,66.2492,68.5124,1287000.0
2024-09-12,68.5408,68.8155,67.2908,68.503,998000.0
2024-09-13,68.8817,69.592,68.5124,69.3363,1380000.0
2024-09-16,69.7056,70.2359,68.8439,69.1848,1076700.0
2024-09-17,69.3268,69.5825,68.9102,69.4499,1198300.0
2024-09-18,69.4783,71.7321,69.4405,70.5579,2058400.0
2024-09-19,72.0635,73.323,71.1829,72.5086,2099800.0
2024-09-20,72.6222,74.8097,71.8741,74.2983,4030400.0
2024-09-23,74.3552,76.5805,74.1563,76.0029,2830300.0
2024-09-24,76.9498,76.9498,75.5767,75.8419,1877000.0
2024-09-25,75.8324,76.1591,74.0521,74.09,2009000.0
2024-09-26,73.7207,76.5805,73.304,76.0407,4966900.0
2024-09-27,76.9404,79.4119,76.4375,78.2188,3821100.0
2024-09-30,77.9157,79.2794,77.5654,77.8873,9983700.0
2024-10-01,77.5464,78.0814,76.4669,77.1392,4189700.0
2024-10-02,78.929,78.9858,77.3286,78.8248,2127500.0
2024-10-03,78.9574,80.7755,78.7017,80.6903,3460300.0
2024-10-04,80.4299,81.4384,80.0663,81.088,3573600.0
2024-10-07,81.268,81.3437,80.5388,80.9081,3424500.0
2024-10-08,79.999,81.5521,78.8438,81.4384,2383600.0
2024-10-09,81.4384,82.6032,80.9365,82.4138,2907300.0
2024-10-10,82.4801,82.6316,81.8551,82.0161,1966100.0
2024-10-11,81.5331,83.4933,81.4858,82.7547,2302500.0
2024-10-14,82.2812,82.9535,81.6373,82.0255,3145000.0
2024-10-15,80.6808,81.8645,80.018,81.2395,3493300.0
2024-10-16,81.4384,81.874,80.5199,81.874,2600900.0
2024-10-17,81.9782,83.285,81.5378,82.9251,1782400.0
2024-10-18,82.409,82.8588,81.4858,82.0634,3185600.0
2024-10-21,81.9024,82.8589,80.6714,81.2017,2397000.0
2024-10-22,81.5047,81.8646,79.6629,79.8949,1578900.0
2024-10-23,79.2983,79.6439,78.3134,78.8722,1585900.0
2024-10-24,79.2604,80.7945,78.6354,80.7755,1400600.0
2024-10-25,81.2111,81.5994,80.1127,80.2926,1227900.0
2024-10-28,78.3419,80.8513,78.304,80.7377,1596900.0
2024-10-29,81.268,81.3248,80.5009,81.1827,2015500.0
2024-10-30,81.4479,85.6145,81.4479,83.9952,3837000.0
2024-10-31,84.4592,84.5539,80.1695,80.2263,2600900.0
2024-11-01,80.9744,81.3532,78.6922,79.2225,2615200.0
2024-11-04,78.9953,81.8645,78.9905,81.2869,2180100.0
2024-11-05,80.6051,82.5274,80.5388,82.0729,2035800.0
2024-11-06,84.9895,88.1902,84.4781,87.4611,4172200.0
2024-11-07,87.177,87.6031,86.2016,87.2527,3220700.0
2024-11-08,86.7509,88.5027,86.4005,87.5842,1837700.0
2024-11-11,89.2508,91.4951,88.6637,90.6618,2812900.0
2024-11-12,90.1788,90.9411,89.7338,90.5103,2212300.0
2024-11-13,89.9326,91.3815,89.8569,91.0406,1928200.0
2024-11-14,91.3788,91.9789,90.1956,90.6833,1848600.0
2024-11-15,90.5118,91.5636,90.0355,90.4928,2414900.0
2024-11-18,91.3788,92.9221,91.112,91.8551,2633500.0
2024-11-19,90.9501,92.179,90.5118,91.1787,2610300.0
2024-11-20,91.9313,94.856,91.2244,93.608,4691000.0
2024-11-21,95.2656,96.4755,94.3796,96.1897,3853000.0
2024-11-22,95.2656,95.7229,93.5984,94.7226,3284100.0
2024-11-25,95.4466,95.7419,94.0938,94.1891,7018000.0
2024-11-26,93.3698,94.7893,93.1507,94.2081,2605400.0
