Date,Open,High,Low,Close,Volume
2024-08-07,8.8392,8.9559,8.7495,8.7674,69482400
2024-08-08,8.7943,9.1982,8.7943,9.0905,73007600
2024-08-09,9.0456,9.1264,8.9469,9.0635,48860800
2024-08-12,9.0635,9.0635,8.8302,8.8482,56118700
2024-08-13,8.902,9.1084,8.7674,9.0994,44766100
2024-08-14,9.1174,9.1892,9.0187,9.1353,37026400
2024-08-15,9.3058,9.4225,9.3058,9.3866,41597900
2024-08-16,9.3328,9.4404,9.3058,9.4315,34142600
2024-08-19,9.4763,9.6468,9.4584,9.6199,41066300
2024-08-20,9.602,9.6827,9.5212,9.584,32468000
2024-08-21,9.7276,9.8443,9.6468,9.7366,48943900
2024-08-22,9.7366,9.8802,9.7276,9.7994,50885400
2024-08-23,9.8532,10.1225,9.8173,10.1135,64612700
2024-08-26,10.1583,10.2032,9.934,9.9699,53070300
2024-08-27,9.9789,10.0686,9.8622,9.9968,44841000
2024-08-28,9.9609,10.0417,9.8532,9.9071,35442200
2024-08-29,9.8891,10.0507,9.8622,9.9699,44989200
2024-08-30,10.0058,10.0776,9.925,10.0417,44977100
2024-09-03,9.943,9.9968,9.8173,9.8532,49613500
2024-09-04,9.8622,10.0148,9.7366,9.8263,47900700
2024-09-05,9.943,9.9968,9.6199,9.6648,50551900
2024-09-06,9.6738,9.7545,9.4494,9.4943,47508900
2024-09-09,9.5212,9.6558,9.4584,9.5661,39223300
2024-09-10,9.4135,9.4135,9.1264,9.261,63019200
2024-09-11,9.252,9.3866,9.0905,9.3776,55840200
2024-09-12,9.3328,9.5571,9.252,9.5302,43779600
2024-09-13,9.584,9.6827,9.5392,9.593,35184800
2024-09-16,9.6379,9.7994,9.6109,9.6917,34802400
2024-09-17,9.7725,9.9968,9.7097,9.7814,52068600
2024-09-18,9.8084,10.1045,9.7994,9.8532,55017300
2024-09-19,10.0686,10.1494,9.7545,9.7994,52436400
2024-09-20,9.7456,9.7635,9.593,9.7635,68809100
2024-09-23,9.7276,9.7994,9.6109,9.7904,40421300
2024-09-24,9.8443,9.8712,9.7007,9.7545,37746300
2024-09-25,9.5033,9.5033,9.261,9.3507,74109600
2024-09-26,9.4763,9.6468,9.4763,9.584,51408500
2024-09-27,9.7276,9.8622,9.6558,9.6738,45469600
2024-09-30,9.4045,9.5212,9.3597,9.4763,59662900
2024-10-01,9.6199,9.7097,9.4943,9.6468,63963000
2024-10-02,9.6289,9.6289,9.3597,9.4045,51457400
2024-10-03,9.3417,9.3956,9.2699,9.3776,44458300
2024-10-04,9.5033,9.5212,9.3687,9.4853,45883000
2024-10-07,9.4674,9.5212,9.3776,9.4135,38009100
2024-10-08,9.4225,9.4943,9.3148,9.4135,46355700
2024-10-09,9.4135,9.584,9.3687,9.5302,40407000
2024-10-10,9.4943,9.602,9.4584,9.584,39458300
2024-10-11,9.5481,9.6917,9.5392,9.6199,31915700
2024-10-14,9.6109,9.8353,9.5661,9.7994,41940200
2024-10-15,9.7904,9.8891,9.7097,9.7276,53097100
2024-10-16,9.7725,10.0327,9.7725,9.8981,46996400
2024-10-17,9.9071,9.9878,9.8173,9.934,37617200
2024-10-18,10.0148,10.0237,9.9071,9.9609,26074900
2024-10-21,9.943,10.0148,9.7456,9.7635,41008600
2024-10-22,9.7994,10.0058,9.7994,9.9699,51597600
2024-10-23,9.9699,10.0866,9.8891,9.925,37335400
2024-10-24,10.0866,10.0955,9.934,10.0866,44736400
2024-10-25,10.1225,10.1673,9.8891,9.934,39120700
2024-10-28,10.0237,10.2212,9.9789,10.2032,97967000
