Date,Open,High,Low,Close,Volume
2024-08-05,174.037,176.6363,169.7648,175.0294,2421900
2024-08-06,181.8348,184.1599,176.7497,179.3017,1953100
2024-08-07,182.9974,185.8802,180.6344,180.8896,1454900
2024-08-08,180.5304,188.2431,180.5304,186.6647,1319600
2024-08-09,186.2866,190.6534,184.8405,188.8197,1289100
2024-08-12,189.6893,191.7498,188.6307,190.2564,1114700
2024-08-13,187.8745,188.3187,184.8499,185.3887,1783000
2024-08-14,185.3981,186.1354,184.4624,185.6817,1066700
2024-08-15,186.3321,189.2306,186.0356,188.0444,1220000
2024-08-16,185.4712,187.6809,185.0886,186.3609,1163700
2024-08-19,187.1835,189.8906,186.7722,187.3366,1189700
2024-08-20,187.1931,187.1931,181.3292,181.511,1114600
2024-08-21,183.6059,184.6007,181.6162,182.8215,1105500
2024-08-22,183.185,185.0408,182.5058,183.405,893400
2024-08-23,184.6964,187.4035,184.5529,186.7435,755500
2024-08-26,189.0679,190.608,185.9878,188.714,1127100
2024-08-27,188.5897,189.3071,185.4617,186.2556,876600
2024-08-28,185.0504,186.9827,184.706,186.1217,698700
2024-08-29,188.5323,190.0054,185.9782,188.2453,1054700
2024-08-30,185.8156,187.107,184.3903,186.6383,1811900
2024-09-03,183.118,183.118,178.3064,179.3395,1414100
2024-09-04,180.1813,181.0327,176.2307,176.2785,1098600
2024-09-05,177.8282,178.2395,174.9489,176.0202,1312600
2024-09-06,175.6663,177.3307,171.046,171.9261,1505600
2024-09-09,172.6818,172.9879,171.046,171.4286,1442900
2024-09-10,171.0651,171.4286,161.5854,164.0438,3135100
2024-09-11,164.9335,164.9335,160.5523,161.1837,2580700
2024-09-12,162.5899,170.2425,160.6384,163.4412,2673900
2024-09-13,163.7952,166.971,163.7952,164.9335,1464800
2024-09-16,166.4449,168.5876,164.3787,167.2197,1638300
2024-09-17,166.6458,172.5,166.6458,171.9643,1817500
2024-09-18,171.7156,174.9584,170.1564,170.386,1609800
2024-09-19,174.4801,175.8959,171.5434,173.7436,1175100
2024-09-20,171.486,174.2697,170.319,173.1409,7855300
2024-09-23,174.3271,178.1056,173.7532,177.2064,3249300
2024-09-24,179.837,180.9083,176.1924,177.3786,3046800
2024-09-25,177.3786,177.7708,172.0504,172.6913,1740600
2024-09-26,168.3963,169.4485,160.7915,161.528,4646800
2024-09-27,163.1447,165.7274,162.0159,163.2212,5079300
2024-09-30,162.7238,165.0865,161.4324,164.9143,2768200
2024-10-01,163.4986,171.0269,162.609,169.812,3149200
2024-10-02,174.6906,175.3411,170.7782,173.4183,3037900
2024-10-03,173.9731,180.6214,173.0261,180.124,3018800
2024-10-04,183.2424,187.0592,181.2719,186.16,3491700
2024-10-07,187.4418,191.7655,186.5331,190.8377,3780800
2024-10-08,187.6044,188.341,183.5007,185.3564,10794600
2024-10-09,184.0268,186.2556,182.525,185.3373,2270800
2024-10-10,186.2461,189.0967,185.5382,185.6339,1431600
2024-10-11,184.2947,187.4896,184.0938,186.4948,1366800
2024-10-14,184.0651,184.9164,181.5014,182.4197,1560500
2024-10-15,175.6854,176.2403,171.8495,171.9643,2845200
2024-10-16,172.3948,175.6471,172.3948,174.5375,1916600
2024-10-17,174.1645,176.0967,172.9018,175.9724,1753800
2024-10-18,175.475,176.8429,173.8966,176.0011,1214200
2024-10-21,177.2159,178.6317,174.1358,174.4897,1461000
2024-10-22,176.2211,177.0151,174.3654,176.0394,1068000
2024-10-23,174.4227,175.2932,172.1461,173.2557,1415100
2024-10-24,174.4323,175.188,172.4426,173.0548,1072700
2024-10-25,174.6906,176.4985,173.954,176.3742,2150800
2024-10-28,170.0512,172.0887,169.4294,170.4529,1788200
2024-10-29,170.0416,171.4191,167.5545,168.0136,1690800
2024-10-30,169.1807,170.4912,168.0137,168.9798,1568200
2024-10-31,170.606,171.3521,168.1571,169.0946,2028700
2024-11-01,169.6972,171.0938,167.478,168.1763,1946100
2024-11-04,170.4529,173.4566,169.7929,171.9548,1918600
2024-11-05,167.3058,171.1225,166.177,168.0041,3691100
2024-11-06,172.1844,177.7229,169.3146,175.6472,3017300
2024-11-07,174.5375,175.255,171.62,173.7053,1727300
2024-11-08,172.7583,174.2792,171.4478,173.9827,2579100
2024-11-11,174.0592,174.1836,171.2278,171.3521,2803600
2024-11-12,172.6435,174.5662,171.9834,172.0982,1788200
2024-11-13,173.1409,175.6471,169.7929,174.3271,1469300
2024-11-14,175.7787,176.9707,173.5196,175.3653,1366000
2024-11-15,175.3653,176.8746,169.1936,169.7704,2123400
2024-11-18,171.5873,176.5477,170.7317,174.8654,1967600
2024-11-19,173.6349,175.6825,172.1641,173.1542,1632800
2024-11-20,173.0773,175.5191,173.0389,174.4424,1647800
2024-11-21,176.1632,178.4992,175.4422,175.6345,2140300
2024-11-22,174.9616,178.8742,174.4809,178.1243,2188900
2024-11-25,177.3553,177.4514,172.0007,172.6063,2957900
2024-11-26,172.7793,173.5676,168.3573,169.1648,2466800
2024-11-27,169.6935,171.8853,169.0974,169.3762,1490400
2024-11-29,169.3858,171.5104,169.2032,170.7221,820300
2024-12-02,170.8951,171.3854,167.2036,169.0302,1719200
2024-12-03,171.1547,171.3758,167.5882,168.9629,1804400
2024-12-04,169.1936,169.5012,162.1663,164.3773,2437500
2024-12-05,164.8196,167.3959,164.8196,166.002,2157300
2024-12-06,165.2041,165.2522,158.4363,160.3782,3104700
2024-12-09,162.9642,163.4064,160.2821,160.657,1775700
2024-12-10,161.2338,161.3972,156.2926,156.8405,2298900
2024-12-11,158.0038,158.4267,156.2541,157.5615,2662900
2024-12-12,157.3789,157.7057,155.6677,155.9561,1627900
2024-12-13,156.3214,157.6961,154.7737,157.0232,1718100
2024-12-16,156.3695,156.3695,152.38,152.7837,2370800
2024-12-17,151.7936,154.1392,149.7748,153.9469,2714400
2024-12-18,154.7929,155.4851,149.9382,150.044,2546800
2024-12-19,152.4665,153.1779,146.9197,147.1408,2963100
2024-12-20,146.2756,150.1785,146.1217,148.948,7837400
2024-12-23,148.9673,150.5246,147.7848,150.0632,2107300
2024-12-24,151.3417,151.9858,149.198,151.6686,823200
2024-12-26,152.1589,153.4182,150.64,151.9185,1163800
2024-12-27,151.7647,153.3798,150.7073,152.2166,1723500
2024-12-30,152.38,155.6869,151.2745,154.7545,2086900
2024-12-31,154.7641,157.9076,154.4757,157.4942,2491900
2025-01-02,159.7245,161.7145,158.8113,160.3302,1787600
2025-01-03,161.8394,165.281,161.1953,164.3485,2016400
2025-01-06,165.1368,168.3092,162.2912,163.0795,2121400
2025-01-07,163.6564,166.5788,162.7046,165.752,2127400
2025-01-08,164.9157,166.3096,162.9161,164.3773,1666000
2025-01-10,168.1265,170.4049,165.0599,168.0112,2725200
2025-01-13,169.2609,173.1254,168.9148,170.7413,3038500
2025-01-14,170.1549,171.9526,168.8956,170.8086,1734400
2025-01-15,171.5873,173.2792,170.8086,172.6159,1669800
2025-01-16,171.7123,173.2023,170.7798,172.1929,1377800
2025-01-17,173.385,173.9137,171.6257,173.2119,1812000
2025-01-21,171.5392,171.818,168.9725,170.1068,2151200
2025-01-22,169.4147,172.7024,168.2034,170.7221,1608400
2025-01-23,172.1545,173.3177,169.0302,169.7992,1888600
2025-01-24,170.3087,170.8182,165.8385,166.5595,1940300
2025-01-27,166.9441,168.8956,163.6275,164.9638,1773100
2025-01-28,164.8195,166.7518,160.6955,162.7046,1731200
2025-01-29,162.4547,164.9445,161.2338,164.2524,1316300
2025-01-30,165.6559,166.3288,162.8873,163.8198,1284500
2025-01-31,162.9738,163.3007,157.6,158.0038,2917300
2025-02-03,158.792,159.5611,155.3409,158.1191,2217700
2025-02-04,157.5039,161.1088,154.3603,159.8687,1991400
2025-02-05,159.4842,159.4842,155.264,158.3883,1985300
2025-02-06,159.8111,159.9745,152.8414,153.8412,2122300
2025-02-07,154.4469,154.7737,151.7936,152.0147,1974200
2025-02-10,153.5144,155.4947,153.1587,155.4082,1697300
2025-02-11,156.6002,158.2729,155.4466,155.7446,1722300
2025-02-12,154.9563,155.0717,149.1403,149.4479,2391400
2025-02-13,149.4479,151.0726,148.3232,150.1305,2256900
2025-02-14,150.813,154.3699,147.333,150.9188,3073900
2025-02-18,154.9563,155.3409,148.4097,150.6977,2500200
2025-02-19,152.6876,156.1099,152.3896,154.0623,2086300
2025-02-20,154.1008,156.5425,153.2933,155.8215,2352500
2025-02-21,154.6679,155.2351,149.5729,150.0824,3936400
2025-02-24,150.0824,150.7361,149.0345,149.2268,3883400
2025-02-25,151.1303,155.2255,145.8237,146.0448,4696100
2025-02-26,145.9583,148.0444,145.1604,146.5351,3301800
2025-02-27,149.6017,150.9091,145.8718,149.5729,3137200
2025-02-28,149.0153,153.2452,146.7081,152.8126,3361400
2025-03-03,153.7739,154.2353,141.988,142.2764,3495000
2025-03-04,140.3442,141.8246,135.3645,139.4309,5029500
2025-03-05,137.8735,138.2004,134.1724,137.1814,3759200
2025-03-06,136.6296,137.8978,134.5094,135.4388,3351300
2025-03-07,136.3101,139.5533,135.0612,135.6421,2813700
2025-03-10,135.2936,137.4138,132.7184,136.0971,3438400
2025-03-11,137.346,141.3443,136.7457,140.0373,2319200
2025-03-12,139.8631,143.629,138.682,141.8767,2411000
2025-03-13,140.6763,142.2253,138.0527,141.1507,2641900
2025-03-14,141.8477,146.2042,140.5891,145.4103,2738700
2025-03-17,145.9912,149.0698,145.4588,148.1501,1979600
2025-03-18,149.0795,150.0766,147.2691,150.0573,2352900
2025-03-19,150.3768,153.5134,150.2509,152.5744,2974500
2025-03-20,151.8289,154.1717,150.9867,153.4263,2048800
2025-03-21,151.7999,153.6683,151.1803,153.4457,7798100
2025-03-24,153.7845,156.2919,153.4941,155.8756,2042200
2025-03-25,156.834,158.0539,155.4497,156.4468,2324100
2025-03-26,157.6473,159.8643,157.1632,157.8893,2373500
2025-03-27,157.4537,158.0055,154.5493,155.1205,1468100
2025-03-28,154.8301,155.8272,150.8802,152.5163,1635700
2025-03-31,152.6034,156.4468,151.7999,154.7817,2068900
2025-04-01,155.1302,156.0015,152.8164,155.7401,1455900
2025-04-02,153.9684,156.6211,153.2133,156.3403,1394900
2025-04-03,146.2429,148.1404,136.6005,136.7748,5414200
2025-04-04,129.7753,131.4889,119.2229,119.4359,5425100
2025-04-07,117.0059,125.1284,113.2981,120.5589,5480200
2025-04-08,125.1284,125.5156,113.666,115.4473,3368700
2025-04-09,112.1364,132.9701,110.3647,130.6273,5370800
2025-04-10,125.1284,125.8835,115.8345,119.2326,4367600
2025-04-11,119.1648,124.9154,117.1705,124.896,3928700
2025-04-14,127.6068,128.7201,121.8562,123.5697,2523500
2025-04-15,122.65,125.8739,122.65,123.0857,1690700
2025-04-16,123.6569,128.3522,123.6375,126.0675,2047300
2025-04-17,128.3522,134.7805,128.3522,133.2509,3667400
2025-04-21,129.9012,130.0658,126.1643,128.1296,2180300
2025-04-22,130.8112,133.5703,130.0948,132.1859,1731900
2025-04-23,133.3961,135.5356,130.1045,131.2178,2130200
2025-04-24,132.5732,133.4154,130.8015,131.8181,2054400
2025-04-25,130.8015,132.8733,130.5498,132.3989,1608400
2025-04-28,132.0601,134.1803,131.8955,133.4251,1664800
2025-04-29,133.4154,133.6091,131.0242,132.2924,1665100
2025-04-30,130.1529,130.3078,126.3482,127.8004,1980000
