Date,Open,High,Low,Close,Volume
2024-08-14,191.24,193.09,190.94,191.36,369900.0
2024-08-15,194.99,196.52,193.7,195.57,460400.0
2024-08-16,195.06,196.48,194.89,195.57,334700.0
2024-08-19,196.0,197.0,194.45,196.37,384000.0
2024-08-20,196.73,198.68,196.57,198.37,296100.0
2024-08-21,196.65,199.54,195.06,199.42,521300.0
2024-08-22,199.64,199.7,195.44,195.73,350700.0
2024-08-23,198.07,199.18,197.09,199.01,255800.0
2024-08-26,199.56,201.17,198.6,199.41,311900.0
2024-08-27,198.71,200.33,197.83,199.71,304100.0
2024-08-28,199.06,200.74,197.81,198.89,352200.0
2024-08-29,200.23,203.3,200.04,202.14,485200.0
2024-08-30,202.67,203.59,200.53,203.15,570500.0
2024-09-03,202.0,203.98,198.09,198.85,762100.0
2024-09-04,198.42,201.03,197.37,199.43,522200.0
2024-09-05,199.27,202.68,198.41,200.8,668700.0
2024-09-06,200.57,203.4,198.65,198.93,742200.0
2024-09-09,199.48,203.48,199.48,199.93,917700.0
2024-09-10,199.33,201.78,198.25,201.28,465200.0
2024-09-11,200.64,203.19,197.34,202.91,425500.0
2024-09-12,203.16,206.09,202.68,205.95,716500.0
2024-09-13,206.26,210.81,206.1,210.31,599300.0
2024-09-16,210.72,213.88,210.72,213.42,626200.0
2024-09-17,214.15,216.0,213.26,214.64,545200.0
2024-09-18,214.5,215.5,211.89,213.57,626100.0
2024-09-19,216.72,218.54,214.23,217.47,887300.0
2024-09-20,217.87,221.12,215.67,219.24,2302200.0
2024-09-23,219.72,222.41,219.72,220.38,629000.0
2024-09-24,221.94,223.74,220.69,223.6,694000.0
2024-09-25,220.33,220.82,214.21,219.65,685000.0
2024-09-26,220.81,221.88,218.61,221.34,452500.0
2024-09-27,221.66,222.08,218.85,219.0,644900.0
2024-09-30,218.98,220.8,218.4,220.2,606300.0
2024-10-01,220.0,220.91,218.11,218.51,486600.0
2024-10-02,217.66,220.52,217.66,219.64,390000.0
2024-10-03,218.26,219.29,216.91,218.08,282900.0
2024-10-04,220.0,220.19,218.05,219.91,307800.0
2024-10-07,218.55,220.09,218.0,218.23,432800.0
2024-10-08,218.55,220.11,217.73,219.51,431700.0
2024-10-09,219.51,222.87,218.09,222.05,563000.0
2024-10-10,221.14,223.05,220.02,221.99,376900.0
2024-10-11,222.82,224.47,222.13,222.62,423300.0
2024-10-14,221.0,221.0,218.57,219.43,599500.0
2024-10-15,219.0,220.95,216.91,217.0,608500.0
2024-10-16,216.91,217.14,215.39,215.86,484900.0
2024-10-17,216.39,217.23,215.51,217.0,681200.0
2024-10-18,218.48,218.85,217.0,217.48,579500.0
2024-10-21,217.67,218.74,216.47,217.95,457500.0
2024-10-22,216.29,217.85,215.67,217.06,391100.0
2024-10-23,217.33,217.81,214.38,215.41,336100.0
2024-10-24,216.99,216.99,213.24,213.57,519100.0
2024-10-25,215.28,217.19,214.1,216.87,726300.0
2024-10-28,217.9,219.28,216.16,218.36,1357800.0
2024-10-29,242.03,250.46,236.85,240.33,3007500.0
2024-10-30,240.01,241.0,236.45,238.95,1110900.0
2024-10-31,238.4,241.96,233.37,233.88,798300.0
2024-11-01,233.79,234.55,231.13,232.2,665400.0
2024-11-04,230.32,233.49,229.5,231.2,619600.0
2024-11-05,230.61,233.36,230.61,232.92,378800.0
2024-11-06,237.5,241.62,235.59,240.12,626000.0
2024-11-07,239.04,241.92,239.04,241.88,440700.0
2024-11-08,241.88,244.32,240.88,241.31,543900.0
2024-11-11,242.12,243.88,241.05,242.67,387000.0
2024-11-12,241.86,244.17,241.86,244.0,613000.0
2024-11-13,243.43,248.39,242.92,246.86,660300.0
2024-11-14,247.04,247.42,241.48,242.05,517500.0
2024-11-15,241.74,242.87,238.19,238.36,491000.0
2024-11-18,239.32,241.54,238.51,239.99,398400.0
2024-11-19,236.5,241.19,234.0,239.67,451300.0
2024-11-20,239.87,242.37,238.71,242.02,314500.0
2024-11-21,243.46,245.91,242.22,244.29,318000.0
2024-11-22,245.17,247.7,245.07,246.98,346200.0
2024-11-25,248.52,250.46,247.79,248.74,1351800.0
2024-11-26,248.2,252.16,247.26,251.92,391800.0
2024-11-27,251.9,252.3,248.09,250.07,345400.0
2024-11-29,250.73,252.19,249.95,250.35,294700.0
2024-12-02,250.0,253.62,250.0,252.14,479600.0
2024-12-03,251.18,253.06,249.53,251.13,385500.0
2024-12-04,252.28,254.97,251.95,254.13,358700.0
2024-12-05,254.94,258.0,252.97,257.05,478300.0
2024-12-06,256.5,259.75,256.5,257.14,649300.0
2024-12-09,256.9,260.01,256.9,257.92,510200.0
2024-12-10,257.72,258.16,254.27,255.6,654200.0
2024-12-11,256.63,260.75,256.15,260.07,918900.0
2024-12-12,260.64,263.31,258.57,261.57,587200.0
2024-12-13,261.51,264.5,260.54,261.81,564500.0
2024-12-16,261.59,264.03,260.82,263.36,501200.0
2024-12-17,262.1,263.44,259.36,259.8,508700.0
2024-12-18,261.92,264.0,251.8,252.0,428100.0
2024-12-19,252.45,255.43,249.38,250.41,481400.0
2024-12-20,249.26,254.01,248.02,252.25,1233800.0
2024-12-23,251.75,254.81,250.88,254.41,269700.0
2024-12-24,253.99,257.04,253.9,256.2,172600.0
2024-12-26,255.63,257.9,254.7,257.12,204200.0
2024-12-27,254.11,256.87,253.67,255.63,212200.0
2024-12-30,252.34,254.42,249.74,252.48,254600.0
2024-12-31,252.82,253.34,250.74,251.47,280900.0
2025-01-02,252.0,255.38,249.68,251.75,409400.0
2025-01-03,252.11,255.15,251.74,254.36,410800.0
2025-01-06,254.36,260.77,254.36,259.7,485300.0
2025-01-07,259.7,261.59,255.87,257.29,444900.0
2025-01-08,255.88,259.89,254.87,258.84,428600.0
2025-01-10,256.07,257.22,253.9,254.32,789900.0
2025-01-13,252.09,255.75,250.63,255.16,393500.0
2025-01-14,255.83,260.24,255.16,258.11,535600.0
2025-01-15,262.15,263.8,260.16,262.3,513000.0
2025-01-16,263.0,266.06,262.4,263.86,335200.0
2025-01-17,267.48,267.74,263.54,263.95,384600.0
2025-01-21,264.25,267.96,264.25,267.74,381900.0
2025-01-22,268.45,272.5,268.45,272.08,538100.0
2025-01-23,271.27,273.09,269.5,272.91,425700.0
2025-01-24,272.21,274.64,271.0,272.99,414200.0
2025-01-27,266.19,268.32,258.06,263.01,918800.0
2025-01-28,263.47,270.03,262.11,269.72,1321600.0
2025-01-29,307.0,308.0,277.14,300.46,2423100.0
2025-01-30,304.36,307.49,299.66,301.48,919400.0
2025-01-31,302.29,304.0,296.98,297.26,681600.0
2025-02-03,293.4,295.45,287.57,295.19,867700.0
2025-02-04,294.0,301.02,293.77,299.78,806700.0
2025-02-05,298.47,303.51,297.17,303.32,477400.0
2025-02-06,304.35,308.32,303.81,307.44,618000.0
2025-02-07,307.31,310.14,304.43,306.6,520500.0
2025-02-10,309.21,310.77,306.56,308.35,441700.0
2025-02-11,307.03,310.76,307.03,308.39,513300.0
2025-02-12,303.76,310.63,301.34,310.6,789700.0
2025-02-13,311.78,312.76,308.54,310.45,453700.0
2025-02-14,310.45,310.86,308.02,310.18,435700.0
2025-02-18,310.18,313.0,305.62,307.59,611100.0
2025-02-19,306.99,310.2,304.88,310.08,441400.0
2025-02-20,308.88,308.88,301.34,304.6,415900.0
2025-02-21,305.51,305.51,294.78,295.56,467900.0
2025-02-24,296.05,296.26,290.01,293.21,505700.0
2025-02-25,292.67,293.64,287.64,292.98,590400.0
2025-02-26,293.18,298.01,292.61,294.82,484800.0
2025-02-27,296.74,297.26,290.31,290.97,353700.0
2025-02-28,291.23,292.77,285.21,292.43,840600.0
2025-03-03,295.46,298.54,282.16,284.15,724800.0
2025-03-04,280.9,283.82,273.14,280.11,686100.0
2025-03-05,279.91,283.19,276.0,282.73,794500.0
2025-03-06,278.76,280.11,273.05,275.76,699600.0
2025-03-07,275.62,278.03,268.75,275.63,547700.0
2025-03-10,270.55,270.86,263.34,266.5,634400.0
2025-03-11,265.8,269.87,263.56,265.31,569200.0
2025-03-12,270.15,271.11,265.87,266.06,537300.0
2025-03-13,266.03,266.07,255.65,257.42,709200.0
2025-03-14,261.0,264.01,255.9,262.46,441200.0
2025-03-17,259.97,269.77,257.9,267.45,485500.0
2025-03-18,265.24,266.96,263.68,264.83,338000.0
2025-03-19,265.33,272.87,264.38,270.21,549500.0
2025-03-20,267.63,270.95,266.35,268.48,464400.0
2025-03-21,266.88,268.8,262.76,268.4,1289400.0
2025-03-24,273.74,276.38,272.19,274.31,545200.0
2025-03-25,274.79,278.85,270.36,275.05,570700.0
2025-03-26,274.86,277.1,271.3,272.84,336500.0
2025-03-27,271.85,271.85,267.48,270.08,356100.0
2025-03-28,268.87,270.92,261.17,263.88,490900.0
2025-03-31,260.11,268.52,259.0,266.27,719400.0
2025-04-01,265.37,269.18,264.03,268.58,457600.0
2025-04-02,264.37,274.54,264.37,272.73,463600.0
2025-04-03,257.47,261.88,249.88,250.98,590100.0
2025-04-04,244.74,246.09,236.57,239.25,725500.0
2025-04-07,232.41,252.79,227.04,243.48,1073100.0
2025-04-08,256.14,256.91,238.38,241.53,738000.0
2025-04-09,239.21,266.24,236.82,264.14,632500.0
2025-04-10,258.18,258.61,246.64,255.0,672000.0
2025-04-11,255.0,263.37,253.46,261.68,600700.0
2025-04-14,266.76,268.41,260.46,262.69,424300.0
2025-04-15,263.74,265.52,261.39,263.53,424100.0
2025-04-16,260.7,264.04,256.94,258.98,510400.0
2025-04-17,262.1,262.83,256.7,258.61,405100.0
2025-04-21,255.78,258.22,247.84,250.8,370800.0
2025-04-22,254.17,257.45,252.6,254.77,524300.0
2025-04-23,260.72,265.99,256.56,262.46,568800.0
2025-04-24,261.15,269.78,261.15,268.16,497200.0
2025-04-25,268.33,270.36,264.82,270.03,607600.0
2025-04-28,270.22,271.48,263.88,265.07,1049900.0
2025-04-29,260.03,265.96,256.49,262.72,1281000.0
2025-04-30,260.75,265.42,255.57,264.74,859100.0
2025-05-01,264.54,269.13,262.71,265.77,664100.0
2025-05-02,269.03,271.27,267.46,268.81,514300.0
2025-05-05,266.89,270.46,265.35,267.19,386400.0
2025-05-06,263.05,266.3,260.69,264.82,417200.0
2025-05-07,266.85,267.68,264.21,267.48,488700.0
2025-05-08,270.13,275.7,268.13,273.14,558900.0
2025-05-09,273.99,274.82,267.86,270.07,379600.0
2025-05-12,280.0,281.03,276.96,280.35,348600.0
2025-05-13,280.1,285.08,280.1,283.23,469300.0
2025-05-14,283.0,284.52,279.55,281.59,564200.0
2025-05-15,282.06,284.01,280.25,282.67,254800.0
2025-05-16,283.51,285.12,280.53,284.92,331400.0
2025-05-19,281.69,286.29,281.55,285.7,284400.0
2025-05-20,285.56,288.34,284.61,286.9,462000.0
2025-05-21,285.11,290.34,283.93,286.26,443400.0
2025-05-22,286.06,286.82,283.62,284.48,323000.0
2025-05-23,279.21,283.63,278.02,282.1,248400.0
2025-05-27,285.66,286.91,284.55,286.59,306700.0
2025-05-28,287.04,287.51,283.13,283.29,330800.0
2025-05-29,285.53,285.53,278.4,280.59,344200.0
2025-05-30,279.31,285.67,277.78,285.38,1291200.0
2025-06-02,283.99,286.35,280.09,286.02,346400.0
2025-06-03,286.02,290.9,285.38,290.65,389500.0
2025-06-04,291.07,293.88,289.18,293.83,397700.0
2025-06-05,293.79,294.69,290.58,293.96,471500.0
2025-06-06,295.49,296.4,293.57,295.43,313300.0
2025-06-09,296.17,297.0,294.32,294.73,230100.0
2025-06-10,294.73,294.73,290.76,293.66,269100.0
2025-06-11,294.6,295.0,290.44,292.89,251000.0
2025-06-12,292.38,294.07,290.87,291.66,266800.0
2025-06-13,287.87,291.56,285.12,286.61,253500.0
2025-06-16,289.4,292.05,288.58,290.34,299100.0
2025-06-17,288.56,292.26,286.58,288.59,422200.0
2025-06-18,288.98,290.42,286.1,286.48,376100.0
2025-06-20,288.5,289.13,283.79,287.13,842800.0
2025-06-23,287.43,295.34,285.71,295.09,452300.0
2025-06-24,297.0,298.7,293.28,295.9,435300.0
2025-06-25,295.78,297.02,293.88,294.41,407100.0
2025-06-26,295.0,295.13,284.27,289.09,996000.0
2025-06-27,288.88,297.57,287.83,295.75,675600.0
2025-06-30,297.45,301.83,293.83,294.32,631000.0
2025-07-01,294.32,298.62,293.31,295.97,517800.0
2025-07-02,294.98,296.82,293.31,296.12,388200.0
