Date,Open,High,Low,Close,Volume
2024-08-05,157.46,159.67,154.17,154.77,3614800.0
2024-08-06,155.49,159.39,154.64,157.34,2760900.0
2024-08-07,159.01,160.84,155.96,156.22,2318100.0
2024-08-08,156.89,160.44,156.41,160.15,1787100.0
2024-08-09,159.95,161.77,159.34,161.59,1576000.0
2024-08-12,162.0,162.92,160.49,161.1,2529900.0
2024-08-13,161.25,162.57,160.85,162.46,2203900.0
2024-08-14,162.25,164.35,162.02,164.03,1447600.0
2024-08-15,165.0,165.98,164.16,165.72,1902800.0
2024-08-16,165.47,167.43,165.05,167.32,3799300.0
2024-08-19,167.63,168.41,167.13,167.91,1370000.0
2024-08-20,169.75,169.77,167.03,168.04,1789900.0
2024-08-21,167.41,168.41,166.7,168.33,1819800.0
2024-08-22,168.38,169.21,168.06,168.79,1934100.0
2024-08-23,169.36,169.97,168.44,169.81,2427400.0
2024-08-26,170.05,171.12,169.57,169.85,1518900.0
2024-08-27,169.83,170.66,169.0,170.17,2005000.0
2024-08-28,170.4,172.6,169.88,171.83,1994300.0
2024-08-29,172.44,173.49,171.71,172.95,1999800.0
2024-08-30,173.31,174.81,172.79,174.6,2373600.0
2024-09-03,174.43,175.47,173.11,173.91,1972000.0
2024-09-04,174.13,174.59,172.7,173.62,2098100.0
2024-09-05,173.98,174.03,171.23,172.51,1893200.0
2024-09-06,172.51,173.51,169.86,170.02,2443900.0
2024-09-09,171.27,173.02,170.67,172.44,2245600.0
2024-09-10,172.85,173.45,170.81,172.4,1597500.0
2024-09-11,171.48,171.67,167.66,171.02,2275400.0
2024-09-12,171.5,173.88,171.35,173.63,2127500.0
2024-09-13,174.0,175.48,173.85,174.89,1844200.0
2024-09-16,175.56,176.48,174.6,175.35,1584400.0
2024-09-17,175.47,176.34,174.43,175.3,1568500.0
2024-09-18,175.61,176.76,174.61,175.23,1774900.0
2024-09-19,176.88,178.89,175.71,178.78,3140800.0
2024-09-20,178.18,178.25,176.17,177.61,6021100.0
2024-09-23,179.0,179.53,177.65,179.31,1822100.0
2024-09-24,178.23,178.95,176.01,177.35,2329300.0
2024-09-25,177.51,178.41,174.21,176.8,2311400.0
2024-09-26,177.15,177.79,175.98,177.4,2585000.0
2024-09-27,177.4,179.39,176.91,178.38,2950200.0
2024-09-30,178.08,179.95,177.52,179.65,2140800.0
2024-10-01,180.24,181.88,179.0,181.31,2140300.0
2024-10-02,181.63,182.56,180.61,182.45,2296500.0
2024-10-03,182.31,183.56,181.87,183.36,1974200.0
