Date,Open,High,Low,Close,Volume
2024-08-19,328.009,331.1907,323.3558,330.9222,184700
2024-08-20,331.6977,332.5528,320.7707,328.8143,227900
2024-08-21,327.2931,342.058,326.8557,342.0481,299100
2024-08-22,342.5352,345.7368,335.0384,335.0583,324800
2024-08-23,338.0511,341.521,334.8197,336.5597,413900
2024-08-26,337.4744,343.6388,332.5527,335.5753,226000
2024-08-27,332.0755,337.2457,329.4308,333.6167,193200
2024-08-28,333.388,341.8194,329.5899,337.2457,306200
2024-08-29,339.98,356.8328,337.8721,345.3391,585000
2024-08-30,347.3574,357.2802,345.7467,351.4936,445700
2024-09-03,350.9169,350.9169,312.3095,313.0154,574400
2024-09-04,311.2356,317.6785,308.233,312.1901,237100
2024-09-05,310.3806,311.8521,302.3171,305.4987,243700
2024-09-06,307.1791,311.345,298.4991,300.8754,229300
2024-09-09,304.3255,309.2571,301.9393,307.4376,287300
2024-09-10,308.9588,316.7141,306.2246,315.4215,277300
2024-09-11,316.9726,332.3539,310.0724,332.1352,310200
2024-09-12,332.9008,343.5891,328.5558,337.0767,221700
2024-09-13,341.2825,349.7338,341.024,345.7368,241000
2024-09-16,343.3406,349.7834,338.4587,348.113,152800
2024-09-17,351.2152,355.57,348.1329,354.884,201700
2024-09-18,355.9479,366.2982,351.8714,354.4963,199000
2024-09-19,366.1292,379.8103,358.5429,378.0902,337400
2024-09-20,378.9553,385.6765,378.1897,382.9522,819800
2024-09-23,384.4834,389.9916,378.995,385.2589,253300
2024-09-24,384.8414,391.0357,378.2693,385.9549,268000
2024-09-25,387.7645,395.3408,386.2333,390.3993,296800
2024-09-26,399.4471,400.7596,390.4192,394.5454,334500
2024-09-27,394.4062,394.7641,387.3369,387.8341,271400
2024-09-30,386.7702,390.3098,382.982,388.1125,203600
2024-10-01,386.9392,392.1293,378.9751,387.3469,172200
2024-10-02,386.9491,397.6773,385.1297,395.2314,180500
2024-10-03,395.4402,398.6417,388.6991,392.2486,218200
2024-10-04,399.9442,405.2735,395.5595,400.2226,254100
2024-10-07,397.7071,410.1255,397.7071,404.2395,211200
2024-10-08,406.9041,409.5986,401.6842,402.9867,315700
2024-10-09,403.1856,410.7121,403.1856,408.2862,197000
2024-10-10,400.68,407.1129,397.2398,404.9554,287400
2024-10-11,404.6273,415.4051,403.4938,413.2874,217400
2024-10-14,415.8724,422.0071,412.3229,416.7474,271300
2024-10-15,417.3837,420.804,408.2265,411.1696,313500
2024-10-16,415.1068,417.3041,409.867,412.2931,243600
2024-10-17,417.1451,421.4602,413.1779,416.7076,224600
2024-10-18,416.7076,421.3509,410.046,415.1466,224700
2024-10-21,415.5145,422.1959,413.864,421.838,206200
2024-10-22,417.5428,417.5627,411.1596,412.4223,245900
2024-10-23,409.6384,415.4648,404.7466,409.6483,273400
2024-10-24,411.4777,414.3015,408.0276,411.0999,295000
2024-10-25,387.7148,387.7148,354.7548,368.3763,1355500
2024-10-28,373.7552,388.6295,370.8221,387.0685,616300
2024-10-29,384.026,394.4559,380.6057,393.8792,412100
2024-10-30,390.4589,394.5752,384.5431,387.9136,346800
2024-10-31,382.1468,390.4589,379.8103,388.7985,335400
2024-11-01,393.1633,398.9102,385.7461,390.0612,352000
2024-11-04,387.5457,394.7244,385.8754,388.1423,285000
2024-11-05,388.9775,409.9764,388.9775,408.6342,415500
2024-11-06,429.5833,436.6526,419.6009,434.7734,424500
2024-11-07,436.752,443.1452,431.7608,440.6794,397600
2024-11-08,440.4209,459.4114,439.6453,459.4114,338600
2024-11-11,467.3059,471.8994,457.7112,464.0248,324100
2024-11-12,465.3173,471.7204,460.2366,460.3758,278200
2024-11-13,461.7976,465.0986,443.5926,443.7218,386500
2024-11-14,444.0701,446.5379,434.6072,437.2342,363700
2024-11-15,438.1496,445.6523,433.1346,442.8164,284500
2024-11-18,442.8163,453.5827,441.8611,448.7667,246200
2024-11-19,453.2545,472.3793,448.8364,472.0807,397000
2024-11-20,475.633,479.4242,462.1899,473.8917,423500
2024-11-21,478.0311,491.922,475.1455,487.5438,312000
2024-11-22,487.5537,492.0514,479.7625,488.6284,411500
2024-11-25,494.0912,497.9022,486.3398,492.6284,449000
2024-11-26,493.5837,508.2607,487.703,501.6237,339100
2024-11-27,506.3801,507.4746,482.5984,484.2402,417400
2024-11-29,492.5489,497.7231,490.2901,490.8274,167300
2024-12-02,493.0464,499.345,485.4741,487.1059,216500
2024-12-03,488.917,493.9021,483.8322,493.2952,270500
2024-12-04,494.8574,501.5044,493.6733,498.4993,318100
2024-12-05,498.1013,503.783,490.5091,494.6783,261200
2024-12-06,498.9968,500.2506,488.4593,494.539,210400
2024-12-09,494.4096,494.4096,458.5282,460.4287,344100
2024-12-10,464.5184,466.5085,455.6426,456.9262,256100
2024-12-11,462.996,472.4589,459.782,469.9215,278600
2024-12-12,468.0807,473.9116,465.1254,466.7373,262100
2024-12-13,467.6727,471.0857,457.7421,460.0407,285900
2024-12-16,461.1551,466.3791,459.0157,460.6874,345600
2024-12-17,456.7272,457.2247,444.6573,452.2196,287400
2024-12-18,457.155,464.2298,427.8707,430.9753,544600
2024-12-19,441.692,444.4881,430.7763,433.0649,493400
2024-12-20,425.2438,441.6024,425.2438,436.269,589400
2024-12-23,435.3336,435.8311,427.9603,432.8459,256100
2024-12-24,432.846,436.5674,429.5524,434.6669,89300
2024-12-26,434.657,437.1545,431.2141,436.6769,151000
2024-12-27,432.0798,432.7266,422.6865,429.8907,150600
2024-12-30,422.9055,431.3335,417.9203,427.1643,186400
2024-12-31,426.1095,426.7961,419.6516,421.9601,226300
2025-01-02,427.413,434.6072,421.6815,426.3782,377500
2025-01-03,427.8708,447.2941,427.8708,446.3289,320300
2025-01-06,452.7569,460.6078,448.4981,453.7719,360600
2025-01-07,454.9559,458.5879,428.6469,450.518,446000
2025-01-08,450.3788,453.8814,439.5029,448.0404,383400
2025-01-10,442.2094,442.2094,430.0101,437.871,255100
2025-01-13,430.2987,437.6123,426.4678,436.9854,326300
2025-01-14,443.9805,464.6278,440.8859,464.1203,332000
2025-01-15,478.5883,491.7429,474.5982,491.4543,651000
2025-01-16,496.1012,506.191,492.5589,502.6487,425300
2025-01-17,505.9223,508.0119,497.2853,501.2854,332600
2025-01-21,512.4499,526.6193,502.8875,526.5994,441700
2025-01-22,538.3509,550.3511,538.3509,547.5451,590100
2025-01-23,540.6992,547.2367,529.9925,544.5998,402200
2025-01-24,547.6546,548.8487,533.7439,541.4654,448100
2025-01-27,481.6332,481.7227,400.9149,402.2383,1446000
2025-01-28,414.3978,421.8507,402.507,414.1192,1022000
2025-01-29,426.7563,433.1346,414.9352,424.2886,520400
2025-01-30,433.5425,438.3983,426.0597,431.7116,470500
2025-01-31,434.8063,447.5827,422.6866,434.5873,397700
2025-02-03,414.0097,433.2937,410.9748,424.9353,335200
2025-02-04,427.9006,432.7962,419.7511,422.9552,288900
2025-02-05,424.7065,446.2493,423.592,443.085,388500
2025-02-06,450.4186,467.8916,447.9011,467.424,408700
2025-02-07,470.8369,474.5286,457.6127,457.7819,407500
2025-02-10,459.6128,466.0309,455.2843,462.6179,250500
2025-02-11,457.7222,457.7222,427.1543,432.4778,562400
2025-02-12,410.0196,416.2287,395.661,396.3476,1079900
2025-02-13,401.701,405.0145,381.6308,393.0938,858000
2025-02-14,393.6411,395.1237,382.5165,389.2828,368500
2025-02-18,390.0589,395.8004,378.1781,392.6361,777700
2025-02-19,388.1783,394.4769,385.4518,393.8998,432400
2025-02-20,393.0441,397.4123,377.8696,380.2378,652300
2025-02-21,409.5221,410.736,356.4562,362.1976,1088300
2025-02-24,371.8893,377.3322,351.6799,356.7646,1094000
2025-02-25,354.9138,373.9093,348.7445,365.7698,889300
2025-02-26,382.3772,394.5068,372.8745,372.9441,662500
2025-02-27,376.4666,378.9442,354.6352,354.8641,663700
2025-02-28,352.6153,361.5906,348.645,361.5309,728300
2025-03-03,362.7946,366.0982,341.1921,343.8688,711900
2025-03-04,330.356,350.8938,320.8235,337.4905,873000
2025-03-05,340.8438,352.0779,336.8039,346.9534,578800
2025-03-06,335.789,340.6249,320.107,326.4753,717300
2025-03-07,328.5948,331.3212,310.873,322.6345,696600
2025-03-10,310.6393,318.0615,304.831,312.0938,671500
2025-03-11,312.2134,333.4042,307.8597,323.3717,688700
2025-03-12,338.3856,342.3209,329.6283,334.6695,475600
2025-03-13,333.6732,339.0929,322.7141,326.0317,381000
2025-03-14,334.4005,343.7655,333.7529,339.8601,395400
2025-03-17,337.7381,352.9213,337.7381,345.0607,340300
2025-03-18,340.9261,342.281,333.7927,338.0369,481900
2025-03-19,341.3744,363.2826,338.2461,356.199,592700
2025-03-20,353.4194,364.8467,349.2351,355.4618,395000
2025-03-21,349.2649,355.0035,344.9212,350.8391,714100
2025-03-24,365.1954,378.954,362.097,377.8282,459000
2025-03-25,376.4533,380.1096,363.8205,371.6712,370600
2025-03-26,370.386,372.6077,344.0146,344.3234,603600
2025-03-27,341.5737,342.2511,328.2734,331.043,668500
2025-03-28,327.2273,331.5113,318.5398,322.9035,675400
2025-03-31,311.6256,321.7278,302.1111,321.13,820000
2025-04-01,319.267,330.1762,316.5073,328.7715,509000
2025-04-02,318.9881,341.9423,317.4737,341.0058,452600
2025-04-03,314.1063,321.7478,305.5084,310.2108,643000
2025-04-04,295.5955,300.2481,275.4109,295.4062,782800
2025-04-07,280.6314,322.6344,280.472,310.968,928200
2025-04-08,328.5722,335.2473,304.3627,311.0477,505700
2025-04-09,317.3243,364.1891,305.0501,355.4418,796600
2025-04-10,338.1764,348.4081,324.3679,336.144,591600
2025-04-11,336.144,348.0794,330.7342,347.4716,330200
2025-04-14,351.9449,360.762,343.3271,350.2911,308700
2025-04-15,353.2301,361.7384,351.4468,354.884,291600
2025-04-16,346.8838,352.981,339.7306,347.8602,289700
2025-04-17,349.1155,353.6684,340.0294,346.6547,336300
2025-04-21,343.8054,348.717,320.7515,326.9484,351800
2025-04-22,332.7566,343.9149,332.3581,339.063,409700
2025-04-23,364.3784,371.3325,352.2637,354.3758,360900
2025-04-24,353.6784,377.4994,353.6784,374.8095,481500
2025-04-25,383.5668,410.9644,382.5705,395.9505,1315700
2025-04-28,393.6092,403.2731,385.0213,392.9318,529500
2025-04-29,392.8421,397.2556,386.6452,396.0601,449300
2025-04-30,380.6477,396.4387,378.5854,396.07,415800
2025-05-01,408.7825,427.7517,407.4376,416.4937,640300
2025-05-02,419.3132,437.6945,419.3132,430.4915,444300
2025-05-05,426.9646,436.7679,426.9646,433.6695,317800
2025-05-06,428.8675,433.6596,425.3805,427.3731,213300
2025-05-07,427.3731,432.0556,420.9571,430.5512,336100
2025-05-08,437.4753,447.8964,433.6496,437.5152,368700
2025-05-09,440.0557,441.5601,429.1863,433.2611,286300
2025-05-12,454.153,457.1418,445.1168,450.1778,246500
2025-05-13,453.7146,469.9838,451.752,463.4981,557900
2025-05-14,472.5941,473.2317,463.5579,465.7696,527700
2025-05-15,462.2727,468.2603,459.2241,461.645,445400
2025-05-16,465.624,471.6673,460.4383,470.6701,316400
2025-05-19,461.1863,470.3809,460.0594,468.9448,241800
2025-05-20,466.6911,474.3599,466.6911,471.2684,287800
2025-05-21,463.8489,475.407,461.1564,463.9686,243800
2025-05-22,460.199,466.731,450.795,460.9669,306400
2025-05-23,451.4332,473.6917,451.4033,470.2014,261800
2025-05-27,482.0985,489.0094,472.2756,484.0631,462600
2025-05-28,485.18,486.7856,472.9139,475.6065,431100
2025-05-29,481.2209,485.8182,469.3836,477.5112,255000
2025-05-30,476.6835,479.3461,465.6041,476.9128,322400
2025-06-02,473.4923,476.8929,463.7691,475.766,325200
2025-06-03,478.9871,497.486,478.9871,495.4117,426300
2025-06-04,494.5242,501.3155,492.2306,497.2567,271300
2025-06-05,499.6201,503.1005,490.4554,497.7553,248800
2025-06-06,504.2773,509.8718,498.7924,509.1139,340900
2025-06-09,507.7377,508.5056,495.8505,499.9492,502900
2025-06-10,499.9093,501.106,467.8678,486.3667,506500
2025-06-11,489.149,498.4035,485.3894,495.332,244600
2025-06-12,490.3956,500.2584,490.3956,499.8694,188100
2025-06-13,494.4643,498.0245,488.1917,491.3629,335600
2025-06-16,496.5188,509.6824,495.7708,499.5304,258700
2025-06-17,494.8433,502.911,491.7518,494.0056,356800
2025-06-18,493.886,507.3089,493.886,497.6456,465400
2025-06-20,499.1914,502.0834,490.1463,498.6429,770900
2025-06-23,496.1996,502.7714,488.6305,501.5947,291800
2025-06-24,507.8773,514.868,503.3598,511.9062,317200
2025-06-25,515.5362,518.7972,506.172,506.202,222800
2025-06-26,512.355,516.4935,510.7693,514.6586,246400
2025-06-27,518.9867,534.9626,515.8554,533.5266,503100
2025-06-30,533.6262,540.0485,529.1985,534.7332,424600
2025-07-01,529.8666,534.6434,508.5953,520.2232,365900
2025-07-02,517.3113,530.0162,516.1545,528.4406,284100
2025-07-03,527.6128,542.2424,527.6128,539.49,162300
2025-07-07,539.7593,547.7073,534.7033,539.9886,280600
2025-07-08,539.4103,542.5018,518.5579,525.9674,382500
2025-07-09,534.1946,539.7792,527.7823,533.5464,407300
2025-07-10,533.5265,537.9743,515.606,532.2999,359100
2025-07-11,531.1331,541.5443,528.5602,538.0141,263900
2025-07-14,538.0141,547.6874,533.0079,541.4547,316700
2025-07-15,548.7943,548.7943,533.5265,537.5355,241700
2025-07-16,540.2579,548.3156,534.1448,545.1245,303200
2025-07-17,547.7572,553.7207,542.9405,548.9838,326400
2025-07-18,551.3174,557.8194,546.4807,552.6537,227200
2025-07-21,551.846,554.6482,541.9832,543.4492,205200
2025-07-22,542.751,542.751,512.5743,530.6744,385600
2025-07-23,537.2462,553.4315,536.7775,546.4009,340700
2025-07-24,550.2303,563.4638,541.7538,561.2798,511000
2025-07-25,663.4676,697.4637,646.4446,686.843,1254100
2025-07-28,695.0803,707.4461,675.7536,691.0613,736500
2025-07-29,696.4265,706.6184,681.1188,685.7759,469500
2025-07-30,692.0387,703.138,685.7062,701.0338,433700
2025-07-31,709.1614,716.4214,696.5063,701.3629,686500
2025-08-01,679.3537,704.0056,665.1729,693.3849,552400
2025-08-04,704.7735,704.7735,682.8042,697.2343,412700
2025-08-05,703.0582,709.0417,680.6202,689.5455,354100
2025-08-06,689.5456,692.7667,678.4064,688.5484,301700
2025-08-07,695.8482,698.072,683.1133,692.5173,256800
2025-08-08,697.5835,706.778,682.186,689.8548,376100
2025-08-11,692.1484,693.385,685.5068,691.4005,251900
2025-08-12,694.8908,718.0169,687.4314,716.6307,379600
2025-08-13,723.2127,731.2305,680.7798,700.1663,662100
2025-08-14,691.8932,706.7727,686.8436,688.4503,432700
2025-08-15,687.9113,700.5654,670.3273,679.4686,408900
2025-08-18,679.4686,694.3382,677.0137,694.3382,266800
2025-08-19,691.4042,692.971,680.1872,682.5323,372500
2025-08-20,673.2912,683.67,654.6195,679.6882,418900
2025-08-21,678.3909,693.7494,677.0137,692.5818,311700
2025-08-22,694.5378,715.425,687.0032,688.071,526200
2025-08-25,689.5579,698.5695,682.9614,689.7675,219000
2025-08-26,691.1148,707.5511,689.8573,705.9444,430100
2025-08-27,703.0603,715.7743,701.5634,708.3795,388100
2025-08-28,712.5109,731.3025,708.6189,728.5182,366200
2025-08-29,727.5701,727.5701,690.037,701.9426,375100
2025-09-02,685.5961,698.7991,668.8205,697.1824,363100
2025-09-03,699.757,704.4773,694.9669,699.2581,320600
2025-09-04,705.5053,723.1093,700.4457,722.4706,343800
2025-09-05,719.866,725.5144,680.6063,704.8666,523800
2025-09-08,710.545,716.9219,702.3118,714.407,337900
2025-09-09,715.6845,716.0338,696.6335,708.0801,311600
2025-09-10,725.3047,755.5727,720.3948,750.563,616700
2025-09-11,762.1194,770.6419,753.4571,763.3469,559800
2025-09-12,760.9218,768.6061,750.3135,752.1498,301700
2025-09-15,756.4509,780.861,753.4571,780.4518,397000
2025-09-16,778.925,783.6253,767.3487,775.5918,406100
2025-09-17,779.5038,781.1005,756.3313,761.351,533000
2025-09-18,766.5204,804.9317,765.7619,797.7464,366300
2025-09-19,797.2675,800.9898,781.2602,796.0799,685900
2025-09-22,790.9105,822.6056,789.5932,819.941,424600
2025-09-23,816.7574,823.314,793.4252,802.5964,332900
2025-09-24,809.5323,815.6698,786.26,789.8427,284400
2025-09-25,774.7036,788.0563,755.4531,780.2822,469700
2025-09-26,783.0065,806.3188,778.406,802.7162,287700
2025-09-29,812.9254,821.8172,797.7864,800.1615,300100
2025-09-30,806.1892,826.278,803.6144,823.4937,309400
2025-10-01,811.4084,842.0756,810.0911,832.625,296600
2025-10-02,834.1819,850.5683,818.3243,831.2778,305000
2025-10-03,836.3872,839.0618,814.3324,816.3383,285400
2025-10-06,828.0244,841.2374,821.5677,823.7332,245900
2025-10-07,831.148,835.1798,794.3733,814.8614,349400
2025-10-08,823.2742,849.8997,815.2706,842.894,244300
2025-10-09,842.894,845.1594,819.8711,832.9943,240600
2025-10-10,838.004,856.7955,813.4443,814.4023,312200
2025-10-13,842.1355,860.0089,830.6989,844.2611,240200
2025-10-14,828.0145,849.7599,812.0372,830.19,338500
2025-10-15,848.263,848.8518,825.4897,835.3994,480700
2025-10-16,845.0596,847.4946,825.9487,837.066,316600
2025-10-17,826.2879,840.1795,808.3447,826.228,388700
2025-10-20,840.7684,852.7139,830.5593,835.0401,259100
2025-10-21,830.4195,833.2937,810.4305,827.6652,331600
2025-10-22,837.525,845.9477,768.8955,789.1041,685100
2025-10-23,789.7428,834.611,789.7428,823.3141,653000
2025-10-24,953.0484,1000.591,948.0586,979.6539,1051800
2025-10-27,996.7191,1005.6108,963.7765,974.4547,484800
2025-10-28,973.0076,987.2185,964.4651,978.9653,357200
2025-10-29,988.9649,1017.6462,988.9649,1008.5748,383000
2025-10-30,992.4078,1018.175,955.204,961.3314,509200
2025-10-31,967.3192,985.1826,949.2362,963.6068,313300
2025-11-03,973.9456,980.6818,958.3376,975.6721,235700
2025-11-04,955.0343,965.4031,923.1596,954.0065,398000
2025-11-05,961.3614,995.272,954.1063,985.7615,319100
2025-11-06,984.3244,989.9828,946.0727,955.8228,305400
2025-11-07,935.5243,954.8946,908.2401,953.3079,488500
2025-11-10,976.1111,991.9687,963.0778,972.1493,279800
2025-11-11,955.9225,972.9577,940.075,952.5794,223300
2025-11-12,959.7247,978.9952,955.8327,971.1912,309900
2025-11-13,962.0943,973.3582,891.0759,896.2385,654700
2025-11-14,860.2798,930.0601,840.4582,908.3011,589300
2025-11-17,913.4938,936.441,903.7577,918.5067,401400
2025-11-18,900.1529,935.5722,894.501,919.6749,353700
2025-11-19,928.4124,948.5936,909.6992,929.1713,348500
2025-11-20,953.4965,974.1669,868.6379,874.9388,650100
2025-11-21,877.705,895.2399,848.7863,892.8034,535300
2025-11-24,922.5708,957.4609,908.7905,943.7206,3206200
2025-11-25,935.4424,955.8932,908.7206,955.6735,377600
2025-11-26,960.6264,981.5165,958.8989,969.5636,342400
2025-11-28,978.2512,979.5193,963.672,975.545,172500
2025-12-01,959.6378,963.5722,945.1485,959.8275,402400
2025-12-02,971.2012,987.2682,933.615,934.4438,465900
2025-12-03,933.6649,952.1285,908.7506,947.9445,300300
2025-12-04,948.6436,1005.1627,938.6579,1003.2156,518300
2025-12-05,1006.6406,1013.331,975.7747,1000.05,381400
2025-12-08,1007.2098,1035.1898,984.702,988.0671,647700
2025-12-09,982.4952,996.4053,976.6036,982.2056,344900
2025-12-10,991.9915,1027.4807,966.9174,1019.9016,401500
2025-12-11,1014.9488,1023.936,973.6578,1023.4567,438900
2025-12-12,1010.2455,1022.4081,911.0973,966.5679,869200
2025-12-15,961.4851,984.7918,960.0273,967.0971,400300
2025-12-16,983.6934,983.6934,951.7791,967.1171,428400
2025-12-17,968.9146,975.2255,877.3355,882.5281,800100
2025-12-18,906.7035,925.1571,894.9103,917.2284,512500
2025-12-19,927.7234,951.4795,920.7334,939.3967,8010000
2025-12-22,953.7362,972.9587,942.5223,949.4324,452000
2025-12-23,946.9759,968.615,944.8789,963.9916,327700
2025-12-24,962.6535,963.3425,951.6393,956.702,155000
2025-12-26,960.2869,965.6992,951.9389,962.4539,170500
2025-12-29,952.5779,963.3026,942.1528,949.3126,259200
2025-12-30,949.3126,956.6921,942.8818,945.5779,216100
2025-12-31,949.1528,953.5864,930.9987,931.9573,192800
2026-01-02,937.0601,1003.525,937.0601,1002.2069,395900
2026-01-05,1019.0529,1048.9501,1019.0529,1030.8361,435100
2026-01-06,1023.2668,1033.632,951.3796,1033.632,648400
2026-01-07,1027.2211,1046.933,1004.244,1033.642,441700
2026-01-08,1033.642,1038.515,958.4295,970.1028,512900
2026-01-09,976.5736,1020.6506,976.274,1008.9673,362900
2026-01-12,1008.5578,1044.5064,998.5721,1036.6976,528200
2026-01-13,1037.6362,1077.1597,1037.6362,1071.6077,378700
2026-01-14,1063.5193,1077.729,1022.6577,1051.5963,403700
2026-01-15,1088.6931,1113.0183,1073.4649,1089.4821,408100
2026-01-16,1105.4193,1145.3922,1101.485,1118.3807,507200
2026-01-20,1097.2709,1139.0512,1090.4407,1133.1296,545100
2026-01-21,1139.4907,1156.696,1113.408,1146.3608,414800
2026-01-22,1168.3293,1176.1881,1099.5277,1130.084,368200
2026-01-23,1130.084,1135.2766,1103.8116,1119.8386,271700
2026-01-26,1124.9014,1146.6003,1116.2337,1125.9399,272000
2026-01-27,1137.2237,1166.3221,1121.8757,1158.723,268000
2026-01-28,1163.7161,1177.3166,1145.9914,1167.3809,299100
2026-01-29,1178.5047,1198.616,1143.3651,1169.7872,306100
2026-01-30,1154.0498,1184.4564,1129.6048,1140.4692,312000
2026-02-02,1141.1483,1176.7474,1136.435,1174.5804,329700
2026-02-03,1193.2936,1218.2579,1173.1723,1208.2422,357300
2026-02-04,1198.2865,1212.6859,1073.8245,1118.2111,625800
2026-02-05,1118.2011,1160.6903,1095.8431,1146.3308,462400
2026-02-06,1173.3222,1228.7329,1173.3222,1228.5033,278900
2026-02-09,1227.0953,1298.0838,1217.3094,1281.8171,356100
2026-02-10,1278.2922,1293.1509,1248.2152,1267.8171,308500
2026-02-11,1312.4234,1363.001,1304.9142,1336.7386,461800
2026-02-12,1344.3277,1397.0023,1297.1151,1298.1637,505400
2026-02-13,1311.1252,1353.0653,1275.0468,1336.0396,297700
2026-02-17,1316.0083,1362.9312,1305.783,1335.84,425200
2026-02-18,1342.1209,1370.041,1312.3434,1317.5859,458500
2026-02-19,1321.0111,1375.5331,1300.1409,1371.5588,696500
2026-02-20,1412.4904,1474.8312,1388.0154,1460.1422,923600
2026-02-23,1460.911,1463.3974,1385.5588,1411.5515,734700
2026-02-24,1408.1565,1478.8554,1373.0367,1466.483,507100
2026-02-25,1465.9039,1497.8582,1440.4503,1448.5287,405800
2026-02-26,1451.2151,1455.6787,1375.6331,1436.1765,456200
2026-02-27,1416.6842,1439.5615,1393.8468,1427.329,489600
2026-03-02,1403.5131,1437.0651,1387.556,1436.1864,388300
2026-03-03,1409.9838,1409.9838,1342.1109,1389.1736,614700
2026-03-04,1405.6001,1438.9425,1378.2492,1428.3376,390400
2026-03-05,1406.8382,1413.968,1286.071,1346.2948,553300
2026-03-06,1288.8272,1326.473,1269.5347,1277.8972,557000
2026-03-09,1245.6066,1372.4012,1224.1261,1371.1523,600500
2026-03-10,1383.7308,1408.7081,1371.1523,1382.3621,389900
2026-03-11,1383.1614,1434.7644,1360.7718,1406.0405,318900
2026-03-12,1389.5755,1404.5819,1352.5892,1372.5111,301400
2026-03-13,1394.7509,1416.7109,1356.7655,1364.0988,280100
2026-03-16,1390.7846,1419.7881,1389.8054,1412.8145,288900
2026-03-17,1408.818,1431.4874,1395.7499,1423.1649,238600
