Date,Open,High,Low,Close,Volume
2024-08-05,150.7477,158.073,148.4839,156.5506,7064800
2024-08-06,158.1027,163.5596,157.9346,160.416,5056700
2024-08-07,162.5414,164.3703,159.724,160.2776,4307500
2024-08-08,162.6007,164.4296,161.6912,163.7178,3842700
2024-08-09,163.5596,165.9619,162.6897,165.2204,2770100
2024-08-12,165.7147,166.8516,162.7391,164.9634,3173700
2024-08-13,165.8432,166.7033,164.3505,166.041,2942400
2024-08-14,166.5748,167.247,163.7277,166.0311,4456000
2024-08-15,166.8219,168.7991,166.298,167.9983,4162500
2024-08-16,168.1071,168.3839,166.9307,167.4843,3305600
2024-08-19,167.6721,169.0462,166.1003,168.977,4506000
2024-08-20,168.9572,168.9572,167.2569,168.0477,2573900
2024-08-21,168.1565,170.2226,167.9093,169.2439,4102900
2024-08-22,169.7778,170.015,166.8417,167.7413,2996600
2024-08-23,168.0577,169.4219,166.9208,169.2637,4058000
2024-08-26,168.5915,169.9656,167.6425,169.2637,3707300
2024-08-27,168.7496,169.5405,167.6622,169.0363,3206000
2024-08-28,169.2439,171.1914,168.3443,169.9063,4578700
2024-08-29,170.6477,173.9594,170.5192,171.5967,4262500
2024-08-30,171.9724,172.8226,169.8074,172.6248,5295600
2024-09-03,172.1998,172.7534,161.7308,162.3338,6099600
2024-09-04,161.6319,164.7163,161.533,164.4592,4112400
2024-09-05,162.8973,164.1033,160.6532,161.9779,3144200
2024-09-06,162.6304,164.1429,158.7552,159.3879,3954900
2024-09-09,161.622,164.479,161.0486,163.4608,3716000
2024-09-10,165.5368,165.8136,162.3733,165.0721,3473200
2024-09-11,164.3406,164.825,160.3764,164.4493,4258000
2024-09-12,164.6075,169.0166,164.3307,167.7611,5148500
2024-09-13,167.4744,177.2712,167.2767,176.243,7360800
2024-09-16,176.678,179.446,174.2461,179.3669,6844600
2024-09-17,179.4361,180.3456,176.9449,178.2696,5936900
2024-09-18,179.1297,183.6475,178.3685,181.4528,5686500
2024-09-19,185.506,185.8421,182.1745,184.033,5021500
2024-09-20,182.8862,185.6938,182.214,185.2885,9895700
2024-09-23,185.6641,187.6116,185.2588,186.5143,3972500
2024-09-24,186.5143,187.6314,184.8634,187.493,3648900
2024-09-25,187.6611,188.6991,186.0497,187.1668,3214800
