Date,Open,High,Low,Close,Volume
2024-09-09,152.5623,153.5652,147.17,148.5007,28057700
2024-09-10,150.3974,151.2415,148.5037,148.9674,20401800
2024-09-11,150.0399,151.4202,147.6665,151.0925,18991500
2024-09-12,153.7341,154.5285,152.4332,154.459,20980800
2024-09-13,155.2753,158.168,155.025,157.2693,16733900
2024-09-16,157.2296,158.1333,156.5146,157.885,14157600
2024-09-17,158.9773,160.4669,158.3021,159.166,12064800
2024-09-18,159.7321,160.5067,158.5504,159.6924,16756500
2024-09-19,163.6745,163.8434,161.3925,162.1055,17548200
2024-09-20,163.3766,163.605,162.0459,163.4957,46362700
2024-09-23,164.1909,165.4521,161.8175,161.9367,15648400
2024-09-24,163.1085,163.4064,160.9039,162.5027,18774100
2024-09-25,161.8373,163.0757,161.6437,161.8572,13607900
2024-09-26,163.883,164.3498,162.3637,162.6914,18234500
2024-09-27,162.7708,165.8095,162.6914,164.1412,13604300
2024-09-30,163.6348,166.1968,163.4957,166.028,14070100
2024-10-01,167.6864,169.2554,164.747,167.2495,18629500
2024-10-02,166.5941,167.7063,165.0946,166.1472,12745000
2024-10-03,164.6675,166.743,164.2207,166.0479,11004300
2024-10-04,168.1631,168.3716,165.7996,167.3885,11422100
2024-10-07,167.9645,168.7192,162.9893,163.2475,14034700
2024-10-08,164.2803,164.9456,163.168,164.5484,11723900
2024-10-09,163.7092,165.1045,160.0002,161.9267,19666400
2024-10-10,160.9833,163.169,160.5166,162.0459,12900500
2024-10-11,162.1949,164.1214,161.3706,163.3766,10946000
2024-10-14,163.7639,166.455,163.6348,165.1939,9981800
2024-10-15,165.9784,167.9148,164.8959,165.74,14829300
2024-10-16,164.8761,166.1174,164.0678,165.5812,9968500
2024-10-17,166.2167,166.7629,163.2276,163.3666,15113400
2024-10-18,163.7241,165.2137,163.605,163.9029,13091300
2024-10-21,163.4362,165.0648,163.1631,164.6477,11384000
2024-10-22,163.5553,166.3061,163.5255,165.6606,11958600
2024-10-23,165.2733,166.4352,162.4957,163.3369,12754300
2024-10-24,163.4461,163.9029,161.6387,163.3865,12764400
2024-10-25,164.2157,166.2365,164.0816,165.8294,14566400
2024-10-28,169.4044,169.4203,164.6377,167.17,20858300
2024-10-29,168.2078,170.6656,167.4878,169.9506,28916100
