Date,Open,High,Low,Close,Volume
2024-09-16,156.213,157.1465,155.508,156.9578,18379800
2024-09-17,157.9111,159.4304,157.2756,158.209,20715600
2024-09-18,158.7453,159.3808,157.4941,158.6956,23677300
2024-09-19,162.5684,162.6479,160.2149,161.0094,26587700
2024-09-20,162.3599,162.5883,160.9299,162.4492,40896400
2024-09-23,163.204,164.336,160.5427,160.7214,24150900
2024-09-24,161.8932,162.0818,159.5695,161.1583,23332100
2024-09-25,160.344,161.6747,160.1752,160.3639,18869200
2024-09-26,162.4989,162.9359,161.1484,161.5953,20319300
2024-09-27,161.6747,164.5445,161.496,162.8067,21101300
2024-09-30,162.1812,164.9914,162.1216,164.6935,20413900
2024-10-01,166.5207,167.9804,163.4324,165.8256,28338100
2024-10-02,165.2595,166.3519,163.5813,164.7034,17760200
2024-10-03,163.2635,165.478,162.777,164.7034,15073100
2024-10-04,166.8881,167.0569,164.3261,165.8951,19047400
2024-10-07,166.5504,167.3051,161.6151,161.8435,22463100
2024-10-08,162.7968,163.5813,161.7343,163.2337,23072700
2024-10-09,162.3102,163.6905,158.6261,160.7313,31181800
2024-10-10,159.7482,161.9329,159.2815,160.9498,14144100
2024-10-11,160.9994,162.7571,160.1156,162.1017,15344300
2024-10-14,162.4989,165.0708,162.2606,163.8097,19016100
2024-10-15,164.6339,166.5107,163.482,164.3062,20247200
2024-10-16,163.3827,164.6438,162.5982,164.0083,16406000
2024-10-17,164.5743,165.2099,161.625,161.7938,21453400
2024-10-18,162.052,163.5614,161.9428,162.2804,19757700
2024-10-21,161.8137,163.3529,161.486,162.9259,20946500
2024-10-22,161.8435,164.6141,161.8435,163.9884,16568100
2024-10-23,163.6111,164.6637,160.8008,161.6449,18280500
2024-10-24,161.6945,162.1911,159.8872,161.5853,22412500
2024-10-25,162.5287,164.4353,162.2804,164.1175,19828900
2024-10-28,167.5733,167.5733,162.8068,165.5575,32138600
2024-10-29,166.5604,169.1919,165.9249,168.4968,42169000
2024-10-30,179.4201,180.7507,172.8462,173.2435,68890800
2024-10-31,171.9227,175.587,169.8076,169.9168,44769000
