Date,Open,High,Low,Close,Volume
2024-08-20,129.5455,130.5461,129.2649,130.49,582700
2024-08-21,131.472,134.6424,130.9202,134.3524,828400
2024-08-22,133.7165,133.9877,131.6965,132.2015,498000
2024-08-23,133.1834,134.2683,132.4072,132.9964,525000
2024-08-26,133.969,135.1287,132.641,133.7352,798200
2024-08-27,133.6417,133.8942,132.8748,133.464,649300
2024-08-28,133.5949,134.2402,132.6971,133.277,755700
2024-08-29,134.0532,134.2683,132.5849,133.0619,476800
2024-08-30,133.5201,134.128,132.3698,133.9784,821900
2024-09-03,133.7259,135.0819,132.3605,133.9129,739500
2024-09-04,134.0532,134.8294,130.3217,132.0518,742100
2024-09-05,132.2202,132.6971,126.2629,128.4419,1620500
2024-09-06,128.4137,129.8079,126.2846,126.5201,932300
2024-09-09,127.0948,128.9129,125.5215,128.6963,824100
2024-09-10,128.9129,128.9601,126.9158,127.8955,726600
2024-09-11,127.1795,127.4527,124.6454,127.2266,775900
2024-09-12,127.2361,128.3477,125.4932,128.3195,669300
2024-09-13,129.1202,129.8644,128.2441,129.3934,874300
2024-09-16,130.3072,131.3435,128.9506,129.3934,756200
2024-09-17,129.9775,131.1833,129.2238,129.3746,529900
2024-09-18,131.3246,132.9262,129.8644,130.0905,489700
2024-09-19,131.5225,131.8899,130.1942,131.0797,528000
2024-09-20,130.5616,130.6463,128.0933,129.0825,1358200
2024-09-23,129.1861,129.9398,128.2252,129.7608,932200
2024-09-24,129.4405,131.7957,129.1202,131.5696,846500
2024-09-25,132.0406,132.0406,130.0434,130.4956,888300
2024-09-26,131.1362,133.4255,130.7406,133.303,686400
2024-09-27,134.0943,135.2625,132.8602,133.0581,618200
2024-09-30,133.1523,133.1523,130.863,131.5884,680700
2024-10-01,131.466,132.3703,130.0152,131.5602,764900
2024-10-02,130.7029,131.5884,129.8927,130.7311,666300
2024-10-03,129.8645,130.034,128.4137,128.6586,553400
2024-10-04,129.497,130.2978,128.3854,128.7811,649600
2024-10-07,128.1499,128.6586,126.9911,127.1701,619800
2024-10-08,126.2375,126.5201,125.0693,125.9266,716900
2024-10-09,126.3694,127.1513,125.4084,126.0114,807700
2024-10-10,126.0114,126.7744,125.3048,125.7099,613200
2024-10-11,125.936,129.7608,125.936,129.2898,864500
2024-10-14,128.9789,131.5131,128.7528,131.3623,1025500
2024-10-15,131.3812,134.0095,131.3812,132.2761,1153900
2024-10-16,133.9813,135.4792,133.3313,134.8668,879700
2024-10-17,134.8292,135.6299,133.9436,135.3096,750400
2024-10-18,135.9314,135.9314,134.198,134.8763,852000
2024-10-21,135.3473,135.856,134.2168,134.8291,990100
2024-10-22,113.463,115.4413,106.209,106.5576,6715600
2024-10-23,107.4055,109.7512,106.5953,109.5063,2768400
2024-10-24,107.7917,109.1483,106.388,106.5576,2219400
2024-10-25,106.454,108.3004,106.454,107.6222,2138100
2024-10-28,108.9505,112.1818,108.6867,111.4941,3932700
2024-10-29,110.4013,111.6542,109.8266,110.486,2502000
2024-10-30,111.2585,112.1158,109.2142,109.5345,1532400
2024-10-31,109.2802,110.194,107.4714,108.0555,2763100
2024-11-01,108.2062,108.828,106.7272,107.0286,1318700
2024-11-04,107.4055,110.0339,107.3772,109.3273,1216400
2024-11-05,109.3084,109.9302,108.5831,109.8454,1068300
2024-11-06,113.0485,116.3928,112.1912,116.1385,2574200
2024-11-07,116.0537,117.561,115.2906,115.9124,1696100
2024-11-08,115.6674,116.1856,115.0834,115.3189,1220300
2024-11-11,116.082,117.3632,114.9515,115.2718,957900
