Date,Open,High,Low,Close,Volume
2024-08-05,429.7433,444.7117,419.9308,440.7176,4177200
2024-08-06,442.6282,456.3004,439.191,451.471,2209300
2024-08-07,460.2754,469.0701,453.7273,454.1498,2587600
2024-08-08,458.816,468.2829,458.1343,466.401,1936400
2024-08-09,465.6809,472.3826,462.9733,470.7119,1622700
2024-08-12,470.712,473.2179,464.4615,466.1418,1839300
2024-08-13,470.7408,473.6019,467.0731,472.325,1243700
2024-08-14,473.2467,479.4395,468.9261,478.8155,1545600
2024-08-15,484.8642,486.6981,478.393,479.1227,1732300
2024-08-16,477.2312,484.7778,477.1832,484.1537,1587000
2024-08-19,484.8642,487.5334,481.8494,484.557,1027900
2024-08-20,483.7793,484.0577,476.7031,477.5096,2122700
2024-08-21,479.5835,480.8125,474.3316,476.6647,917100
2024-08-22,477.1832,479.7755,475.0613,477.9033,943800
2024-08-23,482.7039,492.0076,479.9196,489.108,1751800
2024-08-26,491.9116,493.0253,485.1715,487.6198,1084200
2024-08-27,487.5909,491.0858,486.3908,487.0341,977900
2024-08-28,486.4004,488.0998,478.5946,483.2608,1568100
2024-08-29,485.8244,492.7757,481.1582,489.7609,1566300
2024-08-30,490.4659,493.711,487.8969,492.8032,1838900
2024-09-03,490.1182,492.272,468.8029,470.7924,2373600
2024-09-04,470.0584,479.2336,470.0584,473.8637,1509400
2024-09-05,476.7031,478.8183,466.5525,471.1981,1828300
2024-09-06,469.9618,478.4706,460.748,463.2108,1995600
2024-09-09,468.9284,477.3792,466.8616,471.8645,1714200
2024-09-10,472.4053,472.4729,445.7877,451.1576,3583100
2024-09-11,448.1153,455.7548,441.8375,455.0594,2426500
2024-09-12,455.185,458.121,449.4867,457.8506,1480500
2024-09-13,459.7146,465.6157,459.2414,462.612,1794500
2024-09-16,464.9686,470.7151,463.0949,468.571,1500300
2024-09-17,471.314,472.9848,465.3259,468.7932,1444900
2024-09-18,468.8028,476.1333,465.2969,468.0108,1699500
2024-09-19,477.8235,489.0945,476.5872,486.6027,3060700
2024-09-20,483.0872,484.8835,478.5382,481.3873,4452600
2024-09-23,481.1748,484.2558,478.2871,480.4022,953200
2024-09-24,480.5761,482.4787,477.2054,480.9914,1035400
2024-09-25,481.4549,484.8352,473.6319,474.3466,1763900
2024-09-26,477.1088,481.3583,475.6408,479.929,1378100
2024-09-27,481.9089,488.119,478.9052,481.4646,1420100
2024-09-30,477.9684,479.5426,472.1832,478.1808,1602500
2024-10-01,477.669,477.669,468.0399,473.4098,1528600
2024-10-02,474.3756,477.9394,471.2657,475.1675,1445100
2024-10-03,473.1779,473.7381,467.6439,469.4789,1290600
2024-10-04,478.6928,479.3398,469.3824,478.2292,1721600
2024-10-07,477.7172,481.9475,474.0085,477.7076,1173300
2024-10-08,480.0062,481.3004,475.9305,479.5909,1296700
2024-10-09,481.1651,488.9592,478.316,487.9065,1695900
