Date,Open,High,Low,Close,Volume
2024-08-26,969.8652,970.7996,949.4547,957.6583,183500
2024-08-27,953.8516,957.9927,945.0677,951.5302,161400
2024-08-28,951.5794,957.3828,945.471,952.4942,160300
2024-08-29,956.1042,964.5929,949.0023,952.1991,141900
2024-08-30,955.5435,969.3439,950.2811,968.8029,313400
2024-09-03,966.5701,967.239,938.7922,944.3497,217400
2024-09-04,942.7955,945.7563,929.4082,936.7068,143500
2024-09-05,932.0346,932.0346,912.0176,923.1229,242500
2024-09-06,926.6638,941.4184,926.6638,932.4181,174300
2024-09-09,939.3725,961.0026,939.3725,956.232,237000
2024-09-10,960.9141,963.137,951.176,961.6813,172400
2024-09-11,961.2683,973.8391,941.7824,972.462,199100
2024-09-12,972.4226,982.0131,963.8552,980.6163,128900
2024-09-13,980.5869,986.8329,972.9047,977.5573,198600
2024-09-16,985.5542,992.5872,977.8032,991.7118,207400
2024-09-17,996.8956,1006.3778,994.0332,997.3874,180000
2024-09-18,999.9645,1011.778,992.7741,996.6005,158600
2024-09-19,1017.1879,1017.1879,1005.6499,1013.2435,156600
2024-09-20,1008.4435,1020.2569,1003.1122,1015.3289,323600
2024-09-23,1020.4928,1029.5816,1015.8501,1025.0273,233600
2024-09-24,1019.9225,1026.2669,1009.7616,1023.6799,216200
2024-09-25,1029.1785,1031.854,1014.4829,1015.2699,246800
2024-09-26,1019.8735,1030.5066,1018.3391,1026.8475,193300
2024-09-27,1023.3554,1029.149,1014.5223,1018.988,148100
2024-09-30,1021.8603,1027.3982,1014.0797,1021.8112,238100
2024-10-01,1021.2995,1029.621,1013.2139,1022.8831,142100
2024-10-02,1021.0144,1024.162,1018.0832,1021.1423,91900
2024-10-03,1020.4341,1020.4341,1004.2434,1012.3093,147700
2024-10-04,1020.5126,1020.5126,1006.3384,1016.3322,96000
2024-10-07,1001.9219,1012.7026,1001.9219,1006.1024,220000
2024-10-08,1013.0861,1014.2271,1007.5483,1011.7288,131200
2024-10-09,1008.7386,1019.9422,1007.4598,1012.7518,231800
2024-10-10,1008.7385,1020.4142,1006.4859,1008.3844,173900
2024-10-11,1030.9488,1071.0222,1028.8832,1067.2844,514500
2024-10-14,1077.9571,1085.5901,1067.6584,1080.3965,195100
2024-10-15,1086.4358,1087.9112,1066.8516,1067.8057,265100
2024-10-16,1076.2947,1097.374,1076.2947,1094.7183,209000
2024-10-17,1089.2098,1101.6331,1084.99,1101.1511,134400
2024-10-18,1105.8921,1110.0529,1096.0459,1108.5577,253400
2024-10-21,1111.3318,1111.4302,1092.8592,1102.0266,153500
2024-10-22,1100.5413,1100.5413,1075.6653,1080.9474,243000
2024-10-23,1073.521,1079.7572,1067.9143,1074.6522,100100
2024-10-24,1072.6355,1075.1537,1063.773,1064.5009,148900
2024-10-25,1065.5435,1080.7406,1065.5435,1073.0879,169700
2024-10-28,1083.0131,1089.3674,1076.5113,1086.0624,186300
2024-10-29,1082.5112,1089.4557,1077.1111,1080.3767,191500
2024-10-30,1082.0392,1094.6691,1079.0981,1081.3506,292400
2024-10-31,1110.0924,1111.5186,1073.3338,1091.0786,490500
2024-11-01,1093.3215,1099.0462,1083.4458,1086.9868,248300
2024-11-04,1089.7802,1089.7802,1076.1569,1077.7504,153700
2024-11-05,1077.1011,1104.4069,1077.1011,1103.6593,171500
2024-11-06,1145.3756,1179.3798,1131.1816,1175.4059,399200
2024-11-07,1173.8713,1177.5992,1160.4249,1169.494,264100
2024-11-08,1170.5781,1192.5215,1163.7891,1184.7177,287200
2024-11-11,1189.8906,1209.6564,1189.8906,1203.0251,223900
2024-11-12,1202.1776,1204.4143,1186.8952,1190.6196,191800
2024-11-13,1189.5063,1200.7588,1180.7466,1184.3826,186100
2024-11-14,1180.9437,1182.402,1149.1568,1158.7638,393200
2024-11-15,1156.7932,1161.9958,1151.6793,1161.0498,232100
2024-11-18,1164.2719,1168.5286,1150.5757,1154.9408,191900
2024-11-19,1142.565,1160.1632,1142.565,1154.8817,138500
2024-11-20,1154.8126,1162.173,1144.979,1161.168,143400
2024-11-21,1165.3262,1181.8502,1156.0739,1176.894,157000
2024-11-22,1184.7176,1189.7625,1177.8498,1188.9546,206700
2024-11-25,1190.9351,1209.4396,1182.0868,1197.9309,457500
2024-11-26,1198.6995,1201.8032,1184.2545,1199.4484,187100
2024-11-27,1202.1087,1203.4093,1185.7226,1188.1859,163800
2024-11-29,1188.0579,1197.1821,1187.5948,1187.6637,126600
2024-12-02,1190.334,1190.334,1173.0314,1176.4801,201300
2024-12-03,1181.5744,1184.0574,1166.8534,1175.6624,206300
2024-12-04,1175.9185,1178.8647,1171.0213,1175.1105,180200
2024-12-05,1170.9819,1177.7807,1169.0506,1171.2184,192000
2024-12-06,1173.0513,1175.1599,1163.8089,1167.7798,194700
2024-12-09,1172.194,1172.194,1139.9046,1145.0087,309100
2024-12-10,1141.7867,1145.2747,1126.6618,1140.5353,285800
2024-12-11,1152.5757,1152.5757,1131.1447,1138.5544,262300
