Date,Open,High,Low,Close,Volume
2024-09-23,400.2631,403.3566,398.2435,399.6917,957900.0
2024-09-24,397.8789,399.9774,394.677,395.8494,1000500.0
2024-09-25,397.6425,400.3123,395.6918,399.1104,824500.0
2024-09-26,398.3419,400.6867,394.677,397.8789,857800.0
2024-09-27,398.3814,399.4257,390.6969,397.3075,823100.0
2024-09-30,397.1795,401.0611,390.1354,400.4109,910800.0
2024-10-01,399.7015,401.2877,395.9184,399.4454,852000.0
2024-10-02,398.3715,401.7999,396.5883,397.869,999600.0
2024-10-03,396.943,396.943,384.8153,386.6478,932500.0
2024-10-04,388.4999,389.4851,384.6183,388.2339,787900.0
2024-10-07,386.4015,387.8497,375.9683,376.8648,1641700.0
2024-10-08,377.0323,379.9189,364.9736,372.9733,1893700.0
2024-10-09,372.8748,380.9336,370.461,380.638,1435300.0
2024-10-10,380.2834,382.6577,377.4657,381.5149,956700.0
2024-10-11,385.2587,389.8891,384.2636,388.697,755000.0
2024-10-14,388.7659,392.0958,387.3768,389.9186,865400.0
2024-10-15,391.3964,405.7703,391.3964,395.3174,1602800.0
2024-10-16,399.002,410.5485,397.2681,403.1694,1769000.0
2024-10-17,400.7064,404.4304,398.135,400.4601,1109800.0
2024-10-18,400.4404,410.9622,398.7557,409.3859,1094000.0
2024-10-21,408.0461,409.8195,404.4896,404.6768,962000.0
2024-10-22,402.0266,405.2678,399.1498,402.1251,976700.0
2024-10-23,402.1349,404.7063,400.3123,403.9575,905400.0
2024-10-24,399.5636,402.4601,388.2832,392.9924,2224300.0
2024-10-25,364.5204,365.5056,351.7425,358.1659,4263600.0
2024-10-28,358.1166,362.3825,351.2203,351.309,1969900.0
2024-10-29,351.7129,356.5403,350.0085,355.3286,1639700.0
2024-10-30,354.4813,358.7373,353.6538,355.5749,1266500.0
2024-10-31,352.6981,356.0478,351.9691,353.4272,1188200.0
2024-11-01,355.1807,355.5354,350.2942,351.9001,1317700.0
2024-11-04,352.5503,362.9539,352.3138,357.7816,1547700.0
2024-11-05,357.6241,361.8111,357.3778,361.2299,999800.0
2024-11-06,344.0875,352.4321,340.7674,343.5851,3443800.0
2024-11-07,343.1024,351.5553,340.7083,350.7573,1670900.0
2024-11-08,351.7917,353.3976,346.7082,348.915,1252600.0
2024-11-11,351.2598,355.1414,349.3288,352.6883,909700.0
2024-11-12,352.4124,352.8459,345.1319,345.3387,1416200.0
2024-11-13,345.2304,346.7869,342.1368,344.1466,1433100.0
2024-11-14,344.6393,354.8459,340.1862,340.3931,1835700.0
2024-11-15,340.2946,340.2946,330.1964,337.8809,1863500.0
2024-11-18,337.605,338.1961,327.96,330.8761,1496200.0
2024-11-19,329.3984,332.0091,325.7434,330.1471,1173200.0
2024-11-20,330.6396,330.6396,323.0241,328.0683,1510500.0
2024-11-21,322.3247,327.8812,315.4284,327.3196,2322100.0
2024-11-22,323.6448,324.7679,315.3397,320.1178,2133200.0
2024-11-25,315.586,322.6203,314.7584,320.7977,2688300.0
2024-11-26,322.1967,325.4182,319.0046,324.0784,1056500.0
2024-11-27,323.9896,327.0733,320.1178,320.6498,757100.0
2024-11-29,319.6943,322.9947,319.1918,322.374,626800.0
2024-12-02,321.6252,325.9009,320.6695,322.7779,1189000.0
2024-12-03,325.6744,328.1078,320.778,322.2262,1067300.0
2024-12-04,322.1572,323.5759,318.8765,319.2903,1800100.0
2024-12-05,319.6647,320.6893,314.5516,315.3102,1384600.0
