Date,Open,High,Low,Close,Volume
2024-09-03,270.7209,271.3154,263.1652,264.1145,211000
2024-09-04,263.6831,265.5816,261.6311,262.9831,252400
2024-09-05,263.2899,263.2899,258.371,259.7805,280600
2024-09-06,260.2887,264.8528,257.23,258.1313,203900
2024-09-09,258.4765,259.6367,256.4725,256.7218,287400
2024-09-10,257.4984,257.5943,249.1756,250.1345,473300
2024-09-11,250.2783,250.6427,243.087,247.0183,374600
2024-09-12,246.9511,249.1373,245.1964,247.6511,322200
2024-09-13,248.3894,251.2372,246.4238,250.7865,350600
2024-09-16,253.7877,256.5875,251.3139,254.2959,360700
2024-09-17,251.8796,257.2204,251.592,254.4877,387400
2024-09-18,256.9423,259.4833,254.0658,257.9491,373200
2024-09-19,260.8064,261.1612,256.7793,256.9998,360200
2024-09-20,256.9615,258.956,255.4753,256.5013,2262400
2024-09-23,256.8465,259.2148,256.5971,257.0958,272900
2024-09-24,256.2711,256.2711,245.7718,246.7306,563500
2024-09-25,248.2552,251.3139,246.0402,246.4429,390100
2024-09-26,246.6827,250.2112,246.4813,249.6455,398000
2024-09-27,249.6263,253.0878,246.0019,252.244,233400
2024-09-30,252.244,254.2384,250.7386,253.5001,245900
2024-10-01,253.3179,256.53,248.9072,253.759,349300
2024-10-02,254.2288,255.8205,250.4126,250.7578,239000
2024-10-03,250.2879,250.2879,246.28,246.8553,275700
2024-10-04,248.1784,248.9359,245.3211,247.6703,247600
2024-10-07,246.5964,248.2264,245.1389,245.8293,184900
2024-10-08,247.3826,248.7442,244.8704,247.2963,267900
2024-10-09,246.6155,249.099,245.8389,247.4593,167900
2024-10-10,238.8777,243.298,237.0846,242.4446,351600
2024-10-11,242.6267,248.9168,242.6267,248.7154,227800
2024-10-14,249.0606,251.103,247.3443,250.1058,179700
2024-10-15,250.6811,251.7358,245.6088,248.6579,302400
2024-10-16,248.5812,250.9687,248.4661,249.9331,246700
2024-10-17,250.5085,251.1893,247.9004,251.0934,170300
2024-10-18,252.0905,252.0905,250.1729,250.7673,205200
2024-10-21,252.0043,252.6179,249.0798,250.4893,185700
2024-10-22,249.9619,249.9619,244.9855,246.5292,175700
2024-10-23,246.4238,246.6826,242.6555,245.4649,196100
2024-10-24,244.6499,246.9607,243.5952,244.2184,172400
2024-10-25,246.6539,247.8333,242.1569,243.3842,274100
2024-10-28,243.739,245.5033,242.7993,244.6595,241000
2024-10-29,244.4198,247.4977,242.8281,243.3171,320200
2024-10-30,245.2156,247.4977,239.8269,240.1817,726900
2024-10-31,206.1522,208.3384,176.706,177.3484,2606200
2024-11-01,177.5018,183.6768,177.3963,181.4427,1492500
2024-11-04,181.4139,185.2014,180.5414,183.1782,849600
2024-11-05,183.1399,185.9493,180.1578,185.2877,624400
2024-11-06,197.5225,200.9169,191.779,194.8474,963200
2024-11-07,194.9049,196.0076,188.6916,189.6792,795800
2024-11-08,190.8394,194.9145,190.8394,194.32,431700
2024-11-11,197.3116,199.6704,195.998,198.1266,505200
2024-11-12,198.8745,199.6224,195.5953,196.1802,477500
2024-11-13,195.6145,198.9417,193.8406,195.6049,420900
2024-11-14,195.3747,195.8638,186.6492,187.2917,541100
2024-11-15,186.9752,188.7203,184.348,185.5945,493400
2024-11-18,186.0164,188.9792,184.7891,188.2217,520300
2024-11-19,188.4135,188.8354,183.533,183.7247,584100
2024-11-20,183.8494,184.4247,181.2893,182.4207,521700
2024-11-21,184.0028,187.5505,182.181,187.2629,564200
2024-11-22,187.9341,192.5078,187.4163,190.7627,659000
2024-11-25,191.99,194.0132,189.8901,190.6956,939600
2024-11-26,189.871,191.2517,188.4039,189.8326,573800
2024-11-27,190.2833,193.1598,190.2833,191.1654,595600
2024-11-29,191.3392,193.1444,190.0842,191.0688,271700
2024-12-02,191.1654,191.1654,187.8252,188.0955,537800
2024-12-03,188.1534,188.221,184.0698,185.2283,471300
2024-12-04,184.8807,188.0762,183.9057,186.2226,558700
2024-12-05,186.5412,187.0239,182.0715,182.3418,685100
2024-12-06,183.423,184.7166,181.2605,181.444,608900
