Date,Open,High,Low,Close,Volume
2024-09-03,218.1362,219.0722,213.5459,214.7308,1581400.0
2024-09-04,213.9243,214.2031,212.0722,213.3368,1043000.0
2024-09-05,213.8944,215.5573,212.3709,215.0793,1273900.0
2024-09-06,215.6369,218.5445,211.9826,212.1917,1492800.0
2024-09-09,213.8346,216.5032,213.5658,214.0238,1654300.0
2024-09-10,214.1234,214.3923,208.8958,209.7521,2052400.0
2024-09-11,209.314,211.0665,206.1774,210.6782,2262100.0
2024-09-12,213.048,215.6668,212.4904,215.2088,1811300.0
2024-09-13,215.7763,216.9613,214.8304,215.8958,1241500.0
2024-09-16,217.2202,219.8688,216.3638,217.1704,1845200.0
2024-09-17,218.5644,219.8489,217.0907,219.4407,1403100.0
2024-09-18,221.0538,222.5175,219.1519,220.0381,1982100.0
2024-09-19,224.0709,224.8575,222.2088,224.5787,1599100.0
2024-09-20,224.2103,224.6583,222.6171,223.6825,3133300.0
2024-09-23,223.7721,224.3696,221.0637,223.7024,912000.0
2024-09-24,225.2956,227.5758,224.6782,227.4962,975600.0
2024-09-25,227.7053,227.9642,225.5545,226.4208,1030000.0
2024-09-26,227.9542,232.1861,227.2373,231.9173,1660100.0
2024-09-27,232.7238,234.6655,231.9969,233.3611,1419200.0
2024-09-30,232.6441,233.3511,228.3126,229.5175,2158300.0
2024-10-01,230.573,230.8418,225.5943,228.8504,1948300.0
2024-10-02,227.536,230.6327,226.9485,230.4734,1044000.0
2024-10-03,229.1292,230.1449,227.8945,229.8959,1088300.0
2024-10-04,232.455,233.7096,231.2302,232.7238,1217800.0
2024-10-07,232.5545,233.9585,230.2942,231.509,1359900.0
2024-10-08,232.8433,233.6598,231.2999,233.1918,1108100.0
2024-10-09,233.4806,236.5275,233.4806,235.9699,1343000.0
2024-10-10,235.2629,236.0595,234.1079,234.9443,1035100.0
2024-10-11,234.9941,238.2302,234.9941,237.115,954300.0
2024-10-14,236.1292,237.4834,235.253,236.7466,1117400.0
2024-10-15,236.876,237.9215,234.7352,235.1136,1247100.0
2024-10-16,235.482,237.0752,235.1634,236.4777,1019900.0
2024-10-17,237.7523,238.509,236.7964,237.4536,1129300.0
2024-10-18,238.977,238.977,236.3881,237.7921,1238300.0
2024-10-21,236.9358,237.7822,234.9543,235.94,1141400.0
2024-10-22,237.1249,238.041,235.7707,237.115,1842600.0
2024-10-23,236.4877,236.4877,230.1449,232.5047,2598800.0
2024-10-24,232.1065,235.5915,231.27,234.2075,1601000.0
2024-10-25,236.3085,236.3284,234.0282,235.1036,1055800.0
2024-10-28,236.8959,236.9059,234.5559,236.1591,1417100.0
2024-10-29,235.492,238.9372,235.492,238.1307,1060300.0
2024-10-30,237.573,239.7935,236.876,237.3938,1772800.0
2024-10-31,237.4535,240.2117,233.5403,233.849,1761900.0
2024-11-01,233.849,237.8718,233.849,235.4621,1043100.0
2024-11-04,234.2771,234.7053,231.7081,232.4052,1431000.0
2024-11-05,232.8234,235.5318,232.435,234.6456,1109500.0
2024-11-06,243.8163,248.2971,242.1733,245.3796,2506900.0
2024-11-07,245.3796,246.6741,243.7068,245.1805,1471100.0
2024-11-08,245.4891,248.098,245.2502,246.5944,2392600.0
2024-11-11,248.5262,251.2744,248.0183,249.2929,1229700.0
2024-11-12,248.6257,250.3683,248.0681,249.5318,963900.0
2024-11-13,249.0639,252.9771,248.8547,251.5731,1480300.0
2024-11-14,253.3256,254.7694,248.8946,248.9742,1443200.0
2024-11-15,248.3764,249.8809,246.055,247.4997,1851500.0
2024-11-18,247.2307,248.9344,246.5731,248.1273,1003900.0
2024-11-19,245.3974,249.2632,244.8395,248.8447,941600.0
2024-11-20,249.0839,249.6817,247.2207,249.2233,787500.0
2024-11-21,250.1001,251.485,248.8646,250.9071,1174400.0
2024-11-22,250.937,252.8799,250.3591,252.0728,1290400.0
2024-11-25,254.0755,254.5438,252.1725,252.7005,2023800.0
2024-11-26,252.8002,253.5773,251.0167,252.0728,1108100.0
2024-11-27,250.0403,251.7241,248.8048,249.5023,1489000.0
2024-11-29,250.5385,253.8164,250.2197,252.5112,869400.0
2024-12-02,252.5112,253.4876,248.6953,249.5521,1264800.0
2024-12-03,250.8075,250.947,248.6654,250.1001,1306400.0
2024-12-04,249.861,253.0991,248.8547,253.0791,1192700.0
2024-12-05,253.5374,255.7991,253.0193,254.4541,1430600.0
2024-12-06,254.6832,258.0608,254.6832,257.5128,1676900.0
2024-12-09,257.3933,258.0508,248.9942,249.0838,2133300.0
2024-12-10,251.3954,253.5474,248.6156,252.7902,1164900.0
2024-12-11,255.3807,256.8055,254.1951,256.0084,1260800.0
2024-12-12,256.6759,257.6822,254.6733,254.9622,1145900.0
2024-12-13,255.4803,255.5301,250.6282,251.8337,1183400.0
2024-12-16,250.7378,254.3943,250.668,252.0728,1170700.0
2024-12-17,251.1463,251.9732,248.7849,249.3529,1580900.0
2024-12-18,249.582,251.3156,241.5017,241.6412,1232400.0
2024-12-19,244.3313,246.1746,242.6774,244.8494,1432900.0
2024-12-20,244.3811,251.1363,243.1058,248.506,3064000.0
2024-12-23,246.8421,250.4189,246.1746,249.7913,1041700.0
2024-12-24,249.9407,252.3419,249.2233,252.3319,460700.0
2024-12-26,250.0802,251.9632,250.0802,250.8374,651300.0
2024-12-27,248.2868,250.9271,246.7823,249.0241,1288200.0
2024-12-30,245.7561,248.6455,244.1121,247.2904,1146500.0
2024-12-31,247.7288,249.1237,245.766,246.2542,876700.0
2025-01-02,247.6491,247.8384,243.2453,244.2217,1120800.0
