Date,Open,High,Low,Close,Volume
2024-08-05,191.8845,191.8845,186.5504,189.2127,3960966
2024-08-06,189.2032,191.5528,188.0568,188.3505,3671428
2024-08-07,190.0085,193.2298,187.3083,187.5168,3330599
2024-08-08,187.5167,189.999,187.5167,189.3169,2489805
2024-08-09,188.5684,188.6916,187.1378,187.8105,1910122
2024-08-12,188.0284,188.0663,186.1998,186.4462,3109752
2024-08-13,186.8915,187.0336,185.3282,186.3893,3782812
2024-08-14,185.6977,187.3936,185.2903,187.2136,3511686
2024-08-15,188.4926,189.7054,187.6873,188.0284,2934026
2024-08-16,188.2284,190.1527,187.5044,189.0953,2843887
2024-08-19,189.0572,189.9813,188.4666,189.6097,2068043
2024-08-20,189.5716,191.0101,188.5523,190.5909,3096095
2024-08-21,191.3244,192.2199,190.4195,191.877,1805617
2024-08-22,191.2387,191.8293,189.8765,190.6576,1970316
2024-08-23,192.1342,193.1725,191.3244,192.8867,2982789
2024-08-26,193.9442,195.1159,193.2964,194.1918,1856200
2024-08-27,194.3062,196.5258,194.1061,196.3448,2389650
2024-08-28,196.8211,197.2879,194.1347,195.2874,2366079
2024-08-29,196.5448,198.5358,194.7539,197.6785,2396833
2024-08-30,198.1262,198.8597,195.5731,198.0595,1945834
2024-09-03,197.8118,198.0595,194.4395,195.154,2080891
2024-09-04,195.5446,197.3164,195.4588,195.8018,1759789
2024-09-05,195.4683,195.697,192.1342,193.3631,1529838
2024-09-06,193.3821,193.4774,188.4761,188.7428,2570333
2024-09-09,190.5052,192.1437,189.7145,191.6293,2327231
2024-09-10,190.81,191.6484,189.162,191.4292,1411675
2024-09-11,191.3245,194.6777,188.0093,194.3728,2769631
2024-09-12,194.2776,195.2778,192.3057,194.973,1967382
2024-09-13,194.7825,195.878,193.9156,194.4776,1996316
2024-09-16,196.24,197.145,194.0775,194.9825,1580421
2024-09-17,195.2874,195.9923,193.9061,194.5634,1458414
2024-09-18,194.5634,195.0206,191.0863,192.0865,2419292
2024-09-19,194.4871,195.8018,192.601,194.0489,2726635
2024-09-20,194.1347,194.1347,192.3914,193.7155,3874469
2024-09-23,194.3443,194.3824,193.0106,194.1156,2290204
2024-09-24,194.1156,196.24,193.0868,195.5446,2611812
2024-09-25,196.4305,197.9166,195.535,196.983,2891435
2024-09-26,197.8785,198.6215,196.7734,197.2212,1616638
2024-09-27,197.6689,200.8602,197.3164,197.7927,2482926
2024-09-30,198.2405,198.9073,194.5538,196.9163,2655010
2024-10-01,196.6496,198.1452,195.1254,196.3067,2327130
2024-10-02,195.8304,196.2876,194.0108,194.2204,1863282
2024-10-03,192.9058,193.9251,192.0485,193.2678,2071482
2024-10-04,194.8777,195.3636,192.0866,194.1252,1662669
2024-10-07,192.6295,194.6491,192.1627,193.6965,1822411
2024-10-08,198.8025,199.7456,194.1347,197.1926,4180598
2024-10-09,197.2116,203.8895,197.0973,203.5752,5141881
