Date,Open,High,Low,Close,Volume
2024-09-16,30.3475,30.951,30.3018,30.8687,7775900
2024-09-17,31.1338,31.9202,31.079,31.4813,10054200
2024-09-18,31.6367,31.9842,31.3624,31.5727,7077800
2024-09-19,32.0939,32.2036,31.8196,31.8379,7466700
2024-09-20,31.7373,31.9293,31.4447,31.783,37215900
2024-09-23,31.8105,32.2219,31.6642,32.1031,7951700
2024-09-24,32.2402,32.8071,32.2311,32.7705,6576900
2024-09-25,32.9168,33.2917,32.8528,32.9626,6622000
2024-09-26,33.3557,33.7672,32.9808,33.694,6278200
2024-09-27,32.6974,32.99,32.1031,32.3774,9961700
2024-09-30,32.4597,32.9077,32.4597,32.798,8303700
2024-10-01,32.0391,32.1762,31.2253,31.783,10361100
2024-10-02,31.8105,32.4414,31.5087,32.1671,8804100
2024-10-03,32.0665,32.5602,31.9842,32.5511,7227100
2024-10-04,32.9168,33.0174,32.5145,32.9077,5116900
2024-10-07,32.8894,33.1271,32.6608,32.8345,4302100
2024-10-08,32.734,33.0631,32.1945,32.9168,8667100
2024-10-09,32.8986,33.6666,32.7888,33.4472,5376400
2024-10-10,33.4289,33.7032,33.3009,33.6026,4763400
2024-10-11,33.7763,34.2701,33.7032,33.8403,5832200
2024-10-14,33.8312,34.2609,33.7489,34.2335,5060100
2024-10-15,34.3341,34.7181,33.694,33.8038,6502100
2024-10-16,33.8678,34.0964,33.8678,33.9958,3413800
2024-10-17,34.0964,34.6267,33.8861,34.3615,7099600
2024-10-18,34.4712,34.5718,33.9775,34.0872,4726600
2024-10-21,34.1421,34.3341,33.3283,33.3374,5593900
2024-10-22,33.2094,33.2551,32.8254,33.1271,4919200
2024-10-23,32.926,33.1729,32.5237,32.7797,4664800
2024-10-24,32.8711,33.4014,32.5968,33.3466,5931100
2024-10-25,33.3557,34.0689,33.3557,33.7215,5018400
2024-10-28,33.8312,34.4164,33.8038,34.2152,5286100
2024-10-29,34.2244,34.2244,33.8678,33.8861,4937600
2024-10-30,33.8678,34.0689,33.4014,33.4106,5687600
2024-10-31,33.246,33.2917,32.3591,32.4779,6620900
2024-11-01,32.4505,33.4472,32.4505,33.1729,6360400
2024-11-04,33.1637,33.3374,32.734,32.9077,9533900
2024-11-05,32.9168,33.5203,32.862,33.502,4162800
2024-11-06,34.2335,34.3158,32.8163,33.7489,9571100
2024-11-07,33.6575,34.3798,33.5752,34.1421,5801700
2024-11-08,34.0141,34.1238,33.5386,33.6666,5489400
2024-11-11,33.8221,35.3582,33.6483,34.4438,10160600
2024-11-12,34.2427,34.6815,33.9226,33.9318,6793800
2024-11-13,33.9592,34.0506,33.5843,33.6575,6087800
2024-11-14,33.694,33.9226,33.3466,33.3649,6044500
2024-11-15,33.2643,33.7763,33.2186,33.5752,7278600
2024-11-18,33.758,34.4987,33.694,34.2244,7623800
2024-11-19,33.8952,34.0506,33.5569,33.7123,4665400
2024-11-20,33.7123,33.8129,33.3009,33.5386,4929000
2024-11-21,33.6209,34.709,33.5843,34.6633,5969400
2024-11-22,34.709,35.3399,34.6358,34.8644,6961100
2024-11-25,35.1936,36.3914,34.9467,35.9342,14160200
2024-11-26,35.8885,36.2268,35.605,35.7513,12112400
2024-11-27,33.4289,34.2884,30.6584,31.6916,27423800
2024-11-29,31.3167,32.8071,31.3167,32.3957,8300900
2024-12-02,32.6883,33.4655,32.2036,33.3283,11320900
2024-12-03,33.2643,33.7581,32.8163,33.6392,7311400
2024-12-04,33.7306,33.7672,32.8803,33.246,8736000
2024-12-05,33.4472,33.4837,32.9443,33.0723,8251100
2024-12-06,33.3283,33.4654,32.8254,33.0997,6583500
2024-12-09,33.1729,33.6575,33.0266,33.3283,6308200
2024-12-10,33.054,33.1637,31.911,31.9476,8015800
2024-12-11,32.1311,32.1772,31.6701,31.8545,8183400
2024-12-12,31.7807,32.3985,31.5871,32.251,5143600
2024-12-13,32.3247,32.3432,31.6701,31.8545,5101500
2024-12-16,31.7162,32.0666,31.3935,31.5226,8182200
2024-12-17,30.9049,31.6793,30.7297,31.1999,8290800
2024-12-18,31.329,31.4119,29.9091,29.9552,10393100
2024-12-19,30.029,30.5545,29.7524,29.9276,7615500
2024-12-20,29.7708,30.6006,29.6325,30.3701,17752800
2024-12-23,30.2779,30.6651,30.1027,30.6375,5241600
2024-12-24,30.7297,30.8588,30.5822,30.8311,2128100
2024-12-26,30.7389,31.0247,30.6744,30.8219,3061100
2024-12-27,30.6928,30.785,30.3978,30.6836,4423500
2024-12-30,30.2779,30.3056,29.6971,30.0843,4242800
2024-12-31,30.2687,30.3517,29.9091,30.0843,4126600
2025-01-02,30.1396,30.2687,29.7616,29.9368,4660500
2025-01-03,30.2687,30.5637,30.0382,30.5545,5451500
2025-01-06,30.9141,31.5041,30.8034,31.2276,7757500
2025-01-07,31.3658,31.7623,30.8403,31.0432,5343700
2025-01-08,30.8864,30.9325,30.4254,30.8403,4891900
2025-01-10,30.5268,30.8403,30.324,30.6098,6222500
2025-01-13,30.5084,30.5084,29.9368,30.0751,7062900
2025-01-14,30.3332,30.5637,29.8446,30.1212,5518000
2025-01-15,30.7666,30.9325,30.1488,30.2318,7227000
2025-01-16,30.1673,30.1765,29.8169,29.8261,7973500
2025-01-17,30.1673,30.4254,29.9644,29.9737,8455700
2025-01-21,29.8907,30.407,29.7063,30.3793,7758200
2025-01-22,30.4623,30.951,30.2779,30.5453,5184300
2025-01-23,30.4992,30.9141,30.2041,30.7758,4623500
2025-01-24,30.8956,30.9049,30.0843,30.1765,4048900
2025-01-27,29.9921,30.7573,29.7893,30.7297,10177000
2025-01-28,30.6006,30.6098,29.7708,30.1857,5955800
2025-01-29,30.4715,30.4807,30.0198,30.0659,4039400
2025-01-30,30.4439,30.4992,30.1396,30.241,3611700
2025-01-31,30.407,30.7297,29.8907,29.9644,6178700
2025-02-03,29.2361,29.8538,28.6276,29.5034,8205500
2025-02-04,29.4666,29.8354,29.3006,29.5127,5050600
2025-02-05,29.5127,30.0382,29.5127,30.029,5517900
2025-02-06,30.0474,30.1857,29.863,30.0566,6197100
2025-02-07,30.2871,30.3978,29.6325,29.7524,4382900
2025-02-10,30.0474,30.5176,29.8538,30.2595,5424200
2025-02-11,30.112,30.6928,29.9829,30.5637,4384500
2025-02-12,30.2687,30.6559,29.9737,30.4623,4312300
2025-02-13,30.5176,30.7389,30.3424,30.702,5393300
2025-02-14,30.7758,31.1722,30.7389,31.0155,4183400
2025-02-18,31.2276,31.5595,30.9786,31.5318,5309500
2025-02-19,31.5226,32.1403,31.4304,31.9744,5666000
2025-02-20,32.1311,32.1772,31.6978,32.0112,5006900
2025-02-21,32.1864,32.2233,31.79,31.9283,7214100
2025-02-24,32.1219,32.5275,31.9651,31.9651,7142600
2025-02-25,32.0666,32.2786,31.3566,31.4396,7036100
2025-02-26,31.3198,31.412,30.9694,31.1907,7037800
2025-02-27,31.0616,31.2552,30.5268,30.5453,10360100
2025-02-28,28.9779,28.9779,27.641,28.4616,23233200
2025-03-03,28.6552,28.9779,27.5765,27.6964,8299700
2025-03-04,27.5857,27.7793,26.9035,27.0049,9602500
2025-03-05,27.1985,27.4843,26.9035,27.2169,8940100
2025-03-06,26.968,27.6779,26.9588,27.6318,10136400
2025-03-07,27.5027,28.2219,27.3183,28.1574,10995500
2025-03-10,27.9453,28.1205,27.2907,27.641,8851100
2025-03-11,27.5027,27.5581,26.341,26.3871,10783600
2025-03-12,26.5539,26.6284,25.9112,26.5166,9173400
2025-03-13,26.5446,26.8705,25.7715,25.995,6882700
2025-03-14,26.3117,26.5818,26.1906,26.4607,5385800
2025-03-17,26.4514,26.973,26.4328,26.9264,6395200
2025-03-18,26.7867,26.8892,26.5818,26.7308,5001500
2025-03-19,26.824,27.0196,26.5352,26.7867,7905700
