Date,Open,High,Low,Close,Volume
2024-09-04,368.2412,369.8799,360.1257,365.5588,441828
2024-09-05,364.164,364.3201,355.8339,361.3158,428210
2024-09-06,366.0465,371.4991,357.892,361.8132,381357
2024-09-09,364.8078,371.0212,363.3349,368.8265,374660
2024-09-10,371.6358,371.6358,364.2177,370.8164,216044
2024-09-11,371.7528,384.5386,364.6907,383.214,440598
2024-09-12,382.9799,390.6906,381.3461,389.3689,377673
2024-09-13,392.8219,398.772,392.1196,394.685,351497
2024-09-16,396.7333,399.5133,391.1213,398.772,345050
2024-09-17,399.9035,403.7174,393.5974,401.1813,399973
2024-09-18,404.8001,408.1555,399.3377,399.7864,427543
2024-09-19,408.7018,414.1154,401.2594,412.1548,430424
2024-09-20,408.5164,417.0221,408.1555,415.5395,690423
2024-09-23,416.6807,422.3894,412.701,416.1052,258181
2024-09-24,415.6077,418.2609,409.6089,414.4177,322846
2024-09-25,417.978,417.978,410.36,413.7057,456953
2024-09-26,420.0459,422.026,414.2324,417.4318,308496
2024-09-27,418.2609,422.304,416.6791,417.9488,299122
2024-09-30,416.2759,420.9433,414.9054,417.822,468445
2024-10-01,418.4852,419.9093,411.3841,416.788,281742
2024-10-02,412.8863,418.0658,411.7841,417.1879,327289
2024-10-03,417.1196,418.3779,411.8523,415.4321,257177
2024-10-04,421.5675,421.5675,415.9101,419.1582,261580
2024-10-07,415.3834,428.3662,414.1348,427.6542,491275
2024-10-08,429.6441,431.4876,425.2839,430.2683,330107
2024-10-09,431.9558,438.7447,430.161,438.3643,398928
2024-10-10,425.7716,433.7603,421.0116,432.5508,456074
2024-10-11,432.463,445.7678,432.463,445.3484,326409
2024-10-14,446.5091,450.401,443.8901,449.1818,264371
2024-10-15,450.4205,450.4205,438.3741,440.2957,385197
2024-10-16,443.1049,446.1384,441.1345,442.9,313610
2024-10-17,446.9383,448.3039,441.0857,446.2652,277750
2024-10-18,447.7967,449.2501,443.456,445.5825,450937
2024-10-21,447.7966,447.7966,443.0171,445.4752,150627
2024-10-22,441.4271,442.0367,436.0623,437.3499,209942
2024-10-23,436.7257,438.7253,429.6977,433.7896,273657
2024-10-24,433.8871,440.6663,432.4679,439.1154,338220
2024-10-25,442.8805,442.8805,432.3947,433.5945,376674
2024-10-28,438.8618,442.7732,437.7645,438.618,598695
2024-10-29,414.2032,432.7655,409.7845,429.3027,653335
2024-10-30,425.8009,431.6095,419.168,421.0506,469699
2024-10-31,417.5098,419.3534,412.8961,416.5344,447984
2024-11-01,414.33,417.4806,409.1798,415.2372,539193
2024-11-04,414.0666,420.241,411.9499,414.4763,333001
2024-11-05,418.3682,429.4978,418.3682,428.8345,365969
2024-11-06,448.0698,469.5144,440.042,460.5161,783561
2024-11-07,460.4186,463.5595,454.3125,455.5025,483089
2024-11-08,456.4974,456.9558,452.3031,456.4291,387617
2024-11-11,459.848,462.2329,451.0838,454.5563,535536
2024-11-12,454.1173,454.371,439.3202,440.9199,483872
2024-11-13,443.2122,446.8993,440.3054,442.6367,539228
2024-11-14,441.6905,442.0417,428.7077,429.2734,365660
2024-11-15,428.2102,434.009,426.6445,426.8543,403882
2024-11-18,427.781,437.6913,424.4938,433.9944,550768
2024-11-19,429.7416,443.9145,429.5709,441.2516,433777
