Date,Open,High,Low,Close,Volume
2024-08-12,92.6775,93.0755,91.7619,92.3789,2236500
2024-08-13,92.9462,93.5034,92.1799,93.4636,3058900
2024-08-14,93.5034,94.608,92.4884,93.4238,1983100
2024-08-15,94.7872,95.3743,93.4537,95.1156,2144700
2024-08-16,95.036,95.7525,94.7275,95.3544,1351000
2024-08-19,95.1155,95.9813,94.9364,95.9017,1971400
2024-08-20,95.9813,96.2401,94.4588,95.1653,1367800
2024-08-21,95.3345,96.1406,95.0857,95.7923,1322900
2024-08-22,95.7823,96.6182,95.6032,96.0808,1437600
2024-08-23,96.3296,97.0959,95.9415,96.6083,1158200
2024-08-26,96.4391,97.3845,96.1107,96.1704,1677200
2024-08-27,95.9216,96.7177,94.9563,96.4789,1961800
2024-08-28,97.076,97.6731,95.7126,96.051,1947400
2024-08-29,96.3694,97.275,95.1952,96.4888,1949300
2024-08-30,96.6879,97.0163,94.8469,96.1903,3188800
2024-09-03,96.6879,97.4243,92.0008,92.568,3271300
2024-09-04,92.4486,94.2498,92.1301,93.8915,2147700
2024-09-05,93.6229,94.3493,92.5979,93.7522,3001800
2024-09-06,93.5432,93.6925,90.2792,90.9957,4137000
2024-09-09,92.6476,94.1602,92.0804,93.2348,1803400
2024-09-10,93.6328,93.6328,91.752,92.6974,2120900
2024-09-11,92.7272,93.792,90.5877,93.6328,1440600
2024-09-12,93.6427,94.6478,93.1452,93.7721,1842300
2024-09-13,93.0457,95.5037,92.3192,94.817,2815600
2024-09-16,95.2449,96.0809,93.6726,94.6777,2284500
2024-09-17,94.7772,94.7971,93.0556,94.1304,2040800
2024-09-18,94.4787,95.4937,93.802,94.2199,1714700
2024-09-19,96.4689,97.0461,94.9961,96.9566,2520100
2024-09-20,96.7774,97.8124,96.051,96.9765,6550200
2024-09-23,97.066,98.4891,96.7575,98.1507,2082900
2024-09-24,98.1408,99.116,97.5636,98.8374,3043100
2024-09-25,99.1658,100.0216,98.8971,99.2354,1547400
2024-09-26,99.8027,100.1311,98.5388,98.8175,1454600
2024-09-27,98.8175,99.2255,98.1109,98.7279,1543600
2024-09-30,98.0711,99.8823,97.3845,99.7629,2004900
2024-10-01,99.4942,101.2058,98.4194,100.4296,2084300
2024-10-02,100.4495,101.6337,99.5439,100.7978,1762900
2024-10-03,100.9869,101.7631,99.6534,100.2604,2418700
2024-10-04,101.3153,102.4995,100.5391,101.5342,2063100
2024-10-07,101.2556,102.8777,100.8973,102.3303,1778800
2024-10-08,103.3255,103.7335,102.4398,102.4896,1494300
2024-10-09,102.609,103.5942,102.1014,103.1961,1498000
2024-10-10,102.798,102.8279,101.1262,101.6039,1460700
2024-10-11,101.6636,103.9126,101.6437,103.3155,1624000
2024-10-14,103.3155,103.5046,101.7034,102.1512,2571700
2024-10-15,102.4,103.7832,101.7133,103.4051,2479600
2024-10-16,103.5046,104.9376,103.415,104.7983,1511000
2024-10-17,105.5048,106.2213,105.067,105.6939,2450600
2024-10-18,106.2412,106.2412,104.231,105.0272,1706500
2024-10-21,105.5944,106.4104,105.2063,105.8034,1724400
2024-10-22,105.0371,105.3157,101.3352,102.1512,2807700
2024-10-23,102.191,103.3056,102.0019,102.3303,1851400
2024-10-24,99.7131,101.574,98.6682,100.1311,1983300
2024-10-25,100.5092,101.3451,100.1908,100.8973,1397900
2024-10-28,101.584,102.1014,100.8177,101.8825,2230900
2024-10-29,100.5689,100.7282,98.3498,99.6036,2844600
2024-10-30,99.6136,100.8575,99.325,100.6485,3434800
2024-10-31,100.3699,100.9869,98.6185,99.2354,2673600
2024-11-01,100.1112,100.5092,99.3151,99.5439,1523000
2024-11-04,99.6733,100.559,98.917,99.3549,1728600
2024-11-05,99.8027,101.6636,99.4146,101.6636,2556900
2024-11-06,110.5104,114.8193,105.664,114.3019,5796300
2024-11-07,113.7944,114.4412,110.6,110.6796,2607800
2024-11-08,111.536,113.6074,110.5501,113.1792,2012900
2024-11-11,114.7725,115.4995,113.5675,114.2049,1534500
2024-11-12,114.5236,115.0315,111.8547,113.1095,2177200
2024-11-13,114.2447,116.107,113.697,115.2904,2331700
2024-11-14,115.2904,116.2564,111.9742,112.7509,2687700
2024-11-15,111.8348,112.6115,110.6796,111.546,2221700
2024-11-18,111.5758,112.97,111.2671,112.7011,1817400
2024-11-19,112.7211,115.5493,112.5319,115.5194,2488800
2024-11-20,116.585,117.7103,114.6132,117.6107,3650100
2024-11-21,117.6107,118.7858,116.4555,116.4954,2592700
2024-11-22,117.3817,118.3078,115.8879,117.9493,5093300
2024-11-25,117.1028,117.8497,114.5833,115.3601,2907200
2024-11-26,115.5194,117.073,115.4298,116.6945,1947700
2024-11-27,116.6846,117.073,115.3601,116.2165,1766600
2024-11-29,117.7501,118.4074,116.8937,117.8896,1352000
2024-12-02,118.1983,118.1983,116.8041,117.2024,2926400
2024-12-03,117.7601,118.9053,117.1526,118.6165,2251700
2024-12-04,118.6165,119.7419,118.3178,119.5925,2313300
2024-12-05,119.5029,120.2,118.756,119.5726,2472500
2024-12-06,119.6024,120.2099,117.0829,117.8199,1912900
2024-12-09,117.2721,117.7103,112.4323,113.2787,3015100
2024-12-10,113.2887,114.7825,113.0497,113.6074,2009100
2024-12-11,114.9418,115.8481,114.4339,115.5991,2399400
2024-12-12,115.6688,115.9078,113.229,113.229,2119100
2024-12-13,113.7667,114.3244,112.6514,112.9601,1565500
2024-12-16,113.5277,113.8364,112.0937,112.8107,1917600
2024-12-17,111.526,112.1136,110.0621,111.4663,2764700
2024-12-18,111.7352,111.8447,107.0845,107.2439,2448500
2024-12-19,109.1161,110.341,108.0804,108.897,2915800
2024-12-20,107.8812,110.9285,107.8812,110.3708,5806200
2024-12-23,109.5742,110.3211,108.4289,110.082,1537000
2024-12-24,110.092,111.6356,109.604,111.5758,616900
2024-12-26,111.1875,112.2231,110.5103,112.0638,755300
2024-12-27,111.2372,112.0539,109.7634,110.7692,1363200
2024-12-30,108.8771,110.3011,107.7119,109.8231,1199800
2024-12-31,110.1717,110.3111,108.419,108.9169,1330300
2025-01-02,109.7434,111.9941,109.0464,110.331,2068800
2025-01-03,110.7094,113.209,110.1318,112.2929,2132600
2025-01-06,113.2489,113.8862,111.526,112.0041,2115600
2025-01-07,112.0538,112.4124,109.3352,111.1974,2574400
2025-01-08,111.3468,114.6829,110.6497,114.5734,2318800
2025-01-10,113.3285,114.2547,112.0538,112.1733,2474000
2025-01-13,110.5401,114.5136,110.331,114.2746,2205600
2025-01-14,115.7983,118.7858,115.3203,118.6962,3202300
2025-01-15,122.3012,123.6357,119.951,121.3551,4736700
2025-01-16,122.4904,123.0382,120.9767,122.4705,2895900
2025-01-17,123.5162,125.7369,122.1917,124.7809,3921400
2025-01-21,127.1212,128.5652,125.6075,126.6332,3341000
2025-01-22,127.4996,127.7983,125.3187,126.1851,2605800
2025-01-23,126.9319,128.5652,126.4041,127.2108,3093100
2025-01-24,126.4739,127.0216,125.717,126.5037,2102600
2025-01-27,122.1917,124.2033,119.3933,121.5742,3448800
2025-01-28,124.0041,126.1153,123.4863,125.8863,3629400
2025-01-29,125.8564,126.6232,125.2589,125.8365,1958700
2025-01-30,126.3942,127.2207,124.99,126.8423,2419400
2025-01-31,127.4697,127.7784,125.4083,126.0556,2361100
2025-02-03,123.8348,126.5237,122.9884,125.8564,1907500
2025-02-04,126.8722,127.1411,124.2232,124.9602,1901100
2025-02-05,125.7071,127.7585,125.3286,127.2705,1838600
2025-02-06,127.4697,128.4656,126.4938,128.4656,2342600
2025-02-07,128.8243,129.2529,126.9108,127.2696,1560700
2025-02-10,127.9872,128.2961,126.2929,127.7679,1759900
2025-02-11,127.9474,129.1333,126.3826,128.8842,1522400
2025-02-12,127.2596,129.512,127.1799,127.6583,3334400
2025-02-13,125.2166,128.2563,122.3064,127.6483,4829400
2025-02-14,128.4357,133.4687,126.4623,132.9703,4278500
2025-02-18,135.7908,136.9469,133.648,136.2094,3219000
2025-02-19,136.0699,140.0763,136.0699,138.9202,2902900
2025-02-20,138.8305,139.0598,134.6646,137.9734,3030100
2025-02-21,138.3023,138.402,129.1034,129.3924,3518800
2025-02-24,130.9372,132.7611,127.2497,129.1234,3562500
2025-02-25,129.522,131.1664,126.263,129.7911,2614800
2025-02-26,131.1864,134.7742,130.7379,131.5352,2720300
2025-02-27,133.08,135.133,131.3957,132.9703,2760100
2025-02-28,132.9404,136.3091,132.1531,136.1396,4362900
2025-03-03,137.4651,138.7807,130.4289,130.5784,3224100
2025-03-04,127.2297,129.5021,122.6153,126.5919,5528600
2025-03-05,127.1799,131.2761,126.3527,129.8609,3285000
2025-03-06,127.1799,128.6848,123.313,124.0704,3090100
2025-03-07,123.0439,124.5887,118.6288,123.9808,5132400
2025-03-10,120.5922,122.8944,119.9145,121.8978,4430500
2025-03-11,122.0572,126.4623,121.9675,125.077,4067200
2025-03-12,128.5652,128.934,124.6684,127.4988,2474000
2025-03-13,126.572,127.5686,121.1902,122.3562,3882500
2025-03-14,124.5787,126.3228,122.715,126.0836,2564100
2025-03-17,125.2763,129.7113,124.8877,128.8343,2275600
2025-03-18,127.7081,128.5653,123.921,127.8178,2595500
2025-03-19,128.4456,132.5518,128.3161,131.5352,2427200
2025-03-20,129.8808,132.9105,129.4622,131.2262,2075000
2025-03-21,130.7279,131.0967,128.3759,130.409,3841400
2025-03-24,132.8209,136.03,131.9339,135.6413,2406600
2025-03-25,136.0898,137.3456,134.4454,137.2559,2661600
2025-03-26,137.4054,137.5947,133.379,133.6879,2732000
2025-03-27,133.1298,134.2261,130.2894,131.9837,1543000
2025-03-28,131.1864,132.5617,128.1068,129.2529,1945700
2025-03-31,127.0304,130.2296,123.7515,129.2928,3282000
2025-04-01,128.4955,131.5452,127.5886,131.3359,2241400
2025-04-02,128.7347,133.678,128.5653,133.4487,1749400
2025-04-03,127.3693,129.5619,124.3794,124.5787,2372600
2025-04-04,115.5592,116.8249,109.0512,111.9514,6664400
2025-04-07,107.048,118.8481,104.686,115.3898,5805500
2025-04-08,121.818,122.5356,112.3102,114.2337,4241900
2025-04-09,112.8982,129.0237,111.7023,127.6583,5275000
2025-04-10,124.4591,127.0205,119.9344,123.7714,3076400
2025-04-11,122.9542,125.9242,121.5191,125.2465,2036000
2025-04-14,128.0171,128.645,125.8345,127.0304,2011400
2025-04-15,123.1834,126.1434,122.6353,124.0505,3606700
2025-04-16,123.4824,125.8743,121.838,123.5123,2864000
2025-04-17,123.1635,124.7182,122.5456,122.8147,2189000
2025-04-21,122.0772,122.5755,117.692,119.0674,2008200
2025-04-22,120.8812,124.5986,120.662,123.8811,2234600
2025-04-23,128.7546,131.8641,127.0802,129.2629,2931400
2025-04-24,128.8443,133.8872,128.8443,133.0401,2224200
2025-04-25,133.8474,136.0001,133.2893,135.3024,1603300
2025-04-28,137.804,139.1395,134.6048,135.8905,2878600
2025-04-29,135.5416,137.9435,135.2925,137.0366,2450100
2025-04-30,134.6447,138.5016,134.3557,138.113,3140900
2025-05-01,145.9664,149.9729,144.2223,147.5311,4819600
2025-05-02,149.7038,154.2085,149.7038,153.5508,3651800
2025-05-05,152.5541,155.0656,152.305,153.8198,1881900
2025-05-06,150.81,156.2715,150.1223,155.2749,2646400
2025-05-07,155.1055,156.8994,153.7899,156.5905,2908100
2025-05-08,158.1552,158.504,156.5207,156.9692,2806200
2025-05-09,157.4678,158.5349,154.2965,156.9792,2232500
2025-05-12,160.1804,161.1377,155.1841,156.5304,4990400
2025-05-13,156.1913,159.7017,154.7951,157.8667,3635300
2025-05-14,158.3554,160.3898,157.6872,159.0235,3504800
2025-05-15,158.5648,161.2774,158.5648,160.8485,4660500
2025-05-16,160.689,162.4641,160.1505,162.3544,1839400
2025-05-19,162.0552,165.9246,159.961,165.785,2585400
2025-05-20,165.2864,166.0443,163.6309,164.6481,1836100
2025-05-21,163.8902,165.2464,161.7161,162.3145,1858600
2025-05-22,162.1151,163.9002,161.0879,162.5638,2073200
2025-05-23,161.1378,165.5756,159.572,164.6381,2045900
2025-05-27,166.8122,169.3452,166.6825,169.2255,2845100
2025-05-28,169.2854,171.0505,168.8865,169.8538,2781500
2025-05-29,169.6444,170.8311,167.8294,169.6244,3285500
2025-05-30,169.076,170.3225,167.4404,169.425,4750300
2025-06-02,169.7741,172.2871,169.4549,172.1774,2287800
2025-06-03,172.0877,174.1819,169.7042,172.1375,2764300
2025-06-04,172.8257,174.7803,172.2871,173.4639,2118700
2025-06-05,174.5011,174.9598,172.706,174.531,1984500
2025-06-06,175.3587,176.7649,174.1221,174.89,1655800
2025-06-09,176.0867,176.3859,172.3171,172.3968,2277600
2025-06-10,171.0306,172.9354,166.4133,168.1585,5076900
2025-06-11,168.6072,171.6289,165.057,170.2727,2979900
2025-06-12,168.2183,171.5492,168.0388,171.0506,2280600
2025-06-13,170.4522,172.0777,169.6344,170.7314,2418300
2025-06-16,172.317,173.9127,170.8211,171.1303,2340000
2025-06-17,171.0007,172.4467,170.4023,171.6489,1965400
2025-06-18,171.5392,173.1548,169.4649,169.7641,2343400
2025-06-20,171.24,172.9852,168.5973,172.8656,4597400
2025-06-23,172.4268,175.2989,171.9182,175.1493,2427100
2025-06-24,176.5155,177.0142,173.3043,176.0867,2509400
2025-06-25,177.2435,178.2009,174.8002,175.598,2692900
2025-06-26,178.0912,178.8292,175.3687,176.366,4390800
