Date,Open,High,Low,Close,Volume
2024-08-20,153.7827,154.1245,152.7966,154.0268,2029100
2024-08-21,154.0366,154.7201,153.2555,154.3783,2179700
2024-08-22,154.3783,154.9544,153.6851,154.8568,2288800
2024-08-23,155.2278,156.4678,155.1204,156.2335,2665200
2024-08-26,156.7217,157.3075,156.0968,156.5264,926000
2024-08-27,156.7022,157.6785,155.9699,156.8096,1344700
2024-08-28,157.0048,158.1472,156.4288,156.9755,2341500
2024-08-29,156.9755,157.4735,156.3018,156.4385,2119800
2024-08-30,156.6826,157.9422,156.1749,157.7371,3067700
2024-09-03,157.6297,158.5671,156.4385,157.6297,2556000
2024-09-04,157.8153,158.9186,157.3857,158.5964,2320700
2024-09-05,158.3523,159.0748,157.2489,158.7624,1905500
2024-09-06,159.1236,159.8462,155.9406,156.7021,2902200
2024-09-09,157.62,158.9577,157.1513,157.8836,3669100
2024-09-10,158.3132,158.9185,157.2001,158.1472,2008500
2024-09-11,157.4637,157.7176,154.1537,156.2139,3072500
2024-09-12,156.2725,157.7371,155.8722,157.3368,4332200
2024-09-13,157.5126,157.8152,156.9072,157.5516,2418700
2024-09-16,158.0901,159.412,157.8845,158.5307,1681500
2024-09-17,158.4133,159.8624,158.3349,159.412,2319400
2024-09-18,159.4119,159.8623,157.7768,157.8551,2917100
2024-09-19,158.7951,159.0007,154.6534,155.5542,4459100
2024-09-20,155.7011,156.5137,154.9275,156.5039,4843400
2024-09-23,156.5039,157.6202,156.0731,156.6116,1639300
2024-09-24,156.2983,156.455,154.1932,155.4367,2826700
2024-09-25,155.5934,156.4648,155.2017,156.1221,2827100
2024-09-26,156.2396,156.9739,154.5555,154.8198,3239900
2024-09-27,154.9667,155.9654,154.4478,155.3094,3329500
2024-09-30,155.6325,157.4243,154.9178,157.2872,1760300
2024-10-01,157.7083,158.7364,155.9948,157.7768,3076900
2024-10-02,157.1698,157.7866,156.2885,157.5614,1982900
2024-10-03,157.7768,159.9407,157.3264,159.8526,2585800
2024-10-04,160.1561,160.7534,159.0889,159.363,2233000
2024-10-07,158.8343,159.1476,155.9067,156.2102,2688600
2024-10-08,157.581,158.8636,157.0425,158.707,2006500
2024-10-09,158.6189,159.4511,158.3251,158.3643,1808500
