Date,Open,High,Low,Close,Volume
2024-08-12,481.31,483.89,477.25,479.93,326100
2024-08-13,483.0,492.08,483.0,487.82,531500
2024-08-14,485.51,485.73,466.76,474.94,542700
2024-08-15,479.85,491.3,474.19,485.52,616200
2024-08-16,483.47,495.63,479.72,492.26,590400
2024-08-19,493.8,498.34,489.42,496.99,366400
2024-08-20,496.99,503.6,492.73,494.01,334400
2024-08-21,495.82,497.22,491.03,494.99,303500
2024-08-22,497.39,497.94,489.51,491.73,252500
2024-08-23,495.71,497.54,487.6,488.13,255500
2024-08-26,489.99,491.51,482.4,484.07,279600
2024-08-27,483.47,485.88,480.26,482.56,278600
2024-08-28,481.03,487.33,480.19,481.48,276600
2024-08-29,485.46,492.67,483.4,487.28,395400
2024-08-30,489.37,491.21,476.56,481.33,406300
2024-09-03,475.91,481.88,467.81,469.01,437500
2024-09-04,468.3,473.12,466.11,471.29,276000
2024-09-05,471.13,472.41,465.53,469.18,278700
2024-09-06,469.78,477.53,467.31,472.35,433000
2024-09-09,476.98,485.13,475.69,480.34,449500
2024-09-10,481.11,496.79,481.11,495.95,476700
2024-09-11,494.84,494.84,475.62,490.26,359300
2024-09-12,490.26,497.22,481.2,497.04,293500
2024-09-13,497.35,508.07,495.6,500.55,321900
2024-09-16,505.05,512.1,503.76,511.38,296100
2024-09-17,513.27,519.54,511.47,512.27,405900
2024-09-18,512.27,521.73,505.72,511.3,360500
2024-09-19,523.81,530.6,515.68,517.06,333800
2024-09-20,515.32,515.32,504.47,506.74,688900
2024-09-23,509.2,510.31,502.24,507.66,364500
2024-09-24,508.07,511.83,505.2,506.38,323800
2024-09-25,508.47,508.95,496.45,497.76,301600
2024-09-26,503.96,509.24,500.72,509.03,366500
2024-09-27,514.76,518.97,509.47,511.78,279200
2024-09-30,510.74,512.62,500.16,505.22,390300
2024-10-01,505.22,505.52,493.27,495.42,339000
2024-10-02,495.01,495.01,484.58,485.97,408100
2024-10-03,481.63,484.01,477.29,483.52,379500
2024-10-04,489.56,492.41,475.0,477.67,468700
2024-10-07,474.49,475.45,468.05,472.41,395000
2024-10-08,472.66,478.92,470.27,475.53,436900
2024-10-09,473.21,480.64,470.47,474.65,347100
2024-10-10,468.0,473.9,465.16,473.28,344400
2024-10-11,474.92,484.61,474.92,476.27,490800
2024-10-14,478.0,479.58,474.33,478.0,512400
2024-10-15,478.37,486.87,473.02,473.92,607200
2024-10-16,474.54,474.54,460.36,463.89,991100
2024-10-17,466.6,467.95,458.05,460.01,552200
2024-10-18,458.8,460.87,453.17,457.74,747300
2024-10-21,456.02,457.5,447.84,453.38,993600
2024-10-22,453.49,462.59,449.39,461.49,646100
2024-10-23,456.9,460.24,452.44,457.9,647400
2024-10-24,458.67,461.54,452.12,452.27,532700
2024-10-25,455.67,456.23,450.13,451.41,508400
2024-10-28,455.39,456.84,447.96,449.44,616400
