Date,Open,High,Low,Close,Volume
2024-08-19,475.44,482.78,475.44,482.16,977800
2024-08-20,483.0,488.48,482.33,483.21,885500
2024-08-21,484.2,488.47,482.0,487.42,886300
2024-08-22,490.0,491.83,486.92,490.43,1137800
2024-08-23,492.62,493.97,478.18,486.55,1155200
2024-08-26,486.88,487.28,476.88,479.19,1170900
2024-08-27,478.44,483.57,477.0,482.35,939900
2024-08-28,482.93,485.36,479.24,482.21,960100
2024-08-29,482.21,491.66,481.25,487.17,939600
2024-08-30,489.16,493.44,485.28,492.63,1097700
2024-09-03,491.67,493.42,480.8,483.44,1356300
2024-09-04,480.96,484.65,478.28,481.73,1321000
2024-09-05,480.32,480.32,468.46,476.69,1194800
2024-09-06,476.92,478.25,466.0,471.82,1700000
2024-09-09,475.0,479.99,473.98,479.39,1121500
2024-09-10,477.5,484.79,477.5,484.24,1006500
2024-09-11,484.18,491.83,477.08,490.93,1239200
2024-09-12,491.91,494.15,486.05,494.01,1128000
2024-09-13,490.28,496.18,489.19,489.86,1238000
2024-09-16,493.47,494.01,488.57,491.39,921200
2024-09-17,491.27,491.27,482.38,483.32,1162600
2024-09-18,484.21,488.75,479.58,482.09,982300
2024-09-19,492.0,492.74,486.98,490.01,1225000
2024-09-20,485.11,486.3,480.16,486.2,2734000
2024-09-23,488.5,491.83,486.27,489.07,927200
2024-09-24,490.51,490.51,482.35,484.4,1120800
2024-09-25,486.0,487.12,482.29,484.39,897800
2024-09-26,488.25,490.95,484.76,486.33,871400
2024-09-27,490.03,490.03,478.57,479.18,1013300
2024-09-30,480.0,492.25,478.69,491.27,1654100
2024-10-01,492.5,496.48,481.71,484.76,1181100
2024-10-02,482.72,489.71,478.62,486.62,740900
2024-10-03,484.42,486.0,478.56,479.63,764500
2024-10-04,484.45,484.45,476.6,481.95,903700
2024-10-07,476.86,479.31,470.06,471.23,1175200
2024-10-08,473.79,482.88,473.79,480.79,1040300
2024-10-09,480.6,490.58,478.49,490.38,1061000
2024-10-10,486.23,488.26,483.2,483.84,942100
2024-10-11,486.0,487.58,483.12,484.78,1170000
2024-10-14,487.04,488.63,483.97,487.61,883500
2024-10-15,488.0,489.63,476.68,478.47,1313300
2024-10-16,478.11,479.52,473.51,476.59,1037500
2024-10-17,481.06,481.06,472.12,473.73,1959000
2024-10-18,496.0,523.34,495.0,521.15,4059200
2024-10-21,519.04,522.67,514.55,518.86,1309600
2024-10-22,515.0,519.18,511.81,517.5,1341500
2024-10-23,513.89,516.0,507.28,512.58,1120000
2024-10-24,510.79,515.31,509.78,511.63,755400
2024-10-25,514.0,516.89,510.46,511.27,982200
2024-10-28,513.66,514.33,508.28,510.88,842800
2024-10-29,506.52,517.5,504.35,516.31,1064800
2024-10-30,516.56,516.99,508.01,513.77,1113100
2024-10-31,510.01,511.06,500.67,503.84,1468700
2024-11-01,502.02,510.81,502.01,506.34,1041900
2024-11-04,504.32,511.21,503.85,507.42,849500
2024-11-05,506.33,518.25,506.33,515.17,1113400
2024-11-06,523.13,525.0,506.8,515.55,1776100
2024-11-07,516.0,524.83,515.58,524.28,1209000
2024-11-08,525.5,538.49,524.0,536.45,1427700
2024-11-11,539.89,542.59,534.57,535.75,2097800
2024-11-12,534.0,538.91,531.69,537.07,1455900
2024-11-13,535.43,540.02,534.04,536.69,1405200
2024-11-14,537.36,544.38,537.13,537.8,1908300
2024-11-15,533.21,536.98,526.71,527.61,1447800
2024-11-18,527.36,537.53,526.61,531.64,1268000
2024-11-19,527.57,540.08,526.01,538.82,1143200
2024-11-20,538.78,542.37,533.83,541.82,985400
2024-11-21,544.85,551.78,540.36,550.62,1396000
2024-11-22,549.84,552.0,541.99,547.87,1375400
2024-11-25,548.82,549.31,533.56,536.55,2076800
2024-11-26,542.06,545.0,537.28,542.1,1152600
2024-11-27,543.08,543.97,538.23,538.55,938400
2024-11-29,539.0,543.17,536.03,542.0,718600
2024-12-02,546.3,546.45,540.2,542.85,1005300
2024-12-03,537.02,541.99,533.01,541.71,1379300
2024-12-04,542.01,552.08,539.2,549.95,1350400
2024-12-05,548.0,551.81,544.43,547.65,945200
2024-12-06,548.21,556.23,548.21,550.41,1026200
2024-12-09,552.31,553.56,532.14,538.86,1429200
2024-12-10,540.16,543.33,536.68,538.09,1048000
2024-12-11,538.22,548.53,538.22,543.6,999400
2024-12-12,543.1,550.47,541.37,544.72,1213300
2024-12-13,542.59,547.1,539.03,539.58,1071400
2024-12-16,539.98,547.9,539.11,541.99,1534700
2024-12-17,539.5,546.01,531.42,545.16,1475800
2024-12-18,543.12,547.19,526.23,526.47,1488100
2024-12-19,532.74,536.5,523.41,523.91,2064500
2024-12-20,521.45,530.97,516.18,524.43,3933900
2024-12-23,524.88,527.94,520.03,527.22,1069800
2024-12-24,528.01,537.36,527.26,537.02,629200
2024-12-26,534.86,540.13,533.99,538.83,765700
2024-12-27,536.01,537.34,529.31,534.88,1013200
2024-12-30,528.43,529.02,520.56,526.96,899600
2024-12-31,527.77,529.81,520.01,521.96,884000
2025-01-02,521.19,528.89,520.92,524.03,907700
2025-01-03,527.61,536.65,525.35,535.29,1250900
2025-01-06,535.29,543.74,532.15,542.37,1229200
2025-01-07,547.67,550.0,530.45,531.88,1589500
2025-01-08,533.33,547.47,532.0,544.02,1359300
2025-01-10,540.56,550.18,537.17,547.47,1732300
2025-01-13,543.4,543.75,530.25,539.75,1461300
2025-01-14,539.28,544.55,535.59,538.88,1355100
2025-01-15,555.05,584.6,549.17,580.11,3553400
2025-01-16,582.6,585.5,573.0,584.08,2119400
2025-01-17,597.68,597.68,583.24,592.64,2635200
2025-01-21,598.11,606.27,593.82,604.12,1993500
2025-01-22,608.03,614.72,602.45,610.45,2100600
2025-01-23,612.0,616.0,602.0,608.66,2322200
2025-01-24,581.9,591.91,573.32,584.05,4357700
2025-01-27,574.68,579.34,563.35,573.48,2441600
2025-01-28,566.6,584.48,563.85,574.14,2332100
2025-01-29,571.11,578.41,569.49,572.71,1597900
2025-01-30,581.24,584.42,577.35,580.18,1986700
2025-01-31,576.74,586.89,570.86,571.88,1826100
2025-02-03,564.87,583.58,563.27,578.55,1830800
2025-02-04,573.21,582.85,573.08,579.65,1416100
2025-02-05,580.46,592.64,580.16,590.9,1521400
2025-02-06,592.78,592.86,585.4,588.5,1007800
2025-02-07,590.5,594.08,582.16,582.98,1061000
2025-02-10,590.0,595.96,586.77,595.7,1249000
2025-02-11,591.23,592.83,587.0,591.65,837100
2025-02-12,586.49,591.82,581.05,589.61,1115400
2025-02-13,590.86,593.17,583.23,591.39,1270400
2025-02-14,593.16,599.26,588.52,595.55,1188800
2025-02-18,595.46,601.59,586.61,600.89,1696000
