Date,Open,High,Low,Close,Volume
2024-08-12,227.8227,228.5847,225.1083,225.3654,870800
2024-08-13,226.0893,228.0799,224.2892,227.4036,598800
2024-08-14,227.2608,229.099,226.6417,227.3084,554600
2024-08-15,229.6895,231.2515,228.1085,228.8323,970000
2024-08-16,228.1465,231.1658,228.1465,230.4324,895100
2024-08-19,231.0324,231.5372,229.5847,231.1181,571600
2024-08-20,231.042,232.3278,230.3467,231.8039,569800
2024-08-21,232.7944,235.0327,231.861,234.8993,668600
2024-08-22,234.8993,235.3089,232.9373,234.1469,595400
2024-08-23,235.1184,237.0614,233.9564,235.2422,494800
2024-08-26,236.0518,238.3091,235.4899,236.7757,620700
2024-08-27,236.8614,237.8519,236.1185,237.4138,763300
2024-08-28,237.5661,238.7852,235.966,236.7375,725100
2024-08-29,238.2519,239.9567,236.9375,238.5281,585600
2024-08-30,238.7757,241.6807,237.6614,241.1378,822600
2024-09-03,240.4901,240.9473,236.5947,237.8995,959100
2024-09-04,237.6804,238.109,231.2039,233.0897,1052300
2024-09-05,233.204,233.204,229.7181,231.4991,866000
2024-09-06,231.4325,234.1374,230.8134,232.0134,754300
2024-09-09,233.4992,235.566,232.7659,235.0041,971500
2024-09-10,235.2517,236.3947,233.2992,235.7946,811400
2024-09-11,235.8899,236.2994,229.9848,235.2708,1027000
2024-09-12,235.7565,236.6327,232.8135,236.3946,629000
2024-09-13,237.0042,240.2996,236.2708,239.7758,669600
2024-09-16,241.3568,243.2522,240.2139,242.995,690100
2024-09-17,243.4903,246.0905,241.9759,242.6045,812900
2024-09-18,242.8426,244.4427,240.6044,240.9378,826300
2024-09-19,244.338,246.7095,242.8331,245.6904,727600
2024-09-20,244.3856,244.3856,241.3092,242.2236,1773000
2024-09-23,242.4045,244.7094,240.9949,244.4427,716200
2024-09-24,245.9285,247.3572,244.4808,246.2238,709900
2024-09-25,246.7381,247.4334,245.2713,245.7857,1150200
2024-09-26,247.6334,250.7098,246.8239,249.5383,730600
2024-09-27,250.4907,254.9672,250.3098,251.4146,1066400
2024-09-30,251.1081,251.951,248.4068,251.0314,876500
2024-10-01,250.9835,251.1272,247.7363,250.3417,754500
2024-10-02,249.403,251.3475,249.0486,250.859,776200
2024-10-03,249.4222,251.0218,246.7497,249.039,827700
2024-10-04,249.9682,250.3992,245.6864,247.5256,624300
2024-10-07,245.6098,247.2574,244.3837,245.2554,521000
2024-10-08,245.5044,246.1846,242.4584,244.9489,529800
2024-10-09,244.8435,248.3685,243.627,247.1137,717400
2024-10-10,246.539,246.97,244.5083,246.0121,582200
2024-10-11,246.5486,249.9299,246.5486,249.6138,664200
2024-10-14,248.8954,250.8686,248.0333,250.4854,513500
