Date,Open,High,Low,Close,Volume
2024-08-26,174.6411,175.3669,171.8262,172.5716,415400
2024-08-27,172.2087,172.4049,166.7849,168.7955,711600
2024-08-28,168.7073,172.0322,168.7073,170.8258,586000
2024-08-29,171.787,173.8369,168.6092,168.9623,778800
2024-08-30,169.3939,170.1196,165.8924,169.8744,1228300
2024-09-03,169.1584,169.9627,165.9709,169.7665,701400
2024-09-04,169.7665,171.3653,168.0207,169.5017,511000
2024-09-05,168.1384,169.2173,163.1854,166.0493,743400
2024-09-06,166.4907,168.0305,164.4114,164.5487,714000
2024-09-09,164.4506,168.6484,164.4506,168.4425,615800
2024-09-10,168.0795,168.6582,166.2062,167.2753,659100
2024-09-11,166.9615,167.1184,162.0771,166.0101,818600
2024-09-12,166.4515,166.5103,162.4007,165.6178,977700
2024-09-13,167.0203,168.1286,164.4801,165.4216,662700
2024-09-16,166.4612,167.9521,163.7542,164.1858,713600
2024-09-17,165.657,167.0399,162.6656,164.7645,1309300
2024-09-18,165.5981,168.7661,164.2741,166.0984,1001800
2024-09-19,169.6783,172.5814,169.4919,171.4633,887600
2024-09-20,170.1392,170.1392,165.451,165.7649,1132400
2024-09-23,166.4907,167.187,164.7645,166.9222,644400
2024-09-24,167.0007,171.228,166.8144,171.1299,696800
2024-09-25,171.3554,171.5418,167.7951,168.4425,635000
2024-09-26,169.8352,171.9538,167.5107,168.2169,413900
2024-09-27,170.0804,171.6007,168.6681,169.0408,347500
2024-09-30,169.2958,171.9832,168.1286,169.0211,602800
2024-10-01,167.9521,168.8152,165.402,166.3436,862800
2024-10-02,165.6766,166.5397,164.7743,164.9116,480400
2024-10-03,163.2344,164.0681,161.979,163.5287,498800
2024-10-04,165.7551,165.7551,159.733,161.3611,642700
2024-10-07,159.7232,161.9496,158.8895,161.0669,470500
2024-10-08,161.3611,163.5385,160.6745,162.1065,584700
2024-10-09,162.9304,164.1466,161.4199,162.9009,799200
2024-10-10,162.4302,162.8715,160.7628,162.7342,541700
2024-10-11,164.0092,167.8638,163.7935,167.442,714100
2024-10-14,166.7358,172.2479,165.0685,172.091,1127100
2024-10-15,172.1302,175.4159,171.0219,171.2966,1655900
2024-10-16,184.2726,184.3903,175.0727,176.691,3017100
2024-10-17,175.1903,176.9558,168.9917,170.149,1513400
2024-10-18,170.8454,173.6799,170.1981,173.474,1003900
2024-10-21,173.0228,174.3567,170.6002,174.1703,896300
2024-10-22,172.9247,174.4842,171.3162,172.248,773000
2024-10-23,171.2868,172.6697,170.1981,172.0812,942200
2024-10-24,172.1891,172.6207,169.4134,172.4343,598600
2024-10-25,173.3465,174.5627,170.6591,171.4731,771000
2024-10-28,172.6795,175.6906,170.9435,175.4454,700900
2024-10-29,175.1806,177.2795,173.778,175.9848,791900
2024-10-30,175.4846,182.105,175.2394,178.3878,1274500
2024-10-31,177.5541,180.0453,177.0245,177.1519,1184900
2024-11-01,177.7993,179.5255,177.1618,177.4854,771500
2024-11-04,176.9852,179.8982,175.7396,178.4957,742700
2024-11-05,178.2799,182.0952,177.6522,181.9971,622400
2024-11-06,187.7446,192.933,186.754,189.1177,1925300
2024-11-07,189.1275,189.4512,184.7336,184.8905,702600
2024-11-08,185.3033,189.7368,183.4356,188.8718,1030000
2024-11-11,189.3338,197.0015,189.3338,193.846,1212200
2024-11-12,192.6565,194.8683,189.1765,189.2748,1349600
2024-11-13,185.2739,188.2033,181.8627,185.9915,1740800
2024-11-14,186.424,187.3579,181.0861,181.381,1114500
2024-11-15,181.558,182.079,178.4712,179.2576,751100
2024-11-18,179.7688,182.197,179.5034,180.8797,756900
2024-11-19,179.9163,180.7715,177.036,177.1245,884200
2024-11-20,176.9475,178.717,175.3353,178.5007,679600
2024-11-21,179.6509,182.4525,176.8295,178.4909,793100
2024-11-22,179.1888,180.978,178.2156,179.3068,687000
2024-11-25,182.1084,187.8592,181.5776,185.1559,1285100
2024-11-26,184.6349,187.8494,182.482,187.6233,932100
2024-11-27,187.9969,189.206,185.7949,187.0826,501300
2024-11-29,188.223,189.1569,185.6573,185.903,457500
2024-12-02,186.3159,186.4535,184.0647,186.0308,470100
2024-12-03,184.802,184.8118,181.2532,181.8725,475300
2024-12-04,180.9878,183.0424,180.1227,181.9905,519100
2024-12-05,182.3149,182.364,177.3211,178.7661,627100
2024-12-06,179.8081,180.1031,176.0922,177.9207,750800
2024-12-09,178.2353,182.1478,178.0092,179.2871,663800
2024-12-10,179.3756,181.1451,176.9475,179.1888,745300
2024-12-11,180.0932,180.9878,178.4909,178.9234,665900
2024-12-12,179.1986,180.6929,177.5471,178.078,656000
2024-12-13,177.6356,178.5105,176.2102,176.741,538000
2024-12-16,176.6722,177.2227,174.539,175.0699,645000
2024-12-17,174.0868,176.2397,174.0574,174.3031,692900
2024-12-18,174.195,176.0529,167.0581,167.4021,969000
2024-12-19,167.3333,169.9187,164.8659,165.2493,1144700
2024-12-20,165.6523,168.4737,162.6934,167.3432,2140300
2024-12-23,166.7632,167.9822,165.6818,167.6479,513300
2024-12-24,167.1957,168.7686,166.8025,168.6605,180900
