Date,Open,High,Low,Close,Volume
2024-08-14,149.1238,150.749,148.7175,149.738,5141200
2024-08-15,149.634,150.7017,149.1333,150.3143,7237800
2024-08-16,150.3616,151.1174,149.4545,150.5978,5012800
2024-08-19,150.6639,151.4481,150.3521,150.8245,4408400
2024-08-20,151.1741,152.0528,150.8623,151.3253,7275100
2024-08-21,151.5521,152.5725,151.467,152.5253,5019400
2024-08-22,153.0638,153.5268,151.9206,153.3945,6552100
2024-08-23,153.5362,155.1613,152.7803,155.0763,7093400
2024-08-26,155.1141,156.5692,154.5188,155.5298,6870600
2024-08-27,155.6536,156.1677,154.3779,155.13,4388700
2024-08-28,155.1776,157.0816,154.9015,156.0534,5187000
2024-08-29,156.7294,156.815,155.5203,156.3486,7390100
2024-08-30,156.2438,158.0146,155.9487,157.9003,7971000
2024-09-03,157.3101,159.7567,156.8626,159.1379,6956500
2024-09-04,159.7568,160.7469,158.0717,159.3284,6939100
2024-09-05,159.176,159.3379,156.9198,157.0721,4600400
2024-09-06,157.253,157.9765,156.2438,156.4914,6016900
2024-09-09,156.9293,159.376,156.5771,158.6144,7538200
2024-09-10,159.4616,160.3756,158.7476,159.3474,6559600
2024-09-11,158.7857,158.7857,156.2153,156.9103,5920200
2024-09-12,156.32,157.1768,154.9015,156.7389,4540900
2024-09-13,156.8341,157.7956,155.9582,157.5766,3693400
2024-09-16,158.3763,159.2236,157.8242,158.9761,5187800
2024-09-17,158.2621,159.6711,157.967,159.0523,5066500
2024-09-18,158.6334,160.2708,157.7861,158.1764,4722800
2024-09-19,158.2526,158.3859,156.5295,156.9103,4956100
2024-09-20,156.4152,156.9578,155.7012,156.2819,11839000
2024-09-23,156.5104,156.6056,154.911,155.387,4671600
2024-09-24,154.9777,155.6441,153.7972,154.9682,6041600
2024-09-25,155.1776,155.4822,152.6643,152.8928,5420000
2024-09-26,152.55,153.7876,152.3406,153.6449,6122000
2024-09-27,154.2256,155.587,153.5973,153.6544,7553800
2024-09-30,153.8162,154.3969,152.9689,154.2827,6010000
2024-10-01,154.635,154.9396,153.4449,154.2161,4408000
2024-10-02,153.7591,154.3398,152.9404,153.4354,4684400
2024-10-03,153.0641,153.6925,152.531,152.7976,4791200
2024-10-04,151.9693,152.7976,151.1601,152.5977,5331100
2024-10-07,152.5596,153.1403,151.579,151.8741,4266000
2024-10-08,151.836,152.5596,151.322,152.0264,4766300
2024-10-09,152.2454,153.483,151.8551,152.9404,6047200
2024-10-10,153.6163,153.6449,152.3216,152.8071,4793900
2024-10-11,154.3969,154.8539,153.464,153.7115,5253500
2024-10-14,153.6544,154.3589,153.1784,153.8448,5964000
2024-10-15,152.3216,158.7476,151.3696,156.2248,10548000
2024-10-16,156.1296,157.0721,154.8349,156.3961,5982100
2024-10-17,156.3771,157.0816,155.7774,156.577,4798000
2024-10-18,156.9769,157.3577,156.063,157.1959,5908000
2024-10-21,157.1768,157.3196,154.5207,155.0157,6082700
2024-10-22,154.5303,155.8726,154.1304,155.606,5680300
2024-10-23,155.0062,158.0336,154.6254,157.9003,7441600
2024-10-24,157.0816,157.5671,155.5013,155.8154,5386300
2024-10-25,155.8249,156.0534,152.9023,153.1593,6400400
2024-10-28,153.3973,154.197,153.2736,153.8448,4842500
2024-10-29,153.7115,154.3874,152.3787,152.4072,5216900
2024-10-30,151.798,153.5401,151.3981,152.9023,5820500
2024-10-31,152.3121,153.1498,151.8075,152.1883,8613900
2024-11-01,152.8737,153.3307,152.2073,152.4453,5256400
2024-11-04,152.036,152.5881,150.4842,150.646,4644000
2024-11-05,150.1034,150.9792,148.8467,150.7507,6547100
