Date,Open,High,Low,Close,Volume
2024-08-28,210.4094,213.25,210.3518,212.3671,6506400
2024-08-29,213.1925,213.989,210.1119,213.2501,6416100
2024-08-30,213.5283,216.3882,212.9813,215.7356,8574100
2024-09-03,213.3364,215.0639,210.3998,211.4171,8956100
2024-09-04,212.1272,213.1157,208.4517,210.4862,7389500
2024-09-05,211.2731,211.8969,207.3192,208.8547,8067900
2024-09-06,208.826,209.92,202.5785,203.8932,7777000
2024-09-09,206.5131,209.3538,205.5439,208.0678,8935100
2024-09-10,209.7856,209.824,192.521,197.2714,28406900
2024-09-11,196.9739,199.3251,193.6918,198.8741,13658700
2024-09-12,199.2772,200.3616,196.6284,198.2695,9054400
2024-09-13,198.519,199.4691,194.8339,196.0814,10226700
2024-09-16,197.5306,199.8146,197.3002,199.4787,8634900
2024-09-17,199.3539,201.4652,199.2867,200.8126,7573300
2024-09-18,200.5823,202.8183,198.3654,199.162,8259900
2024-09-19,201.3213,203.3654,198.9797,201.993,11635200
2024-09-20,201.4652,202.8951,201.0525,202.5784,20885000
2024-09-23,202.4921,203.2598,201.5228,202.9143,7223500
2024-09-24,202.636,204.3635,201.8875,203.0583,7323200
2024-09-25,203.1447,203.6821,200.1985,201.7148,8976500
2024-09-26,202.6168,203.1638,200.5823,201.3212,7807500
2024-09-27,202.1562,203.874,200.8894,202.0122,7032500
2024-09-30,197.9912,202.4537,196.9835,202.3577,8663800
2024-10-01,200.4767,200.6591,197.876,198.6917,8540100
2024-10-02,198.7301,200.5247,197.3962,198.9317,5810900
2024-10-03,197.8568,198.1639,196.1006,196.9547,7251300
2024-10-04,202.0915,204.3799,199.7838,203.9454,10211700
2024-10-07,203.7619,205.9827,202.4681,203.6653,6718900
2024-10-08,203.3274,204.0516,201.2032,203.4915,6021800
2024-10-09,202.4777,206.8613,202.1687,206.0696,7024000
2024-10-10,207.4117,207.4117,204.1868,205.5096,7927100
2024-10-11,208.2421,216.8935,207.7497,214.6341,18320700
2024-10-14,215.5128,215.9955,211.3416,213.852,9048900
2024-10-15,215.9569,217.6853,214.1803,214.7307,9235800
2024-10-16,214.6727,215.9762,213.4271,215.9376,6382500
2024-10-17,216.5459,218.0715,215.619,216.6908,6470200
2024-10-18,217.2507,218.1391,215.4162,217.608,7000500
2024-10-21,217.4632,217.9267,215.2231,215.3197,5870000
2024-10-22,215.339,217.5211,213.4851,216.4011,9586800
2024-10-23,215.9569,217.0577,214.8658,215.7155,6180500
2024-10-24,214.19,217.3087,214.0258,217.2315,6002200
2024-10-25,217.2508,217.8494,213.2727,214.6534,6369700
2024-10-28,215.6576,217.8687,215.2714,217.7335,6843000
2024-10-29,217.4535,218.9405,215.1362,215.2231,6580000
2024-10-30,214.8755,218.5156,213.9486,216.6811,7110900
2024-10-31,216.9611,217.917,214.1803,214.2768,7829900
2024-11-01,215.8604,218.3612,215.03,215.2617,6923500
2024-11-04,214.9817,216.0535,211.6216,212.2106,8229600
2024-11-05,212.452,214.3155,212.423,213.8617,5600700
2024-11-06,226.9063,239.4586,226.6843,238.551,23987800
2024-11-07,236.0792,236.1468,227.1188,228.2388,16451100
2024-11-08,231.0969,231.0969,227.6595,228.8182,9502100
2024-11-11,231.7342,233.7618,230.7686,231.0486,9017100
2024-11-12,232.2652,233.1439,230.5369,231.3093,6861000
2024-11-13,232.2942,235.6833,232.0335,232.8542,11472600
2024-11-14,234.0708,235.8764,232.748,233.5397,10172200
2024-11-15,233.1439,237.933,233.1439,236.8613,11518800
2024-11-18,239.2269,239.391,234.3219,236.5909,9051400
2024-11-19,233.9067,236.7068,233.2308,234.7177,6792700
2024-11-20,235.9826,236.1854,230.421,232.4873,9015300
2024-11-21,234.8529,237.0351,233.7715,236.3302,8783500
2024-11-22,235.2198,240.569,234.6598,239.9897,7997300
2024-11-25,240.9939,245.5513,240.4821,241.6697,10295400
2024-11-26,241.8629,242.3553,239.7869,241.3608,6212100
2024-11-27,240.7621,242.5388,240.2021,241.187,5472300
2024-11-29,241.2546,243.0988,240.8587,241.1194,5494800
2024-12-02,240.9553,241.6311,236.5909,237.7689,8899700
2024-12-03,239.6807,240.4628,236.2047,236.3882,6657700
2024-12-04,236.2723,236.8999,233.8873,235.017,7346300
2024-12-05,236.9385,238.6669,236.195,237.0254,6572500
2024-12-06,237.2379,239.2076,236.4075,238.8407,5519700
2024-12-09,238.6186,239.3331,235.3647,235.4129,7076500
2024-12-10,235.4902,239.42,233.8777,234.4957,9108300
2024-12-11,235.5964,235.8571,233.8391,235.1426,7884400
2024-12-12,234.6308,235.6929,232.7383,233.2115,6113800
2024-12-13,233.7329,234.3605,230.9038,231.6762,10392700
2024-12-16,232.3232,232.3811,229.3396,231.3286,9032000
2024-12-17,230.4306,230.7879,228.4802,230.1506,8083600
2024-12-18,230.7686,230.8362,221.6247,222.4358,11322400
2024-12-19,224.2704,228.2195,224.2704,224.9366,11790800
2024-12-20,223.9325,230.9714,223.6138,229.4168,32348400
2024-12-23,227.9395,230.4017,226.7905,230.1796,8611500
2024-12-24,231.1838,234.1384,230.8362,233.9646,3729100
2024-12-26,233.1149,234.8819,232.4969,234.766,4451800
2024-12-27,234.3605,235.0074,231.7728,232.8639,5730200
2024-12-30,230.5465,232.5452,228.9437,231.0776,5723800
2024-12-31,231.7824,233.1246,230.7976,231.4542,4871000
2025-01-02,232.6225,234.9012,231.2031,231.7342,9220900
2025-01-03,235.4902,236.4461,231.9852,234.9012,9491100
2025-01-06,236.522,238.4534,233.4939,233.756,9917800
2025-01-07,235.0079,238.036,233.8045,236.0076,8753400
2025-01-08,235.6,237.0558,233.4163,235.9688,8675300
2025-01-10,235.93,236.6287,231.7081,232.8048,10256800
2025-01-13,232.6107,237.3372,231.9604,237.017,10005300
2025-01-14,235.5126,240.4236,235.0565,240.181,12407400
2025-01-15,243.0246,246.1983,236.5026,244.9172,18448500
2025-01-16,246.5186,249.4691,244.8978,246.7807,15292300
2025-01-17,246.6545,252.9436,244.7134,251.5267,17678100
2025-01-21,252.4098,256.4667,251.8566,255.2826,13712100
2025-01-22,255.1565,255.6223,252.5845,255.0982,9021900
2025-01-23,256.8938,258.9998,256.0397,258.1167,10749700
2025-01-24,255.9232,259.2327,255.2632,257.0393,7666300
2025-01-27,256.3891,258.1361,254.5354,258.0197,7522300
2025-01-28,258.0196,259.456,257.0296,259.2716,7375400
2025-01-29,259.3396,262.7074,257.7867,258.7281,7684900
2025-01-30,260.7177,261.7562,258.7669,260.3295,8753500
2025-01-31,261.3001,262.8432,259.0969,259.4269,7193800
2025-02-03,254.118,260.2713,253.9918,258.9513,8381400
2025-02-04,261.892,261.892,258.9707,260.048,5626000
2025-02-05,260.9895,262.6685,260.4265,262.4647,5704400
2025-02-06,264.4252,268.8218,263.2023,268.7441,7264400
2025-02-07,269.1032,270.3455,266.6186,267.6765,6857900
2025-02-10,268.0162,268.0453,261.6494,263.0567,8627400
2025-02-11,262.2997,268.0842,261.7174,266.8904,7196400
2025-02-12,266.0072,268.3074,265.2016,267.3368,6683900
2025-02-13,267.3854,268.8121,265.7451,268.1812,8398700
2025-02-14,269.2003,271.0055,268.3074,268.4432,5688600
2025-02-18,268.6083,271.7237,267.89,271.7043,7919800
2025-02-19,270.1805,271.9954,269.0547,271.0249,7007200
2025-02-20,270.4716,270.5299,257.9128,258.9416,13846700
2025-02-21,260.4168,261.2709,255.0982,256.457,12835600
2025-02-24,257.6702,259.1357,250.9928,253.6424,10372800
2025-02-25,254.5062,255.2535,245.8878,249.8185,9608400
2025-02-26,249.5856,253.2251,249.3623,251.1676,5943600
2025-02-27,252.5166,255.8747,250.2649,251.4199,8204400
2025-02-28,253.0504,257.0102,250.2941,256.8549,10467100
2025-03-03,256.2241,258.4757,250.2261,252.9436,9058300
2025-03-04,247.7609,249.6535,238.7057,242.8791,13465600
2025-03-05,243.8496,245.5966,240.5304,244.1214,7861400
2025-03-06,240.8021,242.0153,236.6676,239.2783,9983200
2025-03-07,238.0069,239.4531,232.3681,235.1438,20498700
2025-03-10,229.2526,230.5143,221.9638,225.3801,18887200
2025-03-11,224.924,226.4477,220.013,222.3909,18143000
2025-03-12,227.1077,227.4183,220.5662,221.1874,16054000
2025-03-13,222.5461,222.7402,217.6255,218.5572,16467900
2025-03-14,221.4009,226.2731,220.8768,225.5937,11962100
2025-03-17,224.3707,228.7285,223.672,227.0397,9586000
2025-03-18,227.4183,229.2138,226.6418,228.0491,10344900
2025-03-19,228.7965,235.1924,227.9715,232.0672,10120600
2025-03-20,229.5923,234.6391,229.2429,231.9701,8328500
2025-03-21,230.8055,235.1632,229.5341,234.513,19326900
2025-03-24,238.2496,241.365,237.2111,240.7536,9422700
2025-03-25,241.9667,244.4028,240.3265,243.7331,9287700
2025-03-26,245.1598,247.1689,242.4229,243.6361,12779300
2025-03-27,242.1803,243.2576,239.8995,240.8118,8022500
2025-03-28,239.6666,242.1609,234.0083,235.697,11978400
2025-03-31,232.3583,238.6184,230.3687,238.0749,13603000
2025-04-01,235.4738,238.4534,233.7851,236.4832,8054700
2025-04-02,234.4839,239.9674,234.348,238.5796,7758800
2025-04-03,227.3698,228.2141,220.6051,221.9541,17188500
2025-04-04,210.2553,212.5892,204.0251,205.3434,27170700
2025-04-07,200.9393,216.8371,197.4141,209.4058,22914400
2025-04-08,218.2726,222.4912,208.2437,211.7787,19485700
2025-04-09,207.5113,231.9049,206.0465,228.8386,24022400
2025-04-10,224.6005,224.9423,214.9329,221.7783,18896400
2025-04-11,220.9971,232.9791,219.7179,230.6549,20284500
2025-04-14,231.5338,234.1509,228.1453,229.2097,13017800
2025-04-15,230.5573,233.0474,227.3543,227.657,10912900
2025-04-16,226.5535,228.0964,222.5791,224.2196,9322300
2025-04-17,225.3817,228.8386,225.1376,226.5145,9557900
2025-04-21,225.2157,226.368,221.0264,223.6142,8716200
2025-04-22,226.534,230.4499,225.9383,230.0592,10701400
2025-04-23,234.5805,240.9963,234.3657,235.2251,14126800
2025-04-24,234.1118,239.7073,232.0025,238.8968,9055200
2025-04-25,238.9065,239.8538,236.0746,237.8324,8588600
2025-04-28,238.8187,241.0452,235.186,237.5101,7394300
2025-04-29,236.5043,239.4925,236.016,238.8772,7216800
2025-04-30,235.5473,239.4632,232.8326,238.8772,12991700
2025-05-01,237.1391,242.6174,236.4848,241.094,8689600
2025-05-02,245.3614,247.666,243.6036,246.582,7165000
2025-05-05,245.2833,249.1698,244.7071,246.6309,5450700
2025-05-06,244.131,246.7187,243.1544,243.3986,6369900
2025-05-07,243.9845,246.5235,242.9884,243.5353,8724100
2025-05-08,245.6641,249.8729,245.6446,247.5195,8320100
2025-05-09,248.5253,249.5116,246.416,247.1386,5087600
2025-05-12,256.7281,257.4117,252.6267,253.945,9603900
2025-05-13,254.902,257.4801,254.2771,256.8356,8589000
2025-05-14,256.8258,260.3803,256.1324,259.4038,8643100
2025-05-15,260.7026,263.1927,258.5445,261.2104,9214600
2025-05-16,261.2201,262.1576,258.4956,261.2787,8932900
2025-05-19,259.3159,262.0209,255.7809,258.6616,12145000
2025-05-20,256.357,260.3998,256.1422,259.4428,8436300
2025-05-21,258.1441,259.4135,254.6091,254.9118,7464000
2025-05-22,253.3493,256.1422,252.7927,254.5505,6514100
2025-05-23,250.7811,255.8395,249.9901,254.5895,6671800
2025-05-27,255.8883,259.0718,255.8395,259.062,7506600
2025-05-28,259.9897,260.4584,256.7281,257.3043,5535400
2025-05-29,258.5835,259.1792,256.3668,258.1636,5081200
2025-05-30,257.2652,259.101,256.5621,257.8023,10977700
2025-06-02,256.8453,258.8081,255.7516,258.4468,6011200
2025-06-03,257.5387,260.3217,256.7086,260.019,6998400
2025-06-04,259.6772,260.849,257.9781,258.0171,5915700
