Date,Open,High,Low,Close,Volume
2024-08-19,14.9837,15.2853,14.9837,15.2671,13903300
2024-08-20,15.2031,15.3036,15.0568,15.2305,13982200
2024-08-21,15.3219,15.3219,14.9471,15.0294,10389000
2024-08-22,15.0659,15.2305,14.9471,15.0111,12092200
2024-08-23,15.1482,15.7242,15.0568,15.6053,22895300
2024-08-26,15.715,15.715,15.4042,15.4956,10485700
2024-08-27,15.3614,15.5835,15.3614,15.4262,11204800
2024-08-28,15.3984,15.639,15.3707,15.491,8405300
2024-08-29,15.5835,15.7316,15.3522,15.6205,12771300
2024-08-30,15.6298,15.8056,15.5558,15.7871,12129000
2024-09-03,15.565,15.7316,15.3984,15.4817,15732800
2024-09-04,15.4355,15.454,15.0838,15.2319,17490000
2024-09-05,15.4077,15.4077,14.9358,15.0283,14781600
2024-09-06,15.0283,15.1393,14.5193,14.5286,12443300
2024-09-09,14.6304,15.4077,14.5749,14.9728,21596200
2024-09-10,14.982,14.982,14.5008,14.6952,13781600
2024-09-11,14.5749,14.8062,14.251,14.7322,11046600
2024-09-12,14.7877,15.0005,14.6766,14.8987,11579200
2024-09-13,15.0283,15.2596,14.6674,14.8895,13185800
2024-09-16,14.871,15.1764,14.871,15.0561,6398300
2024-09-17,15.1949,15.4355,15.1578,15.3337,8332500
2024-09-18,15.3337,15.7038,15.1671,15.3522,10038800
2024-09-19,15.7131,16.0925,15.6113,16.0462,14988200
2024-09-20,15.9352,16.037,15.6761,15.8426,20004500
2024-09-23,15.8519,15.9537,15.528,15.5558,10526100
2024-09-24,15.5558,15.7408,15.2874,15.3799,9852900
2024-09-25,15.3892,15.4262,15.1301,15.1578,10596200
2024-09-26,15.3244,15.4632,15.1949,15.3152,9291000
2024-09-27,15.3984,15.5095,15.2134,15.3707,5057200
2024-09-30,15.3522,15.5558,15.2411,15.5002,6175700
2024-10-01,15.3522,15.3984,14.8525,15.0283,9444600
2024-10-02,15.019,15.2781,14.9358,15.0005,6980600
2024-10-03,14.9172,15.1578,14.7599,15.1486,8057200
2024-10-04,15.4077,15.7223,15.3707,15.528,9477500
2024-10-07,15.4447,15.6113,15.3152,15.5187,6204900
2024-10-08,15.5835,15.639,15.454,15.4817,7104400
2024-10-09,15.4817,15.7408,15.4077,15.6113,7331900
2024-10-10,15.491,15.6483,15.3799,15.5835,7297700
2024-10-11,15.7131,16.1665,15.6668,15.9352,10220300
2024-10-14,15.7593,16.1388,15.6483,16.1017,11829800
2024-10-15,16.1758,16.6015,16.1573,16.185,11298800
2024-10-16,16.3979,16.5459,16.2498,16.3794,11862200
